Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,53.373,53.373,53.203,53.273,3792,0
2017-09-05,17:00:00,53.273,53.283,53.104,53.114,14516,0
2017-09-05,18:00:00,53.134,53.134,53.095,53.13,9733,0
2017-09-05,19:00:00,53.082,53.082,52.807,52.826,4736,0
2017-09-05,20:00:00,52.777,52.876,52.715,52.861,11559,0
2017-09-05,21:00:00,52.896,52.966,52.856,52.906,13922,0
2017-09-05,22:00:00,52.901,52.976,52.857,52.956,16747,0
2017-09-06,16:00:00,53.056,53.066,53.026,53.066,5497,0
2017-09-06,17:00:00,53.114,53.144,52.996,53.066,8741,0
2017-09-06,18:00:00,53.066,53.066,52.987,53.016,4103,0
2017-09-06,19:00:00,53.019,53.056,53.012,53.056,6078,0
2017-09-06,20:00:00,53.105,53.105,53.076,53.092,4600,0
2017-09-06,21:00:00,53.085,53.154,53.085,53.126,19612,0
2017-09-06,22:00:00,53.134,53.193,53.104,53.104,12080,0
2017-09-07,16:00:00,53.134,53.134,53.079,53.079,2786,0
2017-09-07,17:00:00,52.976,53.104,52.966,53.104,6073,0
2017-09-07,18:00:00,53.095,53.095,52.965,52.965,1709,0
2017-09-07,19:00:00,52.956,53.006,52.936,53.006,3962,0
2017-09-07,20:00:00,53.001,53.017,52.987,52.996,4031,0
2017-09-07,21:00:00,53.026,53.026,53.006,53.022,19549,0
2017-09-07,22:00:00,53.025,53.046,52.976,53.016,16053,0
2017-09-08,16:00:00,52.896,52.996,52.896,52.996,6426,0
2017-09-08,17:00:00,52.986,53.095,52.986,53.095,15614,0
2017-09-08,18:00:00,53.13,53.164,53.085,53.105,12457,0
2017-09-08,19:00:00,53.099,53.183,53.066,53.183,21667,0
2017-09-08,20:00:00,53.164,53.164,53.114,53.154,5967,0
2017-09-08,21:00:00,53.144,53.206,53.134,53.183,10131,0
2017-09-08,22:00:00,53.174,53.183,53.089,53.124,12235,0
2017-09-11,16:00:00,53.461,53.622,53.461,53.614,4046,0
2017-09-11,17:00:00,53.591,53.631,53.568,53.581,2787,0
2017-09-11,18:00:00,53.561,53.656,53.561,53.653,7020,0
2017-09-11,19:00:00,53.651,53.739,53.638,53.709,183973,0
2017-09-11,20:00:00,53.719,53.739,53.719,53.729,19526,0
2017-09-11,21:00:00,53.739,53.744,53.709,53.719,234770,0
2017-09-11,22:00:00,53.719,53.745,53.699,53.734,13538,0
2017-09-12,16:00:00,53.789,53.888,53.789,53.858,1947,0
2017-09-12,17:00:00,53.868,53.868,53.759,53.779,7968,0
2017-09-12,18:00:00,53.789,53.831,53.76,53.809,10430,0
2017-09-12,19:00:00,53.81,53.882,53.81,53.878,2247,0
2017-09-12,20:00:00,53.888,53.902,53.888,53.898,1953,0
2017-09-12,21:00:00,53.844,53.869,53.839,53.868,53364,0
2017-09-12,22:00:00,53.888,53.908,53.858,53.908,9987,0
2017-09-13,16:00:00,53.839,53.878,53.835,53.848,4207,0
2017-09-13,17:00:00,53.829,53.884,53.809,53.871,3480,0
2017-09-13,18:00:00,53.859,53.876,53.819,53.848,2162,0
2017-09-13,19:00:00,53.848,53.913,53.848,53.908,2359,0
2017-09-13,20:00:00,53.928,53.928,53.874,53.878,8994,0
2017-09-13,21:00:00,53.878,53.942,53.878,53.942,21079,0
2017-09-13,22:00:00,53.936,53.942,53.879,53.928,15729,0
2017-09-14,16:00:00,53.799,53.809,53.766,53.809,4249,0
2017-09-14,17:00:00,53.819,53.86,53.819,53.849,2944,0
2017-09-14,18:00:00,53.839,53.898,53.839,53.885,4327,0
2017-09-14,19:00:00,53.882,53.908,53.878,53.888,3775,0
