Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-10,17:00:00,34.456,34.46,34.31,34.331,1716,0
2017-08-10,18:00:00,34.314,34.314,34.167,34.167,7896,0
2017-08-10,19:00:00,34.007,34.115,34.007,34.06,893,0
2017-08-10,20:00:00,34.137,34.177,34.137,34.177,956,0
2017-08-10,21:00:00,34.157,34.197,34.157,34.197,1063,0
2017-08-10,22:00:00,34.207,34.207,33.928,33.938,3268,0
2017-08-11,16:00:00,33.848,33.848,33.848,33.848,145,0
2017-08-11,19:00:00,34.117,34.117,34.117,34.117,200,0
2017-08-11,20:00:00,34.097,34.097,34.097,34.097,146,0
2017-08-11,21:00:00,34.15,34.157,34.15,34.157,200,0
2017-08-11,22:00:00,34.157,34.177,34.157,34.177,200,0
2017-08-14,16:00:00,34.416,34.416,34.416,34.416,300,0
2017-08-14,17:00:00,34.636,34.636,34.636,34.636,115,0
2017-08-14,18:00:00,34.616,34.616,34.616,34.616,501,0
2017-08-14,19:00:00,34.666,34.67,34.657,34.67,770,0
2017-08-14,20:00:00,34.666,34.666,34.666,34.666,146,0
2017-08-14,21:00:00,34.716,34.716,34.673,34.683,870,0
2017-08-14,22:00:00,34.678,34.736,34.678,34.736,571,0
2017-08-15,17:00:00,34.696,34.716,34.696,34.716,1399,0
2017-08-15,19:00:00,34.663,34.663,34.663,34.663,287,0
2017-08-15,20:00:00,34.623,34.643,34.623,34.643,970,0
2017-08-15,21:00:00,34.636,34.686,34.626,34.676,26025,0
2017-08-15,22:00:00,34.649,34.687,34.646,34.687,2257,0
2017-08-16,17:00:00,34.71,34.71,34.71,34.71,252,0
2017-08-16,18:00:00,34.748,34.784,34.746,34.784,540,0
2017-08-16,19:00:00,34.798,34.798,34.798,34.798,319,0
2017-08-16,20:00:00,34.769,34.846,34.756,34.756,28836,0
2017-08-16,21:00:00,34.824,34.824,34.786,34.796,1472,0
2017-08-16,22:00:00,34.776,34.776,34.696,34.696,983,0
2017-08-17,17:00:00,34.404,34.606,34.404,34.569,2815,0
2017-08-17,18:00:00,34.636,34.636,34.616,34.616,223,0
2017-08-17,19:00:00,34.606,34.606,34.446,34.446,4126,0
2017-08-17,20:00:00,34.374,34.374,34.374,34.374,490,0
2017-08-17,21:00:00,34.403,34.406,34.356,34.379,1784,0
2017-08-17,22:00:00,34.117,34.169,34.107,34.127,801,0
2017-08-18,16:00:00,33.878,33.878,33.878,33.878,1311,0
2017-08-18,17:00:00,33.958,34.051,33.958,34.04,4360,0
2017-08-18,18:00:00,34.177,34.177,34.177,34.177,100,0
2017-08-18,19:00:00,34.157,34.237,34.087,34.237,1565,0
2017-08-18,20:00:00,34.169,34.169,34.157,34.157,1235,0
2017-08-18,21:00:00,34.108,34.108,34.108,34.108,132,0
2017-08-18,22:00:00,34.155,34.157,34.155,34.157,657,0
2017-08-21,16:00:00,34.096,34.096,34.047,34.047,220,0
2017-08-21,17:00:00,33.984,33.984,33.958,33.958,2934,0
2017-08-21,18:00:00,34.057,34.057,34.047,34.057,810,0
2017-08-21,19:00:00,34.097,34.097,34.097,34.097,100,0
2017-08-21,21:00:00,34.07,34.101,34.068,34.101,4412,0
2017-08-21,22:00:00,34.097,34.097,34.094,34.094,240,0
