Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-24,16:00:00,37.678,37.678,37.678,37.678,100,0
2017-08-24,17:00:00,37.688,37.688,37.688,37.688,100,0
2017-08-24,18:00:00,37.743,37.743,37.743,37.743,132,0
2017-08-24,19:00:00,37.768,37.768,37.708,37.732,1203,0
2017-08-24,20:00:00,37.797,37.797,37.696,37.707,476,0
2017-08-24,21:00:00,37.628,37.788,37.628,37.788,824,0
2017-08-24,22:00:00,37.807,37.807,37.794,37.794,1025,0
2017-08-25,16:00:00,38.067,38.067,37.778,37.872,755,0
2017-08-25,17:00:00,37.887,37.927,37.748,37.748,2416,0
2017-08-25,18:00:00,37.648,37.688,37.648,37.688,780,0
2017-08-25,19:00:00,37.609,37.678,37.609,37.678,917,0
2017-08-25,20:00:00,37.748,37.748,37.748,37.748,563,0
2017-08-25,21:00:00,37.807,37.807,37.771,37.797,2904,0
2017-08-25,22:00:00,37.738,37.738,37.738,37.738,100,0
2017-08-28,18:00:00,37.827,37.847,37.821,37.838,2530,0
2017-08-28,19:00:00,37.947,37.947,37.947,37.947,100,0
2017-08-28,20:00:00,37.856,37.879,37.856,37.863,3023,0
2017-08-28,21:00:00,37.847,37.847,37.817,37.817,642,0
2017-08-28,22:00:00,37.898,37.937,37.898,37.937,3814,0
2017-08-29,16:00:00,37.867,37.867,37.827,37.827,300,0
2017-08-29,17:00:00,37.827,37.887,37.698,37.867,916,0
2017-08-29,18:00:00,37.818,38.017,37.818,37.967,2698,0
2017-08-29,19:00:00,37.957,38.147,37.957,38.147,2753,0
2017-08-29,20:00:00,38.119,38.137,38.087,38.087,435,0
2017-08-29,21:00:00,38.057,38.137,38.035,38.137,1040,0
2017-08-29,22:00:00,38.137,38.137,38.017,38.017,2423,0
2017-08-30,17:00:00,38.183,38.187,38.183,38.187,1051,0
2017-08-30,20:00:00,38.417,38.417,38.367,38.377,3780,0
2017-08-30,21:00:00,38.356,38.396,38.332,38.357,1939,0
2017-08-30,22:00:00,38.417,38.422,38.317,38.397,3130,0
2017-08-31,16:00:00,38.357,38.617,38.357,38.617,448,0
2017-08-31,17:00:00,38.594,38.594,38.594,38.594,198,0
2017-08-31,18:00:00,38.507,38.507,38.507,38.507,180,0
2017-08-31,19:00:00,38.802,38.802,38.772,38.772,375,0
2017-08-31,20:00:00,38.72,38.72,38.72,38.72,801,0
2017-08-31,22:00:00,38.756,38.756,38.756,38.756,601,0
2017-09-01,16:00:00,38.837,38.837,38.837,38.837,100,0
2017-09-01,17:00:00,38.818,38.818,38.818,38.818,109,0
2017-09-01,18:00:00,38.866,38.903,38.817,38.903,1657,0
2017-09-01,20:00:00,38.896,38.954,38.876,38.905,3591,0
2017-09-01,21:00:00,38.906,38.906,38.886,38.886,1227,0
2017-09-01,22:00:00,38.946,39.026,38.906,39.016,13739,0
2017-09-05,16:00:00,38.946,38.946,38.936,38.936,716,0
2017-09-05,17:00:00,39.031,39.031,38.876,38.906,1144,0
2017-09-05,18:00:00,38.876,38.877,38.812,38.812,380,0
2017-09-05,19:00:00,38.817,38.817,38.625,38.647,955,0
2017-09-05,20:00:00,38.491,38.557,38.473,38.557,1809,0
2017-09-05,21:00:00,38.557,38.737,38.557,38.707,1637,0
2017-09-05,22:00:00,38.677,38.687,38.597,38.597,1681,0
2017-09-06,16:00:00,38.767,38.787,38.736,38.787,1907,0
2017-09-06,17:00:00,38.696,38.777,38.657,38.657,1180,0
2017-09-06,18:00:00,38.557,38.574,38.536,38.574,3540,0
2017-09-06,20:00:00,38.651,38.752,38.651,38.752,486,0
2017-09-06,21:00:00,38.758,38.776,38.737,38.737,1346,0
2017-09-06,22:00:00,38.727,38.757,38.69,38.731,890,0
2017-09-07,16:00:00,38.597,38.597,38.597,38.597,1525,0
2017-09-07,17:00:00,38.587,38.722,38.587,38.634,5971,0
2017-09-07,18:00:00,38.683,38.683,38.492,38.492,1146,0
2017-09-07,19:00:00,38.515,38.585,38.501,38.585,2938,0
2017-09-07,20:00:00,38.592,38.598,38.477,38.477,2243,0
2017-09-07,21:00:00,38.536,38.556,38.536,38.556,858,0
2017-09-07,22:00:00,38.567,38.567,38.497,38.497,200,0
2017-09-08,16:00:00,38.407,38.467,38.407,38.467,297,0
2017-09-08,17:00:00,38.577,38.617,38.569,38.617,438,0
2017-09-08,18:00:00,38.7,38.784,38.7,38.784,765,0
2017-09-08,19:00:00,38.69,38.69,38.672,38.672,554,0
2017-09-08,21:00:00,38.674,38.717,38.636,38.677,1172,0
2017-09-08,22:00:00,38.627,38.627,38.595,38.595,367,0
2017-09-11,17:00:00,39.105,39.105,39.011,39.011,200,0
2017-09-11,18:00:00,38.95,39.076,38.95,39.064,1058,0
2017-09-11,19:00:00,39.035,39.044,39.027,39.027,400,0
2017-09-11,20:00:00,39.03,39.046,39.03,39.046,1101,0
2017-09-11,21:00:00,39.034,39.034,38.996,38.996,1115,0
2017-09-11,22:00:00,39.027,39.068,38.986,39.058,1779,0
2017-09-12,16:00:00,39.235,39.235,39.235,39.235,153,0
2017-09-12,17:00:00,39.235,39.235,39.196,39.196,300,0
2017-09-12,18:00:00,39.152,39.196,39.086,39.196,470,0
2017-09-12,19:00:00,39.221,39.235,39.216,39.235,985,0
2017-09-12,20:00:00,39.245,39.245,39.245,39.245,100,0
2017-09-12,21:00:00,39.255,39.255,39.255,39.255,100,0
