Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-06,16:00:00,50.17,50.24,50.065,50.105,5544,0
2017-09-06,17:00:00,50.06,50.289,50.06,50.285,18872,0
2017-09-06,18:00:00,50.308,50.36,50.308,50.315,2443,0
2017-09-06,19:00:00,50.28,50.33,50.19,50.2,3551,0
2017-09-06,20:00:00,50.22,50.22,50.102,50.14,6083,0
2017-09-06,21:00:00,50.137,50.18,50.1,50.15,3639,0
2017-09-06,22:00:00,50.12,50.23,50.12,50.13,21116,0
2017-09-07,16:00:00,50.5,50.5,50.41,50.411,4309,0
2017-09-07,17:00:00,50.465,50.679,50.465,50.679,12063,0
2017-09-07,18:00:00,50.6,50.679,50.6,50.677,2865,0
2017-09-07,19:00:00,50.679,50.679,50.475,50.475,2378,0
2017-09-07,20:00:00,50.42,50.679,50.42,50.679,2157,0
2017-09-07,21:00:00,50.645,50.645,50.49,50.58,3210,0
2017-09-07,22:00:00,50.579,50.669,50.56,50.669,10780,0
2017-09-08,16:00:00,50.759,50.819,50.718,50.729,2838,0
2017-09-08,17:00:00,50.61,50.699,50.61,50.659,2186,0
2017-09-08,18:00:00,50.689,50.715,50.62,50.715,3389,0
2017-09-08,19:00:00,50.704,50.788,50.63,50.764,9875,0
2017-09-08,20:00:00,50.749,50.759,50.59,50.749,1245,0
2017-09-08,21:00:00,50.591,50.759,50.58,50.744,7961,0
2017-09-08,22:00:00,50.669,50.779,50.6,50.759,8887,0
2017-09-11,16:00:00,50.45,50.45,50.235,50.305,2218,0
2017-09-11,17:00:00,50.38,50.424,50.33,50.38,5960,0
2017-09-11,18:00:00,50.371,50.371,50.28,50.28,1474,0
2017-09-11,19:00:00,50.319,50.33,50.23,50.24,1697,0
2017-09-11,20:00:00,50.26,50.3,50.23,50.261,1528,0
2017-09-11,21:00:00,50.28,50.35,50.251,50.33,2153,0
2017-09-11,22:00:00,50.32,50.32,50.23,50.29,12288,0
2017-09-12,16:00:00,50.11,50.13,50.04,50.11,3589,0
2017-09-12,17:00:00,50.13,50.13,50,50,8531,0
2017-09-12,18:00:00,50.04,50.098,49.98,49.99,253985,0
2017-09-12,19:00:00,49.99,50.01,49.93,49.96,1299,0
2017-09-12,20:00:00,50.005,50.009,49.96,49.983,1270,0
