Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,35.472,35.472,35.303,35.327,20365,0
2017-09-05,17:00:00,35.302,35.322,35.243,35.253,10554,0
2017-09-05,18:00:00,35.238,35.248,35.213,35.233,10130,0
2017-09-05,19:00:00,35.223,35.223,35.053,35.073,18349,0
2017-09-05,20:00:00,35.073,35.083,35.013,35.053,107817,0
2017-09-05,21:00:00,35.063,35.103,35.053,35.073,6596,0
2017-09-05,22:00:00,35.063,35.108,35.033,35.083,27718,0
2017-09-06,16:00:00,35.133,35.183,35.123,35.155,3259,0
2017-09-06,17:00:00,35.173,35.248,35.163,35.203,48476,0
2017-09-06,18:00:00,35.213,35.233,35.208,35.223,15505,0
2017-09-06,19:00:00,35.213,35.223,35.183,35.203,15775,0
2017-09-06,20:00:00,35.233,35.263,35.223,35.253,13542,0
2017-09-06,21:00:00,35.253,35.263,35.233,35.233,5011,0
2017-09-06,22:00:00,35.233,35.258,35.223,35.233,16206,0
2017-09-07,16:00:00,35.472,35.472,35.312,35.327,12360,0
2017-09-07,17:00:00,35.302,35.331,35.263,35.32,2305,0
2017-09-07,18:00:00,35.325,35.332,35.283,35.332,11129,0
2017-09-07,19:00:00,35.323,35.332,35.292,35.319,4957,0
2017-09-07,20:00:00,35.312,35.312,35.302,35.307,4330,0
2017-09-07,21:00:00,35.312,35.312,35.263,35.263,15247,0
2017-09-07,22:00:00,35.273,35.292,35.193,35.193,194132,0
2017-09-08,16:00:00,35.362,35.362,35.223,35.253,15117,0
2017-09-08,17:00:00,35.292,35.292,35.213,35.223,15807,0
2017-09-08,18:00:00,35.213,35.238,35.213,35.223,7520,0
2017-09-08,19:00:00,35.213,35.213,35.183,35.193,42887,0
2017-09-08,20:00:00,35.183,35.193,35.153,35.168,17815,0
2017-09-08,21:00:00,35.173,35.193,35.173,35.186,7600,0
2017-09-08,22:00:00,35.173,35.203,35.163,35.193,18639,0
2017-09-11,16:00:00,35.302,35.482,35.292,35.442,17711,0
2017-09-11,17:00:00,35.473,35.582,35.472,35.482,137958,0
2017-09-11,18:00:00,35.482,35.542,35.442,35.528,107991,0
2017-09-11,19:00:00,35.523,35.584,35.522,35.582,5744,0
2017-09-11,20:00:00,35.572,35.572,35.512,35.515,2417,0
2017-09-11,21:00:00,35.512,35.552,35.512,35.542,146866,0
2017-09-11,22:00:00,35.552,35.552,35.492,35.512,12011,0
2017-09-12,16:00:00,35.702,35.702,35.622,35.652,7428,0
2017-09-12,17:00:00,35.652,35.692,35.652,35.662,16165,0
2017-09-12,18:00:00,35.702,35.722,35.672,35.702,6014,0
2017-09-12,19:00:00,35.702,35.712,35.682,35.702,4259,0
2017-09-12,20:00:00,35.702,35.722,35.702,35.722,9290,0
2017-09-12,21:00:00,35.702,35.714,35.652,35.652,11686,0
2017-09-12,22:00:00,35.662,35.682,35.652,35.652,18884,0
2017-09-13,16:00:00,35.652,35.652,35.522,35.562,27822,0
2017-09-13,17:00:00,35.552,35.552,35.462,35.5,15619,0
2017-09-13,18:00:00,35.502,35.502,35.439,35.492,27040,0
2017-09-13,19:00:00,35.482,35.522,35.482,35.522,1676,0
2017-09-13,20:00:00,35.502,35.542,35.497,35.532,20674,0
2017-09-13,21:00:00,35.522,35.522,35.492,35.495,8433,0
2017-09-13,22:00:00,35.492,35.492,35.462,35.462,16941,0
2017-09-14,16:00:00,35.362,35.447,35.362,35.447,3899,0
2017-09-14,17:00:00,35.452,35.492,35.452,35.492,11224,0
2017-09-14,18:00:00,35.502,35.549,35.502,35.532,21750,0
2017-09-14,19:00:00,35.492,35.496,35.462,35.492,1983,0
2017-09-14,20:00:00,35.492,35.492,35.432,35.482,18513,0
2017-09-14,21:00:00,35.473,35.486,35.452,35.463,12920,0
2017-09-14,22:00:00,35.462,35.492,35.442,35.452,7666,0
2017-09-15,16:00:00,35.452,35.542,35.452,35.472,14568,0
2017-09-15,17:00:00,35.499,35.512,35.442,35.502,7977,0
2017-09-15,18:00:00,35.482,35.522,35.472,35.502,2198,0
2017-09-15,19:00:00,35.542,35.592,35.542,35.592,7494,0
2017-09-15,20:00:00,35.562,35.602,35.552,35.582,7469,0
2017-09-15,21:00:00,35.572,35.602,35.566,35.572,891,0
2017-09-15,22:00:00,35.582,35.612,35.582,35.602,11602,0
2017-09-18,16:00:00,35.622,35.792,35.622,35.765,24819,0
