Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-06,16:00:00,6.01,6.46,6.01,6.01,13401,0
2017-11-06,17:00:00,6,6,5.8301,5.914,12025,0
2017-11-06,18:00:00,5.87,5.888,5.85,5.8501,3791,0
2017-11-06,19:00:00,5.8534,5.8537,5.7001,5.7757,9624,0
2017-11-06,20:00:00,5.8237,5.84,5.8237,5.84,753,0
2017-11-06,21:00:00,5.85,5.85,5.6,5.785,13717,0
2017-11-06,22:00:00,5.76,5.76,5.61,5.61,8662,0
2017-11-07,16:00:00,5.6,5.73,5.6,5.72,5120,0
2017-11-07,17:00:00,5.71,5.72,5.62,5.62,3185,0
2017-11-07,18:00:00,5.654,5.7021,5.654,5.67,2174,0
2017-11-07,19:00:00,5.64,5.6447,5.6,5.62,6753,0
2017-11-07,20:00:00,5.6,5.62,5.6,5.6175,4297,0
2017-11-07,21:00:00,5.6,5.619,5.6,5.6102,3800,0
2017-11-07,22:00:00,5.62,5.62,5.6,5.6,6717,0
2017-11-08,16:00:00,5.6,5.62,5.6,5.6,3833,0
2017-11-08,17:00:00,5.62,5.62,5.6,5.6,21463,0
2017-11-08,18:00:00,5.62,5.62,5.6,5.6,26136,0
2017-11-08,19:00:00,5.6,5.62,5.6,5.6199,5207,0
2017-11-08,20:00:00,5.62,5.64,5.6,5.6,46842,0
2017-11-08,21:00:00,5.6,5.61,5.6,5.6022,2950,0
2017-11-08,22:00:00,5.6,5.65,5.6,5.6,10647,0
2017-11-09,16:00:00,5.6,5.63,5.6,5.6292,2860,0
2017-11-09,17:00:00,5.601,5.63,5.6,5.618,3260,0
2017-11-09,18:00:00,5.6,5.63,5.6,5.6292,2322,0
2017-11-09,19:00:00,5.606,5.6114,5.6,5.6081,8655,0
2017-11-09,20:00:00,5.62,5.63,5.6,5.6,10550,0
2017-11-09,21:00:00,5.6,5.61,5.6,5.61,4701,0
2017-11-09,22:00:00,5.6,5.606,5.6,5.601,1746,0
2017-11-10,16:00:00,5.65,5.72,5.61,5.72,4212,0
2017-11-10,17:00:00,5.72,5.73,5.65,5.65,600,0
2017-11-10,18:00:00,5.76,5.76,5.63,5.63,1000,0
2017-11-10,19:00:00,5.65,5.65,5.65,5.65,416,0
2017-11-10,20:00:00,5.63,5.662,5.63,5.64,1598,0
2017-11-10,21:00:00,5.65,5.65,5.65,5.65,600,0
2017-11-10,22:00:00,5.66,5.72,5.64,5.72,902,0
2017-11-13,16:00:00,5.76,5.76,5.72,5.7547,458,0
2017-11-13,17:00:00,5.76,6.189,5.76,5.8997,10904,0
2017-11-13,18:00:00,5.9655,5.991,5.9655,5.991,1000,0
2017-11-13,19:00:00,5.87,5.9984,5.7916,5.95,3108,0
2017-11-13,20:00:00,5.91,6.009,5.905,5.9538,2400,0
2017-11-13,21:00:00,5.95,6.0086,5.9,5.955,1900,0
2017-11-13,22:00:00,5.9001,5.95,5.9001,5.91,1000,0
2017-11-14,16:00:00,6.15,6.15,6.0224,6.0224,1317,0
2017-11-14,17:00:00,5.9608,6.01,5.65,5.88,5840,0
2017-11-14,18:00:00,5.89,5.89,5.89,5.89,100,0
2017-11-14,19:00:00,5.9,6.35,5.89,5.9036,29748,0
2017-11-14,21:00:00,6.0401,6.0401,5.9101,5.9164,3475,0
2017-11-14,22:00:00,5.92,6.025,5.81,5.97,19425,0
2017-11-15,16:00:00,5.91,5.91,5.91,5.91,202,0
2017-11-15,17:00:00,6.0001,6.018,6,6.018,2443,0
2017-11-15,18:00:00,6.0001,6.05,5.79,5.83,2500,0
2017-11-15,19:00:00,5.89,6,5.89,6,4056,0
2017-11-15,20:00:00,5.911,5.911,5.911,5.911,1000,0
2017-11-15,21:00:00,5.9924,6.15,5.9923,6.15,12700,0
2017-11-15,22:00:00,6.19,6.24,6.15,6.24,10541,0
2017-11-16,16:00:00,6.2,6.25,6.2,6.25,1884,0
2017-11-16,17:00:00,6.3275,6.5,6.25,6.47,11552,0
2017-11-16,18:00:00,6.44,6.59,6.3863,6.4863,6145,0
2017-11-16,19:00:00,6.45,6.5488,6.43,6.532,7677,0
2017-11-16,20:00:00,6.5,6.52,6.5,6.52,254,0
2017-11-16,21:00:00,6.49,6.49,6.43,6.43,3100,0
2017-11-16,22:00:00,6.3426,6.52,6.3124,6.52,1175,0
2017-11-17,16:00:00,6.7,6.7,6.6,6.6592,3533,0
2017-11-17,17:00:00,6.64,6.76,6.59,6.7,16231,0
2017-11-17,18:00:00,6.75,6.85,6.7,6.7599,4550,0
2017-11-17,19:00:00,6.7353,6.7364,6.7146,6.72,2870,0
2017-11-17,20:00:00,6.75,6.8,6.75,6.8,980,0
2017-11-17,21:00:00,6.8,6.8,6.71,6.71,900,0
2017-11-17,22:00:00,6.7291,6.89,6.7291,6.89,1348,0
2017-11-20,16:00:00,7,7.8,6.98,7.37,9376,0
2017-11-20,17:00:00,7.515,7.84,7.46,7.48,23401,0
2017-11-20,18:00:00,7.483,7.6272,7.48,7.52,2874,0
2017-11-20,19:00:00,7.62,7.63,7.48,7.48,9036,0
2017-11-20,20:00:00,7.4499,7.4499,7.35,7.37,2300,0
2017-11-20,21:00:00,7.38,7.45,7.37,7.39,2189,0
2017-11-20,22:00:00,7.4499,7.4499,7.3,7.34,3564,0
2017-11-21,16:00:00,7.65,7.65,7.5,7.5868,14252,0
2017-11-21,17:00:00,7.5,7.565,7.39,7.44,15990,0
2017-11-21,18:00:00,7.4368,7.4368,7.39,7.39,2300,0
2017-11-21,20:00:00,7.4122,7.4175,7.39,7.4175,4218,0
2017-11-21,21:00:00,7.39,7.39,7.36,7.36,1115,0
2017-11-21,22:00:00,7.4188,7.42,7.3784,7.42,871,0
2017-11-22,16:00:00,7.5,7.503,7.35,7.47,2224,0
2017-11-22,17:00:00,7.3001,7.302,7.001,7.3,5480,0
2017-11-22,18:00:00,7.0153,7.3,7,7.3,1430,0
2017-11-22,19:00:00,7.048,7.048,7.04,7.04,350,0
2017-11-22,20:00:00,7.01,7.01,7,7,600,0
2017-11-22,21:00:00,7,7,6.9,6.94,11326,0
2017-11-22,22:00:00,6.95,6.95,6.95,6.95,201,0
2017-11-24,16:00:00,6.85,7.19,6.85,7.119,1516,0
2017-11-24,17:00:00,7.19,7.21,6.92,6.9378,1862,0
2017-11-24,18:00:00,6.9,6.9,6.85,6.9,20456,0
2017-11-24,19:00:00,6.85,6.87,6.85,6.87,875,0
2017-11-24,20:00:00,6.87,6.87,6.87,6.87,200,0
2017-11-27,16:00:00,6.87,7.2,6.87,7.2,2809,0
2017-11-27,17:00:00,7.04,7.14,7,7,5600,0
2017-11-27,18:00:00,6.95,6.95,6.8293,6.8999,5000,0
2017-11-27,19:00:00,6.8999,6.8999,6.8999,6.8999,700,0
2017-11-27,20:00:00,6.9,6.9,6.8999,6.8999,200,0
2017-11-27,21:00:00,6.9,6.9,6.9,6.9,200,0
2017-11-27,22:00:00,6.9,6.95,6.9,6.9,8900,0
2017-11-28,16:00:00,6.87,6.87,6.81,6.8123,1220,0
2017-11-28,17:00:00,6.834,6.834,6.834,6.834,300,0
2017-11-28,19:00:00,6.8698,6.881,6.8,6.8,800,0
2017-11-28,20:00:00,6.8265,6.8745,6.8,6.8,2533,0
2017-11-28,22:00:00,6.7079,6.79,6.7079,6.79,900,0
2017-11-29,16:00:00,6.82,7,6.82,7,776,0
2017-11-29,17:00:00,7.05,7.05,6.9663,7,700,0
2017-11-29,18:00:00,7,7.045,6.9655,6.97,1700,0
2017-11-29,19:00:00,6.91,6.995,6.7,6.88,7181,0
2017-11-29,20:00:00,6.83,6.83,6.83,6.83,100,0
2017-11-29,21:00:00,6.83,6.85,6.7231,6.7231,450,0
2017-11-29,22:00:00,6.73,6.85,6.54,6.78,12931,0
2017-11-30,16:00:00,6.67,6.9,6.67,6.9,250,0
2017-11-30,20:00:00,6.71,6.7435,6.7,6.7335,1000,0
2017-11-30,21:00:00,6.73,6.73,6.73,6.73,100,0
2017-11-30,22:00:00,6.7,6.75,6.64,6.75,800,0
2017-12-01,16:00:00,6.4,6.4128,6.4,6.4128,524,0
2017-12-01,17:00:00,6.51,6.9,6.5,6.705,6500,0
2017-12-01,18:00:00,6.725,6.725,6.725,6.725,100,0
2017-12-01,19:00:00,6.633,6.633,6.6,6.6,3400,0
2017-12-01,20:00:00,6.79,6.79,6.79,6.79,100,0
2017-12-01,21:00:00,6.77,6.79,6.72,6.79,300,0
2017-12-01,22:00:00,6.76,6.79,6.76,6.79,2300,0
2017-12-04,16:00:00,6.79,6.79,6.51,6.625,8857,0
2017-12-04,17:00:00,6.65,6.69,6.6298,6.66,1150,0
2017-12-04,18:00:00,6.645,6.68,6.645,6.68,200,0
2017-12-04,19:00:00,6.67,6.68,6.67,6.68,200,0
2017-12-04,20:00:00,6.68,6.68,6.4,6.42,6790,0
