Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-17,22:00:00,25.69,25.69,25.65,25.65,1130,0
2017-05-19,17:00:00,25.85,25.85,25.85,25.85,200,0
2017-05-22,18:00:00,25.95,25.95,25.95,25.95,300,0
2017-05-22,20:00:00,25.95,25.95,25.95,25.95,100,0
2017-05-23,19:00:00,25.7,25.7,25.69,25.69,200,0
2017-05-23,21:00:00,25.9,25.9,25.9,25.9,100,0
2017-05-24,16:00:00,25.9,25.9,25.9,25.9,100,0
2017-05-24,17:00:00,25.66,25.66,25.5,25.5,2798,0
2017-05-25,16:00:00,25.65,25.65,25.65,25.65,400,0
2017-05-25,22:00:00,25.67,26.15,25.65,25.67,2251,0
2017-05-31,22:00:00,25.75,25.75,25.75,25.75,302,0
2017-06-01,22:00:00,25.8,25.8,25.8,25.8,100,0
2017-06-02,18:00:00,25.74,26,25.74,26,400,0
2017-06-02,19:00:00,26.05,26.05,26.05,26.05,102,0
2017-06-02,20:00:00,26,26,26,26,15000,0
2017-06-08,16:00:00,25.77,25.77,25.77,25.77,700,0
2017-06-14,17:00:00,25.78,25.78,25.78,25.78,185,0
2017-06-16,22:00:00,25.9087,25.9686,25.83,25.9686,1200,0
2017-06-19,21:00:00,25.8,25.8,25.8,25.8,600,0
2017-06-19,22:00:00,25.81,25.81,25.8,25.8,1600,0
2017-06-26,16:00:00,25.85,25.85,25.85,25.85,100,0
2017-06-29,17:00:00,25.83,25.86,25.56,25.56,14058,0
2017-06-29,18:00:00,25.5,25.5,25.5,25.5,1873,0
2017-06-29,19:00:00,25.52,25.57,25.5119,25.57,4120,0
2017-06-29,20:00:00,25.5311,25.6,25.531,25.5931,3050,0
2017-06-29,22:00:00,25.55,25.55,25.51,25.51,750,0
2017-06-30,16:00:00,25.55,25.55,25.55,25.55,2146,0
2017-06-30,17:00:00,25.46,25.57,25.46,25.5637,27847,0
2017-06-30,18:00:00,25.81,25.85,25.81,25.85,1500,0
2017-06-30,19:00:00,25.843,25.843,25.843,25.843,100,0
2017-06-30,20:00:00,25.83,25.83,25.83,25.83,900,0
2017-06-30,21:00:00,25.75,25.75,25.75,25.75,300,0
2017-07-06,21:00:00,26,26,26,26,271,0
2017-07-07,19:00:00,26.38,26.38,26.38,26.38,105,0
2017-07-07,21:00:00,26.88,26.88,25.98,26.84,1263,0
2017-07-07,22:00:00,26.84,26.87,26.55,26.59,1716,0
2017-07-10,17:00:00,26,26,26,26,1600,0
2017-07-10,22:00:00,26.0049,26.0049,26,26,2250,0
2017-07-13,22:00:00,25.77,25.77,25.76,25.76,500,0
2017-07-18,18:00:00,25.8087,25.8087,25.77,25.77,746,0
2017-07-20,18:00:00,25.79,25.79,25.78,25.78,500,0
2017-07-20,22:00:00,25.8,25.8,25.78,25.78,900,0
2017-07-24,20:00:00,26,26,26,26,500,0
2017-07-24,22:00:00,26.13,26.13,26.13,26.13,200,0
2017-07-25,22:00:00,25.79,25.79,25.755,25.7592,800,0
2017-07-26,22:00:00,25.8865,25.8865,25.8865,25.8865,1000,0
2017-07-28,22:00:00,25.91,25.91,25.91,25.91,100,0
2017-07-31,17:00:00,26,26,26,26,300,0
2017-07-31,19:00:00,26,26,26,26,700,0
2017-07-31,20:00:00,25.99,26,25.99,26,1000,0
2017-07-31,22:00:00,26,26,26,26,350,0
2017-08-01,19:00:00,26,26.0187,26,26.0187,900,0
2017-08-01,22:00:00,26,26,26,26,650,0
2017-08-02,19:00:00,26.01,26.01,26.01,26.01,800,0
2017-08-02,21:00:00,26.01,26.01,26,26,1130,0
2017-08-02,22:00:00,25.9025,25.9025,25.9025,25.9025,105,0
2017-08-10,19:00:00,25.77,25.78,25.77,25.78,400,0
2017-08-15,19:00:00,25.78,25.98,25.76,25.98,2400,0
2017-08-17,21:00:00,25.78,25.78,25.75,25.75,900,0
2017-08-17,22:00:00,25.75,25.75,25.75,25.75,976,0
2017-08-22,17:00:00,25.799,25.799,25.799,25.799,600,0
2017-08-22,19:00:00,25.75,25.75,25.5,25.5,6365,0
2017-08-22,20:00:00,25.5,25.61,25.495,25.61,11465,0
2017-08-22,21:00:00,25.66,25.66,25.61,25.61,841,0
2017-08-22,22:00:00,25.68,25.8,25.67,25.78,943,0
2017-08-23,17:00:00,25.78,25.78,25.78,25.78,200,0
2017-08-23,19:00:00,25.8,25.8,25.8,25.8,400,0
2017-08-24,21:00:00,25.72,25.72,25.6425,25.7082,880,0
2017-08-25,16:00:00,25.61,25.61,25.61,25.61,200,0
2017-08-25,20:00:00,25.7379,25.7379,25.7379,25.7379,400,0
2017-08-25,21:00:00,25.76,25.76,25.76,25.76,1450,0
2017-08-28,20:00:00,25.6313,25.6313,25.6313,25.6313,1000,0
2017-08-29,17:00:00,25.736,25.736,25.7285,25.7285,200,0
2017-08-29,20:00:00,25.7,25.7,25.7,25.7,885,0
2017-08-29,21:00:00,25.76,25.76,25.76,25.76,165,0
2017-08-29,22:00:00,26.2399,26.2399,26.2399,26.2399,600,0
2017-08-30,20:00:00,25.8,25.8001,25.8,25.8,600,0
2017-08-30,21:00:00,25.8,25.8,25.8,25.8,700,0
2017-08-31,18:00:00,25.79,25.7981,25.79,25.7981,500,0
2017-08-31,19:00:00,25.75,25.75,25.75,25.75,400,0
2017-09-01,17:00:00,25.7,25.7,25.7,25.7,300,0
2017-09-01,18:00:00,25.869,25.869,25.869,25.869,1500,0
2017-09-01,20:00:00,25.7,25.7,25.6991,25.6991,400,0
2017-09-01,21:00:00,25.673,25.673,25.673,25.673,700,0
2017-09-05,18:00:00,25.93,25.94,25.8256,25.8256,875,0
2017-09-05,19:00:00,25.78,25.78,25.78,25.78,195,0
2017-09-06,19:00:00,25.63,25.9069,25.63,25.7794,2649,0
2017-09-06,20:00:00,25.7,25.94,25.7,25.827,1972,0
2017-09-07,19:00:00,25.76,25.76,25.7592,25.7592,620,0
2017-09-11,16:00:00,25.77,25.77,25.77,25.77,100,0
2017-09-11,17:00:00,25.93,25.93,25.93,25.93,100,0
2017-09-11,21:00:00,25.93,25.93,25.93,25.93,100,0
2017-09-12,17:00:00,25.94,25.94,25.94,25.94,300,0
2017-09-12,18:00:00,26.44,26.47,26.44,26.47,200,0
2017-09-12,20:00:00,26.47,26.47,26.44,26.44,200,0
2017-09-12,21:00:00,26.44,26.47,26.44,26.44,300,0
2017-09-12,22:00:00,26.44,26.44,26.44,26.44,200,0
2017-09-13,17:00:00,26,26,25.73,25.7317,4950,0
2017-09-13,18:00:00,25.76,25.76,25.75,25.75,600,0
2017-09-13,21:00:00,25.97,25.97,25.97,25.97,200,0
2017-09-13,22:00:00,26,26,25.8762,25.8762,400,0
2017-09-14,19:00:00,25.7688,25.7688,25.71,25.7317,10250,0
2017-09-15,17:00:00,25.7,25.77,25.7,25.77,500,0
2017-09-15,20:00:00,25.78,25.85,25.78,25.85,1300,0
2017-09-15,21:00:00,25.849,25.849,25.849,25.849,300,0
2017-09-15,22:00:00,25.77,25.77,25.62,25.62,397,0
2017-09-18,16:00:00,26.05,26.05,26.05,26.05,2000,0
2017-09-19,17:00:00,26,26,26,26,900,0
2017-09-20,17:00:00,25.86,25.86,25.86,25.86,192,0
2017-09-20,18:00:00,25.8353,25.8353,25.8353,25.8353,252,0
2017-09-20,19:00:00,25.8353,25.8353,25.8353,25.8353,133,0
2017-09-20,20:00:00,25.8353,25.8355,25.8353,25.8355,267,0
2017-09-21,19:00:00,25.8714,25.8714,25.8714,25.8714,200,0
2017-09-22,22:00:00,25.99,26,25.99,26,300,0
2017-09-25,18:00:00,25.7624,25.7624,25.7624,25.7624,1000,0
