Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,52.193,52.28,51.46,51.503,9009,0
2017-09-05,17:00:00,51.46,51.46,51.116,51.158,9387,0
2017-09-05,18:00:00,51.158,51.201,50.9,51.029,11550,0
2017-09-05,19:00:00,51.029,51.029,50.382,50.382,10853,0
2017-09-05,20:00:00,50.426,50.426,50.167,50.167,9034,0
2017-09-05,21:00:00,50.167,50.339,50.124,50.167,9092,0
2017-09-05,22:00:00,50.167,50.167,49.822,49.865,70151,0
2017-09-06,16:00:00,49.909,51.068,49.564,50.248,9573,0
2017-09-06,17:00:00,50.296,50.77,50.189,50.685,22368,0
2017-09-06,18:00:00,50.727,50.985,50.685,50.835,13053,0
2017-09-06,19:00:00,50.813,51.029,50.77,50.943,9899,0
2017-09-06,20:00:00,50.943,51.46,50.9,51.158,13754,0
2017-09-06,21:00:00,51.201,51.201,50.727,50.835,19985,0
2017-09-06,22:00:00,50.813,50.985,50.554,50.554,49058,0
2017-09-07,16:00:00,50.469,50.469,49.391,49.391,3710,0
2017-09-07,17:00:00,49.348,49.65,49.219,49.585,25379,0
2017-09-07,18:00:00,49.564,49.693,49.306,49.306,29628,0
2017-09-07,19:00:00,49.306,49.348,49.047,49.134,12335,0
2017-09-07,20:00:00,49.047,49.047,48.572,48.702,19989,0
2017-09-07,21:00:00,48.702,48.745,48.508,48.508,27998,0
2017-09-07,22:00:00,48.529,48.917,48.486,48.702,79936,0
2017-09-08,16:00:00,48.4,48.572,48.4,48.572,16665,0
2017-09-08,17:00:00,48.745,49.606,48.745,49.585,70111,0
2017-09-08,18:00:00,49.606,49.909,49.564,49.843,13203,0
2017-09-08,19:00:00,49.779,50.145,49.606,50.038,18756,0
2017-09-08,20:00:00,50.081,50.167,49.995,50.167,12743,0
2017-09-08,21:00:00,50.138,50.554,50.124,50.145,26184,0
2017-09-08,22:00:00,50.167,50.167,49.521,49.65,121643,0
2017-09-11,16:00:00,50.254,51.934,50.254,51.288,17670,0
2017-09-11,17:00:00,51.288,51.891,51.288,51.869,16366,0
2017-09-11,18:00:00,51.849,51.891,51.416,51.633,10699,0
2017-09-11,19:00:00,51.59,52.021,51.503,51.762,20991,0
2017-09-11,20:00:00,51.849,51.977,51.762,51.805,11212,0
2017-09-11,21:00:00,51.805,51.891,51.675,51.805,31500,0
2017-09-11,22:00:00,51.783,51.805,51.331,51.331,68296,0
2017-09-12,16:00:00,51.288,51.891,50.943,51.158,8430,0
2017-09-12,17:00:00,51.223,51.331,50.985,51.116,17209,0
2017-09-12,18:00:00,51.244,51.503,51.072,51.503,16363,0
2017-09-12,19:00:00,51.503,51.503,51.288,51.416,12181,0
2017-09-12,20:00:00,51.416,51.568,51.374,51.503,14114,0
2017-09-12,21:00:00,51.503,51.546,51.158,51.503,14562,0
2017-09-12,22:00:00,51.546,51.546,51.244,51.244,56457,0
2017-09-13,16:00:00,51.029,51.59,50.727,50.727,3966,0
2017-09-13,17:00:00,50.835,51.374,50.835,51.288,6667,0
2017-09-13,18:00:00,51.288,51.331,51.072,51.158,6599,0
2017-09-13,19:00:00,51.201,51.633,51.116,51.59,12935,0
2017-09-13,20:00:00,51.59,51.675,51.59,51.59,11291,0
2017-09-13,21:00:00,51.633,51.805,51.416,51.805,28735,0
2017-09-13,22:00:00,51.783,52.107,51.762,52.107,52617,0
2017-09-14,16:00:00,51.849,51.977,51.718,51.827,4716,0
2017-09-14,17:00:00,51.805,52.321,51.633,52.107,44925,0
2017-09-14,18:00:00,52.064,52.236,52.064,52.236,6576,0
2017-09-14,19:00:00,52.214,52.365,52.149,52.149,12110,0
2017-09-14,20:00:00,52.193,52.236,52.064,52.149,27997,0
2017-09-14,21:00:00,52.149,52.171,52.021,52.021,14571,0
2017-09-14,22:00:00,51.999,52.064,51.805,51.849,39266,0
2017-09-15,16:00:00,51.891,52.064,51.072,52.064,57292,0
2017-09-15,17:00:00,52.021,52.149,51.869,51.934,6474,0
2017-09-15,18:00:00,51.977,52.365,51.891,52.365,4982,0
2017-09-15,19:00:00,52.408,52.667,52.365,52.667,4363,0
2017-09-15,20:00:00,52.624,52.71,52.58,52.58,4405,0
2017-09-15,21:00:00,52.667,52.753,52.58,52.667,8184,0
2017-09-15,22:00:00,52.624,52.71,52.516,52.667,104511,0
2017-09-18,16:00:00,52.883,52.883,52.408,52.408,5173,0
2017-09-18,17:00:00,52.452,52.538,52.193,52.193,9859,0
2017-09-18,18:00:00,52.193,52.321,52.149,52.28,4114,0
2017-09-18,19:00:00,52.236,52.516,52.236,52.516,3109,0
2017-09-18,20:00:00,52.538,52.602,52.495,52.595,10219,0
2017-09-18,21:00:00,52.538,52.636,52.452,52.538,12908,0
2017-09-18,22:00:00,52.538,52.538,52.149,52.321,44777,0
2017-09-19,16:00:00,52.236,52.796,52.236,52.753,4207,0
2017-09-19,17:00:00,52.774,52.774,52.667,52.667,5558,0
2017-09-19,18:00:00,52.645,52.71,52.558,52.71,3413,0
2017-09-19,19:00:00,52.624,53.055,52.624,52.925,9978,0
2017-09-19,20:00:00,52.861,53.055,52.796,52.883,3103,0
2017-09-19,21:00:00,52.796,52.925,52.71,52.753,4078,0
2017-09-19,22:00:00,52.667,52.667,52.408,52.452,23750,0
2017-09-20,16:00:00,52.452,52.589,52.365,52.365,1933,0
2017-09-20,17:00:00,52.236,52.538,52.107,52.538,5137,0
2017-09-20,18:00:00,52.667,52.667,52.538,52.624,3185,0
2017-09-20,19:00:00,52.58,52.58,52.408,52.408,7715,0
2017-09-20,20:00:00,52.408,52.495,52.408,52.408,6032,0
2017-09-20,21:00:00,52.365,52.667,52.321,52.538,13773,0
2017-09-20,22:00:00,52.538,52.624,52.064,52.149,59379,0
2017-09-21,16:00:00,52.193,53.227,52.193,52.883,15970,0
2017-09-21,17:00:00,52.839,52.969,52.58,52.667,4525,0
2017-09-21,18:00:00,52.667,52.71,52.43,52.495,6032,0
2017-09-21,19:00:00,52.58,52.58,52.149,52.236,18651,0
2017-09-21,20:00:00,52.236,52.495,52.236,52.365,23474,0
2017-09-21,21:00:00,52.452,52.538,52.365,52.365,5025,0
2017-09-21,22:00:00,52.495,52.495,52.193,52.236,29730,0
