Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-31,16:00:00,3.9,4.226,3.9,4.14,30987,0
2017-08-31,17:00:00,4.0129,4.05,3.97,4.05,10719,0
2017-08-31,18:00:00,4.09,4.76,4.09,4.35,34449,0
2017-08-31,19:00:00,4.35,4.3624,4.18,4.28,25338,0
2017-08-31,20:00:00,4.281,4.34,4.111,4.135,20154,0
2017-08-31,21:00:00,4.22,4.25,4.111,4.111,17695,0
2017-08-31,22:00:00,4.12,4.17,4.1,4.11,38359,0
2017-09-01,16:00:00,4.17,4.186,4.15,4.17,5540,0
2017-09-01,17:00:00,4.17,4.25,3.8661,3.9,26831,0
2017-09-01,18:00:00,3.94,4.12,3.94,3.9657,7143,0
2017-09-01,19:00:00,4.099,4.099,3.96,4.02,7526,0
2017-09-01,20:00:00,4.0792,4.0792,3.97,3.97,1100,0
2017-09-01,21:00:00,3.999,3.999,3.94,3.95,2850,0
2017-09-01,22:00:00,3.9999,4.09,3.95,4.09,1726,0
2017-09-05,16:00:00,4.06,4.19,4,4.19,9093,0
2017-09-05,17:00:00,4.06,4.13,4.051,4.13,3270,0
2017-09-05,18:00:00,4.1362,4.1425,4.12,4.12,2172,0
2017-09-05,19:00:00,4.11,4.11,4.083,4.109,6624,0
2017-09-05,20:00:00,4.0601,4.12,4.0601,4.1,3243,0
2017-09-05,21:00:00,4.1,4.1899,4.09,4.18,13613,0
2017-09-05,22:00:00,4.18,4.2,4.1068,4.125,2238,0
2017-09-06,17:00:00,4.1999,4.1999,4.1101,4.144,9130,0
2017-09-06,18:00:00,4.1899,4.1899,4.09,4.1899,1600,0
2017-09-06,19:00:00,4.1799,4.1899,4.1768,4.1899,1480,0
2017-09-06,20:00:00,4.1899,4.1899,4.1899,4.1899,100,0
2017-09-06,21:00:00,4.1899,4.2,4.0533,4.2,5719,0
2017-09-06,22:00:00,4.2,4.3699,4.2,4.34,23968,0
2017-09-07,16:00:00,4.41,4.41,4.1416,4.39,11105,0
2017-09-07,17:00:00,4.39,4.71,4.34,4.6944,26370,0
2017-09-07,18:00:00,4.62,4.62,4.52,4.53,9210,0
2017-09-07,19:00:00,4.55,4.65,4.55,4.621,8445,0
2017-09-07,20:00:00,4.62,4.68,4.6184,4.66,11974,0
2017-09-07,21:00:00,4.6999,4.889,4.6999,4.7301,15630,0
2017-09-07,22:00:00,4.78,4.84,4.7548,4.84,9550,0
2017-09-08,16:00:00,4.88,4.9,4.7501,4.753,14728,0
2017-09-08,17:00:00,4.7501,4.7605,4.3297,4.6,11022,0
2017-09-08,18:00:00,4.54,4.6,4.49,4.49,6337,0
2017-09-08,19:00:00,4.49,4.49,4.4,4.48,4997,0
2017-09-08,20:00:00,4.47,4.5,4.41,4.45,4903,0
2017-09-08,21:00:00,4.45,4.4599,4.4299,4.44,5009,0
2017-09-08,22:00:00,4.44,4.44,4.3599,4.3599,10940,0
2017-09-11,16:00:00,4.42,4.42,4.0525,4.1491,11436,0
2017-09-11,17:00:00,4.1112,4.15,4.1,4.1006,5304,0
2017-09-11,18:00:00,4.27,4.27,4.16,4.24,9943,0
2017-09-11,19:00:00,4.25,4.26,4.16,4.2,1000,0
2017-09-11,20:00:00,4.1701,4.2,4.15,4.2,6750,0
2017-09-11,21:00:00,4.24,4.31,4.2379,4.31,10630,0
2017-09-11,22:00:00,4.31,4.33,4.22,4.26,2475,0
2017-09-12,16:00:00,4.32,4.4304,4.32,4.4304,604,0
2017-09-12,17:00:00,4.35,4.37,4.29,4.29,300,0
2017-09-12,18:00:00,4.37,4.3799,4.29,4.29,5100,0
2017-09-12,20:00:00,4.27,4.39,4.27,4.33,4296,0
2017-09-12,21:00:00,4.3221,4.4,4.3221,4.33,3015,0
2017-09-12,22:00:00,4.29,4.42,4.27,4.28,7017,0
2017-09-13,16:00:00,4.18,4.18,4.18,4.18,100,0
2017-09-13,17:00:00,4.25,4.35,4.25,4.35,2700,0
2017-09-13,18:00:00,4.48,4.6,4.33,4.33,2100,0
2017-09-13,19:00:00,4.4,4.43,4.4,4.43,2449,0
2017-09-13,20:00:00,4.43,4.4599,4.4201,4.44,1400,0
2017-09-13,21:00:00,4.5036,4.6271,4.49,4.51,9850,0
2017-09-13,22:00:00,4.56,4.7,4.49,4.54,8540,0
2017-09-14,16:00:00,4.4501,4.46,4.45,4.45,700,0
2017-09-14,17:00:00,4.529,4.529,4.45,4.459,1650,0
2017-09-14,18:00:00,4.46,4.54,4.46,4.5,800,0
2017-09-14,19:00:00,4.6,4.63,4.46,4.63,700,0
2017-09-14,20:00:00,4.48,4.55,4.48,4.55,1600,0
2017-09-14,21:00:00,4.47,4.5499,4.47,4.51,3900,0
2017-09-14,22:00:00,4.52,4.65,4.46,4.59,18676,0
2017-09-15,16:00:00,4.54,4.54,4.41,4.41,765,0
2017-09-15,17:00:00,4.53,4.8,4.5,4.7499,5775,0
2017-09-15,18:00:00,4.7464,4.77,4.56,4.64,14261,0
2017-09-15,19:00:00,4.669,4.7845,4.6505,4.66,3500,0
2017-09-15,20:00:00,4.6148,4.731,4.6,4.68,2635,0
2017-09-15,21:00:00,4.67,4.67,4.6,4.601,525,0
2017-09-15,22:00:00,4.64,4.8,4.6264,4.8,13154,0
2017-09-18,16:00:00,4.75,4.75,4.66,4.66,1161,0
2017-09-18,17:00:00,4.7159,4.87,4.71,4.751,14709,0
2017-09-18,18:00:00,4.7547,4.7547,4.67,4.7,4408,0
2017-09-18,19:00:00,4.661,4.661,4.66,4.66,1200,0
2017-09-18,20:00:00,4.6303,4.6303,4.6303,4.6303,4000,0
2017-09-18,21:00:00,4.64,4.64,4.62,4.64,3952,0
2017-09-18,22:00:00,4.62,4.64,4.6058,4.64,7900,0
2017-09-19,16:00:00,4.4399,4.605,4.4399,4.605,3368,0
2017-09-19,17:00:00,4.62,4.7112,4.53,4.57,3003,0
2017-09-19,18:00:00,4.55,4.55,4.521,4.521,1000,0
2017-09-19,19:00:00,4.57,4.5791,4.52,4.565,3096,0
2017-09-19,20:00:00,4.57,4.57,4.52,4.52,1200,0
2017-09-19,21:00:00,4.53,4.555,4.511,4.511,1100,0
2017-09-19,22:00:00,4.535,4.57,4.51,4.54,2631,0
2017-09-20,17:00:00,4.47,4.475,4.41,4.475,5314,0
2017-09-20,18:00:00,4.46,4.64,4.46,4.64,1811,0
2017-09-20,19:00:00,4.6298,4.6298,4.6099,4.6099,700,0
2017-09-20,20:00:00,4.67,4.69,4.61,4.69,2519,0
2017-09-20,22:00:00,4.62,4.63,4.6,4.63,1000,0
2017-09-21,16:00:00,4.57,4.57,4.3942,4.3942,1100,0
2017-09-21,17:00:00,4.5107,4.61,4.5,4.59,4497,0
2017-09-21,18:00:00,4.6,4.82,4.6,4.82,7190,0
2017-09-21,19:00:00,4.862,5.12,4.8237,4.8237,4998,0
2017-09-21,20:00:00,4.87,4.87,4.75,4.8,999,0
2017-09-21,21:00:00,4.79,4.79,4.79,4.79,300,0
2017-09-21,22:00:00,4.76,4.8,4.71,4.73,4597,0
2017-09-22,17:00:00,4.9382,4.9382,4.77,4.8374,10996,0
2017-09-22,18:00:00,4.805,4.81,4.7104,4.74,815,0
2017-09-22,19:00:00,4.87,4.89,4.8,4.8,10400,0
2017-09-22,20:00:00,4.82,4.82,4.77,4.8,600,0
