Date,Time,Open,High,Low,Close,Volume,OpenInt
2018-03-16,18:00:00,5.51,5.95,5.25,5.88,119656,0
2018-03-16,19:00:00,5.88,6,5.56,6,65428,0
2018-03-16,20:00:00,5.9,6,5.75,5.76,23645,0
2018-03-16,21:00:00,5.814,5.85,5.65,5.65,40940,0
2018-03-19,15:00:00,5.65,5.85,5.55,5.84,13708,0
2018-03-19,16:00:00,5.83,6.15,5.8,5.95,22511,0
2018-03-19,17:00:00,5.94,5.94,5.8,5.8,13100,0
2018-03-19,18:00:00,5.82,5.8383,5.79,5.81,12885,0
2018-03-19,19:00:00,5.84,5.84,5.73,5.81,25289,0
2018-03-19,20:00:00,5.84,5.85,5.82,5.85,4600,0
2018-03-19,21:00:00,5.9141,6.0428,5.86,5.93,18309,0
2018-03-20,15:00:00,6.25,6.25,5.82,5.85,8756,0
2018-03-20,16:00:00,6,6.0001,5.87,5.91,18692,0
2018-03-20,17:00:00,5.91,5.91,5.65,5.65,27156,0
2018-03-20,18:00:00,5.36,5.589,5,5.3,11632,0
2018-03-20,19:00:00,5.3178,5.3178,5.3178,5.3178,1500,0
2018-03-20,20:00:00,5.36,5.36,5.11,5.2,11236,0
2018-03-20,21:00:00,5.25,5.55,5.16,5.16,6191,0
2018-03-21,15:00:00,5.13,5.65,5.09,5.5,16009,0
2018-03-21,16:00:00,5.2101,5.3,5.2101,5.3,2350,0
2018-03-21,17:00:00,5.38,5.78,5.38,5.62,23584,0
2018-03-21,18:00:00,5.63,5.7499,5.62,5.65,24264,0
2018-03-21,19:00:00,5.65,5.74,5.6,5.74,12537,0
2018-03-21,20:00:00,5.74,5.74,5.74,5.74,475,0
2018-03-21,21:00:00,5.68,5.69,5.61,5.65,6164,0
2018-03-22,15:00:00,5.74,5.7628,5.65,5.71,16359,0
2018-03-22,16:00:00,5.7,5.9816,5.67,5.91,19800,0
2018-03-22,17:00:00,5.975,5.975,5.92,5.9572,11473,0
2018-03-22,18:00:00,5.93,5.94,5.92,5.94,22100,0
2018-03-22,19:00:00,5.95,5.99,5.95,5.9899,5430,0
2018-03-22,20:00:00,5.99,5.99,5.9634,5.9634,4400,0
2018-03-22,21:00:00,5.969,5.989,5.95,5.989,3550,0
2018-03-23,15:00:00,5.95,5.95,5.7601,5.9068,7062,0
2018-03-23,16:00:00,5.9,6,5.85,5.99,13300,0
2018-03-23,17:00:00,5.88,5.9899,5.45,5.93,31219,0
2018-03-23,18:00:00,5.92,5.9899,5.92,5.9799,22300,0
2018-03-23,19:00:00,5.91,5.91,5.77,5.771,3000,0
2018-03-23,20:00:00,5.8899,5.9799,5.8899,5.92,9800,0
2018-03-23,21:00:00,5.9799,5.9799,5.87,5.9799,2800,0
2018-03-26,16:00:00,6,6,5.4901,5.4901,13779,0
2018-03-26,17:00:00,5.6,5.8385,5.5028,5.77,25139,0
2018-03-26,18:00:00,5.7301,5.7301,5.72,5.72,1400,0
2018-03-26,19:00:00,5.72,5.72,5.66,5.66,500,0
2018-03-26,20:00:00,5.66,5.79,5.65,5.68,16700,0
2018-03-26,21:00:00,5.75,5.75,5.68,5.68,500,0
2018-03-26,22:00:00,5.8,5.8005,5.68,5.68,9350,0
2018-03-27,16:00:00,5.6,5.94,5.6,5.92,13997,0
2018-03-27,17:00:00,5.62,5.91,5.5999,5.76,9299,0
2018-03-27,18:00:00,5.7679,5.77,5.61,5.68,11937,0
2018-03-27,19:00:00,5.73,6.08,5.68,5.76,54800,0
2018-03-27,20:00:00,5.9,5.9,5.78,5.9,3565,0
2018-03-27,21:00:00,5.78,5.85,5.78,5.85,400,0
2018-03-27,22:00:00,5.78,5.85,5.78,5.8,14200,0
2018-03-28,16:00:00,5.8,5.85,5.8,5.85,6028,0
2018-03-28,17:00:00,5.691,5.93,5.63,5.7,22722,0
2018-03-28,18:00:00,5.9,6,5.8,5.86,44400,0
2018-03-28,19:00:00,5.91,5.91,5.868,5.868,300,0
2018-03-28,20:00:00,5.8575,5.8575,5.8,5.8,1900,0
2018-03-28,21:00:00,5.845,5.9,5.7934,5.801,3800,0
2018-03-28,22:00:00,5.8,5.9,5.75,5.89,2903,0
2018-03-29,16:00:00,5.85,5.98,5.83,5.87,21220,0
2018-03-29,17:00:00,5.88,5.9899,5.86,5.9899,15050,0
2018-03-29,18:00:00,5.97,5.9999,5.91,5.91,22459,0
2018-03-29,19:00:00,5.95,5.9999,5.86,5.9599,18811,0
2018-03-29,20:00:00,5.9599,5.9599,5.85,5.9499,7050,0
2018-03-29,21:00:00,5.9499,5.9499,5.89,5.8948,1100,0
2018-03-29,22:00:00,5.86,5.9599,5.86,5.9499,9525,0
