Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-06,16:00:00,40.61,40.95,40.19,40.52,439570,0
2017-09-06,17:00:00,40.5,40.83,40.06,40.66,451647,0
2017-09-06,18:00:00,40.66,40.81,40.34,40.73,200155,0
2017-09-06,19:00:00,40.7499,41.59,40.7499,41.479,410742,0
2017-09-06,20:00:00,41.49,41.76,41.38,41.44,231932,0
2017-09-06,21:00:00,41.43,41.5668,41.23,41.265,124864,0
2017-09-06,22:00:00,41.26,41.73,41.21,41.58,488088,0
2017-09-07,16:00:00,42.44,42.99,41.88,42.8699,622081,0
2017-09-07,17:00:00,42.885,43.46,42.66,43.35,675677,0
2017-09-07,18:00:00,43.3,43.5,43.06,43.36,332132,0
2017-09-07,19:00:00,43.37,43.44,43.1,43.43,201190,0
2017-09-07,20:00:00,43.43,43.6,43.3,43.44,202189,0
2017-09-07,21:00:00,43.4372,43.5,42.85,42.94,200073,0
2017-09-07,22:00:00,42.9101,42.95,42.7,42.94,342903,0
2017-09-08,16:00:00,43.12,43.12,42.12,42.23,275615,0
2017-09-08,17:00:00,42.27,42.4,41.9,42.2756,357730,0
2017-09-08,18:00:00,42.28,42.95,42.25,42.3182,158797,0
2017-09-08,19:00:00,42.28,42.41,42.24,42.271,82615,0
2017-09-08,20:00:00,42.27,42.6,42.17,42.5,117967,0
2017-09-08,21:00:00,42.485,43,42.38,42.61,459580,0
2017-09-08,22:00:00,42.61,43.46,42.6,43.44,635766,0
2017-09-11,16:00:00,43.65,44.37,43.521,43.88,224100,0
2017-09-11,17:00:00,43.93,44.46,43.75,43.775,313750,0
2017-09-11,18:00:00,43.76,44.19,43.68,44.05,150636,0
2017-09-11,19:00:00,44.05,44.09,43.85,43.86,69205,0
2017-09-11,20:00:00,43.88,44.23,43.87,44.1496,111783,0
2017-09-11,21:00:00,44.155,44.44,44.08,44.31,182770,0
2017-09-11,22:00:00,44.27,44.61,44.08,44.59,497276,0
2017-09-12,16:00:00,44.77,45.7,44.66,45.54,268062,0
2017-09-12,17:00:00,45.55,45.87,45.2701,45.75,226004,0
2017-09-12,18:00:00,45.74,46.5,45.73,46.445,326259,0
2017-09-12,19:00:00,46.45,46.94,46.44,46.94,150078,0
2017-09-12,20:00:00,46.92,47,46.41,46.41,206193,0
2017-09-12,21:00:00,46.44,46.7225,46.023,46.35,184876,0
2017-09-12,22:00:00,46.38,46.4,45.91,46.33,339720,0
2017-09-13,16:00:00,46.32,47.03,45.841,47.005,155964,0
2017-09-13,17:00:00,47.02,47.3,46.6,46.6895,252387,0
2017-09-13,18:00:00,46.7272,46.9077,46.295,46.35,315367,0
2017-09-13,19:00:00,46.36,46.66,46.33,46.38,93512,0
