Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-06,16:00:00,85.5,86.175,85.45,86.175,8851,0
2017-09-06,17:00:00,86.2,86.65,86.15,86.6,14337,0
2017-09-06,18:00:00,86.6,87.2,86.5,86.85,12396,0
2017-09-06,19:00:00,87.05,87.15,86.6,86.7,6090,0
2017-09-06,20:00:00,86.68,87.35,86.65,87.25,10361,0
2017-09-06,21:00:00,87.15,87.45,86.55,86.85,10497,0
2017-09-06,22:00:00,86.8,87.05,86.65,87,54195,0
2017-09-07,16:00:00,87.15,87.725,85.9,86,10501,0
2017-09-07,17:00:00,86.001,86.95,85.95,86.75,14262,0
2017-09-07,18:00:00,86.85,86.95,86.25,86.6,13538,0
2017-09-07,19:00:00,86.5,86.65,86.15,86.55,4760,0
2017-09-07,20:00:00,86.6,86.6,86.1378,86.15,6650,0
2017-09-07,21:00:00,86.2,86.75,86.2,86.5,6604,0
2017-09-07,22:00:00,86.5,86.7,86.45,86.55,21125,0
2017-09-08,16:00:00,86.55,86.85,85.375,86.8,3064,0
2017-09-08,17:00:00,87.1,88.05,87.1,88.05,3095,0
2017-09-08,18:00:00,87.9667,88.65,87.9667,88.55,6256,0
2017-09-08,19:00:00,88.55,88.575,88.15,88.575,2950,0
2017-09-08,20:00:00,88.6,89.05,88.6,89.05,3131,0
2017-09-08,21:00:00,89.05,89.1499,88.85,88.9,4378,0
2017-09-08,22:00:00,88.85,89.1,88.4,88.4,18988,0
2017-09-11,16:00:00,89.35,89.35,88,88.35,7263,0
2017-09-11,17:00:00,88.4,88.6,88.15,88.6,5984,0
2017-09-11,18:00:00,88.5,89.325,88.5,89.175,5238,0
2017-09-11,19:00:00,89.225,89.4,89.1,89.325,7925,0
2017-09-11,20:00:00,89.325,89.75,88.95,89.1,19190,0
2017-09-11,21:00:00,89.05,89.6,88.75,89.55,17057,0
2017-09-11,22:00:00,89.6,89.85,89.25,89.3,25033,0
2017-09-12,16:00:00,89.95,89.95,89.2,89.6,2999,0
2017-09-12,17:00:00,89.6,89.85,89.4,89.6,8307,0
2017-09-12,18:00:00,89.55,89.6,89.2,89.5,7501,0
2017-09-12,19:00:00,89.5,90.1,89.35,89.7,3386,0
2017-09-12,20:00:00,89.8,90.05,89.8,90,1500,0
2017-09-12,21:00:00,89.8,90.1,89.7,90.1,2485,0
2017-09-12,22:00:00,90.2,90.35,89.85,89.85,14942,0
2017-09-13,16:00:00,89.5,89.65,89.25,89.625,2277,0
2017-09-13,17:00:00,89.7,89.95,89.45,89.5,9943,0
2017-09-13,18:00:00,89.525,89.525,89.275,89.4,7503,0
2017-09-13,19:00:00,89.35,89.75,89.325,89.7259,3614,0
2017-09-13,20:00:00,89.65,89.85,89,89.3,6215,0
2017-09-13,21:00:00,89.25,89.25,88.95,89,4627,0
2017-09-13,22:00:00,88.9,88.95,88.55,88.7,19536,0
2017-09-14,16:00:00,88.9,89.1,88.7375,88.7375,2587,0
2017-09-14,17:00:00,88.85,88.85,88.3,88.5,5450,0
2017-09-14,18:00:00,88.55,88.85,88.465,88.85,3800,0
2017-09-14,19:00:00,88.9,89.1,88.76,88.9,2600,0
2017-09-14,20:00:00,89,89.0026,88.75,88.9,2136,0
2017-09-14,21:00:00,88.925,89.4,88.925,89.4,6400,0
2017-09-14,22:00:00,89.4,89.4,89.22,89.3,20726,0
2017-09-15,16:00:00,89.4,89.6,88.7,89.45,26279,0
2017-09-15,17:00:00,89.6,90.15,89.6,90.05,14229,0
2017-09-15,18:00:00,89.975,90.075,89.85,89.975,8015,0
2017-09-15,19:00:00,90,90.05,89.7,89.7,3200,0
2017-09-15,20:00:00,89.8,89.9,89.55,89.55,3228,0
2017-09-15,21:00:00,89.55,89.8,89.3,89.4,4098,0
2017-09-15,22:00:00,89.3,89.9,89.3,89.7,77356,0
2017-09-18,16:00:00,89.85,90.35,89.85,90.1,1102,0
2017-09-18,17:00:00,90.1,90.2,89.85,90.15,12624,0
2017-09-18,18:00:00,90.05,90.2,89.85,90.1,12280,0
2017-09-18,19:00:00,90,90.15,89.9,89.9,3858,0
2017-09-18,20:00:00,89.95,90.1,89.8,89.9,12553,0
2017-09-18,21:00:00,90,90.2,89.9,90.1,7109,0
2017-09-18,22:00:00,90.1,90.1499,89.45,89.7,35445,0
