Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-23,16:00:00,3.6,3.72,3.55,3.72,8515,0
2017-08-23,17:00:00,3.67,3.75,3.625,3.75,2900,0
2017-08-23,18:00:00,3.72,3.7744,3.72,3.75,15200,0
2017-08-23,19:00:00,3.75,3.75,3.72,3.74,1700,0
2017-08-23,20:00:00,3.75,3.92,3.74,3.89,344126,0
2017-08-23,21:00:00,3.93,4.1669,3.93,4.1669,28601,0
2017-08-23,22:00:00,4.14,4.205,4.0963,4.12,41055,0
2017-08-24,17:00:00,4.2,4.2136,4.15,4.18,5688,0
2017-08-24,18:00:00,4.16,4.16,4.08,4.12,2000,0
2017-08-24,19:00:00,4.12,4.12,4.0186,4.0186,4800,0
2017-08-24,20:00:00,4,4.03,3.98,4,6850,0
2017-08-24,21:00:00,4,4,3.85,3.9,16149,0
2017-08-24,22:00:00,3.9,3.94,3.81,3.93,23744,0
2017-08-25,16:00:00,3.95,3.95,3.9442,3.9442,400,0
2017-08-25,17:00:00,3.94,3.95,3.94,3.95,1100,0
2017-08-25,18:00:00,3.93,3.93,3.81,3.82,13900,0
2017-08-25,19:00:00,3.835,3.94,3.83,3.87,6600,0
2017-08-25,20:00:00,3.9,3.9,3.79,3.83,5315,0
2017-08-25,21:00:00,3.84,3.89,3.84,3.885,7364,0
2017-08-25,22:00:00,3.93,3.93,3.89,3.89,4900,0
2017-08-28,16:00:00,4.02,4.02,4.02,4.02,100,0
2017-08-28,17:00:00,3.96,4.015,3.93,3.93,2500,0
2017-08-28,18:00:00,3.9183,3.95,3.9183,3.95,1445,0
2017-08-28,19:00:00,3.95,4,3.95,3.99,900,0
2017-08-28,20:00:00,3.99,4.16,3.99,4.1401,13051,0
2017-08-28,21:00:00,4.16,4.25,4.15,4.25,17100,0
2017-08-28,22:00:00,4.25,4.25,4.13,4.13,13435,0
2017-08-29,16:00:00,4.16,4.2,4.16,4.2,1530,0
2017-08-29,17:00:00,4.2,4.24,4.17,4.2,34200,0
2017-08-29,18:00:00,4.2107,4.2107,4.2107,4.2107,200,0
2017-08-29,20:00:00,4.2,4.2,4.2,4.2,100,0
2017-08-29,21:00:00,4.2331,4.25,4.225,4.25,2700,0
2017-08-29,22:00:00,4.24,4.31,4.23,4.31,6022,0
2017-08-30,16:00:00,4.27,4.27,4.27,4.27,140,0
2017-08-30,17:00:00,4.29,4.51,4.1856,4.5,4177,0
2017-08-30,18:00:00,4.1673,4.35,4.1172,4.3199,2745,0
2017-08-30,19:00:00,4.1118,4.29,4.1118,4.13,849,0
2017-08-30,20:00:00,4.135,4.135,4.135,4.135,100,0
2017-08-30,21:00:00,4.26,4.33,4.2201,4.2201,900,0
2017-08-30,22:00:00,4.27,4.29,4.26,4.29,800,0
2017-08-31,16:00:00,4.27,4.27,4.13,4.13,6524,0
2017-08-31,17:00:00,4.13,4.17,4.0037,4.14,11200,0
2017-08-31,18:00:00,4.15,4.1768,4.1039,4.16,6800,0
2017-08-31,19:00:00,4.15,4.15,4.1052,4.15,6500,0
2017-08-31,20:00:00,4.1111,4.12,4.11,4.11,500,0
2017-08-31,21:00:00,4.11,4.15,4.09,4.15,3727,0
2017-08-31,22:00:00,4.15,4.15,4.14,4.14,3691,0
2017-09-01,16:00:00,4.16,4.16,3.95,3.9706,6400,0
2017-09-01,17:00:00,3.96,4.2,3.95,4.153,2300,0
2017-09-01,19:00:00,4.142,4.24,4.142,4.24,1100,0
2017-09-01,20:00:00,4.25,4.33,4.22,4.31,23550,0
2017-09-01,21:00:00,4.3403,4.3403,4.13,4.13,22000,0
2017-09-01,22:00:00,4.26,4.3,4.21,4.26,13278,0
2017-09-05,16:00:00,4.26,4.409,4.26,4.409,613,0
2017-09-05,17:00:00,4.35,4.4,4.29,4.29,600,0
2017-09-05,19:00:00,4.2,4.29,4.04,4.24,56730,0
