Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,42.9,43.15,42.65,43.05,17841,0
2017-09-05,17:00:00,43.05,43.15,42.89,43.05,37342,0
2017-09-05,18:00:00,43,43.25,42.775,42.8,33162,0
2017-09-05,19:00:00,42.9,42.9,42.34,42.405,22946,0
2017-09-05,20:00:00,42.45,42.45,42.25,42.4,7410,0
2017-09-05,21:00:00,42.45,42.95,42.45,42.95,8880,0
2017-09-05,22:00:00,42.95,43.2,42.925,43.05,30050,0
2017-09-06,16:00:00,43,43.55,42.775,43.3,38575,0
2017-09-06,17:00:00,43.3,43.5,43.1,43.25,16609,0
2017-09-06,18:00:00,43.225,43.4,43.15,43.35,18355,0
2017-09-06,19:00:00,43.3,43.495,43.25,43.45,7702,0
2017-09-06,20:00:00,43.475,43.85,43.4,43.5,12227,0
2017-09-06,21:00:00,43.45,43.5,43.35,43.5,17721,0
2017-09-06,22:00:00,43.5,43.7,43.4,43.55,43890,0
2017-09-07,16:00:00,43.15,43.8,43,43.4,26201,0
2017-09-07,17:00:00,43.4,44.05,43.25,44.05,24779,0
2017-09-07,18:00:00,43.9,44.05,43.7431,44.05,11853,0
2017-09-07,19:00:00,44,44.1,43.9,44,17678,0
2017-09-07,20:00:00,44.05,44.15,43.975,44.1,13819,0
2017-09-07,21:00:00,44.15,44.3,44.075,44.2,20761,0
2017-09-07,22:00:00,44.2,44.75,44.2,44.7,42236,0
2017-09-08,16:00:00,44.5,44.85,44.45,44.65,27228,0
2017-09-08,17:00:00,44.6,44.75,44.51,44.75,17664,0
2017-09-08,18:00:00,44.75,44.95,44.6108,44.75,21202,0
2017-09-08,19:00:00,44.7488,45.6,44.7,45.45,36297,0
2017-09-08,20:00:00,45.5,45.55,44.95,45.025,16850,0
2017-09-08,21:00:00,45.05,45.05,44.2,44.25,21237,0
2017-09-08,22:00:00,44.15,44.25,43.85,43.95,33338,0
2017-09-11,16:00:00,44.6,45.47,44.6,45.05,24756,0
2017-09-11,17:00:00,44.875,45,44.45,44.8,14649,0
2017-09-11,18:00:00,44.85,45.2,44.725,45.15,22127,0
2017-09-11,19:00:00,45.1497,45.35,44.8,45.1,20882,0
2017-09-11,20:00:00,45.15,45.5,45.05,45.4,16598,0
2017-09-11,21:00:00,45.35,45.65,45.3,45.566,25414,0
2017-09-11,22:00:00,45.55,45.65,45.2,45.35,33075,0
2017-09-12,16:00:00,45.55,46,45.25,45.4297,18735,0
2017-09-12,17:00:00,45.425,45.65,45.05,45.15,15994,0
2017-09-12,18:00:00,45.15,45.3,44.95,45,18402,0
2017-09-12,19:00:00,45,45.1,44.9,45,9812,0
2017-09-12,20:00:00,44.95,45.35,44.95,45.2213,17807,0
2017-09-12,21:00:00,45.25,45.4,45.1,45.1,27319,0
2017-09-12,22:00:00,45.05,45.15,44.8,45.1,20870,0
2017-09-13,16:00:00,45.1,45.29,44.15,44.55,10908,0
2017-09-13,17:00:00,44.545,45.05,44.45,44.55,13408,0
2017-09-13,18:00:00,44.53,44.7544,44.53,44.6,12204,0
2017-09-13,19:00:00,44.6,44.7,44.55,44.55,2980,0
2017-09-13,20:00:00,44.45,44.6,44.2,44.45,8402,0
2017-09-13,21:00:00,44.46,44.5,44.25,44.4,8994,0
2017-09-13,22:00:00,44.35,44.5,44.25,44.5,24640,0
2017-09-14,16:00:00,44.45,44.5,44.06,44.3,10720,0
2017-09-14,17:00:00,44.35,44.75,44.35,44.74,8239,0
2017-09-14,18:00:00,44.725,44.8,44.65,44.74,3811,0
2017-09-14,19:00:00,44.75,44.75,44.6,44.7,5555,0
2017-09-14,20:00:00,44.7,44.7,44.6,44.65,10029,0
2017-09-14,21:00:00,44.6,44.7,44.1,44.2,25471,0
2017-09-14,22:00:00,44.25,44.4,44.1,44.3,29523,0
2017-09-15,16:00:00,44.3,44.4,43.89,44,16490,0
2017-09-15,17:00:00,43.9,44.14,43.9,43.95,6774,0
2017-09-15,18:00:00,44.15,44.1526,44,44,3584,0
2017-09-15,19:00:00,44.05,44.15,44,44,4449,0
2017-09-15,20:00:00,44,44.15,43.95,44.01,4786,0
2017-09-15,21:00:00,44,44.15,44,44.05,4067,0
2017-09-15,22:00:00,44,45.1,43.95,44.7,255780,0
2017-09-18,16:00:00,44.75,45.1253,44.6,44.7,8197,0
2017-09-18,17:00:00,44.6,45.1,44.3,44.45,16724,0
2017-09-18,18:00:00,44.35,44.8,44.35,44.7,11932,0
2017-09-18,19:00:00,44.65,45,44.65,44.925,13780,0
2017-09-18,20:00:00,44.9,44.95,44.7,44.8,12024,0
2017-09-18,21:00:00,44.85,44.95,44.65,44.725,9423,0
2017-09-18,22:00:00,44.75,44.9,44.7,44.9,23977,0
2017-09-19,16:00:00,44.9,45.275,44.75,44.95,8402,0
2017-09-19,17:00:00,44.9,45,44.75,44.925,7162,0
2017-09-19,18:00:00,44.85,45,44.8,44.85,9626,0
2017-09-19,19:00:00,44.95,45.15,44.85,44.9,13413,0
2017-09-19,20:00:00,44.95,45.15,44.85,45.075,13311,0
2017-09-19,21:00:00,45.1,45.1,44.95,45.05,12918,0
2017-09-19,22:00:00,45.025,45.05,44.9,45,47059,0
2017-09-20,16:00:00,45.05,45.25,44.35,45.25,15371,0
2017-09-20,17:00:00,45.2,45.65,45.1771,45.4,12174,0
2017-09-20,18:00:00,45.4,45.4,45,45.15,10725,0
2017-09-20,19:00:00,45.1,45.3,45.1,45.25,5200,0
2017-09-20,20:00:00,45.261,45.2626,44.95,45.15,6301,0
2017-09-20,21:00:00,45.15,45.2,44.75,45.1,13739,0
2017-09-20,22:00:00,45.05,45.6,45.05,45.4,36180,0
2017-09-21,16:00:00,45.45,45.54,45.14,45.23,3812,0
2017-09-21,17:00:00,45.4,45.7,45.3,45.7,9050,0
2017-09-21,18:00:00,45.7,46,45.5,46,9124,0
2017-09-21,19:00:00,45.95,46.45,45.9,46.3,15718,0
2017-09-21,20:00:00,46.4,46.45,46.05,46.25,8349,0
2017-09-21,21:00:00,46.225,46.35,46.05,46.2,10394,0
2017-09-21,22:00:00,46.155,46.25,45.875,46.05,24092,0
2017-09-22,16:00:00,46.05,46.15,45.65,45.9,18336,0
2017-09-22,17:00:00,45.9,46,45.7,45.85,8978,0
2017-09-22,18:00:00,45.85,46,45.7,45.8,11958,0
2017-09-22,19:00:00,45.8,46.1,45.8,46.05,16549,0
