Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-06,16:00:00,1.45,1.45,1.4125,1.4151,12385,0
2017-09-06,17:00:00,1.4199,1.438,1.4125,1.418,14850,0
2017-09-06,18:00:00,1.4101,1.42,1.41,1.41,5397,0
2017-09-06,19:00:00,1.42,1.45,1.41,1.42,8300,0
2017-09-06,20:00:00,1.42,1.43,1.41,1.43,19352,0
2017-09-06,21:00:00,1.425,1.43,1.3936,1.4,34726,0
2017-09-06,22:00:00,1.415,1.43,1.38,1.42,124097,0
2017-09-07,16:00:00,1.48,1.56,1.46,1.49,144733,0
2017-09-07,17:00:00,1.5,1.55,1.48,1.5063,185598,0
2017-09-07,18:00:00,1.5,1.5099,1.5,1.505,23838,0
2017-09-07,19:00:00,1.505,1.51,1.5,1.5,37381,0
2017-09-07,20:00:00,1.5001,1.5178,1.49,1.4977,66376,0
2017-09-07,21:00:00,1.4923,1.5,1.47,1.471,33183,0
2017-09-07,22:00:00,1.47,1.5,1.45,1.45,64473,0
2017-09-08,16:00:00,1.51,1.51,1.48,1.4823,12478,0
2017-09-08,17:00:00,1.4725,1.4725,1.42,1.435,34250,0
2017-09-08,18:00:00,1.4395,1.5,1.435,1.47,21551,0
2017-09-08,19:00:00,1.49,1.51,1.4632,1.4998,32148,0
2017-09-08,20:00:00,1.4985,1.5,1.4885,1.5,29631,0
2017-09-08,21:00:00,1.492,1.5,1.4736,1.5,16506,0
2017-09-08,22:00:00,1.5,1.51,1.4911,1.5,133549,0
2017-09-11,16:00:00,1.55,1.55,1.49,1.53,21115,0
2017-09-11,17:00:00,1.5224,1.55,1.5,1.55,31266,0
2017-09-11,18:00:00,1.5443,1.57,1.53,1.55,68056,0
2017-09-11,19:00:00,1.545,1.58,1.5356,1.5601,218353,0
2017-09-11,20:00:00,1.56,1.65,1.5487,1.65,249658,0
2017-09-11,21:00:00,1.64,1.66,1.63,1.63,101421,0
2017-09-11,22:00:00,1.63,1.66,1.61,1.63,140455,0
2017-09-12,16:00:00,1.7,1.75,1.64,1.651,546807,0
2017-09-12,17:00:00,1.6699,1.7,1.66,1.68,76449,0
2017-09-12,18:00:00,1.68,1.68,1.5539,1.6068,223470,0
2017-09-12,19:00:00,1.605,1.605,1.55,1.58,88727,0
2017-09-12,20:00:00,1.5795,1.5795,1.48,1.4975,157750,0
2017-09-12,21:00:00,1.4999,1.5,1.44,1.45,137992,0
2017-09-12,22:00:00,1.45,1.52,1.43,1.44,206609,0
2017-09-13,16:00:00,1.49,1.55,1.441,1.5426,121490,0
2017-09-13,17:00:00,1.5499,1.55,1.5,1.5263,69249,0
2017-09-13,18:00:00,1.5122,1.53,1.501,1.53,35154,0
2017-09-13,19:00:00,1.52,1.53,1.505,1.505,18298,0
2017-09-13,20:00:00,1.51,1.51,1.46,1.46,262404,0
2017-09-13,21:00:00,1.4791,1.4791,1.46,1.4662,20141,0
2017-09-13,22:00:00,1.4796,1.5,1.4704,1.5,18013,0
2017-09-14,16:00:00,1.47,1.52,1.47,1.4801,18614,0
2017-09-14,17:00:00,1.4861,1.49,1.4801,1.4874,10805,0
2017-09-14,18:00:00,1.489,1.5,1.47,1.5,32750,0
2017-09-14,19:00:00,1.5,1.5,1.49,1.493,3400,0
2017-09-14,20:00:00,1.495,1.5,1.49,1.5,13889,0
2017-09-14,21:00:00,1.5,1.51,1.5,1.5,7320,0
2017-09-14,22:00:00,1.5,1.54,1.4906,1.54,38634,0
2017-09-15,16:00:00,1.54,1.55,1.5001,1.5425,72484,0
2017-09-15,17:00:00,1.5401,1.59,1.54,1.59,30852,0
2017-09-15,18:00:00,1.59,1.59,1.54,1.58,88871,0
2017-09-15,19:00:00,1.5746,1.59,1.57,1.5779,22500,0
2017-09-15,20:00:00,1.58,1.6,1.57,1.57,64034,0
2017-09-15,21:00:00,1.59,1.59,1.5701,1.5701,3800,0
2017-09-15,22:00:00,1.5799,1.6,1.57,1.59,90803,0
2017-09-18,16:00:00,1.6,1.65,1.561,1.631,93337,0
2017-09-18,17:00:00,1.6499,1.7,1.6326,1.6864,77112,0
2017-09-18,18:00:00,1.69,1.7,1.6399,1.64,57164,0
2017-09-18,19:00:00,1.64,1.65,1.63,1.65,25290,0
2017-09-18,20:00:00,1.65,1.66,1.6401,1.65,6845,0
2017-09-18,21:00:00,1.6493,1.655,1.6382,1.65,14384,0
