Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-25,16:00:00,29.966,30.538,29.966,30.538,1838,0
2017-08-25,17:00:00,30.489,30.584,30.252,30.489,1053,0
2017-08-25,18:00:00,30.295,30.632,30.252,30.632,421,0
2017-08-25,19:00:00,30.681,30.775,30.632,30.775,737,0
2017-08-25,20:00:00,30.822,30.822,30.819,30.819,465,0
2017-08-25,21:00:00,30.727,30.788,30.658,30.658,947,0
2017-08-25,22:00:00,30.727,30.727,30.489,30.584,2080,0
2017-08-28,16:00:00,30.584,30.681,30.584,30.681,526,0
2017-08-28,17:00:00,30.489,30.489,30.489,30.489,211,0
2017-08-28,18:00:00,30.508,30.584,30.508,30.584,369,0
2017-08-28,19:00:00,30.584,30.584,30.394,30.418,1205,0
2017-08-28,20:00:00,30.394,30.443,30.394,30.394,947,0
2017-08-28,21:00:00,30.443,30.538,30.443,30.538,211,0
2017-08-28,22:00:00,30.584,30.584,30.489,30.489,3435,0
2017-08-29,16:00:00,30.443,30.443,30.443,30.443,1212,0
2017-08-29,17:00:00,30.443,30.584,30.443,30.584,2000,0
2017-08-29,18:00:00,30.681,30.681,30.603,30.603,837,0
2017-08-29,19:00:00,30.632,30.632,30.584,30.584,2843,0
2017-08-29,20:00:00,30.632,30.632,30.632,30.632,106,0
2017-08-29,21:00:00,30.632,30.656,30.632,30.632,1777,0
2017-08-29,22:00:00,30.632,30.632,30.584,30.632,3110,0
2017-08-30,16:00:00,30.58,30.632,30.58,30.632,403,0
2017-08-30,17:00:00,30.584,30.871,30.584,30.728,1357,0
2017-08-30,18:00:00,30.728,30.728,30.728,30.728,105,0
2017-08-30,19:00:00,30.681,30.681,30.671,30.671,211,0
2017-08-30,20:00:00,30.728,30.728,30.728,30.728,105,0
2017-08-30,21:00:00,30.537,30.632,30.537,30.632,313,0
2017-08-30,22:00:00,30.632,30.632,30.488,30.584,1861,0
2017-08-31,16:00:00,30.681,30.681,30.681,30.681,1376,0
2017-08-31,17:00:00,30.871,31.022,30.661,30.776,3071,0
2017-08-31,18:00:00,30.824,31.063,30.824,31.063,366,0
2017-08-31,19:00:00,31.102,31.153,30.968,30.968,1567,0
2017-08-31,20:00:00,30.927,31,30.818,31,1724,0
2017-08-31,21:00:00,30.871,31.014,30.871,31.014,209,0
2017-08-31,22:00:00,31.014,31.063,30.919,30.919,7313,0
2017-09-01,16:00:00,30.871,31.014,30.871,31.007,1611,0
2017-09-01,17:00:00,31.135,31.182,31.111,31.158,2133,0
2017-09-01,18:00:00,31.194,31.194,31.194,31.194,128,0
2017-09-01,21:00:00,30.943,30.943,30.943,30.943,109,0
2017-09-01,22:00:00,31.014,31.111,31.014,31.063,4155,0
2017-09-05,16:00:00,30.919,30.968,30.91,30.91,1029,0
2017-09-05,17:00:00,31.014,31.014,30.919,30.919,835,0
2017-09-05,18:00:00,31.014,31.014,30.968,30.968,313,0
2017-09-05,19:00:00,30.919,30.919,30.709,30.776,3337,0
2017-09-05,20:00:00,30.776,30.776,30.728,30.728,313,0
2017-09-05,21:00:00,30.681,30.728,30.632,30.632,1567,0
2017-09-05,22:00:00,30.584,30.681,30.584,30.584,3007,0
2017-09-06,16:00:00,30.681,30.776,30.681,30.681,522,0
2017-09-06,17:00:00,30.824,30.895,30.824,30.871,522,0
2017-09-06,18:00:00,30.681,30.681,30.584,30.584,1353,0
2017-09-06,19:00:00,30.584,30.621,30.537,30.56,5548,0
2017-09-06,20:00:00,30.584,30.867,30.584,30.681,1548,0
2017-09-06,21:00:00,30.756,30.756,30.537,30.537,1567,0
2017-09-06,22:00:00,30.537,30.681,30.488,30.488,4636,0
2017-09-07,16:00:00,30.604,30.604,30.392,30.392,959,0
2017-09-07,17:00:00,30.297,30.297,29.866,30.058,3094,0
2017-09-07,18:00:00,30.208,30.249,30.202,30.249,4600,0
2017-09-07,19:00:00,30.297,30.297,30.289,30.297,849,0
2017-09-07,20:00:00,30.302,30.345,30.202,30.202,2767,0
2017-09-07,22:00:00,30.297,30.345,30.297,30.345,676,0
2017-09-08,17:00:00,30.392,30.776,30.392,30.77,2398,0
2017-09-08,18:00:00,30.871,30.987,30.632,30.632,2820,0
2017-09-08,19:00:00,30.488,30.538,30.488,30.538,477,0
2017-09-08,20:00:00,30.488,30.584,30.488,30.584,731,0
2017-09-08,22:00:00,30.631,30.631,30.392,30.441,3746,0
2017-09-11,16:00:00,30.871,30.871,30.871,30.871,454,0
2017-09-11,17:00:00,30.824,30.824,30.776,30.776,940,0
2017-09-11,18:00:00,30.776,30.958,30.776,30.895,1254,0
2017-09-11,19:00:00,30.919,30.919,30.871,30.871,2476,0
2017-09-11,20:00:00,30.919,30.919,30.847,30.847,522,0
2017-09-11,21:00:00,30.776,30.776,30.776,30.776,105,0
2017-09-11,22:00:00,30.776,30.824,30.752,30.824,1613,0
2017-09-12,16:00:00,31.014,31.063,31.014,31.063,623,0
2017-09-12,17:00:00,30.894,31.014,30.894,30.968,2381,0
2017-09-12,18:00:00,30.968,31.063,30.968,31.014,796,0
2017-09-12,19:00:00,31.111,31.111,31.111,31.111,105,0
2017-09-12,20:00:00,31.206,31.206,31.206,31.206,105,0
2017-09-12,21:00:00,31.158,31.206,31.063,31.063,313,0
2017-09-12,22:00:00,31.255,31.255,31.158,31.158,1222,0
2017-09-13,16:00:00,31.302,31.375,31.111,31.375,1568,0
2017-09-13,17:00:00,31.541,31.733,31.494,31.637,3129,0
2017-09-13,18:00:00,31.685,31.781,31.61,31.781,785,0
2017-09-13,19:00:00,31.733,31.733,31.494,31.589,1463,0
2017-09-13,20:00:00,31.637,31.637,31.541,31.637,835,0
2017-09-13,21:00:00,31.637,31.685,31.637,31.685,1045,0
