Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-02-14,16:00:00,3.5999,3.5999,3.5895,3.5895,1100,0
2017-02-14,17:00:00,3.5292,3.599,3.5292,3.599,400,0
2017-02-14,18:00:00,3.5895,3.5895,3.5498,3.5498,1500,0
2017-02-14,19:00:00,3.5965,3.5965,3.5965,3.5965,150,0
2017-02-14,20:00:00,3.559,3.6,3.559,3.6,586,0
2017-02-14,21:00:00,3.7185,3.7185,3.7185,3.7185,200,0
2017-02-14,22:00:00,3.7462,3.7462,3.7462,3.7462,636,0
2017-02-15,16:00:00,3.6,3.75,3.6,3.6064,640,0
2017-02-15,17:00:00,3.8,3.8,3.6001,3.7999,1765,0
2017-02-15,18:00:00,3.6796,3.6796,3.6796,3.6796,500,0
2017-02-15,22:00:00,3.8002,3.8002,3.751,3.7613,3100,0
2017-02-16,19:00:00,3.6,3.9,3.55,3.6676,10359,0
2017-02-17,17:00:00,3.7001,3.7999,3.6,3.7999,4464,0
2017-02-17,18:00:00,3.6,3.6,3.6,3.6,160,0
2017-02-17,21:00:00,3.731,3.731,3.731,3.731,300,0
2017-02-17,22:00:00,3.75,3.75,3.7,3.7,1574,0
2017-02-21,18:00:00,3.7121,3.7121,3.7121,3.7121,300,0
2017-02-21,20:00:00,3.7121,3.9315,3.7121,3.9315,5750,0
2017-02-21,21:00:00,3.925,3.925,3.6744,3.6744,2451,0
2017-02-21,22:00:00,3.85,3.85,3.8,3.85,2800,0
2017-02-22,16:00:00,3.85,3.85,3.85,3.85,1025,0
2017-02-22,17:00:00,3.85,3.856,3.8001,3.84,1600,0
2017-02-22,19:00:00,3.8,3.85,3.8,3.801,1050,0
2017-02-22,20:00:00,4,4,4,4,100,0
2017-02-23,20:00:00,3.8775,3.8775,3.8775,3.8775,250,0
2017-02-23,22:00:00,3.93,3.93,3.93,3.93,200,0
2017-02-24,16:00:00,3.9999,3.9999,3.9999,3.9999,500,0
2017-02-24,18:00:00,3.95,3.95,3.95,3.95,200,0
2017-02-24,20:00:00,3.9461,3.9461,3.9461,3.9461,500,0
2017-02-24,22:00:00,3.8998,3.9499,3.8998,3.9,1015,0
2017-02-27,16:00:00,3.82,3.82,3.82,3.82,1025,0
2017-02-27,17:00:00,3.9001,3.9059,3.9,3.9,1366,0
2017-02-27,19:00:00,3.85,3.85,3.85,3.85,100,0
2017-02-28,17:00:00,3.8538,3.8538,3.8,3.83,6900,0
2017-02-28,18:00:00,3.8001,3.8001,3.8001,3.8001,3500,0
2017-02-28,19:00:00,3.8001,3.8114,3.8001,3.8114,1100,0
2017-02-28,21:00:00,4,4,3.8048,3.8067,1698,0
2017-02-28,22:00:00,4,4,4,4,200,0
2017-03-01,16:00:00,4,4,4,4,1478,0
2017-03-01,17:00:00,4.1,4.15,4.0792,4.1,1194,0
2017-03-01,18:00:00,4.125,4.15,4.1,4.1105,1327,0
2017-03-01,19:00:00,4.1147,4.1147,4.1147,4.1147,600,0
2017-03-01,20:00:00,4.1,4.1,4.1,4.1,600,0
2017-03-02,16:00:00,4,4,4,4,1200,0
2017-03-02,17:00:00,4,4,3.7779,3.7779,1282,0
2017-03-02,19:00:00,3.9,3.9,3.9,3.9,100,0
2017-03-03,16:00:00,3.8067,3.8067,3.8001,3.8001,294,0
2017-03-03,17:00:00,3.855,3.855,3.855,3.855,340,0
2017-03-03,19:00:00,4.05,4.05,4.05,4.05,200,0
2017-03-06,17:00:00,4.0499,4.0499,3.8,3.915,2525,0
2017-03-06,18:00:00,3.8999,3.8999,3.75,3.8502,4185,0
2017-03-06,19:00:00,3.8001,3.85,3.8,3.85,950,0
2017-03-06,20:00:00,3.85,3.85,3.85,3.85,100,0
2017-03-06,21:00:00,3.881,3.881,3.881,3.881,150,0
2017-03-06,22:00:00,3.8,3.8,3.8,3.8,100,0
2017-03-07,19:00:00,3.8533,3.8533,3.8533,3.8533,500,0
2017-03-07,21:00:00,3.8515,3.8515,3.8515,3.8515,500,0
2017-03-07,22:00:00,3.801,3.8876,3.8001,3.8876,2300,0
2017-03-08,16:00:00,3.9,3.9,3.9,3.9,102,0
2017-03-08,19:00:00,3.8,3.8,3.8,3.8,125,0
2017-03-08,20:00:00,3.8057,3.8057,3.8,3.8,900,0
2017-03-09,16:00:00,3.85,3.85,3.85,3.85,200,0
2017-03-09,17:00:00,3.85,3.85,3.85,3.85,300,0
2017-03-09,20:00:00,3.8057,3.8057,3.8057,3.8057,500,0
2017-03-09,21:00:00,3.845,3.845,3.8,3.8002,1758,0
2017-03-10,17:00:00,3.845,3.845,3.845,3.845,101,0
2017-03-10,21:00:00,3.8,3.8,3.8,3.8,100,0
2017-03-10,22:00:00,3.7501,3.7501,3.75,3.75,541,0
2017-03-14,16:00:00,3.8499,3.8499,3.8499,3.8499,150,0
2017-03-14,17:00:00,3.75,3.75,3.75,3.75,583,0
2017-03-15,18:00:00,3.784,3.784,3.784,3.784,112,0
2017-03-15,20:00:00,3.8417,3.8417,3.8417,3.8417,500,0
2017-03-16,17:00:00,3.608,3.7613,3.608,3.7613,350,0
2017-03-17,16:00:00,3.7082,3.7082,3.7082,3.7082,500,0
2017-03-17,21:00:00,3.65,3.65,3.65,3.65,673,0
2017-03-20,15:00:00,3.65,3.65,3.65,3.65,957,0
2017-03-20,17:00:00,3.6565,3.7055,3.65,3.65,1500,0
2017-03-20,18:00:00,3.65,3.65,3.65,3.65,100,0
2017-03-21,16:00:00,3.6,3.6,3.579,3.5965,2830,0
2017-03-21,17:00:00,3.579,3.599,3.579,3.599,600,0
2017-03-21,19:00:00,3.564,3.564,3.564,3.564,350,0
2017-03-21,20:00:00,3.55,3.55,3.5,3.5,7177,0
2017-03-22,15:00:00,3.4915,3.4965,3.45,3.45,910,0
2017-03-22,16:00:00,3.4552,3.4552,3.45,3.4552,1200,0
2017-03-22,20:00:00,3.45,3.4551,3.4395,3.4459,3000,0
