Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-06,16:00:00,12.4,12.8,12.14,12.769,744,0
2017-09-06,17:00:00,12.72,12.8,12.272,12.424,858,0
2017-09-06,18:00:00,12.432,12.704,12.412,12.6,646,0
2017-09-06,19:00:00,12.452,12.532,12.168,12.172,612,0
2017-09-06,20:00:00,12.3,12.396,12.172,12.3,143,0
2017-09-06,21:00:00,12.252,12.3,12.228,12.252,112,0
2017-09-06,22:00:00,12.252,12.8,12.228,12.228,406,0
2017-09-07,16:00:00,12.8,12.8,12.148,12.204,680,0
2017-09-07,17:00:00,12.428,12.7,12.204,12.208,184,0
2017-09-07,18:00:00,12.212,12.676,12.208,12.208,295,0
2017-09-07,19:00:00,12.212,12.236,12.208,12.212,568,0
2017-09-07,20:00:00,12.208,12.6,12.208,12.6,221,0
2017-09-07,21:00:00,12.404,12.7,12.404,12.556,85,0
2017-09-07,22:00:00,12.556,12.72,12.4,12.72,625,0
2017-09-08,16:00:00,13,14.676,12.617,13.252,6059,0
2017-09-08,17:00:00,13.4,13.48,13.2,13.256,2092,0
2017-09-08,18:00:00,13.26,13.6,13.252,13.28,894,0
2017-09-08,19:00:00,13.264,13.28,12.48,12.48,2478,0
2017-09-08,20:00:00,12.44,13,12.22,12.48,1814,0
2017-09-08,21:00:00,12.4,12.96,12.4,12.628,1414,0
2017-09-08,22:00:00,12.752,12.8,12.588,12.8,272,0
2017-09-11,16:00:00,13.596,13.596,12.604,12.79,2629,0
2017-09-11,17:00:00,12.8,12.8,12.44,12.44,438,0
2017-09-11,18:00:00,12.44,12.44,12.14,12.168,2652,0
2017-09-11,19:00:00,12.304,12.348,12.152,12.348,330,0
2017-09-11,20:00:00,12.278,12.364,12.204,12.232,380,0
2017-09-11,21:00:00,12.228,12.364,12.216,12.244,271,0
2017-09-11,22:00:00,12.268,12.6,12.264,12.32,483,0
2017-09-12,16:00:00,12.44,12.576,12.14,12.352,461,0
2017-09-12,17:00:00,12.456,12.56,12.144,12.488,181,0
2017-09-12,18:00:00,12.56,12.56,12.228,12.5,211,0
2017-09-12,19:00:00,12.472,12.56,12.224,12.56,785,0
2017-09-12,20:00:00,12.516,12.516,12.24,12.484,124,0
2017-09-12,21:00:00,12.556,12.64,12.2,12.64,402,0
2017-09-12,22:00:00,12.8,12.84,12.6,12.84,318,0
2017-09-13,16:00:00,12.84,12.84,12.4,12.4,513,0
2017-09-13,17:00:00,12.698,12.72,12.4,12.412,269,0
2017-09-13,18:00:00,12.448,12.72,12.2,12.516,1374,0
2017-09-13,19:00:00,12.58,12.72,12.512,12.72,730,0
2017-09-13,20:00:00,12.712,12.712,12.7,12.704,124,0
2017-09-13,21:00:00,12.7,12.708,12.4,12.4,670,0
2017-09-13,22:00:00,12.4,12.4,8.8,10.8,24463,0
2017-09-14,16:00:00,11.2,11.2,10,10.668,1962,0
2017-09-14,17:00:00,10.781,10.796,10.2,10.208,3514,0
2017-09-14,18:00:00,10.208,10.712,10.04,10.12,2656,0
2017-09-14,19:00:00,10.116,10.216,10.04,10.112,2981,0
2017-09-14,20:00:00,10.112,10.116,9.6,10.004,8511,0
2017-09-14,21:00:00,10.004,10.357,9.72,9.844,3379,0
2017-09-14,22:00:00,9.844,10.4,9.72,9.72,6344,0
2017-09-15,16:00:00,10.4,10.404,9.804,10.095,3318,0
2017-09-15,17:00:00,10.21,11.196,10.08,10.436,9450,0
2017-09-15,18:00:00,10.408,10.768,10.4,10.719,3316,0
2017-09-15,19:00:00,10.764,10.764,10.4,10.4,1281,0
2017-09-15,20:00:00,10.404,10.72,10.4,10.41,620,0
2017-09-15,21:00:00,10.412,10.712,10.408,10.704,1175,0
2017-09-15,22:00:00,10.596,10.6,9.256,9.256,8744,0
2017-09-18,16:00:00,9.72,10.124,9.604,9.8,2386,0
2017-09-18,17:00:00,9.96,9.96,9.8,9.944,2436,0
2017-09-18,18:00:00,9.864,9.96,9.256,9.704,2205,0
2017-09-18,19:00:00,9.712,9.96,9.62,9.632,849,0
2017-09-18,20:00:00,9.836,9.84,9.62,9.696,296,0
2017-09-18,21:00:00,9.808,9.808,9.22,9.604,3893,0
2017-09-18,22:00:00,9.604,9.96,9.596,9.596,4939,0
2017-09-19,16:00:00,9.56,9.8,9.36,9.408,1106,0
2017-09-19,17:00:00,9.444,9.8,9.444,9.601,1600,0
2017-09-19,18:00:00,9.596,9.8,9.548,9.64,871,0
2017-09-19,19:00:00,9.64,9.644,9.64,9.64,150,0
2017-09-19,20:00:00,9.644,9.8,9.64,9.8,1127,0
