Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,46.65,47.405,46.65,47.255,57114,0
2017-09-05,17:00:00,47.23,47.24,46.83,46.9,106755,0
2017-09-05,18:00:00,46.9,47.81,46.85,47.81,130599,0
2017-09-05,19:00:00,47.81,47.93,47.2,47.36,122302,0
2017-09-05,20:00:00,47.355,47.52,47.12,47.32,68703,0
2017-09-05,21:00:00,47.33,47.679,47.33,47.5,42589,0
2017-09-05,22:00:00,47.5075,47.9,47.4201,47.78,206992,0
2017-09-06,16:00:00,48.3,48.775,47.57,48.3,173974,0
2017-09-06,17:00:00,48.26,49.31,48.21,49.17,124427,0
2017-09-06,18:00:00,49.18,49.3099,49,49.17,122764,0
2017-09-06,19:00:00,49.14,49.34,49.13,49.22,100546,0
2017-09-06,20:00:00,49.22,49.84,49.2,49.405,70630,0
2017-09-06,21:00:00,49.44,49.44,49.23,49.3,73411,0
2017-09-06,22:00:00,49.28,49.52,49.26,49.33,271315,0
2017-09-07,16:00:00,49.54,49.61,48.86,48.9153,65328,0
2017-09-07,17:00:00,48.93,49.49,48.75,49.45,93112,0
2017-09-07,18:00:00,49.45,49.74,49.35,49.528,69592,0
2017-09-07,19:00:00,49.5,49.53,49.33,49.4771,31755,0
2017-09-07,20:00:00,49.46,49.5,49.201,49.4,66997,0
2017-09-07,21:00:00,49.4,49.43,49.1262,49.14,32665,0
2017-09-07,22:00:00,49.14,49.21,48.99,49.18,265396,0
2017-09-08,16:00:00,49.49,50.139,49.45,49.87,91997,0
2017-09-08,17:00:00,49.92,50.3,49.79,50.22,94352,0
2017-09-08,18:00:00,50.23,50.43,49.87,50.03,99081,0
2017-09-08,19:00:00,50.0236,50.52,50.01,50.505,90951,0
2017-09-08,20:00:00,50.51,50.78,50.35,50.51,139607,0
2017-09-08,21:00:00,50.505,50.51,49.93,49.98,115474,0
2017-09-08,22:00:00,49.99,50.32,49.92,50.12,236638,0
2017-09-11,16:00:00,48.95,48.95,47.66,47.98,184522,0
2017-09-11,17:00:00,47.98,48.78,47.54,48.74,165841,0
2017-09-11,18:00:00,48.74,49.08,48.59,49.03,122096,0
2017-09-11,19:00:00,49.0133,49.24,48.911,49.06,42780,0
2017-09-11,20:00:00,49.1,49.1,48.835,49,111014,0
2017-09-11,21:00:00,49.02,49.04,48.85,48.87,75688,0
2017-09-11,22:00:00,48.89,48.89,48.63,48.64,312853,0
2017-09-12,16:00:00,48.85,49,48.76,48.91,31187,0
2017-09-12,17:00:00,48.9295,48.96,48.57,48.5913,36528,0
2017-09-12,18:00:00,48.604,48.89,48.58,48.775,111782,0
2017-09-12,19:00:00,48.77,48.85,48.72,48.7208,49251,0
2017-09-12,20:00:00,48.74,48.89,48.74,48.84,74891,0
2017-09-12,21:00:00,48.86,48.87,48.655,48.765,73394,0
2017-09-12,22:00:00,48.77,48.82,48.65,48.77,316267,0
2017-09-13,16:00:00,48.91,48.93,48.63,48.87,66355,0
2017-09-13,17:00:00,48.87,49.2,48.86,48.95,81035,0
2017-09-13,18:00:00,48.96,48.97,48.73,48.7425,35154,0
2017-09-13,19:00:00,48.73,48.9,48.69,48.82,20546,0
2017-09-13,20:00:00,48.84,48.85,48.52,48.52,21920,0
2017-09-13,21:00:00,48.51,48.85,48.45,48.85,59895,0
2017-09-13,22:00:00,48.8,49.01,48.75,49.01,228775,0
2017-09-14,16:00:00,48.73,48.94,48.01,48.87,19330,0
2017-09-14,17:00:00,48.88,49.07,48.55,48.56,94233,0
2017-09-14,18:00:00,48.59,48.61,48.19,48.32,27331,0
2017-09-14,19:00:00,48.37,48.45,48.28,48.33,13303,0
2017-09-14,20:00:00,48.34,48.38,48.21,48.32,36215,0
2017-09-14,21:00:00,48.3,48.53,48.28,48.51,23891,0
2017-09-14,22:00:00,48.46,48.52,48.24,48.44,261792,0
2017-09-15,16:00:00,48.44,48.5899,48.17,48.44,111890,0
2017-09-15,17:00:00,48.47,48.56,48.18,48.53,112825,0
2017-09-15,18:00:00,48.52,48.6,48.15,48.26,27193,0
2017-09-15,19:00:00,48.29,48.49,48.26,48.44,24832,0
2017-09-15,20:00:00,48.44,48.505,48.3,48.495,55510,0
2017-09-15,21:00:00,48.505,48.63,48.48,48.5,52430,0
2017-09-15,22:00:00,48.5076,48.75,48.48,48.68,347792,0
2017-09-18,16:00:00,48.73,48.87,48.5,48.635,69499,0
2017-09-18,17:00:00,48.63,48.815,48.62,48.675,123478,0
2017-09-18,18:00:00,48.6869,48.78,48.55,48.59,57726,0
2017-09-18,19:00:00,48.59,48.89,48.59,48.85,41545,0
2017-09-18,20:00:00,48.85,49.26,48.8,49.07,72096,0
2017-09-18,21:00:00,49.03,49.205,49.015,49.14,68439,0
2017-09-18,22:00:00,49.15,49.3016,49.13,49.25,111545,0
2017-09-19,16:00:00,47.41,49.01,47.185,47.935,283500,0
2017-09-19,17:00:00,47.975,48.3,47.9,48.12,103609,0
2017-09-19,18:00:00,48.16,48.37,48,48.28,39658,0
2017-09-19,19:00:00,48.29,48.51,48.28,48.33,49971,0
2017-09-19,20:00:00,48.33,48.36,48.2,48.22,56678,0
2017-09-19,21:00:00,48.22,48.31,48.2,48.31,136322,0
2017-09-19,22:00:00,48.35,48.605,48.35,48.49,354389,0
2017-09-20,16:00:00,48.26,48.61,48.26,48.41,34610,0
2017-09-20,17:00:00,48.4,48.42,48.2,48.395,43083,0
2017-09-20,18:00:00,48.41,48.45,48.24,48.35,35894,0
2017-09-20,19:00:00,48.3401,48.37,48.22,48.23,44573,0
2017-09-20,20:00:00,48.21,48.27,48.1,48.1026,28562,0
2017-09-20,21:00:00,48.11,48.11,47.86,48.07,137500,0
2017-09-20,22:00:00,48.1,48.24,47.71,47.86,285024,0
2017-09-21,16:00:00,48.47,49.09,48.16,48.98,1613191,0
2017-09-21,17:00:00,48.9862,49.75,48.94,49.65,1235150,0
2017-09-21,18:00:00,49.65,50.01,49.49,49.7,521823,0
2017-09-21,19:00:00,49.67,49.78,49.42,49.62,218933,0
2017-09-21,20:00:00,49.61,49.76,49.15,49.23,237576,0
2017-09-21,21:00:00,49.225,49.5278,49.14,49.4601,211672,0
2017-09-21,22:00:00,49.49,49.51,49.13,49.46,887377,0
