Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-22,16:00:00,10.048,10.098,10.048,10.098,402,0
2017-08-22,17:00:00,10.048,10.048,10.048,10.048,100,0
2017-08-22,18:00:00,10.059,10.073,10.059,10.073,604,0
2017-08-22,19:00:00,10.098,10.147,10.098,10.147,1206,0
2017-08-22,20:00:00,10.147,10.147,10.098,10.147,4850,0
2017-08-22,21:00:00,10.147,10.172,10.122,10.172,3415,0
2017-08-22,22:00:00,10.196,10.196,10.098,10.147,8404,0
2017-08-23,16:00:00,10.048,10.048,9.998,9.998,636,0
2017-08-23,17:00:00,10.048,10.147,9.998,10.147,532,0
2017-08-23,18:00:00,10.147,10.147,10.147,10.147,402,0
2017-08-23,19:00:00,10.147,10.147,10.147,10.147,302,0
2017-08-23,20:00:00,10.122,10.147,9.948,9.998,4322,0
2017-08-23,21:00:00,9.998,10.048,9.948,10.048,2010,0
2017-08-23,22:00:00,9.998,10.098,9.998,10.098,11098,0
2017-08-24,16:00:00,10.098,10.098,10.048,10.048,1278,0
2017-08-24,17:00:00,10.073,10.098,10.045,10.048,1810,0
2017-08-24,18:00:00,10.098,10.098,10.048,10.098,402,0
2017-08-24,19:00:00,10.055,10.098,10.055,10.098,704,0
2017-08-24,20:00:00,10.098,10.147,10.048,10.147,10052,0
2017-08-24,21:00:00,10.147,10.246,10.122,10.246,2110,0
2017-08-24,22:00:00,10.196,10.246,10.147,10.196,5507,0
2017-08-25,16:00:00,10.196,10.346,10.196,10.246,4631,0
2017-08-25,18:00:00,10.221,10.246,10.196,10.196,2465,0
2017-08-25,19:00:00,10.296,10.396,10.296,10.396,1206,0
2017-08-25,20:00:00,10.371,10.396,10.346,10.396,1959,0
2017-08-25,21:00:00,10.371,10.396,10.346,10.396,1482,0
2017-08-25,22:00:00,10.346,10.594,10.346,10.495,21578,0
2017-08-28,16:00:00,10.495,10.495,10.346,10.346,1122,0
2017-08-28,17:00:00,10.446,10.446,10.346,10.371,2110,0
2017-08-28,18:00:00,10.396,10.396,10.346,10.396,1812,0
2017-08-28,19:00:00,10.346,10.396,10.346,10.346,8644,0
2017-08-28,20:00:00,10.446,10.446,10.446,10.446,100,0
2017-08-28,21:00:00,10.396,10.446,10.371,10.446,1508,0
2017-08-28,22:00:00,10.446,10.545,10.421,10.495,12151,0
2017-08-29,16:00:00,10.495,10.52,10.446,10.446,2265,0
2017-08-29,17:00:00,10.446,10.446,10.296,10.296,1205,0
2017-08-29,18:00:00,10.346,10.346,10.346,10.346,402,0
2017-08-29,19:00:00,10.421,10.446,10.421,10.446,1006,0
2017-08-29,20:00:00,10.495,10.495,10.495,10.495,202,0
2017-08-29,21:00:00,10.494,10.545,10.446,10.495,3066,0
2017-08-29,22:00:00,10.528,10.545,10.446,10.545,6587,0
2017-08-30,16:00:00,10.52,10.52,10.495,10.495,202,0
2017-08-30,17:00:00,10.545,10.594,10.522,10.569,1306,0
2017-08-30,18:00:00,10.545,10.594,10.495,10.52,1279,0
2017-08-30,19:00:00,10.52,10.545,10.495,10.545,302,0
2017-08-30,20:00:00,10.495,10.495,10.446,10.495,1810,0
2017-08-30,21:00:00,10.471,10.495,10.446,10.471,1408,0
2017-08-30,22:00:00,10.495,10.495,10.446,10.446,7515,0
2017-08-31,16:00:00,10.396,10.446,10.395,10.395,1408,0
2017-08-31,17:00:00,10.346,10.446,10.346,10.446,704,0
2017-08-31,18:00:00,10.396,10.495,10.396,10.495,202,0
2017-08-31,19:00:00,10.495,10.495,10.464,10.495,1376,0
2017-08-31,20:00:00,10.495,10.495,10.446,10.446,402,0
2017-08-31,21:00:00,10.495,10.495,10.396,10.396,1306,0
2017-08-31,22:00:00,10.396,10.495,10.396,10.495,8613,0
2017-09-01,16:00:00,10.446,10.446,10.446,10.446,1508,0
2017-09-01,17:00:00,10.396,10.396,10.396,10.396,502,0
2017-09-01,18:00:00,10.495,10.495,10.495,10.495,100,0
2017-09-01,19:00:00,10.545,10.594,10.495,10.594,2157,0
2017-09-01,20:00:00,10.594,10.594,10.495,10.594,7534,0
2017-09-01,21:00:00,10.594,10.594,10.545,10.569,1306,0
2017-09-01,22:00:00,10.545,10.545,10.446,10.495,5319,0
2017-09-05,16:00:00,10.446,10.545,10.446,10.545,1810,0
2017-09-05,17:00:00,10.396,10.421,10.296,10.346,1106,0
2017-09-05,18:00:00,10.296,10.296,10.296,10.296,100,0
2017-09-05,19:00:00,10.296,10.296,10.246,10.271,302,0
2017-09-05,20:00:00,10.246,10.296,10.246,10.246,1408,0
2017-09-05,21:00:00,10.246,10.296,10.196,10.296,1508,0
2017-09-05,22:00:00,10.296,10.296,10.196,10.196,7634,0
2017-09-06,17:00:00,10.196,10.221,10.196,10.221,302,0
2017-09-06,19:00:00,10.196,10.196,10.196,10.196,302,0
2017-09-06,20:00:00,10.172,10.236,10.147,10.236,2412,0
2017-09-06,21:00:00,10.238,10.296,10.238,10.296,3016,0
2017-09-06,22:00:00,10.296,10.396,10.246,10.346,10367,0
2017-09-07,16:00:00,10.296,10.296,10.246,10.246,509,0
2017-09-07,17:00:00,10.246,10.246,10.147,10.147,704,0
2017-09-07,18:00:00,10.172,10.172,10.098,10.098,1343,0
2017-09-07,19:00:00,10.098,10.122,10.098,10.122,202,0
2017-09-07,20:00:00,10.098,10.098,10.048,10.048,2212,0
2017-09-07,22:00:00,9.998,10.013,9.948,9.948,3036,0
2017-09-08,17:00:00,9.948,9.948,9.948,9.948,402,0
2017-09-08,18:00:00,9.948,10.048,9.948,9.948,3688,0
2017-09-08,19:00:00,9.998,10.048,9.955,10.048,2110,0
2017-09-08,20:00:00,9.948,9.948,9.948,9.948,202,0
2017-09-08,21:00:00,9.998,9.998,9.998,9.998,704,0
2017-09-08,22:00:00,9.998,10.048,9.948,9.948,1879,0
2017-09-11,16:00:00,10.048,10.048,9.948,10.048,2496,0
2017-09-11,17:00:00,10.196,10.196,10.147,10.147,302,0
2017-09-11,18:00:00,10.147,10.147,10.147,10.147,100,0
2017-09-11,19:00:00,10.154,10.246,10.154,10.246,1106,0
2017-09-11,20:00:00,10.246,10.346,10.196,10.346,1408,0
2017-09-11,21:00:00,10.296,10.396,10.296,10.346,1719,0
2017-09-11,22:00:00,10.396,10.396,10.246,10.296,3245,0
2017-09-12,16:00:00,10.346,10.446,10.346,10.396,2752,0
2017-09-12,17:00:00,10.396,10.446,10.396,10.446,502,0
2017-09-12,18:00:00,10.446,10.446,10.446,10.446,100,0
2017-09-12,19:00:00,10.421,10.421,10.421,10.421,302,0
2017-09-12,20:00:00,10.421,10.421,10.346,10.346,1326,0
2017-09-12,22:00:00,10.346,10.346,10.296,10.346,2827,0
2017-09-13,17:00:00,10.346,10.446,10.346,10.446,704,0
2017-09-13,18:00:00,10.446,10.495,10.396,10.446,1818,0
2017-09-13,19:00:00,10.446,10.446,10.363,10.446,804,0
2017-09-13,20:00:00,10.346,10.346,10.296,10.296,2802,0
2017-09-13,21:00:00,10.296,10.321,10.246,10.321,929,0
2017-09-13,22:00:00,10.321,10.321,10.246,10.246,2267,0
2017-09-14,16:00:00,10.296,10.296,10.196,10.196,208,0
2017-09-14,17:00:00,10.246,10.396,10.246,10.371,4222,0
2017-09-14,18:00:00,10.346,10.396,10.346,10.371,1558,0
2017-09-14,20:00:00,10.358,10.396,10.346,10.396,3920,0
2017-09-14,21:00:00,10.396,10.396,10.346,10.371,3016,0
2017-09-14,22:00:00,10.371,10.396,10.346,10.346,4588,0
2017-09-15,16:00:00,10.346,10.346,10.246,10.296,24925,0
2017-09-15,17:00:00,10.321,10.346,10.313,10.321,1056,0
2017-09-15,19:00:00,10.321,10.346,10.321,10.346,302,0
2017-09-15,20:00:00,10.346,10.346,10.346,10.346,100,0
2017-09-15,21:00:00,10.346,10.396,10.321,10.371,1302,0
2017-09-15,22:00:00,10.371,10.396,10.296,10.396,12731,0
2017-09-18,16:00:00,10.396,10.495,10.396,10.446,1256,0
2017-09-18,17:00:00,10.413,10.446,10.413,10.421,704,0
2017-09-18,19:00:00,10.421,10.471,10.421,10.471,1492,0
2017-09-18,21:00:00,10.495,10.545,10.446,10.478,5720,0
2017-09-18,22:00:00,10.495,10.495,10.446,10.495,3227,0
2017-09-19,16:00:00,10.446,10.446,10.446,10.446,100,0
2017-09-19,17:00:00,10.52,10.52,10.52,10.52,302,0
2017-09-19,18:00:00,10.52,10.545,10.52,10.52,502,0
2017-09-19,19:00:00,10.52,10.545,10.495,10.52,1106,0
2017-09-19,20:00:00,10.52,10.52,10.52,10.52,100,0
2017-09-19,22:00:00,10.545,10.545,10.52,10.545,4929,0
2017-09-20,17:00:00,10.52,10.52,10.495,10.495,402,0
2017-09-20,18:00:00,10.495,10.52,10.495,10.496,427,0
2017-09-20,19:00:00,10.495,10.545,10.495,10.52,302,0
2017-09-20,20:00:00,10.495,10.545,10.495,10.545,1608,0
2017-09-20,21:00:00,10.545,10.644,10.545,10.594,17927,0
2017-09-20,22:00:00,10.619,10.644,10.545,10.644,11911,0
2017-09-21,16:00:00,10.644,10.644,10.644,10.644,782,0
2017-09-21,17:00:00,10.644,10.694,10.594,10.694,1810,0
2017-09-21,18:00:00,10.694,10.694,10.644,10.644,719,0
2017-09-21,19:00:00,10.694,10.694,10.644,10.669,1206,0
2017-09-21,20:00:00,10.652,10.694,10.594,10.694,4702,0
2017-09-21,21:00:00,10.694,10.694,10.594,10.644,2514,0
2017-09-21,22:00:00,10.644,10.694,10.594,10.644,5483,0
2017-09-22,17:00:00,10.694,10.744,10.644,10.744,2543,0
2017-09-22,18:00:00,10.694,10.694,10.694,10.694,402,0
2017-09-22,19:00:00,10.694,10.744,10.694,10.744,2412,0
2017-09-22,20:00:00,10.744,10.744,10.694,10.694,1206,0
2017-09-22,21:00:00,10.744,10.744,10.694,10.694,704,0
2017-09-22,22:00:00,10.694,10.744,10.694,10.744,7096,0
2017-09-25,17:00:00,10.745,10.794,10.722,10.766,1466,0
2017-09-25,18:00:00,10.744,10.749,10.674,10.694,3062,0
2017-09-25,19:00:00,10.794,10.794,10.644,10.644,502,0
2017-09-25,20:00:00,10.594,10.594,10.594,10.594,202,0
2017-09-25,21:00:00,10.694,10.694,10.657,10.657,759,0
2017-09-25,22:00:00,10.669,10.694,10.644,10.694,5528,0
2017-09-26,16:00:00,10.744,10.744,10.545,10.545,202,0
2017-09-26,17:00:00,10.794,10.893,10.744,10.844,7131,0
2017-09-26,18:00:00,10.844,10.844,10.844,10.844,100,0
2017-09-26,19:00:00,10.819,10.819,10.819,10.819,100,0
2017-09-26,20:00:00,10.844,10.893,10.794,10.869,2529,0
2017-09-26,21:00:00,10.893,10.893,10.844,10.893,4860,0
2017-09-26,22:00:00,10.893,10.893,10.844,10.893,7780,0
2017-09-27,16:00:00,10.893,10.893,10.794,10.893,9340,0
2017-09-27,17:00:00,10.893,10.992,10.893,10.992,6534,0
2017-09-27,18:00:00,10.943,11.042,10.943,11.017,4338,0
2017-09-27,19:00:00,11.042,11.192,10.992,11.192,14425,0
2017-09-27,20:00:00,11.192,11.39,11.192,11.211,17678,0
2017-09-27,21:00:00,11.242,11.291,11.242,11.291,2822,0
2017-09-27,22:00:00,11.291,11.291,11.192,11.242,12744,0
2017-09-28,16:00:00,11.192,11.192,11.117,11.117,604,0
2017-09-28,17:00:00,11.142,11.142,11.042,11.142,2069,0
2017-09-28,18:00:00,11.142,11.192,11.092,11.142,2814,0
2017-09-28,19:00:00,11.192,11.291,11.192,11.281,2311,0
2017-09-28,20:00:00,11.34,11.34,11.142,11.192,9570,0
2017-09-28,21:00:00,11.241,11.242,11.192,11.242,804,0
2017-09-28,22:00:00,11.291,11.291,11.192,11.242,3540,0
2017-09-29,16:00:00,11.192,11.291,11.192,11.242,1146,0
2017-09-29,17:00:00,11.242,11.34,11.242,11.266,23622,0
2017-09-29,18:00:00,11.266,11.34,11.242,11.34,4464,0
2017-09-29,19:00:00,11.34,11.44,11.34,11.415,7138,0
2017-09-29,20:00:00,11.44,11.54,11.415,11.515,21401,0
2017-09-29,21:00:00,11.54,11.59,11.44,11.44,29779,0
2017-09-29,22:00:00,11.44,11.49,11.34,11.44,59467,0
2017-10-02,16:00:00,11.52,11.57,11.52,11.52,2521,0
2017-10-02,17:00:00,11.52,11.57,11.47,11.495,3106,0
2017-10-02,18:00:00,11.47,11.52,11.42,11.47,1404,0
2017-10-02,19:00:00,11.52,11.52,11.52,11.52,201,0
2017-10-02,20:00:00,11.52,11.57,11.52,11.57,14295,0
2017-10-02,21:00:00,11.57,11.57,11.52,11.57,2908,0
2017-10-02,22:00:00,11.57,11.62,11.221,11.57,24444,0
2017-10-03,16:00:00,11.52,11.52,11.47,11.52,2668,0
2017-10-03,17:00:00,11.47,11.478,11.47,11.47,2607,0
2017-10-03,18:00:00,11.495,11.495,11.495,11.495,100,0
2017-10-03,20:00:00,11.57,11.57,11.495,11.495,1316,0
2017-10-03,21:00:00,11.495,11.57,11.495,11.52,1103,0
2017-10-03,22:00:00,11.52,11.57,11.49,11.52,9857,0
2017-10-04,16:00:00,11.42,11.42,11.077,11.121,1553,0
2017-10-04,17:00:00,11.321,11.37,11.321,11.37,3630,0
2017-10-04,18:00:00,11.321,11.345,11.321,11.345,301,0
2017-10-04,19:00:00,11.34,11.345,11.221,11.32,6281,0
2017-10-04,20:00:00,11.271,11.32,11.271,11.271,301,0
2017-10-04,21:00:00,11.271,11.321,11.121,11.121,3484,0
