Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-31,17:00:00,34.96,35.057,34.861,34.886,2655,0
2017-08-31,18:00:00,34.91,35.156,34.91,35.156,1219,0
2017-08-31,19:00:00,35.452,35.452,35.206,35.255,1150,0
2017-08-31,20:00:00,35.304,35.304,35.057,35.057,1940,0
2017-08-31,21:00:00,35.255,35.304,35.206,35.255,710,0
2017-08-31,22:00:00,35.352,35.352,35.057,35.304,8954,0
2017-09-01,16:00:00,35.255,35.402,35.206,35.352,669,0
2017-09-01,17:00:00,35.352,35.402,35.156,35.402,914,0
2017-09-01,18:00:00,35.255,35.255,35.008,35.008,1961,0
2017-09-01,19:00:00,35.107,35.206,35.057,35.156,1828,0
2017-09-01,20:00:00,35.156,35.206,35.156,35.181,5382,0
2017-09-01,21:00:00,35.156,35.206,34.96,34.96,4545,0
2017-09-01,22:00:00,35.008,35.156,34.984,35.156,5871,0
2017-09-05,16:00:00,35.008,35.107,35.008,35.107,1095,0
2017-09-05,17:00:00,35.402,35.402,35.107,35.156,965,0
2017-09-05,18:00:00,34.96,35.057,34.796,35.008,2156,0
2017-09-05,19:00:00,34.91,34.91,34.664,34.762,710,0
2017-09-05,20:00:00,34.811,34.861,34.566,34.615,1117,0
2017-09-05,21:00:00,34.569,34.664,34.467,34.467,2742,0
2017-09-05,22:00:00,34.467,34.861,34.467,34.762,5338,0
2017-09-06,16:00:00,34.712,35.156,34.712,35.107,487,0
2017-09-06,17:00:00,34.762,35.057,34.712,34.854,2383,0
2017-09-06,18:00:00,34.91,34.91,34.712,34.712,1441,0
2017-09-06,19:00:00,34.675,34.811,34.615,34.811,812,0
2017-09-06,20:00:00,34.96,35.156,34.96,35.008,1117,0
2017-09-06,21:00:00,35.057,35.206,35.057,35.131,2316,0
2017-09-06,22:00:00,35.057,35.107,34.96,35.008,3728,0
2017-09-07,16:00:00,34.96,35.196,34.811,35.196,916,0
2017-09-07,17:00:00,34.886,35.082,34.762,35.082,1315,0
2017-09-07,18:00:00,35.057,35.057,34.615,34.615,710,0
2017-09-07,19:00:00,34.712,34.935,34.712,34.935,406,0
2017-09-07,20:00:00,35.131,35.131,34.737,34.737,1422,0
2017-09-07,21:00:00,34.758,34.811,34.664,34.664,4101,0
2017-09-07,22:00:00,34.566,34.762,34.566,34.762,4869,0
2017-09-08,16:00:00,34.566,34.811,34.566,34.712,6065,0
2017-09-08,17:00:00,34.712,35.501,34.712,35.452,2082,0
