Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,2.19,2.19,2.15,2.1542,3349,0
2017-09-05,17:00:00,2.1508,2.18,2.15,2.1765,2669,0
2017-09-05,18:00:00,2.17,2.185,2.17,2.173,3275,0
2017-09-05,19:00:00,2.18,2.2,2.14,2.15,30956,0
2017-09-05,20:00:00,2.1491,2.15,2.11,2.11,3715,0
2017-09-05,21:00:00,2.13,2.13,2.09,2.1,10286,0
2017-09-05,22:00:00,2.0907,2.115,2.09,2.1,4420,0
2017-09-06,16:00:00,2.11,2.18,2.09,2.13,10816,0
2017-09-06,17:00:00,2.14,2.18,2.12,2.12,3500,0
2017-09-06,18:00:00,2.1426,2.17,2.131,2.17,4280,0
2017-09-06,19:00:00,2.17,2.17,2.14,2.14,7126,0
2017-09-06,20:00:00,2.16,2.16,2.13,2.15,2300,0
2017-09-06,21:00:00,2.1432,2.16,2.13,2.13,6665,0
2017-09-06,22:00:00,2.13,2.16,2.121,2.13,9922,0
2017-09-07,16:00:00,2.11,2.199,2.1,2.11,7333,0
2017-09-07,17:00:00,2.1128,2.16,2.1128,2.16,3700,0
2017-09-07,18:00:00,2.16,2.16,2.14,2.16,1165,0
2017-09-07,19:00:00,2.15,2.16,2.12,2.1214,4090,0
2017-09-07,20:00:00,2.13,2.14,2.1,2.12,5096,0
2017-09-07,21:00:00,2.12,2.15,2.09,2.1,3300,0
2017-09-07,22:00:00,2.1,2.14,2.09,2.13,11691,0
2017-09-08,16:00:00,2.1,2.13,2.0952,2.12,2215,0
2017-09-08,17:00:00,2.13,2.14,2.12,2.125,3600,0
2017-09-08,18:00:00,2.1001,2.12,2.1001,2.1095,2500,0
2017-09-08,19:00:00,2.1,2.16,2.1,2.16,18286,0
2017-09-08,20:00:00,2.159,2.19,2.1301,2.1601,22720,0
2017-09-08,21:00:00,2.17,2.17,2.13,2.1441,3112,0
2017-09-08,22:00:00,2.16,2.17,2.13,2.13,3102,0
2017-09-11,16:00:00,2.2,2.2,2.15,2.17,8750,0
2017-09-11,17:00:00,2.16,2.215,2.13,2.21,23598,0
2017-09-11,18:00:00,2.211,2.211,2.175,2.195,16049,0
2017-09-11,19:00:00,2.1856,2.1856,2.1453,2.17,5666,0
2017-09-11,20:00:00,2.17,2.2,2.17,2.2,7302,0
2017-09-11,21:00:00,2.193,2.2,2.15,2.18,11926,0
2017-09-11,22:00:00,2.1628,2.1928,2.15,2.17,12136,0
2017-09-12,16:00:00,2.14,2.175,2.14,2.175,2025,0
2017-09-12,17:00:00,2.2,2.205,2.1799,2.2,14254,0
2017-09-12,18:00:00,2.2,2.23,2.19,2.23,13114,0
2017-09-12,19:00:00,2.22,2.23,2.22,2.23,14217,0
2017-09-12,20:00:00,2.23,2.24,2.22,2.23,5116,0
2017-09-12,21:00:00,2.24,2.24,2.18,2.18,3600,0
2017-09-12,22:00:00,2.19,2.2066,2.18,2.2,7624,0
2017-09-13,16:00:00,2.2,2.26,2.2,2.23,11367,0
2017-09-13,17:00:00,2.2301,2.35,2.2301,2.2937,31250,0
2017-09-13,18:00:00,2.29,2.29,2.22,2.22,27323,0
2017-09-13,19:00:00,2.24,2.24,2.21,2.23,4806,0
2017-09-13,20:00:00,2.2281,2.23,2.16,2.1621,11926,0
2017-09-13,21:00:00,2.16,2.18,2.15,2.15,8800,0
2017-09-13,22:00:00,2.15,2.17,2.1,2.17,26325,0
2017-09-14,16:00:00,2.15,2.1947,2.12,2.14,5223,0
2017-09-14,17:00:00,2.12,2.15,2.12,2.1201,3200,0
2017-09-14,18:00:00,2.14,2.15,2.1,2.11,24679,0
2017-09-14,19:00:00,2.12,2.13,2.1,2.1282,7010,0
2017-09-14,20:00:00,2.125,2.15,2.12,2.13,8602,0
2017-09-14,21:00:00,2.15,2.15,2.13,2.14,6200,0
2017-09-14,22:00:00,2.15,2.17,2.14,2.16,7331,0
2017-09-15,16:00:00,2.13,2.14,2.12,2.12,1791,0
2017-09-15,17:00:00,2.12,2.16,2.12,2.145,5726,0
2017-09-15,18:00:00,2.12,2.15,2.12,2.1428,3310,0
2017-09-15,19:00:00,2.16,2.16,2.12,2.12,4450,0
2017-09-15,20:00:00,2.16,2.16,2.12,2.16,2106,0
2017-09-15,21:00:00,2.16,2.19,2.14,2.19,4644,0
2017-09-15,22:00:00,2.16,2.2,2,2,68310,0
2017-09-18,16:00:00,2,2.1,2,2.07,32253,0
2017-09-18,17:00:00,2.07,2.07,2,2.01,37174,0
2017-09-18,18:00:00,2.01,2.01,1.91,1.958,60219,0
2017-09-18,19:00:00,1.9686,1.97,1.95,1.96,3355,0
2017-09-18,20:00:00,1.96,1.9726,1.95,1.95,22451,0
2017-09-18,21:00:00,1.953,1.96,1.95,1.9539,17044,0
2017-09-18,22:00:00,1.95,1.95,1.9,1.92,30353,0
2017-09-19,16:00:00,1.94,1.95,1.92,1.92,6102,0
2017-09-19,17:00:00,1.92,1.93,1.901,1.901,8826,0
2017-09-19,18:00:00,1.9122,1.93,1.9,1.9,11826,0
2017-09-19,19:00:00,1.905,1.93,1.9,1.929,15548,0
2017-09-19,20:00:00,1.9289,1.94,1.92,1.93,11464,0
2017-09-19,21:00:00,1.94,1.949,1.93,1.949,13485,0
2017-09-19,22:00:00,1.95,1.95,1.93,1.93,6768,0
2017-09-20,16:00:00,1.9,1.946,1.9,1.946,3842,0
2017-09-20,17:00:00,1.92,1.9831,1.92,1.9606,8179,0
2017-09-20,18:00:00,1.93,1.93,1.92,1.93,600,0
2017-09-20,19:00:00,1.949,1.96,1.93,1.96,5116,0
2017-09-20,20:00:00,1.94,1.9586,1.94,1.94,1700,0
2017-09-20,21:00:00,1.9569,1.96,1.95,1.951,3000,0
2017-09-20,22:00:00,1.9651,1.9651,1.94,1.94,17634,0
2017-09-21,16:00:00,1.97,1.98,1.9249,1.9249,4223,0
2017-09-21,17:00:00,1.93,1.938,1.92,1.92,3901,0
2017-09-21,18:00:00,1.9201,1.9299,1.92,1.92,1600,0
2017-09-21,19:00:00,1.925,1.93,1.92,1.92,2800,0
2017-09-21,20:00:00,1.93,1.95,1.92,1.95,9030,0
2017-09-21,21:00:00,1.9499,1.9522,1.93,1.93,2666,0
2017-09-21,22:00:00,1.93,1.95,1.93,1.93,800,0
2017-09-22,16:00:00,1.97,1.97,1.91,1.91,5726,0
2017-09-22,17:00:00,1.96,1.97,1.9484,1.9484,4587,0
2017-09-22,18:00:00,1.9403,1.96,1.94,1.94,3260,0
2017-09-22,19:00:00,1.94,1.9459,1.91,1.9401,8366,0
2017-09-22,20:00:00,1.9514,1.9599,1.9514,1.9599,500,0
2017-09-22,21:00:00,1.94,1.9599,1.93,1.942,2220,0
2017-09-22,22:00:00,1.9586,1.97,1.93,1.97,13305,0
2017-09-25,16:00:00,1.95,1.97,1.94,1.94,1428,0
2017-09-25,17:00:00,1.95,1.95,1.94,1.95,10395,0
2017-09-25,18:00:00,1.94,1.95,1.91,1.94,6458,0
2017-09-25,19:00:00,1.95,1.95,1.89,1.8989,58472,0
2017-09-25,20:00:00,1.89,1.9,1.8708,1.89,7385,0
2017-09-25,21:00:00,1.89,1.89,1.8658,1.8799,6655,0
2017-09-25,22:00:00,1.875,1.91,1.875,1.89,32377,0
2017-09-26,16:00:00,1.86,1.8601,1.75,1.8469,20499,0
2017-09-26,17:00:00,1.8237,1.85,1.76,1.7736,35083,0
2017-09-26,18:00:00,1.771,1.795,1.76,1.78,11047,0
2017-09-26,19:00:00,1.78,1.78,1.76,1.778,25471,0
2017-09-26,20:00:00,1.78,1.78,1.75,1.77,13305,0
2017-09-26,21:00:00,1.7699,1.77,1.75,1.76,12629,0
2017-09-26,22:00:00,1.765,1.78,1.76,1.76,20260,0
2017-09-27,16:00:00,1.75,1.7713,1.75,1.75,6241,0
2017-09-27,17:00:00,1.7632,1.7814,1.75,1.775,6013,0
2017-09-27,18:00:00,1.778,1.7839,1.77,1.7839,5538,0
2017-09-27,19:00:00,1.77,1.79,1.765,1.765,3300,0
2017-09-27,20:00:00,1.7545,1.79,1.7545,1.7819,4395,0
2017-09-27,21:00:00,1.7746,1.8,1.75,1.788,5189,0
2017-09-27,22:00:00,1.77,1.8,1.76,1.76,7301,0
2017-09-28,16:00:00,1.76,1.8,1.76,1.77,2225,0
2017-09-28,17:00:00,1.76,1.78,1.74,1.77,4500,0
2017-09-28,18:00:00,1.7868,1.7868,1.77,1.77,800,0
2017-09-28,19:00:00,1.7864,1.797,1.76,1.76,3458,0
2017-09-28,20:00:00,1.771,1.771,1.771,1.771,200,0
2017-09-28,21:00:00,1.7854,1.7854,1.745,1.758,2989,0
2017-09-28,22:00:00,1.75,1.79,1.741,1.77,2871,0
2017-09-29,16:00:00,1.72,1.7501,1.7101,1.73,13950,0
2017-09-29,17:00:00,1.7425,1.79,1.74,1.79,4748,0
2017-09-29,18:00:00,1.79,1.8,1.77,1.78,6110,0
2017-09-29,19:00:00,1.75,1.77,1.74,1.76,5100,0
2017-09-29,20:00:00,1.76,1.7699,1.76,1.76,3633,0
2017-09-29,21:00:00,1.7699,1.7699,1.73,1.74,12964,0
2017-09-29,22:00:00,1.7413,1.7413,1.73,1.73,10419,0
2017-10-02,16:00:00,1.67,1.6857,1.6243,1.64,27547,0
2017-10-02,17:00:00,1.6482,1.6482,1.61,1.6118,12872,0
2017-10-02,18:00:00,1.61,1.6297,1.57,1.5779,33669,0
2017-10-02,19:00:00,1.5724,1.59,1.55,1.5753,22735,0
2017-10-02,20:00:00,1.57,1.58,1.57,1.58,14768,0
2017-10-02,21:00:00,1.5707,1.62,1.57,1.602,23043,0
2017-10-02,22:00:00,1.6052,1.63,1.6,1.62,17821,0
2017-10-03,16:00:00,1.63,1.649,1.63,1.6441,11625,0
2017-10-03,17:00:00,1.63,1.6366,1.62,1.62,12310,0
2017-10-03,18:00:00,1.62,1.6301,1.62,1.63,1700,0
2017-10-03,19:00:00,1.62,1.6299,1.62,1.6299,4125,0
2017-10-03,20:00:00,1.63,1.63,1.62,1.625,8260,0
2017-10-03,21:00:00,1.621,1.63,1.621,1.63,5585,0
2017-10-03,22:00:00,1.6287,1.64,1.62,1.62,9006,0
2017-10-04,16:00:00,1.64,1.69,1.63,1.68,10677,0
2017-10-04,17:00:00,1.65,1.6757,1.65,1.665,6775,0
2017-10-04,18:00:00,1.6668,1.6756,1.66,1.6756,3740,0
2017-10-04,19:00:00,1.6699,1.78,1.66,1.68,48672,0
2017-10-04,20:00:00,1.66,1.75,1.66,1.6916,12208,0
2017-10-04,21:00:00,1.69,1.72,1.69,1.7134,8084,0
2017-10-04,22:00:00,1.7,1.72,1.7,1.7,5386,0
2017-10-05,16:00:00,1.72,1.72,1.7001,1.7001,8269,0
2017-10-05,17:00:00,1.7099,1.7099,1.6934,1.6934,7665,0
2017-10-05,18:00:00,1.6917,1.6917,1.63,1.6401,37845,0
2017-10-05,19:00:00,1.64,1.65,1.62,1.65,4388,0
2017-10-05,20:00:00,1.6434,1.6457,1.63,1.6457,2504,0
2017-10-05,21:00:00,1.63,1.65,1.62,1.62,14613,0
2017-10-05,22:00:00,1.62,1.64,1.61,1.64,10900,0
2017-10-06,16:00:00,1.64,1.64,1.6294,1.6294,2143,0
2017-10-06,17:00:00,1.63,1.63,1.6,1.61,4314,0
2017-10-06,18:00:00,1.62,1.63,1.61,1.61,8960,0
2017-10-06,19:00:00,1.63,1.6533,1.62,1.65,13926,0
2017-10-06,20:00:00,1.65,1.654,1.6131,1.6259,10763,0
2017-10-06,21:00:00,1.6201,1.6242,1.62,1.62,1410,0
2017-10-06,22:00:00,1.62,1.63,1.62,1.63,7443,0
2017-10-09,16:00:00,1.63,1.7,1.61,1.68,10266,0
2017-10-09,17:00:00,1.65,1.69,1.65,1.6899,2008,0
2017-10-09,18:00:00,1.67,1.68,1.65,1.664,8508,0
2017-10-09,19:00:00,1.66,1.69,1.66,1.6899,10976,0
2017-10-09,20:00:00,1.67,1.759,1.67,1.71,55418,0
2017-10-09,21:00:00,1.72,1.759,1.67,1.695,6560,0
2017-10-09,22:00:00,1.71,1.72,1.68,1.72,6015,0
2017-10-10,16:00:00,1.85,2,1.7101,1.9438,115289,0
2017-10-10,17:00:00,1.94,1.9931,1.81,1.81,57690,0
2017-10-10,18:00:00,1.81,1.83,1.7621,1.78,21174,0
2017-10-10,19:00:00,1.8001,1.83,1.77,1.77,8350,0
2017-10-10,20:00:00,1.77,1.79,1.77,1.78,1450,0
2017-10-10,21:00:00,1.76,1.76,1.72,1.74,5080,0
2017-10-10,22:00:00,1.73,1.78,1.73,1.75,6680,0
2017-10-11,16:00:00,1.75,1.81,1.75,1.8,6277,0
2017-10-11,17:00:00,1.77,1.77,1.66,1.66,39818,0
2017-10-11,18:00:00,1.682,1.7207,1.68,1.7107,15998,0
2017-10-11,19:00:00,1.71,1.71,1.67,1.67,12798,0
2017-10-11,20:00:00,1.68,1.6999,1.67,1.68,5100,0
2017-10-11,21:00:00,1.68,1.69,1.68,1.69,5400,0
2017-10-11,22:00:00,1.69,1.72,1.68,1.69,22650,0
2017-10-12,16:00:00,1.66,1.68,1.65,1.66,9553,0
2017-10-12,17:00:00,1.65,1.6714,1.64,1.65,52213,0
2017-10-12,18:00:00,1.65,1.66,1.63,1.6514,16230,0
2017-10-12,19:00:00,1.6699,1.6811,1.65,1.6614,12344,0
2017-10-12,20:00:00,1.67,1.67,1.65,1.6533,21163,0
2017-10-12,21:00:00,1.65,1.679,1.65,1.66,5757,0
2017-10-12,22:00:00,1.65,1.67,1.65,1.65,9966,0
2017-10-13,16:00:00,1.64,1.66,1.63,1.66,1244,0
2017-10-13,17:00:00,1.643,2.09,1.6349,2.06,1625312,0
2017-10-13,18:00:00,2.03,2.17,1.98,2.1075,1097119,0
2017-10-13,19:00:00,2.1198,2.25,2.03,2.06,1009040,0
2017-10-13,20:00:00,2.068,2.1199,1.96,2.0155,397946,0
2017-10-13,21:00:00,2.0167,2.12,1.99,2.12,242180,0
2017-10-13,22:00:00,2.1,2.1904,2.06,2.12,440623,0
2017-10-16,16:00:00,2.22,2.25,2.0601,2.0728,337626,0
2017-10-16,17:00:00,2.07,2.18,2.06,2.11,124979,0
2017-10-16,18:00:00,2.1099,2.1099,2.06,2.09,80654,0
2017-10-16,19:00:00,2.09,2.14,2.07,2.0847,59070,0
2017-10-16,20:00:00,2.07,2.179,2.07,2.15,32368,0
2017-10-16,21:00:00,2.15,2.16,2.13,2.1516,21420,0
2017-10-16,22:00:00,2.1584,2.1974,2.13,2.19,73893,0
2017-10-17,16:00:00,2.17,2.219,2.15,2.1541,72857,0
2017-10-17,17:00:00,2.1565,2.171,2.035,2.08,121836,0
2017-10-17,18:00:00,2.087,2.0949,2.02,2.09,34609,0
2017-10-17,19:00:00,2.07,2.08,2.02,2.03,20705,0
2017-10-17,20:00:00,2.0338,2.059,2.03,2.03,96715,0
2017-10-17,21:00:00,2.05,2.09,2.03,2.0401,20100,0
2017-10-17,22:00:00,2.07,2.09,2.04,2.08,23137,0
2017-10-18,16:00:00,2.09,2.15,2.09,2.15,27571,0
2017-10-18,17:00:00,2.149,2.2,2.1292,2.2,38108,0
2017-10-18,18:00:00,2.2,2.25,2.14,2.174,223094,0
2017-10-18,19:00:00,2.1718,2.2,2.1,2.13,53519,0
2017-10-18,20:00:00,2.13,2.1466,2.1,2.1102,11573,0
2017-10-18,21:00:00,2.13,2.13,2.1,2.11,23623,0
2017-10-18,22:00:00,2.12,2.14,2.11,2.12,20094,0
2017-10-19,16:00:00,2.1,2.1137,2.0856,2.0856,19108,0
2017-10-19,17:00:00,2.0801,2.1172,2.08,2.0873,11897,0
2017-10-19,18:00:00,2.102,2.102,2.08,2.08,6584,0
2017-10-19,19:00:00,2.09,2.0926,2.05,2.05,19376,0
2017-10-19,20:00:00,2.0613,2.0613,2.02,2.03,13119,0
2017-10-19,21:00:00,2.0499,2.0499,2.0175,2.03,28153,0
2017-10-19,22:00:00,2.099,2.099,2.05,2.061,12023,0
2017-10-20,16:00:00,2.1,2.1,2.06,2.07,9937,0
2017-10-20,17:00:00,2.074,2.0908,2.07,2.07,9978,0
2017-10-20,18:00:00,2.0789,2.09,2.06,2.075,20620,0
2017-10-20,19:00:00,2.06,2.0852,2.06,2.0767,4862,0
2017-10-20,20:00:00,2.075,2.0962,2.066,2.08,7319,0
2017-10-20,21:00:00,2.0922,2.0922,2.07,2.07,7875,0
2017-10-20,22:00:00,2.0701,2.09,2.06,2.06,26639,0
2017-10-23,16:00:00,2.01,2.05,2,2.0279,37715,0
2017-10-23,17:00:00,2.0016,2.03,2,2.005,30060,0
2017-10-23,18:00:00,2.005,2.01,1.9727,1.9727,38362,0
2017-10-23,19:00:00,1.98,1.98,1.97,1.97,4476,0
2017-10-23,20:00:00,1.97,1.98,1.96,1.96,11165,0
2017-10-23,21:00:00,1.96,1.97,1.96,1.97,6400,0
2017-10-23,22:00:00,1.97,1.97,1.95,1.95,32409,0
2017-10-24,16:00:00,1.95,1.978,1.93,1.9394,7408,0
2017-10-24,17:00:00,1.93,1.93,1.85,1.86,68002,0
2017-10-24,18:00:00,1.8542,1.8542,1.81,1.829,30137,0
2017-10-24,19:00:00,1.8278,1.8296,1.8,1.81,27740,0
2017-10-24,20:00:00,1.815,1.82,1.8,1.815,17283,0
2017-10-24,21:00:00,1.815,1.82,1.8,1.8,3914,0
2017-10-24,22:00:00,1.8,1.817,1.8,1.8,18566,0
2017-10-25,16:00:00,1.8,1.809,1.73,1.733,38623,0
2017-10-25,17:00:00,1.7377,1.76,1.7,1.7,52975,0
2017-10-25,18:00:00,1.705,1.71,1.6604,1.6604,53226,0
2017-10-25,19:00:00,1.6856,1.6856,1.66,1.66,21430,0
2017-10-25,20:00:00,1.6713,1.73,1.67,1.73,16852,0
2017-10-25,21:00:00,1.7201,1.75,1.698,1.72,35496,0
2017-10-25,22:00:00,1.73,1.739,1.65,1.68,30058,0
2017-10-26,16:00:00,1.66,1.75,1.65,1.71,22962,0
2017-10-26,17:00:00,1.7253,1.7354,1.7,1.7,6052,0
2017-10-26,18:00:00,1.7,1.7714,1.6906,1.73,13256,0
2017-10-26,19:00:00,1.7486,1.7523,1.71,1.71,9181,0
2017-10-26,20:00:00,1.73,1.74,1.71,1.71,12778,0
2017-10-26,21:00:00,1.71,1.7308,1.71,1.73,8512,0
2017-10-26,22:00:00,1.72,1.73,1.7,1.71,12252,0
2017-10-27,16:00:00,1.7192,1.72,1.71,1.71,820,0
2017-10-27,17:00:00,1.7051,1.7051,1.65,1.66,44677,0
2017-10-27,18:00:00,1.66,1.7,1.65,1.6999,11262,0
2017-10-27,19:00:00,1.696,1.7,1.69,1.7,7500,0
2017-10-27,20:00:00,1.7,1.7,1.68,1.68,4159,0
2017-10-27,21:00:00,1.6896,1.692,1.66,1.66,9149,0
2017-10-27,22:00:00,1.67,1.689,1.66,1.67,9243,0
2017-10-30,15:00:00,1.66,1.66,1.65,1.65,2067,0
2017-10-30,16:00:00,1.6599,1.67,1.64,1.6448,24062,0
2017-10-30,17:00:00,1.645,1.6499,1.61,1.61,32602,0
2017-10-30,18:00:00,1.63,1.63,1.61,1.6209,33934,0
2017-10-30,19:00:00,1.62,1.62,1.6,1.61,25694,0
2017-10-30,20:00:00,1.605,1.62,1.605,1.6142,11198,0
2017-10-30,21:00:00,1.619,1.639,1.615,1.63,10730,0
2017-10-31,15:00:00,1.63,1.66,1.63,1.66,11872,0
2017-10-31,16:00:00,1.6583,1.66,1.64,1.6529,11150,0
2017-10-31,17:00:00,1.641,1.6599,1.64,1.6426,8690,0
2017-10-31,18:00:00,1.6353,1.64,1.63,1.6393,2500,0
2017-10-31,19:00:00,1.6337,1.66,1.63,1.6367,30377,0
2017-10-31,20:00:00,1.64,1.7,1.63,1.7,34901,0
2017-10-31,21:00:00,1.69,1.69,1.66,1.66,2757,0
2017-11-01,15:00:00,1.7,1.7,1.66,1.66,5860,0
2017-11-01,16:00:00,1.68,1.68,1.65,1.66,6754,0
2017-11-01,17:00:00,1.66,1.6605,1.65,1.6605,5300,0
2017-11-01,18:00:00,1.651,1.6566,1.63,1.63,11417,0
2017-11-01,19:00:00,1.63,1.67,1.63,1.65,9760,0
2017-11-01,20:00:00,1.6583,1.6601,1.6368,1.65,3400,0
2017-11-01,21:00:00,1.66,1.664,1.64,1.65,6420,0
2017-11-02,15:00:00,1.64,1.6699,1.63,1.63,3604,0
2017-11-02,16:00:00,1.65,1.67,1.63,1.6639,6929,0
2017-11-02,17:00:00,1.6647,1.6658,1.64,1.641,7159,0
2017-11-02,18:00:00,1.64,1.65,1.64,1.64,2288,0
2017-11-02,19:00:00,1.6452,1.66,1.64,1.65,3900,0
2017-11-02,20:00:00,1.65,1.6527,1.648,1.648,2599,0
2017-11-02,21:00:00,1.64,1.68,1.64,1.68,4765,0
2017-11-03,15:00:00,1.68,1.688,1.68,1.68,2213,0
2017-11-03,16:00:00,1.68,1.6975,1.6621,1.6621,5578,0
2017-11-03,17:00:00,1.68,1.68,1.66,1.6601,3950,0
2017-11-03,18:00:00,1.6628,1.68,1.66,1.68,9824,0
2017-11-03,19:00:00,1.6787,1.68,1.67,1.67,1277,0
2017-11-03,20:00:00,1.6839,1.6885,1.67,1.685,7870,0
2017-11-03,21:00:00,1.68,1.69,1.68,1.69,6870,0
2017-11-06,16:00:00,1.7,1.75,1.65,1.6599,26248,0
2017-11-06,17:00:00,1.65,1.6979,1.61,1.67,39642,0
2017-11-06,18:00:00,1.67,1.6816,1.65,1.65,6800,0
2017-11-06,19:00:00,1.6501,1.669,1.6308,1.6526,12036,0
2017-11-06,20:00:00,1.6401,1.6557,1.63,1.63,2700,0
2017-11-06,21:00:00,1.64,1.64,1.63,1.63,9056,0
2017-11-06,22:00:00,1.65,1.67,1.61,1.67,36154,0
2017-11-07,16:00:00,1.65,1.6958,1.6401,1.69,3159,0
2017-11-07,17:00:00,1.65,1.66,1.64,1.6599,7689,0
2017-11-07,19:00:00,1.64,1.64,1.63,1.63,299,0
2017-11-07,20:00:00,1.64,1.655,1.64,1.65,6751,0
2017-11-07,21:00:00,1.63,1.6503,1.63,1.6503,15332,0
2017-11-07,22:00:00,1.6427,1.6504,1.62,1.63,5995,0
2017-11-08,16:00:00,1.62,1.62,1.6,1.6032,11175,0
2017-11-08,17:00:00,1.6,1.6,1.56,1.5664,39892,0
2017-11-08,18:00:00,1.57,1.5787,1.56,1.57,40337,0
2017-11-08,19:00:00,1.57,1.5732,1.56,1.56,24080,0
2017-11-08,20:00:00,1.565,1.565,1.55,1.55,23772,0
2017-11-08,21:00:00,1.5401,1.5401,1.5,1.5001,77453,0
2017-11-08,22:00:00,1.515,1.53,1.4229,1.46,84795,0
2017-11-09,16:00:00,1.45,1.48,1.4,1.4288,26539,0
2017-11-09,17:00:00,1.4201,1.43,1.4,1.409,25645,0
2017-11-09,18:00:00,1.409,1.41,1.39,1.39,52425,0
2017-11-09,19:00:00,1.39,1.39,1.38,1.3868,16314,0
2017-11-09,20:00:00,1.3834,1.389,1.3601,1.3612,15745,0
2017-11-09,21:00:00,1.36,1.3601,1.35,1.3551,24462,0
2017-11-09,22:00:00,1.36,1.38,1.35,1.38,25943,0
2017-11-10,16:00:00,1.35,1.4,1.26,1.385,25876,0
2017-11-10,17:00:00,1.3823,1.389,1.3,1.31,19843,0
2017-11-10,18:00:00,1.31,1.39,1.31,1.33,23144,0
2017-11-10,19:00:00,1.33,1.3334,1.31,1.321,10045,0
2017-11-10,20:00:00,1.3334,1.34,1.33,1.3301,15300,0
2017-11-10,21:00:00,1.3393,1.3393,1.33,1.3337,11365,0
2017-11-10,22:00:00,1.33,1.359,1.33,1.35,21830,0
2017-11-13,16:00:00,1.35,1.35,1.33,1.3301,22586,0
2017-11-13,17:00:00,1.335,1.402,1.333,1.402,33480,0
2017-11-13,18:00:00,1.3901,1.43,1.38,1.4261,23689,0
2017-11-13,19:00:00,1.42,1.42,1.4,1.41,10860,0
2017-11-13,20:00:00,1.42,1.42,1.35,1.38,14774,0
2017-11-13,21:00:00,1.38,1.412,1.3779,1.407,1199,0
2017-11-13,22:00:00,1.4266,1.43,1.4,1.42,16125,0
2017-11-14,16:00:00,1.43,1.479,1.38,1.479,21736,0
2017-11-14,17:00:00,1.46,1.48,1.46,1.46,8352,0
2017-11-14,18:00:00,1.4737,1.53,1.46,1.49,39942,0
2017-11-14,19:00:00,1.48,1.499,1.48,1.48,18600,0
2017-11-14,20:00:00,1.4746,1.4799,1.45,1.4637,14140,0
2017-11-14,21:00:00,1.4607,1.48,1.46,1.47,7301,0
2017-11-14,22:00:00,1.46,1.47,1.4401,1.47,20722,0
2017-11-15,16:00:00,1.52,1.52,1.31,1.38,62055,0
2017-11-15,17:00:00,1.3805,1.3805,1.35,1.3628,27237,0
2017-11-15,18:00:00,1.36,1.38,1.36,1.38,26625,0
2017-11-15,19:00:00,1.37,1.379,1.34,1.34,32011,0
2017-11-15,20:00:00,1.3297,1.359,1.31,1.3237,28663,0
2017-11-15,21:00:00,1.32,1.349,1.32,1.34,11508,0
2017-11-15,22:00:00,1.33,1.36,1.33,1.36,37386,0
2017-11-16,16:00:00,1.31,1.3884,1.3,1.34,19750,0
2017-11-16,17:00:00,1.34,1.3703,1.32,1.35,4181,0
2017-11-16,18:00:00,1.3566,1.37,1.321,1.36,20546,0
2017-11-16,19:00:00,1.355,1.36,1.34,1.34,7348,0
2017-11-16,20:00:00,1.34,1.72,1.34,1.6913,750809,0
2017-11-16,21:00:00,1.6999,2.16,1.6915,2.01,3139010,0
2017-11-16,22:00:00,2.0204,2.32,1.93,2.2999,1789315,0
2017-11-17,16:00:00,2.32,2.33,2,2,886722,0
2017-11-17,17:00:00,2.0001,2.18,1.94,2.08,411856,0
2017-11-17,18:00:00,2.0716,2.25,2.03,2.1779,270660,0
2017-11-17,19:00:00,2.1744,2.23,2.08,2.0852,201251,0
2017-11-17,20:00:00,2.0897,2.15,2.0897,2.12,89864,0
2017-11-17,21:00:00,2.13,2.249,2.12,2.2292,138848,0
