Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,7.15,7.2,7.05,7.1,4680,0
2017-09-05,17:00:00,7.1,7.15,7,7,1900,0
2017-09-05,18:00:00,6.95,7.1,6.9,7.1,23834,0
2017-09-05,19:00:00,7.05,7.1,6.9,7,7000,0
2017-09-05,20:00:00,7,7.05,6.95,7,7564,0
2017-09-05,21:00:00,7.05,7.05,7,7.0379,2800,0
2017-09-05,22:00:00,7.025,7.15,7,7,8572,0
2017-09-06,16:00:00,7,7,7,7,300,0
2017-09-06,17:00:00,6.95,6.95,6.7,6.75,15991,0
2017-09-06,18:00:00,6.8,6.95,6.6,6.65,9081,0
2017-09-06,19:00:00,6.65,6.7,6.55,6.65,15188,0
2017-09-06,20:00:00,6.65,6.8,6.65,6.675,4000,0
2017-09-06,21:00:00,6.65,6.75,6.65,6.7,4140,0
2017-09-06,22:00:00,6.7,6.75,6.65,6.65,1726,0
2017-09-07,16:00:00,6.65,6.7,6.5699,6.5699,1262,0
2017-09-07,17:00:00,6.64,6.7,6.55,6.7,5000,0
2017-09-07,18:00:00,6.75,6.8,6.65,6.8,1600,0
2017-09-07,19:00:00,6.85,6.85,6.75,6.75,2185,0
2017-09-07,20:00:00,6.8,6.85,6.75,6.85,3341,0
2017-09-07,21:00:00,6.8,6.85,6.75,6.75,2400,0
2017-09-07,22:00:00,6.75,6.8,6.7,6.7,10704,0
2017-09-08,17:00:00,6.8,6.9,6.6,6.65,2450,0
2017-09-08,18:00:00,6.725,6.745,6.7,6.7,1300,0
2017-09-08,19:00:00,6.725,6.725,6.65,6.65,1500,0
2017-09-08,20:00:00,6.75,6.8,6.65,6.7,4852,0
2017-09-08,21:00:00,6.65,6.7,6.65,6.65,9280,0
2017-09-08,22:00:00,6.65,6.7,6.6,6.6,13139,0
2017-09-11,16:00:00,6.55,6.9,6.55,6.8,6445,0
2017-09-11,17:00:00,6.75,6.75,6.6,6.65,2500,0
2017-09-11,18:00:00,6.65,6.7,6.6,6.625,27430,0
2017-09-11,19:00:00,6.625,6.7,6.625,6.7,4147,0
2017-09-11,20:00:00,6.7244,6.85,6.7,6.8,2100,0
2017-09-11,21:00:00,6.75,6.8003,6.7,6.75,2400,0
2017-09-11,22:00:00,6.75,6.8,6.7,6.7,5847,0
2017-09-12,16:00:00,6.75,6.75,6.75,6.75,500,0
2017-09-12,17:00:00,6.75,6.85,6.75,6.85,14010,0
2017-09-12,18:00:00,6.821,6.85,6.75,6.85,6000,0
2017-09-12,19:00:00,6.8,6.85,6.8,6.825,1650,0
2017-09-12,20:00:00,6.8,6.85,6.75,6.8,3700,0
2017-09-12,21:00:00,6.8,6.85,6.7,6.7,9100,0
2017-09-12,22:00:00,6.7,6.7,6.65,6.65,5711,0
2017-09-13,16:00:00,6.85,6.95,6.79,6.8,62867,0
2017-09-13,17:00:00,6.8,6.9,6.8,6.85,5800,0
2017-09-13,18:00:00,6.85,6.95,6.8,6.9,7941,0
2017-09-13,19:00:00,6.95,6.95,6.9,6.925,15301,0
2017-09-13,20:00:00,6.9,6.95,6.9,6.9,4070,0
2017-09-13,21:00:00,6.9,6.9329,6.9,6.9,1961,0
2017-09-13,22:00:00,6.925,6.95,6.9,6.95,17003,0
