Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,17.57,17.57,17.565,17.565,565,0
2017-09-05,17:00:00,17.617,17.617,17.56,17.579,5579,0
2017-09-05,18:00:00,17.56,17.617,17.56,17.617,4518,0
2017-09-05,19:00:00,17.608,17.632,17.588,17.617,5343,0
2017-09-05,20:00:00,17.588,17.617,17.579,17.616,4410,0
2017-09-05,21:00:00,17.617,17.635,17.588,17.612,3027,0
2017-09-05,22:00:00,17.635,17.635,17.512,17.512,18071,0
2017-09-06,16:00:00,17.57,17.703,17.57,17.635,395,0
2017-09-06,17:00:00,17.551,17.617,17.54,17.617,5193,0
2017-09-06,18:00:00,17.617,17.617,17.603,17.617,1574,0
2017-09-06,19:00:00,17.617,17.617,17.608,17.617,1154,0
2017-09-06,20:00:00,17.617,17.635,17.579,17.579,5770,0
2017-09-06,21:00:00,17.579,17.634,17.522,17.522,7242,0
2017-09-06,22:00:00,17.522,17.626,17.522,17.531,4199,0
2017-09-07,16:00:00,17.635,17.704,17.598,17.598,1048,0
2017-09-07,17:00:00,17.561,17.598,17.541,17.598,1196,0
2017-09-07,18:00:00,17.56,17.598,17.54,17.552,1416,0
2017-09-07,19:00:00,17.598,17.635,17.567,17.635,3019,0
2017-09-07,20:00:00,17.635,17.635,17.55,17.626,3357,0
2017-09-07,21:00:00,17.635,17.665,17.591,17.635,3146,0
2017-09-07,22:00:00,17.635,17.635,17.598,17.626,3410,0
2017-09-08,16:00:00,17.731,17.731,17.529,17.535,7339,0
2017-09-08,17:00:00,17.682,17.682,17.55,17.645,1888,0
2017-09-08,18:00:00,17.588,17.588,17.455,17.531,10503,0
2017-09-08,19:00:00,17.464,17.531,17.464,17.531,2885,0
2017-09-08,20:00:00,17.531,17.54,17.35,17.445,17339,0
2017-09-08,21:00:00,17.492,17.617,17.491,17.502,3251,0
2017-09-08,22:00:00,17.492,17.635,17.397,17.407,2560,0
2017-09-11,16:00:00,17.522,17.778,17.522,17.778,8492,0
2017-09-11,17:00:00,17.769,17.826,17.519,17.519,26643,0
2017-09-11,18:00:00,17.713,17.722,17.635,17.722,16066,0
2017-09-11,19:00:00,17.722,17.722,17.666,17.722,11119,0
2017-09-11,20:00:00,17.688,17.722,17.688,17.722,21388,0
2017-09-11,21:00:00,17.717,17.722,17.674,17.713,13164,0
2017-09-11,22:00:00,17.713,17.808,17.612,17.683,40852,0
2017-09-12,16:00:00,17.626,17.626,17.483,17.626,4808,0
2017-09-12,17:00:00,17.598,17.598,17.54,17.588,8616,0
2017-09-12,18:00:00,17.54,17.588,17.54,17.588,7291,0
2017-09-12,19:00:00,17.588,17.626,17.54,17.558,15921,0
2017-09-12,20:00:00,17.588,17.626,17.55,17.593,8825,0
2017-09-12,21:00:00,17.596,17.626,17.579,17.579,10980,0
2017-09-12,22:00:00,17.579,17.626,17.54,17.626,20272,0
2017-09-13,16:00:00,17.56,17.579,17.54,17.579,5850,0
2017-09-13,17:00:00,17.55,17.588,17.54,17.544,29286,0
2017-09-13,18:00:00,17.545,17.545,17.54,17.54,12892,0
2017-09-13,19:00:00,17.54,17.55,17.54,17.54,12934,0
2017-09-13,20:00:00,17.54,17.55,17.54,17.54,9980,0
2017-09-13,21:00:00,17.54,17.617,17.54,17.574,11119,0
2017-09-13,22:00:00,17.579,17.579,17.54,17.56,29126,0
2017-09-14,16:00:00,17.54,17.655,17.502,17.56,4983,0
2017-09-14,17:00:00,17.484,17.626,17.484,17.54,25948,0
2017-09-14,18:00:00,17.54,17.565,17.54,17.54,19354,0
2017-09-14,19:00:00,17.54,17.635,17.54,17.54,7133,0
2017-09-14,20:00:00,17.598,17.635,17.54,17.578,9562,0
2017-09-14,21:00:00,17.54,17.593,17.54,17.55,8189,0
2017-09-14,22:00:00,17.55,17.635,17.493,17.54,34256,0
2017-09-15,16:00:00,17.54,17.626,17.519,17.626,5788,0
2017-09-15,17:00:00,17.602,17.635,17.56,17.608,10540,0
2017-09-15,18:00:00,17.617,17.617,17.56,17.571,19279,0
2017-09-15,19:00:00,17.617,17.703,17.593,17.703,17715,0
2017-09-15,20:00:00,17.703,17.703,17.626,17.703,14665,0
2017-09-15,21:00:00,17.665,17.703,17.655,17.703,33675,0
2017-09-15,22:00:00,17.703,18.352,17.55,17.55,549516,0
2017-09-18,16:00:00,17.54,17.883,17.483,17.683,10337,0
2017-09-18,17:00:00,17.683,17.711,17.579,17.711,4570,0
2017-09-18,18:00:00,17.722,17.808,17.617,17.683,6708,0
2017-09-18,19:00:00,17.75,17.751,17.598,17.722,3581,0
2017-09-18,20:00:00,17.722,17.722,17.605,17.665,4830,0
2017-09-18,21:00:00,17.633,17.708,17.598,17.65,8077,0
2017-09-18,22:00:00,17.608,17.761,17.598,17.761,11562,0
2017-09-19,16:00:00,17.778,17.778,17.761,17.761,1567,0
2017-09-19,17:00:00,17.761,17.826,17.683,17.731,8812,0
2017-09-19,18:00:00,17.808,17.826,17.64,17.64,35142,0
2017-09-19,19:00:00,17.608,17.773,17.56,17.731,11974,0
2017-09-19,20:00:00,17.731,17.817,17.713,17.783,11884,0
2017-09-19,21:00:00,17.761,17.788,17.588,17.731,18099,0
2017-09-19,22:00:00,17.751,17.769,17.588,17.635,16359,0
2017-09-20,16:00:00,18.065,18.065,17.808,17.921,18050,0
2017-09-20,17:00:00,17.952,18.008,17.598,17.894,42200,0
2017-09-20,18:00:00,18.008,18.008,17.598,17.894,15976,0
2017-09-20,19:00:00,18.017,18.017,17.903,17.931,7815,0
2017-09-20,20:00:00,17.941,17.941,17.686,17.836,20195,0
2017-09-20,21:00:00,17.846,17.931,17.72,17.737,3723,0
2017-09-20,22:00:00,17.894,18.017,17.847,18.008,14733,0
