Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,2.41,2.49,2.3716,2.41,2030,0
2017-09-05,17:00:00,2.39,2.4,2.39,2.4,1600,0
2017-09-05,18:00:00,2.3954,2.4,2.38,2.4,1000,0
2017-09-05,19:00:00,2.37,2.4,2.36,2.375,4900,0
2017-09-05,20:00:00,2.38,2.4,2.38,2.4,13100,0
2017-09-05,21:00:00,2.4,2.4,2.39,2.39,1400,0
2017-09-05,22:00:00,2.39,2.4,2.3725,2.4,2556,0
2017-09-06,16:00:00,2.3055,2.42,2.3,2.42,1600,0
2017-09-06,17:00:00,2.4226,2.43,2.3601,2.41,13399,0
2017-09-06,18:00:00,2.3592,2.415,2.3226,2.405,1155,0
2017-09-06,19:00:00,2.4,2.42,2.33,2.41,8900,0
2017-09-06,20:00:00,2.41,2.415,2.3646,2.415,1100,0
2017-09-06,21:00:00,2.34,2.4125,2.34,2.41,1800,0
2017-09-06,22:00:00,2.3798,2.4274,2.34,2.4,9613,0
2017-09-07,16:00:00,2.39,2.4,2.33,2.4,751,0
2017-09-07,17:00:00,2.4,2.43,2.38,2.41,23279,0
2017-09-07,18:00:00,2.4289,2.44,2.4221,2.44,5500,0
2017-09-07,19:00:00,2.4399,2.47,2.43,2.4625,9060,0
2017-09-07,20:00:00,2.46,2.48,2.46,2.472,15726,0
2017-09-07,21:00:00,2.4711,2.48,2.4,2.46,3540,0
2017-09-07,22:00:00,2.4602,2.47,2.43,2.435,7701,0
2017-09-08,16:00:00,2.42,2.42,2.3999,2.3999,7256,0
2017-09-08,17:00:00,2.3776,2.4769,2.3776,2.4,12354,0
2017-09-08,18:00:00,2.42,2.42,2.42,2.42,200,0
2017-09-08,19:00:00,2.41,2.46,2.41,2.46,6900,0
2017-09-08,20:00:00,2.45,2.47,2.45,2.45,7869,0
2017-09-08,21:00:00,2.47,2.49,2.42,2.471,5344,0
2017-09-08,22:00:00,2.47,2.48,2.44,2.44,700,0
2017-09-11,16:00:00,2.45,2.4673,2.4324,2.4673,2907,0
2017-09-11,17:00:00,2.46,2.49,2.415,2.45,2650,0
2017-09-11,18:00:00,2.49,2.49,2.4325,2.4359,400,0
2017-09-11,19:00:00,2.44,2.44,2.3899,2.4317,1674,0
2017-09-11,20:00:00,2.435,2.45,2.43,2.45,1490,0
2017-09-11,21:00:00,2.43,2.45,2.43,2.45,1400,0
2017-09-11,22:00:00,2.45,2.49,2.445,2.49,10095,0
2017-09-12,16:00:00,2.46,2.4899,2.4584,2.4602,3202,0
2017-09-12,17:00:00,2.48,2.48,2.48,2.48,100,0
2017-09-12,18:00:00,2.47,2.48,2.47,2.48,748,0
2017-09-12,19:00:00,2.48,2.49,2.47,2.47,3000,0
2017-09-12,20:00:00,2.48,2.48,2.48,2.48,100,0
