Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-06,16:00:00,2.52,2.52,2.49,2.5,81503,0
2017-09-06,17:00:00,2.495,2.51,2.49,2.5,58522,0
2017-09-06,18:00:00,2.5,2.5,2.48,2.48,33142,0
2017-09-06,19:00:00,2.48,2.5,2.48,2.485,48062,0
2017-09-06,20:00:00,2.49,2.51,2.48,2.505,50834,0
2017-09-06,21:00:00,2.505,2.51,2.5,2.505,61733,0
2017-09-06,22:00:00,2.505,2.51,2.5,2.51,209777,0
2017-09-07,16:00:00,2.51,2.52,2.48,2.48,81084,0
2017-09-07,17:00:00,2.48,2.565,2.47,2.5501,504284,0
2017-09-07,18:00:00,2.56,2.675,2.5531,2.645,540585,0
2017-09-07,19:00:00,2.6401,2.72,2.64,2.698,227913,0
2017-09-07,20:00:00,2.69,2.719,2.64,2.655,331544,0
2017-09-07,21:00:00,2.655,2.73,2.65,2.72,349318,0
2017-09-07,22:00:00,2.72,2.7784,2.72,2.76,634858,0
2017-09-08,16:00:00,2.78,2.78,2.67,2.675,273403,0
2017-09-08,17:00:00,2.6701,2.7,2.6025,2.63,300452,0
2017-09-08,18:00:00,2.63,2.655,2.61,2.61,177987,0
2017-09-08,19:00:00,2.615,2.64,2.61,2.635,66723,0
2017-09-08,20:00:00,2.635,2.64,2.59,2.595,192712,0
2017-09-08,21:00:00,2.59,2.6,2.575,2.585,146096,0
2017-09-08,22:00:00,2.5898,2.61,2.58,2.6,342726,0
2017-09-11,16:00:00,2.64,2.66,2.615,2.6336,78789,0
2017-09-11,17:00:00,2.63,2.635,2.59,2.595,93401,0
2017-09-11,18:00:00,2.6,2.65,2.59,2.635,130144,0
2017-09-11,19:00:00,2.6399,2.71,2.63,2.689,255289,0
2017-09-11,20:00:00,2.69,2.69,2.68,2.69,52962,0
2017-09-11,21:00:00,2.69,2.71,2.67,2.67,161640,0
2017-09-11,22:00:00,2.675,2.71,2.675,2.69,221556,0
2017-09-12,16:00:00,2.69,2.69,2.63,2.68,143447,0
2017-09-12,17:00:00,2.675,2.69,2.66,2.66,101535,0
2017-09-12,18:00:00,2.66,2.68,2.65,2.655,78010,0
2017-09-12,19:00:00,2.655,2.68,2.65,2.68,116811,0
2017-09-12,20:00:00,2.675,2.68,2.645,2.645,60359,0
2017-09-12,21:00:00,2.645,2.67,2.64,2.64,86430,0
2017-09-12,22:00:00,2.64,2.66,2.64,2.66,170038,0
2017-09-13,16:00:00,2.54,2.6,2.46,2.4701,553323,0
2017-09-13,17:00:00,2.47,2.56,2.47,2.555,573706,0
2017-09-13,18:00:00,2.55,2.59,2.55,2.59,136824,0
2017-09-13,19:00:00,2.584,2.63,2.584,2.63,126829,0
2017-09-13,20:00:00,2.63,2.64,2.62,2.64,154568,0
2017-09-13,21:00:00,2.64,2.64,2.62,2.6275,115050,0
2017-09-13,22:00:00,2.63,2.64,2.59,2.63,667790,0
2017-09-14,16:00:00,2.62,2.62,2.54,2.55,121797,0
2017-09-14,17:00:00,2.55,2.57,2.55,2.5634,114705,0
2017-09-14,18:00:00,2.565,2.59,2.5601,2.585,57784,0
2017-09-14,19:00:00,2.59,2.6,2.54,2.54,174509,0
2017-09-14,20:00:00,2.545,2.57,2.54,2.57,119042,0
2017-09-14,21:00:00,2.565,2.58,2.55,2.565,85474,0
2017-09-14,22:00:00,2.56,2.575,2.55,2.56,779569,0
2017-09-15,16:00:00,2.56,2.6,2.52,2.55,296009,0
2017-09-15,17:00:00,2.56,2.58,2.5535,2.565,146495,0
2017-09-15,18:00:00,2.57,2.59,2.55,2.585,158572,0
2017-09-15,19:00:00,2.59,2.59,2.57,2.58,50174,0
2017-09-15,20:00:00,2.5742,2.58,2.57,2.575,40035,0
2017-09-15,21:00:00,2.58,2.58,2.5701,2.58,47407,0
2017-09-15,22:00:00,2.58,2.59,2.57,2.57,653162,0
2017-09-18,16:00:00,2.58,2.6,2.56,2.575,120749,0
2017-09-18,17:00:00,2.58,2.59,2.53,2.59,223432,0
2017-09-18,18:00:00,2.59,2.59,2.56,2.58,163583,0
2017-09-18,19:00:00,2.585,2.59,2.57,2.575,87909,0
2017-09-18,20:00:00,2.58,2.59,2.5701,2.585,56925,0
2017-09-18,21:00:00,2.59,2.59,2.54,2.56,110582,0
2017-09-18,22:00:00,2.56,2.56,2.53,2.53,544707,0
2017-09-19,16:00:00,2.54,2.562,2.53,2.553,97237,0
2017-09-19,17:00:00,2.56,2.57,2.5456,2.5456,107725,0
2017-09-19,18:00:00,2.545,2.57,2.54,2.545,90137,0
2017-09-19,19:00:00,2.55,2.56,2.545,2.56,57947,0
2017-09-19,20:00:00,2.555,2.56,2.53,2.535,64653,0
2017-09-19,21:00:00,2.535,2.54,2.52,2.525,112783,0
2017-09-19,22:00:00,2.53,2.54,2.5107,2.53,471461,0
2017-09-20,16:00:00,2.5,2.55,2.5,2.53,115927,0
2017-09-20,17:00:00,2.53,2.55,2.52,2.535,93555,0
2017-09-20,18:00:00,2.53,2.53,2.5,2.505,157773,0
2017-09-20,19:00:00,2.505,2.51,2.48,2.5,176787,0
2017-09-20,20:00:00,2.5,2.51,2.48,2.49,149393,0
2017-09-20,21:00:00,2.49,2.51,2.4635,2.4742,254022,0
2017-09-20,22:00:00,2.4799,2.49,2.47,2.48,230833,0
2017-09-21,16:00:00,2.5,2.5,2.45,2.48,134735,0
2017-09-21,17:00:00,2.48,2.5,2.4701,2.4942,57732,0
2017-09-21,18:00:00,2.49,2.5,2.49,2.5,112541,0
2017-09-21,19:00:00,2.495,2.5,2.48,2.5,170901,0
2017-09-21,20:00:00,2.5,2.5,2.49,2.495,134683,0
2017-09-21,21:00:00,2.5,2.5,2.46,2.46,77174,0
2017-09-21,22:00:00,2.46,2.475,2.45,2.46,181989,0
2017-09-22,16:00:00,2.45,2.53,2.44,2.5268,267869,0
2017-09-22,17:00:00,2.525,2.58,2.5,2.56,266777,0
2017-09-22,18:00:00,2.555,2.6,2.55,2.58,133552,0
2017-09-22,19:00:00,2.58,2.58,2.5501,2.565,115901,0
2017-09-22,20:00:00,2.56,2.62,2.56,2.62,152575,0
2017-09-22,21:00:00,2.62,2.625,2.6,2.615,95786,0
2017-09-22,22:00:00,2.61,2.675,2.605,2.66,337145,0
2017-09-25,16:00:00,2.67,2.78,2.617,2.7637,354217,0
2017-09-25,17:00:00,2.76,2.86,2.76,2.825,657800,0
2017-09-25,18:00:00,2.8212,3,2.81,2.995,1097636,0
2017-09-25,19:00:00,3,3.05,2.945,3.0058,748551,0
2017-09-25,20:00:00,3.005,3.125,3,3.11,817359,0
2017-09-25,21:00:00,3.113,3.14,3.0301,3.06,440633,0
2017-09-25,22:00:00,3.06,3.08,3,3,863963,0
2017-09-26,16:00:00,3.05,3.07,2.84,2.8792,796396,0
2017-09-26,17:00:00,2.88,2.8854,2.8,2.875,376157,0
2017-09-26,18:00:00,2.87,2.93,2.86,2.88,166334,0
2017-09-26,19:00:00,2.8866,2.9,2.795,2.82,212117,0
2017-09-26,20:00:00,2.82,2.845,2.81,2.8294,137935,0
2017-09-26,21:00:00,2.83,2.835,2.8,2.805,114976,0
2017-09-26,22:00:00,2.8,2.81,2.705,2.72,579959,0
2017-09-27,16:00:00,2.78,2.81,2.71,2.79,256686,0
2017-09-27,17:00:00,2.79,2.86,2.785,2.8,419127,0
2017-09-27,18:00:00,2.8,2.82,2.78,2.785,150298,0
2017-09-27,19:00:00,2.78,2.81,2.78,2.805,65635,0
2017-09-27,20:00:00,2.81,2.825,2.8,2.815,185142,0
2017-09-27,21:00:00,2.819,2.82,2.79,2.8167,132011,0
2017-09-27,22:00:00,2.82,2.82,2.77,2.78,305880,0
2017-09-28,16:00:00,2.8,2.895,2.77,2.885,353678,0
2017-09-28,17:00:00,2.89,2.9,2.84,2.86,252702,0
2017-09-28,18:00:00,2.86,2.89,2.85,2.88,200853,0
2017-09-28,19:00:00,2.88,2.9,2.86,2.87,67642,0
2017-09-28,20:00:00,2.865,2.87,2.83,2.85,86910,0
2017-09-28,21:00:00,2.85,2.865,2.83,2.83,82690,0
2017-09-28,22:00:00,2.835,2.86,2.82,2.85,247128,0
2017-09-29,16:00:00,2.88,2.9,2.86,2.86,168423,0
2017-09-29,17:00:00,2.8658,2.88,2.83,2.86,243315,0
2017-09-29,18:00:00,2.865,2.88,2.86,2.8701,102654,0
2017-09-29,19:00:00,2.87,2.89,2.87,2.885,75346,0
2017-09-29,20:00:00,2.885,2.89,2.87,2.88,65317,0
2017-09-29,21:00:00,2.88,2.89,2.87,2.875,102075,0
2017-09-29,22:00:00,2.875,2.89,2.86,2.86,335260,0
2017-10-02,16:00:00,2.9,2.96,2.9,2.955,196318,0
2017-10-02,17:00:00,2.96,3,2.9425,2.95,381200,0
2017-10-02,18:00:00,2.955,2.97,2.94,2.94,244362,0
2017-10-02,19:00:00,2.94,2.96,2.93,2.9422,102827,0
2017-10-02,20:00:00,2.94,2.96,2.91,2.92,192493,0
2017-10-02,21:00:00,2.915,2.93,2.9,2.915,155902,0
2017-10-02,22:00:00,2.915,2.96,2.905,2.95,457217,0
2017-10-03,16:00:00,2.86,2.99,2.86,2.975,356622,0
2017-10-03,17:00:00,2.98,2.99,2.92,2.94,234238,0
2017-10-03,18:00:00,2.945,2.9875,2.93,2.98,1234022,0
2017-10-03,19:00:00,2.98,3.04,2.96,3.0381,621690,0
2017-10-03,20:00:00,3.035,3.05,3.0101,3.0101,164748,0
2017-10-03,21:00:00,3.02,3.02,3,3.005,98130,0
2017-10-03,22:00:00,3.005,3.02,2.97,3.01,1565595,0
2017-10-04,16:00:00,3.02,3.1,2.97,3.09,404053,0
2017-10-04,17:00:00,3.0938,3.25,3.09,3.2001,1551083,0
2017-10-04,18:00:00,3.21,3.23,3.15,3.1901,314417,0
2017-10-04,19:00:00,3.19,3.195,3.12,3.165,176650,0
2017-10-04,20:00:00,3.16,3.18,3.15,3.16,133588,0
2017-10-04,21:00:00,3.1615,3.19,3.16,3.17,380340,0
2017-10-04,22:00:00,3.17,3.17,3.13,3.15,331795,0
2017-10-05,16:00:00,3.16,3.22,3.11,3.1201,235861,0
2017-10-05,17:00:00,3.1237,3.199,3.1237,3.18,231876,0
2017-10-05,18:00:00,3.17,3.2,3.17,3.18,207639,0
2017-10-05,19:00:00,3.1851,3.189,3.12,3.137,194773,0
2017-10-05,20:00:00,3.135,3.16,3.135,3.15,78549,0
2017-10-05,21:00:00,3.155,3.16,3.125,3.145,145538,0
2017-10-05,22:00:00,3.14,3.17,3.14,3.15,216919,0
2017-10-06,16:00:00,3.16,3.21,3.15,3.2099,126248,0
2017-10-06,17:00:00,3.201,3.25,3.14,3.145,289912,0
2017-10-06,18:00:00,3.145,3.15,3.12,3.142,210789,0
2017-10-06,19:00:00,3.145,3.15,3.133,3.145,88562,0
2017-10-06,20:00:00,3.15,3.15,3.13,3.15,141793,0
2017-10-06,21:00:00,3.15,3.15,3.13,3.145,109964,0
2017-10-06,22:00:00,3.145,3.16,3.14,3.16,201780,0
2017-10-09,16:00:00,3.16,3.2,3.16,3.175,109627,0
2017-10-09,17:00:00,3.1774,3.205,3.155,3.205,230650,0
2017-10-09,18:00:00,3.21,3.26,3.2,3.21,440886,0
2017-10-09,19:00:00,3.21,3.21,3.155,3.18,121872,0
2017-10-09,20:00:00,3.1736,3.21,3.1736,3.205,112218,0
2017-10-09,21:00:00,3.21,3.23,3.2001,3.23,45836,0
2017-10-09,22:00:00,3.23,3.23,3.16,3.165,284082,0
2017-10-10,16:00:00,3.19,3.2,3.155,3.16,80165,0
2017-10-10,17:00:00,3.1636,3.1636,3.1,3.11,320959,0
2017-10-10,18:00:00,3.11,3.119,3.06,3.065,231683,0
2017-10-10,19:00:00,3.065,3.09,3.05,3.08,174484,0
2017-10-10,20:00:00,3.08,3.11,3.075,3.1,120419,0
2017-10-10,21:00:00,3.105,3.11,3.09,3.1,59560,0
2017-10-10,22:00:00,3.1,3.14,3.0999,3.115,195770,0
2017-10-11,16:00:00,3.12,3.1263,3.08,3.09,93294,0
2017-10-11,17:00:00,3.085,3.09,3.04,3.085,168774,0
2017-10-11,18:00:00,3.09,3.1,3.07,3.07,92796,0
2017-10-11,19:00:00,3.08,3.09,3.07,3.08,67418,0
2017-10-11,20:00:00,3.08,3.12,3.0735,3.1026,90499,0
2017-10-11,21:00:00,3.1,3.11,3.09,3.105,61451,0
2017-10-11,22:00:00,3.11,3.12,3.1,3.12,176811,0
2017-10-12,16:00:00,3.13,3.13,3.06,3.07,127826,0
2017-10-12,17:00:00,3.08,3.09,3.0613,3.0883,131788,0
2017-10-12,18:00:00,3.085,3.11,3.08,3.105,66066,0
