Date,Time,Open,High,Low,Close,Volume,OpenInt
2018-01-31,16:00:00,8.95,8.95,8.95,8.95,100,0
2018-02-01,19:00:00,8.99,8.99,8.99,8.99,105,0
2018-02-05,22:00:00,7.77,7.77,7.5,7.5,1600,0
2018-02-06,18:00:00,7.12,7.12,7.12,7.12,100,0
2018-02-06,22:00:00,7.45,7.9,7.45,7.9,1100,0
2018-02-13,16:00:00,7.34,7.34,7.34,7.34,200,0
2018-02-14,16:00:00,6.61,6.61,6.61,6.61,100,0
2018-02-14,22:00:00,6.8,6.8,6.8,6.8,100,0
2018-02-21,16:00:00,6.7,6.7,6.7,6.7,560,0
2018-02-23,21:00:00,7,7,7,7,100,0
2018-03-19,15:00:00,6.9,6.9,6.9,6.9,100,0
2018-03-22,15:00:00,7.5,7.5,7.5,7.5,100,0
