Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-06,16:00:00,92.82,93.61,92.32,93.61,3645,0
2017-09-06,17:00:00,93.61,93.72,92.97,93.28,14372,0
2017-09-06,18:00:00,93.3,93.43,92.99,93.43,11400,0
2017-09-06,19:00:00,93.31,93.42,93.21,93.41,1632,0
2017-09-06,20:00:00,93.42,94.035,93.42,93.72,4026,0
2017-09-06,21:00:00,93.72,93.92,93.58,93.73,5854,0
2017-09-06,22:00:00,93.8,93.88,93.62,93.76,29032,0
2017-09-07,16:00:00,94.25,94.25,93.16,93.51,3973,0
2017-09-07,17:00:00,93.57,94.695,93.42,93.77,25208,0
2017-09-07,18:00:00,93.785,94.16,93.5,94.07,5640,0
2017-09-07,19:00:00,93.98,94.41,93.865,93.92,6100,0
2017-09-07,20:00:00,94.09,94.5,94,94.23,6602,0
2017-09-07,21:00:00,94.16,94.21,93.82,93.82,9590,0
2017-09-07,22:00:00,93.975,94.02,93.66,93.88,27788,0
2017-09-08,16:00:00,93.75,94.5,93.38,94.29,22553,0
2017-09-08,17:00:00,94.4,94.7,94.21,94.515,16588,0
2017-09-08,18:00:00,94.67,94.94,94.58,94.58,16366,0
2017-09-08,19:00:00,94.6,94.68,94.5,94.63,4645,0
2017-09-08,20:00:00,94.61,94.63,94.52,94.62,2450,0
2017-09-08,21:00:00,94.63,94.77,94.5668,94.77,8668,0
2017-09-08,22:00:00,94.75,94.89,94.58,94.78,34215,0
2017-09-11,16:00:00,95,95.975,94.22,95.235,18436,0
2017-09-11,17:00:00,95.08,95.53,94.7,95.13,17312,0
2017-09-11,18:00:00,95.05,95.2455,94.93,95.04,8822,0
2017-09-11,19:00:00,94.99,95.38,94.99,95.37,6900,0
2017-09-11,20:00:00,95.315,95.33,95.09,95.11,10007,0
2017-09-11,21:00:00,95.11,95.23,95.03,95.06,7651,0
2017-09-11,22:00:00,95.055,95.075,94.41,94.46,39237,0
2017-09-12,16:00:00,94.96,95.27,94.16,95.17,28138,0
2017-09-12,17:00:00,95.11,95.76,95.06,95.06,8449,0
2017-09-12,18:00:00,95.08,95.46,95.08,95.32,10934,0
2017-09-12,19:00:00,95.385,96,95.38,95.77,13131,0
2017-09-12,20:00:00,95.94,96.82,95.9,96.67,52103,0
2017-09-12,21:00:00,96.63,96.64,95.7,95.74,19052,0
2017-09-12,22:00:00,95.74,96.03,95.55,95.93,35432,0
2017-09-13,16:00:00,95.71,96.36,94.68,94.82,31965,0
2017-09-13,17:00:00,94.79,94.86,93.95,94.39,14308,0
2017-09-13,18:00:00,94.18,94.5,93.62,93.69,8340,0
2017-09-13,19:00:00,93.71,94.015,93.57,93.66,6925,0
2017-09-13,20:00:00,93.57,93.66,93.26,93.36,10574,0
2017-09-13,21:00:00,93.42,93.94,93.42,93.8,20211,0
2017-09-13,22:00:00,93.75,94.03,93.67,94.01,36031,0
2017-09-14,16:00:00,93.89,94.9,93.31,93.46,32549,0
2017-09-14,17:00:00,93.35,94.6,93.35,94.22,5212,0
2017-09-14,18:00:00,94.45,94.89,94.25,94.4,5751,0
2017-09-14,19:00:00,94.4703,94.61,94.35,94.58,2350,0
2017-09-14,20:00:00,94.57,94.61,94.36,94.41,4156,0
2017-09-14,21:00:00,94.42,94.49,93.95,94.1,12817,0
2017-09-14,22:00:00,94.05,94.15,93.84,94.1,27274,0
2017-09-15,16:00:00,94.17,94.36,93.2,93.54,68459,0
2017-09-15,17:00:00,93.595,94.48,93.27,94.19,12691,0
2017-09-15,18:00:00,94.19,94.32,93.855,94.025,14901,0
2017-09-15,19:00:00,94.025,94.17,93.92,93.965,10742,0
2017-09-15,20:00:00,94.01,94.15,93.935,94.06,7192,0
2017-09-15,21:00:00,94.06,94.19,93.87,94.18,10170,0
2017-09-15,22:00:00,94.27,94.27,93.55,93.65,79906,0
2017-09-18,16:00:00,95.64,98.08,95.29,96.075,77790,0
2017-09-18,17:00:00,96.74,98.88,96.22,97.25,53584,0
2017-09-18,18:00:00,97.28,97.68,96.79,97.15,33107,0
2017-09-18,19:00:00,97.19,97.38,96.79,97.01,20678,0
2017-09-18,20:00:00,97.035,97.17,96.74,96.93,20032,0
2017-09-18,21:00:00,96.8,97.26,96.2,97.07,30274,0
2017-09-18,22:00:00,97.05,97.15,96.7,97,79537,0
2017-09-19,16:00:00,97.21,99,96.9,98.045,23556,0
2017-09-19,17:00:00,98.14,98.95,98.12,98.465,21807,0
2017-09-19,18:00:00,98.4,99.2,98.29,99.19,10693,0
2017-09-19,19:00:00,99.2,99.49,98.92,99.29,14205,0
2017-09-19,20:00:00,99.33,99.33,98.71,99.24,11879,0
2017-09-19,21:00:00,99.3,99.3,98.56,98.935,19160,0
2017-09-19,22:00:00,98.94,99.51,98.83,99.46,59247,0
2017-09-20,16:00:00,99.07,99.43,97.61,99.42,7717,0
2017-09-20,17:00:00,99.43,99.99,99.41,99.43,16219,0
2017-09-20,18:00:00,99.36,99.85,98.67,98.85,28355,0
2017-09-20,19:00:00,98.86,99.1,98.71,98.73,12007,0
2017-09-20,20:00:00,98.805,98.87,98.23,98.23,12448,0
2017-09-20,21:00:00,98.25,98.25,97.11,97.7499,51375,0
2017-09-20,22:00:00,97.74,98.56,97.74,98.44,56275,0
2017-09-21,16:00:00,98.45,98.95,96.44,97.83,21638,0
2017-09-21,17:00:00,97.92,98.19,97.86,97.98,7510,0
2017-09-21,18:00:00,97.93,98.58,97.92,98.49,4495,0
2017-09-21,19:00:00,98.33,98.43,98.2,98.26,3298,0
2017-09-21,20:00:00,98.24,98.52,98.22,98.37,4304,0
2017-09-21,21:00:00,98.41,98.42,98.11,98.19,5617,0
2017-09-21,22:00:00,98.34,98.36,98.1,98.18,21115,0
2017-09-22,16:00:00,98.14,98.68,94.925,98.61,4159,0
2017-09-22,17:00:00,98.49,99.07,98.26,99.07,12118,0
2017-09-22,18:00:00,98.67,99.22,98.67,98.8,4100,0
2017-09-22,19:00:00,98.875,99.07,98.55,98.59,18913,0
2017-09-22,20:00:00,98.68,98.81,98.27,98.77,14800,0
2017-09-22,21:00:00,98.8,98.8,98.24,98.35,8471,0
2017-09-22,22:00:00,98.4,98.56,98.22,98.25,28942,0
2017-09-25,16:00:00,97.85,98.74,97.57,97.83,9622,0
2017-09-25,17:00:00,97.78,98.15,96.9,96.9,26015,0
2017-09-25,18:00:00,97.03,97.03,96.17,96.265,11047,0
2017-09-25,19:00:00,96.19,96.24,95.85,96.24,8287,0
2017-09-25,20:00:00,96.26,96.605,96.22,96.42,11465,0
2017-09-25,21:00:00,96.47,96.53,95.94,96.03,31202,0
2017-09-25,22:00:00,95.93,96.13,95.785,95.98,65074,0
2017-09-26,16:00:00,96.25,96.99,95.45,96.59,13503,0
2017-09-26,17:00:00,96.66,97.24,96.6,96.6,10000,0
2017-09-26,18:00:00,96.555,96.6115,95.99,96.255,14604,0
