Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-29,16:00:00,23.938,24.209,23.878,24.164,3261,0
2017-08-29,17:00:00,24.095,24.371,24.095,24.31,5459,0
2017-08-29,18:00:00,24.371,24.44,24.332,24.332,3403,0
2017-08-29,19:00:00,24.411,24.486,24.411,24.486,2588,0
2017-08-29,20:00:00,24.44,24.45,24.361,24.361,1944,0
2017-08-29,21:00:00,24.475,24.476,24.442,24.476,406,0
2017-08-29,22:00:00,24.46,24.46,24.43,24.43,1594,0
2017-08-30,16:00:00,24.302,24.302,24.243,24.243,884,0
2017-08-30,17:00:00,24.402,24.545,24.402,24.536,1015,0
2017-08-30,18:00:00,24.578,24.578,24.529,24.576,3272,0
2017-08-30,19:00:00,24.637,24.726,24.636,24.667,4865,0
2017-08-30,20:00:00,24.667,24.687,24.598,24.598,2740,0
2017-08-30,21:00:00,24.581,24.581,24.491,24.491,355,0
2017-08-30,22:00:00,24.539,24.539,24.449,24.45,3247,0
2017-08-31,16:00:00,24.716,24.844,24.672,24.807,5417,0
2017-08-31,17:00:00,24.834,24.903,24.834,24.903,1268,0
2017-08-31,18:00:00,24.962,25.13,24.952,25.13,5406,0
2017-08-31,19:00:00,25.317,25.435,25.317,25.416,12236,0
2017-08-31,20:00:00,25.367,25.386,25.199,25.238,8307,0
2017-08-31,21:00:00,25.24,25.293,25.187,25.279,1476,0
2017-08-31,22:00:00,25.288,25.347,25.249,25.347,8799,0
2017-09-01,16:00:00,25.583,25.623,25.16,25.16,4731,0
2017-09-01,17:00:00,25.426,25.503,25.426,25.493,4160,0
2017-09-01,18:00:00,25.504,25.623,25.465,25.623,5304,0
2017-09-01,19:00:00,25.642,25.771,25.642,25.731,3593,0
2017-09-01,20:00:00,25.756,25.756,25.483,25.49,3044,0
2017-09-01,21:00:00,25.56,25.56,25.455,25.472,6011,0
2017-09-05,16:00:00,25.416,25.416,25.099,25.219,5376,0
2017-09-05,17:00:00,25.426,25.485,25.258,25.258,3698,0
2017-09-05,18:00:00,25.219,25.229,25.16,25.224,1776,0
2017-09-05,19:00:00,25.229,25.229,24.933,25.005,5277,0
2017-09-05,20:00:00,24.982,25.113,24.972,25.11,3754,0
2017-09-05,21:00:00,25.236,25.336,25.236,25.336,660,0
2017-09-05,22:00:00,25.292,25.386,25.268,25.386,4621,0
2017-09-06,16:00:00,25.642,25.652,25.401,25.413,2232,0
2017-09-06,17:00:00,25.392,25.392,25.268,25.268,559,0
2017-09-06,18:00:00,25.258,25.258,25.182,25.25,3247,0
2017-09-06,19:00:00,25.258,25.319,25.258,25.298,2080,0
2017-09-06,20:00:00,25.229,25.386,25.229,25.366,1870,0
2017-09-06,21:00:00,25.376,25.411,25.376,25.411,913,0
2017-09-06,22:00:00,25.411,25.419,25.337,25.337,1954,0
2017-09-07,16:00:00,25.702,25.702,25.376,25.534,5562,0
