Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-06,16:00:00,13.13,13.41,13.13,13.4038,245776,0
2017-09-06,17:00:00,13.41,13.54,13.21,13.47,473535,0
2017-09-06,18:00:00,13.466,13.47,13.27,13.31,233401,0
2017-09-06,19:00:00,13.31,13.34,13.2,13.26,161198,0
2017-09-06,20:00:00,13.255,13.3378,13.22,13.24,134547,0
2017-09-06,21:00:00,13.23,13.315,13.2,13.25,198450,0
2017-09-06,22:00:00,13.25,13.39,13.23,13.26,879165,0
2017-09-07,16:00:00,12.82,13.13,12.49,12.49,920785,0
2017-09-07,17:00:00,12.4955,12.53,12.13,12.21,1531902,0
2017-09-07,18:00:00,12.2,12.28,12.01,12.26,751805,0
2017-09-07,19:00:00,12.26,12.29,12.1601,12.2,371041,0
2017-09-07,20:00:00,12.2,12.2,12.005,12.0701,436401,0
2017-09-07,21:00:00,12.07,12.16,12.03,12.11,347295,0
2017-09-07,22:00:00,12.1,12.13,12.01,12.02,1284941,0
2017-09-08,16:00:00,11.96,12.02,11.56,11.65,1014169,0
2017-09-08,17:00:00,11.65,11.68,11.32,11.375,1097061,0
2017-09-08,18:00:00,11.375,11.46,11.33,11.38,674791,0
2017-09-08,19:00:00,11.38,11.43,11.2699,11.33,408172,0
2017-09-08,20:00:00,11.325,11.35,11.1,11.3,717505,0
2017-09-08,21:00:00,11.295,11.52,11.28,11.48,702891,0
2017-09-08,22:00:00,11.4863,11.55,11.35,11.38,1969274,0
2017-09-11,16:00:00,11.44,11.725,11.38,11.4799,353781,0
2017-09-11,17:00:00,11.47,11.72,11.46,11.71,555961,0
2017-09-11,18:00:00,11.705,11.89,11.62,11.78,443780,0
2017-09-11,19:00:00,11.78,11.8134,11.63,11.69,231100,0
2017-09-11,20:00:00,11.68,11.74,11.58,11.64,299708,0
2017-09-11,21:00:00,11.64,11.705,11.61,11.615,221118,0
2017-09-11,22:00:00,11.62,11.71,11.6175,11.66,826705,0
2017-09-12,16:00:00,11.79,12.24,11.77,12.23,670974,0
2017-09-12,17:00:00,12.23,12.47,12.2057,12.31,2103476,0
2017-09-12,18:00:00,12.31,12.52,12.16,12.5,708997,0
2017-09-12,19:00:00,12.49,12.56,12.4,12.51,461874,0
2017-09-12,20:00:00,12.5001,12.68,12.5,12.5195,350302,0
2017-09-12,21:00:00,12.51,12.64,12.51,12.57,346430,0
2017-09-12,22:00:00,12.571,12.575,12.36,12.37,879959,0
2017-09-13,16:00:00,12.5,13.148,12.5,13.14,566980,0
2017-09-13,17:00:00,13.14,13.2,12.88,13.11,1189285,0
2017-09-13,18:00:00,13.11,13.9062,13.07,13.87,1555507,0
2017-09-13,19:00:00,13.88,13.93,13.59,13.61,752403,0
2017-09-13,20:00:00,13.62,13.715,13.52,13.665,560599,0
2017-09-13,21:00:00,13.67,13.67,13.48,13.55,380472,0
2017-09-13,22:00:00,13.55,13.84,13.52,13.7201,1609054,0
2017-09-14,16:00:00,13.84,14.37,13.84,14.2701,750893,0
2017-09-14,17:00:00,14.27,14.655,14.21,14.625,1351156,0
2017-09-14,18:00:00,14.62,14.63,14.05,14.11,1207772,0
2017-09-14,19:00:00,14.12,14.17,13.87,13.88,536995,0
2017-09-14,20:00:00,13.89,14.09,13.76,14,526833,0
2017-09-14,21:00:00,14.01,14.08,13.99,14.035,342093,0
2017-09-14,22:00:00,14.04,14.175,13.95,14.1,1137196,0
2017-09-15,16:00:00,14.05,14.25,13.95,14.02,294530,0
2017-09-15,17:00:00,14.018,14.08,13.93,14.01,240212,0
2017-09-15,18:00:00,14,14.09,13.8731,13.8731,177015,0
2017-09-15,19:00:00,13.875,13.875,13.67,13.75,334501,0
2017-09-15,20:00:00,13.75,13.805,13.6,13.79,248844,0
2017-09-15,21:00:00,13.784,13.82,13.73,13.74,216760,0
2017-09-15,22:00:00,13.745,13.835,13.73,13.78,3386224,0
2017-09-18,16:00:00,13.69,13.75,13.27,13.695,476438,0
2017-09-18,17:00:00,13.6901,13.94,13.67,13.81,578929,0
2017-09-18,18:00:00,13.81,13.84,13.64,13.7,367116,0
2017-09-18,19:00:00,13.71,13.83,13.71,13.745,197843,0
2017-09-18,20:00:00,13.75,13.85,13.74,13.7442,226895,0
2017-09-18,21:00:00,13.75,13.75,13.64,13.66,238223,0
2017-09-18,22:00:00,13.67,13.77,13.665,13.76,773694,0
2017-09-19,16:00:00,13.88,14.09,13.88,14.05,345580,0
2017-09-19,17:00:00,14.06,14.13,13.8806,13.92,451714,0
2017-09-19,18:00:00,13.92,14.01,13.8,13.92,246322,0
2017-09-19,19:00:00,13.92,13.94,13.74,13.82,291163,0
2017-09-19,20:00:00,13.825,13.905,13.74,13.81,196195,0
2017-09-19,21:00:00,13.81,13.915,13.78,13.9,297427,0
2017-09-19,22:00:00,13.9,14.15,13.895,14.09,1294349,0
2017-09-20,16:00:00,14.19,14.49,14.16,14.47,259882,0
2017-09-20,17:00:00,14.47,14.52,14.31,14.39,498584,0
2017-09-20,18:00:00,14.4,14.54,14.36,14.47,393459,0
2017-09-20,19:00:00,14.47,14.6307,14.31,14.62,375033,0
2017-09-20,20:00:00,14.6253,15.015,14.5,14.77,640116,0
2017-09-20,21:00:00,14.77,14.879,14.6,14.64,451427,0
2017-09-20,22:00:00,14.65,14.72,14.58,14.67,927268,0
2017-09-21,16:00:00,14.59,14.72,14.31,14.48,243467,0
2017-09-21,17:00:00,14.48,14.64,14.47,14.48,227867,0
2017-09-21,18:00:00,14.49,14.575,14.33,14.53,208981,0
2017-09-21,19:00:00,14.53,14.615,14.48,14.55,635458,0
2017-09-21,20:00:00,14.56,14.58,14.45,14.535,248253,0
2017-09-21,21:00:00,14.54,14.61,14.53,14.6,162528,0
2017-09-21,22:00:00,14.6,14.72,14.58,14.7,582170,0
2017-09-22,16:00:00,14.66,14.8898,14.55,14.79,274094,0
2017-09-22,17:00:00,14.79,14.8,14.65,14.7749,445759,0
2017-09-22,18:00:00,14.78,14.805,14.61,14.67,290945,0
2017-09-22,19:00:00,14.67,14.74,14.51,14.57,791016,0
2017-09-22,20:00:00,14.57,14.685,14.54,14.62,351761,0
2017-09-22,21:00:00,14.62,14.67,14.53,14.56,273675,0
2017-09-22,22:00:00,14.5599,14.57,14.35,14.44,1307537,0
2017-09-25,16:00:00,14.63,15.34,14.63,15.18,607570,0
2017-09-25,17:00:00,15.17,15.27,14.97,15.06,480259,0
2017-09-25,18:00:00,15.05,15.1734,14.94,15.15,306874,0
2017-09-25,19:00:00,15.14,15.25,15.06,15.16,333466,0
2017-09-25,20:00:00,15.155,15.55,15.14,15.53,449049,0
2017-09-25,21:00:00,15.535,15.67,15.46,15.475,424290,0
2017-09-25,22:00:00,15.47,15.72,15.42,15.71,1128528,0
2017-09-26,16:00:00,15.48,16.01,15.36,15.965,579029,0
2017-09-26,17:00:00,15.96,16.4,15.92,16.27,1073293,0
2017-09-26,18:00:00,16.29,16.66,16.27,16.65,1041135,0
2017-09-26,19:00:00,16.65,16.81,16.5101,16.8,696197,0
2017-09-26,20:00:00,16.8,16.97,16.61,16.96,671859,0
2017-09-26,21:00:00,16.95,17.12,16.89,16.9255,1071670,0
2017-09-26,22:00:00,16.9299,17.07,16.82,16.915,1787382,0
2017-09-27,16:00:00,16.98,17.32,16.459,16.74,743141,0
2017-09-27,17:00:00,16.74,16.92,16.65,16.72,770223,0
2017-09-27,18:00:00,16.71,16.91,16.59,16.86,598425,0
2017-09-27,19:00:00,16.8576,17.26,16.84,17.2423,770432,0
2017-09-27,20:00:00,17.25,17.3,17,17.12,473066,0
2017-09-27,21:00:00,17.12,17.2,17,17.06,701312,0
2017-09-27,22:00:00,17.07,17.27,17.01,17.25,1077210,0
2017-09-28,16:00:00,17.33,17.7,17.197,17.2324,518099,0
2017-09-28,17:00:00,17.25,17.37,16.98,17.26,733775,0
2017-09-28,18:00:00,17.27,17.37,16.83,17.03,940105,0
2017-09-28,19:00:00,17.02,17.24,16.97,17.14,412592,0
2017-09-28,20:00:00,17.15,17.23,17.099,17.13,325263,0
2017-09-28,21:00:00,17.13,17.27,17.13,17.22,283106,0
2017-09-28,22:00:00,17.225,17.28,17.16,17.27,712522,0
2017-09-29,16:00:00,17.13,17.2,16.8,17.2,328250,0
2017-09-29,17:00:00,17.22,17.27,16.97,17.256,397611,0
2017-09-29,18:00:00,17.25,17.31,17.11,17.14,379377,0
2017-09-29,19:00:00,17.14,17.3868,17.13,17.25,231308,0
2017-09-29,20:00:00,17.24,17.31,17.18,17.21,186831,0
2017-09-29,21:00:00,17.21,17.36,17.15,17.1525,230724,0
2017-09-29,22:00:00,17.15,17.18,17.08,17.13,737054,0
2017-10-02,16:00:00,16.75,17.04,16.28,16.9,527775,0
2017-10-02,17:00:00,16.92,17.05,16.81,16.86,343985,0
2017-10-02,18:00:00,16.86,17.05,16.74,16.93,376367,0
2017-10-02,19:00:00,16.93,17.19,16.91,17.14,260397,0
2017-10-02,20:00:00,17.13,17.24,16.99,17.15,219470,0
2017-10-02,21:00:00,17.14,17.18,17.04,17.14,188257,0
2017-10-02,22:00:00,17.135,17.44,17.11,17.36,918061,0
2017-10-03,16:00:00,17.24,17.41,16.98,17.31,323147,0
2017-10-03,17:00:00,17.31,17.35,17,17.175,899903,0
2017-10-03,18:00:00,17.17,17.205,17.04,17.18,254905,0
2017-10-03,19:00:00,17.18,17.255,17.18,17.24,265559,0
2017-10-03,20:00:00,17.24,17.25,17.07,17.08,541294,0
2017-10-03,21:00:00,17.075,17.09,16.9,16.925,784160,0
2017-10-03,22:00:00,16.9225,17.28,16.89,17.24,1584639,0
2017-10-04,16:00:00,17.33,17.61,17.17,17.17,181692,0
2017-10-04,17:00:00,17.16,17.35,16.99,17.16,507632,0
2017-10-04,18:00:00,17.15,17.19,16.955,16.96,340631,0
2017-10-04,19:00:00,16.96,16.96,16.5488,16.57,572936,0
2017-10-04,20:00:00,16.56,16.66,16.48,16.51,244209,0
2017-10-04,21:00:00,16.51,16.58,16.42,16.54,339481,0
2017-10-04,22:00:00,16.54,16.63,16.53,16.56,758150,0
2017-10-05,16:00:00,16.76,17.27,16.6201,17.065,667176,0
2017-10-05,17:00:00,17.06,17.49,16.99,17.44,668906,0
2017-10-05,18:00:00,17.44,17.455,17.14,17.18,494443,0
2017-10-05,19:00:00,17.18,17.22,16.95,17.04,466422,0
2017-10-05,20:00:00,17.04,17.18,16.995,17.11,235736,0
2017-10-05,21:00:00,17.11,17.28,17.08,17.23,291129,0
2017-10-05,22:00:00,17.23,17.26,17.15,17.2,632848,0
2017-10-06,16:00:00,16.9,17.09,16.7,17.0035,597647,0
2017-10-06,17:00:00,17,17.085,16.82,16.875,687090,0
2017-10-06,18:00:00,16.875,17.02,16.86,17.02,567988,0
2017-10-06,19:00:00,17.02,17.07,16.87,16.955,319170,0
2017-10-06,20:00:00,16.94,17.06,16.895,16.91,250380,0
2017-10-06,21:00:00,16.91,17.01,16.89,16.995,253515,0
2017-10-06,22:00:00,16.995,17.005,16.74,16.82,1232271,0
2017-10-09,16:00:00,16.8,17,16.68,16.69,185642,0
2017-10-09,17:00:00,16.7,16.86,16.64,16.67,228439,0
2017-10-09,18:00:00,16.68,16.82,16.64,16.64,212309,0
2017-10-09,19:00:00,16.645,16.66,16.27,16.52,693217,0
2017-10-09,20:00:00,16.53,16.6,16.48,16.55,120271,0
2017-10-09,21:00:00,16.56,16.56,16.46,16.505,159429,0
2017-10-09,22:00:00,16.5,16.53,16.39,16.51,794437,0
2017-10-10,16:00:00,16.62,16.95,16.54,16.83,488139,0
2017-10-10,17:00:00,16.83,16.89,16.625,16.76,426475,0
2017-10-10,18:00:00,16.76,16.835,16.52,16.53,294474,0
2017-10-10,19:00:00,16.53,16.715,16.51,16.61,341053,0
2017-10-10,20:00:00,16.605,16.62,16.49,16.5,141735,0
2017-10-10,21:00:00,16.505,16.605,16.45,16.555,373940,0
2017-10-10,22:00:00,16.555,16.58,16.4,16.44,658042,0
2017-10-11,16:00:00,16.46,16.58,16.14,16.16,287378,0
2017-10-11,17:00:00,16.16,16.29,16.05,16.05,407903,0
2017-10-11,18:00:00,16.05,16.05,15.73,15.83,533029,0
2017-10-11,19:00:00,15.83,15.98,15.76,15.85,452282,0
2017-10-11,20:00:00,15.85,16.23,15.84,16.2,363050,0
2017-10-11,21:00:00,16.2,16.6,16.16,16.4901,2565546,0
2017-10-11,22:00:00,16.495,16.755,16.465,16.67,1056565,0
2017-10-12,16:00:00,16.31,16.31,15.78,15.99,639273,0
2017-10-12,17:00:00,15.99,16.26,15.95,16.21,845217,0
2017-10-12,18:00:00,16.2,16.49,16.1059,16.48,629930,0
2017-10-12,19:00:00,16.49,16.7,16.26,16.28,544366,0
2017-10-12,20:00:00,16.2757,16.44,16.23,16.31,303216,0
2017-10-12,21:00:00,16.31,16.32,16.09,16.1448,362254,0
2017-10-12,22:00:00,16.15,16.31,16.135,16.28,860171,0
2017-10-13,16:00:00,16.55,16.85,16.35,16.48,305771,0
2017-10-13,17:00:00,16.48,16.51,16.28,16.36,205502,0
2017-10-13,18:00:00,16.37,16.5,16.36,16.435,202365,0
2017-10-13,19:00:00,16.44,16.49,16.415,16.44,109373,0
2017-10-13,20:00:00,16.44,16.445,16.27,16.32,156382,0
2017-10-13,21:00:00,16.32,16.39,16.3,16.3,140093,0
2017-10-13,22:00:00,16.295,16.295,16.19,16.24,620773,0
2017-10-16,16:00:00,16.37,16.48,16.21,16.41,232484,0
2017-10-16,17:00:00,16.41,16.54,16.38,16.415,315485,0
2017-10-16,18:00:00,16.41,16.4847,16.2132,16.24,234687,0
2017-10-16,19:00:00,16.23,16.38,16.23,16.25,171797,0
2017-10-16,20:00:00,16.25,16.33,16.12,16.12,160140,0
2017-10-16,21:00:00,16.12,16.22,16.1,16.14,266367,0
2017-10-16,22:00:00,16.135,16.175,16.1,16.16,551675,0
2017-10-17,16:00:00,16.23,16.3997,16.03,16.36,149914,0
2017-10-17,17:00:00,16.36,16.49,16.02,16.08,361328,0
2017-10-17,18:00:00,16.0775,16.46,16.0775,16.4308,260086,0
2017-10-17,19:00:00,16.44,16.63,16.4,16.62,407289,0
2017-10-17,20:00:00,16.63,16.66,16.32,16.34,355167,0
2017-10-17,21:00:00,16.34,16.49,16.3,16.45,190132,0
2017-10-17,22:00:00,16.46,16.53,16.39,16.5,837734,0
2017-10-18,16:00:00,16.48,16.7845,16.4286,16.68,234306,0
2017-10-18,17:00:00,16.69,16.75,16.2,16.28,607679,0
2017-10-18,18:00:00,16.28,16.29,15.97,16.08,445569,0
2017-10-18,19:00:00,16.09,16.1,16,16.06,228748,0
2017-10-18,20:00:00,16.06,16.07,15.9,15.93,251896,0
2017-10-18,21:00:00,15.94,15.99,15.9,15.985,162244,0
2017-10-18,22:00:00,15.98,15.995,15.81,15.85,886157,0
2017-10-19,16:00:00,15.59,15.79,15.12,15.5101,289257,0
2017-10-19,17:00:00,15.52,15.59,15.335,15.495,294454,0
2017-10-19,18:00:00,15.49,15.495,15.37,15.46,156868,0
2017-10-19,19:00:00,15.46,15.49,15.39,15.43,170840,0
2017-10-19,20:00:00,15.425,15.4807,15.405,15.42,147961,0
2017-10-19,21:00:00,15.42,15.57,15.42,15.525,170702,0
2017-10-19,22:00:00,15.525,15.545,15.47,15.52,509058,0
2017-10-20,16:00:00,15.59,15.649,15.21,15.2457,294892,0
2017-10-20,17:00:00,15.25,15.59,15.25,15.51,252697,0
2017-10-20,18:00:00,15.51,15.58,15.46,15.54,182311,0
2017-10-20,19:00:00,15.54,15.555,15.41,15.52,164625,0
2017-10-20,20:00:00,15.52,15.76,15.5,15.76,490055,0
2017-10-20,21:00:00,15.76,16,15.75,15.885,444364,0
2017-10-20,22:00:00,15.88,15.99,15.85,15.94,692529,0
2017-10-23,16:00:00,15.97,16.06,15.68,15.81,167145,0
2017-10-23,17:00:00,15.81,15.9,15.53,15.59,360955,0
2017-10-23,18:00:00,15.599,15.64,15.38,15.38,418718,0
2017-10-23,19:00:00,15.38,15.48,15.115,15.22,726763,0
2017-10-23,20:00:00,15.22,15.29,15.1,15.15,429871,0
2017-10-23,21:00:00,15.15,15.18,15.115,15.15,290450,0
2017-10-23,22:00:00,15.15,15.22,14.93,14.94,952234,0
2017-10-24,16:00:00,15,15.57,15,15.27,448253,0
