Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-04,19:00:00,9.74,9.74,9.74,9.74,8447,0
2017-05-04,20:00:00,9.74,9.8,9.74,9.75,33883,0
2017-05-04,21:00:00,9.75,9.75,9.75,9.75,17935,0
2017-05-05,17:00:00,9.79,9.79,9.79,9.79,1000,0
2017-05-08,18:00:00,9.6999,9.71,9.6759,9.71,7800,0
2017-05-08,19:00:00,9.71,9.71,9.7028,9.71,28800,0
2017-05-08,20:00:00,9.7,9.7,9.7,9.7,1000,0
2017-05-08,21:00:00,9.7,9.71,9.6822,9.71,47939,0
2017-05-08,22:00:00,9.72,9.75,9.72,9.75,9700,0
2017-05-09,20:00:00,9.67,9.7,9.67,9.68,136800,0
2017-05-09,21:00:00,9.7,9.75,9.7,9.75,152500,0
2017-05-09,22:00:00,9.75,9.75,9.74,9.74,4100,0
2017-05-10,16:00:00,9.75,9.7755,9.75,9.75,9246,0
2017-05-10,17:00:00,9.75,9.75,9.75,9.75,500,0
2017-05-10,18:00:00,9.75,9.75,9.75,9.75,700,0
2017-05-10,19:00:00,9.75,9.75,9.71,9.75,7400,0
2017-05-10,20:00:00,9.75,9.75,9.75,9.75,400,0
2017-05-10,21:00:00,9.75,9.75,9.7,9.7,1027700,0
2017-05-10,22:00:00,9.7,9.75,9.7,9.75,52203,0
2017-05-11,16:00:00,9.72,9.74,9.72,9.74,22225,0
2017-05-11,17:00:00,9.74,9.74,9.74,9.74,700,0
2017-05-11,18:00:00,9.74,9.74,9.74,9.74,600,0
2017-05-11,20:00:00,9.72,9.73,9.72,9.72,4400,0
2017-05-11,21:00:00,9.71,9.73,9.71,9.73,12900,0
2017-05-11,22:00:00,9.73,9.73,9.73,9.73,2500,0
2017-05-12,16:00:00,9.71,9.75,9.71,9.75,149000,0
2017-05-12,17:00:00,9.73,9.73,9.73,9.73,500,0
2017-05-12,18:00:00,9.73,9.73,9.73,9.73,600,0
2017-05-12,19:00:00,9.73,9.73,9.73,9.73,700,0
2017-05-12,20:00:00,9.73,9.73,9.73,9.73,100,0
2017-05-12,21:00:00,9.73,9.73,9.72,9.73,3400,0
2017-05-12,22:00:00,9.73,9.73,9.73,9.73,2600,0
2017-05-15,22:00:00,9.67,9.8,9.67,9.68,7177,0
2017-05-16,16:00:00,9.79,9.79,9.78,9.78,300,0
2017-05-16,17:00:00,9.78,9.78,9.77,9.78,5700,0
2017-05-16,18:00:00,9.78,9.79,9.75,9.79,12800,0
2017-05-16,19:00:00,9.77,9.8,9.77,9.8,6400,0
2017-05-16,20:00:00,9.75,9.78,9.75,9.76,301100,0
2017-05-16,21:00:00,9.78,9.78,9.76,9.76,6600,0
2017-05-16,22:00:00,9.76,9.8,9.75,9.79,8550,0
2017-05-17,16:00:00,9.75,9.76,9.75,9.755,1452,0
2017-05-17,17:00:00,9.75,9.79,9.72,9.72,7655,0
2017-05-17,18:00:00,9.74,9.74,9.72,9.72,300,0
2017-05-17,19:00:00,9.745,9.75,9.745,9.75,1000,0
2017-05-17,21:00:00,9.73,9.75,9.7,9.75,21600,0
2017-05-17,22:00:00,9.75,9.77,9.7,9.72,8300,0
2017-05-18,19:00:00,9.7,9.7,9.7,9.7,125512,0
2017-05-18,20:00:00,9.7,9.73,9.7,9.7,2400,0
2017-05-18,21:00:00,9.7,9.73,9.7,9.7,2200,0
2017-05-18,22:00:00,9.73,9.73,9.7,9.73,3000,0
2017-05-19,21:00:00,9.75,9.8,9.75,9.77,11541,0
2017-05-19,22:00:00,9.77,9.77,9.74,9.76,3563,0
2017-05-22,17:00:00,9.75,9.75,9.75,9.75,200,0
2017-05-22,18:00:00,9.75,9.75,9.75,9.75,1000,0
2017-05-22,19:00:00,9.75,9.75,9.75,9.75,500,0
2017-05-22,20:00:00,9.75,9.75,9.75,9.75,800,0
2017-05-22,21:00:00,9.75,9.75,9.74,9.74,1100,0
2017-05-22,22:00:00,9.74,9.74,9.72,9.72,2253,0
2017-05-23,19:00:00,9.72,9.72,9.72,9.72,400,0
2017-05-23,20:00:00,9.72,9.72,9.72,9.72,1000,0
2017-05-23,21:00:00,9.72,9.72,9.72,9.72,1300,0
2017-05-23,22:00:00,9.72,9.74,9.72,9.74,3100,0
2017-05-24,21:00:00,9.7,9.72,9.7,9.72,500700,0
2017-05-24,22:00:00,9.72,9.72,9.71,9.71,4563,0
2017-05-25,16:00:00,9.73,9.73,9.73,9.73,300,0
2017-05-25,17:00:00,9.73,9.73,9.73,9.73,700,0
2017-05-25,18:00:00,9.72,9.745,9.72,9.745,1300,0
2017-05-25,19:00:00,9.72,9.72,9.72,9.72,600,0
2017-05-25,20:00:00,9.72,9.72,9.72,9.72,400,0
2017-05-25,21:00:00,9.72,9.72,9.71,9.72,14332,0
2017-05-25,22:00:00,9.72,9.72,9.7,9.7,2600,0
