Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,13.519,13.616,13.419,13.519,685316,0
2017-09-05,17:00:00,13.509,13.529,13.429,13.469,584647,0
2017-09-05,18:00:00,13.459,13.509,13.442,13.489,353058,0
2017-09-05,19:00:00,13.489,13.494,13.282,13.382,688022,0
2017-09-05,20:00:00,13.392,13.409,13.302,13.397,350855,0
2017-09-05,21:00:00,13.392,13.439,13.362,13.409,627383,0
2017-09-05,22:00:00,13.409,13.459,13.409,13.439,738396,0
2017-09-06,16:00:00,13.519,13.586,13.392,13.469,324325,0
2017-09-06,17:00:00,13.469,13.509,13.377,13.419,411236,0
2017-09-06,18:00:00,13.419,13.459,13.337,13.429,633630,0
2017-09-06,19:00:00,13.429,13.449,13.409,13.425,146952,0
2017-09-06,20:00:00,13.429,13.499,13.429,13.439,278129,0
2017-09-06,21:00:00,13.439,13.479,13.409,13.429,187586,0
2017-09-06,22:00:00,13.439,13.469,13.401,13.419,607028,0
2017-09-07,16:00:00,13.409,13.474,13.312,13.362,443681,0
2017-09-07,17:00:00,13.362,13.449,13.332,13.424,341537,0
2017-09-07,18:00:00,13.419,13.429,13.322,13.342,242570,0
2017-09-07,19:00:00,13.337,13.372,13.319,13.372,172165,0
2017-09-07,20:00:00,13.368,13.392,13.347,13.368,283411,0
2017-09-07,21:00:00,13.367,13.377,13.292,13.317,541064,0
2017-09-07,22:00:00,13.322,13.362,13.278,13.352,659757,0
2017-09-08,16:00:00,13.392,13.459,13.312,13.342,487051,0
2017-09-08,17:00:00,13.352,13.401,13.136,13.215,754838,0
2017-09-08,18:00:00,13.21,13.254,13.16,13.185,199893,0
2017-09-08,19:00:00,13.185,13.2,13.146,13.175,205201,0
2017-09-08,20:00:00,13.175,13.195,13.155,13.165,72243,0
2017-09-08,21:00:00,13.175,13.195,13.117,13.141,184549,0
2017-09-08,22:00:00,13.141,13.205,13.136,13.19,529454,0
2017-09-11,16:00:00,13.302,13.409,13.264,13.352,793137,0
2017-09-11,17:00:00,13.357,13.419,13.302,13.319,1084945,0
2017-09-11,18:00:00,13.319,13.392,13.312,13.372,430010,0
2017-09-11,19:00:00,13.362,13.429,13.357,13.424,482383,0
2017-09-11,20:00:00,13.419,13.519,13.419,13.489,472362,0
2017-09-11,21:00:00,13.489,13.519,13.469,13.484,280130,0
2017-09-11,22:00:00,13.484,13.519,13.479,13.509,865574,0
2017-09-12,16:00:00,13.556,13.631,13.479,13.586,436751,0
2017-09-12,17:00:00,13.586,13.615,13.509,13.547,460806,0
2017-09-12,18:00:00,13.547,13.646,13.538,13.583,402949,0
2017-09-12,19:00:00,13.586,13.647,13.581,13.642,378416,0
2017-09-12,20:00:00,13.646,13.753,13.626,13.699,771486,0
2017-09-12,21:00:00,13.694,14.046,13.689,13.733,2502762,0
2017-09-12,22:00:00,13.733,13.88,13.709,13.861,1951440,0
2017-09-13,16:00:00,13.812,13.831,13.611,13.758,932280,0
2017-09-13,17:00:00,13.753,13.768,13.561,13.585,1335489,0
2017-09-13,18:00:00,13.586,13.665,13.561,13.636,686257,0
2017-09-13,19:00:00,13.636,13.846,13.636,13.802,705338,0
2017-09-13,20:00:00,13.802,13.9,13.773,13.88,705649,0
2017-09-13,21:00:00,13.89,13.949,13.851,13.875,851711,0
2017-09-13,22:00:00,13.87,13.89,13.812,13.841,1352990,0
2017-09-14,16:00:00,13.802,13.88,13.723,13.841,619313,0
2017-09-14,17:00:00,13.851,13.993,13.802,13.993,1306145,0
2017-09-14,18:00:00,13.998,14.115,13.958,13.958,1239932,0
2017-09-14,19:00:00,13.968,14.095,13.949,14.095,529027,0
2017-09-14,20:00:00,14.095,14.115,14.056,14.076,522632,0
2017-09-14,21:00:00,14.076,14.125,14.056,14.105,651648,0
2017-09-14,22:00:00,14.1,14.115,13.988,13.998,1751427,0
2017-09-15,16:00:00,14.046,14.203,14.037,14.086,1315047,0
2017-09-15,17:00:00,14.091,14.193,14.056,14.174,885747,0
2017-09-15,18:00:00,14.174,14.203,13.963,13.988,1627786,0
2017-09-15,19:00:00,13.988,14.12,13.988,14.022,763576,0
2017-09-15,20:00:00,14.018,14.114,14.013,14.095,460118,0
2017-09-15,21:00:00,14.095,14.15,14.066,14.125,671544,0
2017-09-15,22:00:00,14.13,14.135,14.041,14.105,2543185,0
2017-09-18,16:00:00,14.125,14.33,14.076,14.252,556487,0
2017-09-18,17:00:00,14.252,14.379,14.247,14.35,1046900,0
2017-09-18,18:00:00,14.35,14.438,14.33,14.379,956579,0
2017-09-18,19:00:00,14.379,14.428,14.33,14.428,1533660,0
2017-09-18,20:00:00,14.428,14.478,14.35,14.419,820720,0
2017-09-18,21:00:00,14.419,14.428,14.223,14.301,1023303,0
2017-09-18,22:00:00,14.311,14.33,14.223,14.232,1543988,0
2017-09-19,16:00:00,14.301,14.379,14.076,14.115,794566,0
2017-09-19,17:00:00,14.115,14.35,14.076,14.341,1516000,0
2017-09-19,18:00:00,14.345,14.345,14.247,14.306,597140,0
2017-09-19,19:00:00,14.301,14.369,14.292,14.301,336064,0
2017-09-19,20:00:00,14.311,14.409,14.301,14.379,720738,0
2017-09-19,21:00:00,14.379,14.379,14.321,14.33,540759,0
2017-09-19,22:00:00,14.326,14.389,14.321,14.379,885247,0
2017-09-20,16:00:00,14.399,14.409,14.242,14.292,587434,0
2017-09-20,17:00:00,14.292,14.35,14.262,14.267,637046,0
2017-09-20,18:00:00,14.272,14.282,14.213,14.247,764450,0
2017-09-20,19:00:00,14.242,14.33,14.242,14.301,1437365,0
2017-09-20,20:00:00,14.311,14.311,14.095,14.105,426782,0
2017-09-20,21:00:00,14.115,14.165,14.018,14.1,1414976,0
2017-09-20,22:00:00,14.1,14.203,14.095,14.203,868266,0
2017-09-21,16:00:00,14.155,14.174,14.066,14.144,347883,0
2017-09-21,17:00:00,14.145,14.155,13.924,13.954,748466,0
2017-09-21,18:00:00,13.954,14.086,13.949,14.018,454056,0
2017-09-21,19:00:00,14.018,14.066,13.993,14.055,289628,0
2017-09-21,20:00:00,14.056,14.1,14.037,14.091,167633,0
2017-09-21,21:00:00,14.095,14.13,14.037,14.056,232854,0
2017-09-21,22:00:00,14.056,14.076,13.939,13.949,1428418,0
2017-09-22,16:00:00,13.851,14.174,13.803,13.978,623659,0
2017-09-22,17:00:00,13.978,14.018,13.939,13.954,335783,0
2017-09-22,18:00:00,13.958,14.003,13.922,13.929,306762,0
2017-09-22,19:00:00,13.929,13.939,13.895,13.904,918456,0
2017-09-22,20:00:00,13.91,13.958,13.901,13.949,338996,0
2017-09-22,21:00:00,13.949,14.027,13.949,14.008,380336,0
2017-09-22,22:00:00,14.008,14.046,13.983,14.037,733525,0
2017-09-25,16:00:00,14.046,14.091,13.905,13.955,376226,0
2017-09-25,17:00:00,13.954,14.072,13.851,13.861,742467,0
2017-09-25,18:00:00,13.861,13.939,13.802,13.821,561784,0
2017-09-25,19:00:00,13.821,13.9,13.753,13.87,426139,0
2017-09-25,20:00:00,13.87,13.929,13.861,13.89,285722,0
2017-09-25,21:00:00,13.895,13.91,13.816,13.861,456808,0
2017-09-25,22:00:00,13.851,13.89,13.831,13.87,1564753,0
2017-09-26,16:00:00,13.978,14.022,13.861,13.905,396379,0
