Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-02-28,16:00:00,4.3,4.3,4.3,4.3,303,0
2017-02-28,17:00:00,4.1,4.25,4.1,4.25,200,0
2017-02-28,22:00:00,4.15,4.15,4.15,4.15,216,0
2017-03-01,18:00:00,4.1725,4.1725,4.1663,4.1663,687,0
2017-03-01,21:00:00,4.2,4.2,4.2,4.2,425,0
2017-03-01,22:00:00,4.2257,4.2257,4.2,4.2,920,0
2017-03-02,18:00:00,4.155,4.155,4.155,4.155,117,0
2017-03-02,20:00:00,4.15,4.15,4.11,4.11,2700,0
2017-03-02,21:00:00,4.1,4.1,4.1,4.1,2425,0
2017-03-02,22:00:00,4.05,4.05,3.95,3.95,1475,0
2017-03-03,19:00:00,3.96,3.96,3.95,3.95,500,0
2017-03-06,20:00:00,3.9,3.9,3.9,3.9,100,0
2017-03-06,21:00:00,3.95,3.9752,3.95,3.95,750,0
2017-03-06,22:00:00,3.95,3.95,3.95,3.95,300,0
2017-03-07,16:00:00,3.9,3.9,3.9,3.9,100,0
2017-03-07,18:00:00,4,4.15,3.95,4.035,1100,0
2017-03-07,20:00:00,4.1,4.1,4.1,4.1,100,0
2017-03-07,21:00:00,3.95,3.95,3.95,3.95,100,0
2017-03-07,22:00:00,3.95,3.95,3.95,3.95,100,0
2017-03-08,18:00:00,3.98,3.98,3.98,3.98,200,0
2017-03-08,19:00:00,3.95,3.95,3.95,3.95,100,0
2017-03-08,21:00:00,3.95,3.95,3.95,3.95,793,0
2017-03-08,22:00:00,3.95,3.95,3.95,3.95,100,0
2017-03-09,17:00:00,3.95,3.95,3.95,3.95,1616,0
2017-03-09,21:00:00,4.05,4.05,3.95,3.95,200,0
2017-03-09,22:00:00,3.95,3.95,3.95,3.95,100,0
2017-03-10,18:00:00,4,4,3.955,3.955,250,0
2017-03-10,20:00:00,4,4,4,4,331,0
2017-03-10,21:00:00,4,4.05,3.95,3.95,1600,0
2017-03-10,22:00:00,3.95,3.95,3.95,3.95,585,0
2017-03-13,19:00:00,3.95,4.025,3.95,3.95,430,0
2017-03-13,20:00:00,3.95,3.95,3.95,3.95,100,0
2017-03-13,21:00:00,4,4,3.95,3.95,400,0
2017-03-14,16:00:00,3.9,3.9,3.85,3.85,499,0
2017-03-14,17:00:00,3.9,3.9,3.9,3.9,1628,0
2017-03-15,15:00:00,3.7,3.7,3.7,3.7,100,0
2017-03-15,17:00:00,3.95,3.95,3.95,3.95,100,0
2017-03-15,18:00:00,4.25,4.25,4.25,4.25,100,0
2017-03-15,19:00:00,4.245,4.245,4.245,4.245,380,0
2017-03-15,20:00:00,4,4,3.968,3.968,362,0
2017-03-15,21:00:00,4.2,4.25,4.15,4.15,369,0
2017-03-16,16:00:00,3.9,3.9,3.9,3.9,100,0
2017-03-16,21:00:00,3.95,4.1,3.8,3.8,8500,0
2017-03-17,15:00:00,3.8,3.8,3.8,3.8,250,0
2017-03-17,16:00:00,3.8,3.8,3.8,3.8,505,0
2017-03-17,21:00:00,3.85,3.975,3.85,3.975,2152,0
2017-03-20,15:00:00,3.95,3.95,3.85,3.85,419,0
2017-03-20,16:00:00,3.95,3.9557,3.94,3.94,5862,0
2017-03-20,17:00:00,3.8,3.8,3.7657,3.7657,400,0
2017-03-20,18:00:00,3.755,3.755,3.75,3.75,1000,0
2017-03-20,20:00:00,3.75,3.75,3.75,3.75,196,0
2017-03-20,21:00:00,3.7752,3.7752,3.75,3.75,1600,0
2017-03-21,15:00:00,3.7,3.7,3.7,3.7,465,0
2017-03-21,16:00:00,3.65,3.8,3.65,3.8,2238,0
2017-03-21,18:00:00,3.8,3.8,3.8,3.8,1580,0
2017-03-22,15:00:00,3.75,3.75,3.75,3.75,100,0
2017-03-22,17:00:00,3.8,3.8,3.7245,3.7245,1811,0
2017-03-22,20:00:00,3.8,3.8,3.8,3.8,100,0
2017-03-23,21:00:00,3.7,3.7,3.7,3.7,500,0
2017-03-24,21:00:00,3.81,3.81,3.81,3.81,100,0
