Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-01,16:00:00,1.81,1.82,1.7786,1.82,3970,0
2017-09-01,17:00:00,1.8199,1.8199,1.788,1.81,1440,0
2017-09-01,18:00:00,1.81,1.81,1.7727,1.7727,2325,0
2017-09-01,19:00:00,1.8,1.8,1.8,1.8,550,0
2017-09-01,20:00:00,1.77,1.7871,1.75,1.7861,7500,0
2017-09-01,21:00:00,1.775,1.79,1.77,1.77,4200,0
2017-09-01,22:00:00,1.7399,1.8,1.67,1.78,3221,0
2017-09-05,16:00:00,1.75,1.8,1.72,1.8,6802,0
2017-09-05,17:00:00,1.8,1.91,1.79,1.85,14891,0
2017-09-05,18:00:00,1.8345,1.85,1.8192,1.8486,6100,0
2017-09-05,19:00:00,1.85,1.9,1.83,1.8626,18349,0
2017-09-05,20:00:00,1.9,1.95,1.83,1.92,18867,0
2017-09-05,21:00:00,1.9,1.9,1.871,1.89,4800,0
2017-09-05,22:00:00,1.8856,1.9,1.8703,1.89,11812,0
2017-09-06,16:00:00,1.97,2.05,1.9,2.0499,23663,0
2017-09-06,17:00:00,2.04,2.04,1.92,1.955,54823,0
2017-09-06,18:00:00,1.97,1.97,1.85,1.94,3348,0
2017-09-06,19:00:00,1.94,1.95,1.8765,1.885,10460,0
2017-09-06,20:00:00,1.91,1.94,1.9,1.94,9300,0
2017-09-06,21:00:00,1.94,1.97,1.91,1.93,6400,0
2017-09-06,22:00:00,1.93,1.97,1.9,1.93,11400,0
2017-09-07,16:00:00,1.95,1.95,1.93,1.93,2349,0
2017-09-07,17:00:00,1.909,2,1.9001,2,4223,0
2017-09-07,18:00:00,2,2,1.97,2,13200,0
2017-09-07,19:00:00,2,2,1.9879,2,4400,0
2017-09-07,20:00:00,2,2,1.95,1.969,7940,0
2017-09-07,21:00:00,1.96,1.97,1.96,1.97,1500,0
2017-09-07,22:00:00,1.96,2,1.92,2,12755,0
2017-09-08,16:00:00,2,2.05,1.9612,2.05,8250,0
