Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,13.95,14.45,13.95,14.2,21459,0
2017-09-05,17:00:00,14.225,14.3,14.15,14.225,17949,0
2017-09-05,18:00:00,14.225,14.35,14.2,14.325,19124,0
2017-09-05,19:00:00,14.35,14.35,14.175,14.2223,25972,0
2017-09-05,20:00:00,14.225,14.25,14.175,14.25,15112,0
2017-09-05,21:00:00,14.25,14.3,14.2,14.225,20862,0
2017-09-05,22:00:00,14.225,14.45,14.225,14.4,73277,0
2017-09-06,16:00:00,14.35,14.35,14.05,14.1,10686,0
2017-09-06,17:00:00,14.1,14.175,14.075,14.15,47918,0
2017-09-06,18:00:00,14.175,14.175,14.05,14.05,11273,0
2017-09-06,19:00:00,14.05,14.075,13.95,13.975,14120,0
2017-09-06,20:00:00,13.95,14,13.85,13.85,22091,0
2017-09-06,21:00:00,13.875,13.95,13.85,13.875,28465,0
2017-09-06,22:00:00,13.875,13.925,13.85,13.85,76631,0
2017-09-07,16:00:00,13.9,13.95,13.8,13.8,28593,0
2017-09-07,17:00:00,13.75,13.775,13.65,13.65,60169,0
2017-09-07,18:00:00,13.65,13.65,13.55,13.555,17287,0
2017-09-07,19:00:00,13.5818,13.6,13.5,13.5,27427,0
2017-09-07,20:00:00,13.525,13.6,13.4,13.55,67943,0
2017-09-07,21:00:00,13.45,13.55,13.3,13.3169,56699,0
2017-09-07,22:00:00,13.35,13.5,13.3,13.45,65466,0
2017-09-08,16:00:00,13.4,13.45,13.4,13.425,1525,0
2017-09-08,17:00:00,13.425,13.45,13.375,13.4,6029,0
2017-09-08,18:00:00,13.4,13.4515,13.4,13.425,3600,0
2017-09-08,19:00:00,13.425,13.425,13.3,13.35,12160,0
2017-09-08,20:00:00,13.35,13.4,13.325,13.35,11887,0
2017-09-08,21:00:00,13.4,13.45,13.35,13.45,9745,0
2017-09-08,22:00:00,13.45,13.45,13.3,13.35,45887,0
2017-09-11,16:00:00,13.4,13.55,13.4,13.45,5122,0
2017-09-11,17:00:00,13.45,13.475,13.4,13.475,11939,0
2017-09-11,18:00:00,13.475,13.525,13.4,13.525,15601,0
2017-09-11,19:00:00,13.525,13.55,13.5,13.55,5174,0
2017-09-11,20:00:00,13.6,13.6,13.5,13.5,4449,0
2017-09-11,21:00:00,13.5,13.525,13.45,13.5,8833,0
2017-09-11,22:00:00,13.475,13.6,13.45,13.55,95406,0
2017-09-12,16:00:00,13.65,13.85,13.55,13.7,9986,0
2017-09-12,17:00:00,13.7,13.75,13.65,13.75,13986,0
2017-09-12,18:00:00,13.725,13.85,13.65,13.775,22404,0
2017-09-12,19:00:00,13.75,13.8,13.75,13.8,13237,0
2017-09-12,20:00:00,13.775,13.8,13.65,13.675,30208,0
2017-09-12,21:00:00,13.7,13.8,13.7,13.775,17597,0
