Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-06-02,16:00:00,20.74,20.74,20.74,20.74,3000,0
2017-06-02,17:00:00,20.76,20.76,20.76,20.76,100,0
2017-06-02,18:00:00,20.77,20.77,20.77,20.77,100,0
2017-06-02,19:00:00,20.81,20.81,20.81,20.81,100,0
2017-06-02,20:00:00,20.83,20.83,20.83,20.83,100,0
2017-06-02,21:00:00,20.8499,20.8499,20.84,20.84,272,0
2017-06-02,22:00:00,20.82,20.83,20.82,20.82,1000,0
2017-06-05,16:00:00,20.78,20.8174,20.78,20.8174,1103,0
2017-06-05,18:00:00,20.87,20.87,20.8696,20.8696,1500,0
2017-06-05,19:00:00,20.87,20.87,20.87,20.87,2000,0
2017-06-05,21:00:00,20.87,20.87,20.87,20.87,2000,0
2017-06-05,22:00:00,20.86,20.86,20.86,20.86,400,0
2017-06-06,16:00:00,20.83,20.83,20.83,20.83,1960,0
2017-06-06,18:00:00,20.74,20.74,20.74,20.74,1000,0
2017-06-06,19:00:00,20.78,20.8,20.78,20.8,3600,0
2017-06-06,21:00:00,20.8197,20.8199,20.8197,20.8199,1372,0
2017-06-06,22:00:00,20.7899,20.7899,20.7794,20.7794,200,0
2017-06-07,18:00:00,20.75,20.75,20.75,20.75,1000,0
2017-06-07,19:00:00,20.73,20.73,20.73,20.73,2000,0
2017-06-07,20:00:00,20.693,20.72,20.693,20.72,2150,0
2017-06-08,18:00:00,20.76,20.7899,20.76,20.77,48955,0
2017-06-08,19:00:00,20.7998,20.7998,20.7998,20.7998,200,0
2017-06-08,21:00:00,20.7699,20.7699,20.7699,20.7699,1681,0
2017-06-08,22:00:00,20.76,20.76,20.76,20.76,400,0
2017-06-09,17:00:00,20.89,20.89,20.87,20.87,2100,0
2017-06-09,19:00:00,20.8899,20.8899,20.8899,20.8899,500,0
2017-06-09,20:00:00,20.87,20.87,20.82,20.82,6500,0
2017-06-09,21:00:00,20.7998,20.7998,20.7,20.7,300,0
2017-06-09,22:00:00,20.75,20.81,20.75,20.81,2185,0
2017-06-12,17:00:00,20.78,20.78,20.78,20.78,2000,0
2017-06-12,19:00:00,20.76,20.76,20.74,20.74,3000,0
2017-06-13,16:00:00,20.86,20.86,20.86,20.86,200,0
2017-06-13,17:00:00,20.89,20.89,20.89,20.89,1000,0
2017-06-13,18:00:00,20.87,20.9,20.87,20.9,200,0
2017-06-13,19:00:00,20.9,20.9,20.9,20.9,100,0
2017-06-13,20:00:00,20.92,20.92,20.91,20.91,2100,0
2017-06-13,21:00:00,20.91,20.91,20.91,20.91,200,0
2017-06-14,16:00:00,20.9,20.9,20.87,20.87,681,0
2017-06-14,17:00:00,20.86,20.86,20.8197,20.8197,2200,0
2017-06-14,19:00:00,20.78,20.78,20.78,20.78,100,0
2017-06-14,20:00:00,20.8,20.8,20.79,20.79,2100,0
2017-06-14,21:00:00,20.8499,20.8499,20.78,20.78,515,0
2017-06-14,22:00:00,20.78,20.82,20.78,20.82,229,0
2017-06-15,16:00:00,20.72,20.73,20.72,20.73,200,0
2017-06-15,17:00:00,20.69,20.69,20.62,20.6497,5200,0
2017-06-15,18:00:00,20.67,20.67,20.66,20.66,200,0
2017-06-15,19:00:00,20.67,20.67,20.66,20.66,1000,0
2017-06-15,21:00:00,20.68,20.68,20.68,20.68,449,0
2017-06-16,17:00:00,20.78,20.78,20.78,20.78,100,0
2017-06-16,18:00:00,20.82,20.84,20.8,20.84,3659,0
2017-06-16,19:00:00,20.85,20.85,20.84,20.84,3100,0
2017-06-16,20:00:00,20.84,20.84,20.83,20.83,3100,0
2017-06-19,16:00:00,20.96,21.0099,20.96,21.0099,500,0
2017-06-19,17:00:00,21.02,21.04,21.02,21.04,200,0
2017-06-19,18:00:00,21.02,21.02,21,21,550,0
2017-06-19,19:00:00,20.98,20.98,20.98,20.98,100,0
2017-06-19,20:00:00,21,21.02,21,21.02,8800,0
2017-06-19,21:00:00,21,21,20.99,20.99,200,0
2017-06-19,22:00:00,21.01,21.01,21.01,21.01,400,0
2017-06-20,17:00:00,20.9,20.9,20.9,20.9,3000,0
2017-06-20,18:00:00,20.8686,20.8686,20.8686,20.8686,470,0
2017-06-20,19:00:00,20.88,20.88,20.88,20.88,4000,0
2017-06-20,20:00:00,20.87,20.87,20.85,20.85,3100,0
2017-06-21,16:00:00,20.834,20.834,20.834,20.834,1055,0
2017-06-21,18:00:00,20.75,20.75,20.75,20.75,400,0
2017-06-21,20:00:00,20.73,20.73,20.73,20.73,9500,0
2017-06-21,21:00:00,20.7199,20.7522,20.7199,20.752,692,0
2017-06-21,22:00:00,20.74,20.76,20.74,20.76,600,0
2017-06-22,16:00:00,20.75,20.762,20.74,20.762,2300,0
2017-06-22,17:00:00,20.7929,20.7929,20.76,20.76,500,0
2017-06-22,20:00:00,20.81,20.81,20.7892,20.7892,700,0
2017-06-22,22:00:00,20.79,20.79,20.7701,20.7701,1400,0
2017-06-23,16:00:00,20.79,20.79,20.79,20.79,400,0
2017-06-23,17:00:00,20.8,20.8,20.8,20.8,3000,0
2017-06-23,19:00:00,20.81,20.81,20.81,20.81,3000,0
2017-06-23,20:00:00,20.79,20.79,20.76,20.76,3380,0
2017-06-23,22:00:00,20.75,20.75,20.75,20.75,100,0
2017-06-26,16:00:00,20.88,20.88,20.88,20.88,1200,0
2017-06-26,17:00:00,20.906,20.906,20.8791,20.88,5350,0
2017-06-26,18:00:00,20.87,20.87,20.87,20.87,5000,0
2017-06-26,19:00:00,20.8563,20.8563,20.8563,20.8563,200,0
2017-06-26,20:00:00,20.85,20.85,20.85,20.85,5300,0
2017-06-26,21:00:00,20.85,20.85,20.85,20.85,400,0
2017-06-27,20:00:00,20.89,20.89,20.89,20.89,120,0
2017-06-27,21:00:00,20.83,20.84,20.8,20.84,9500,0
2017-06-28,16:00:00,20.8804,20.8804,20.8776,20.8776,960,0
2017-06-28,18:00:00,20.99,20.99,20.99,20.99,2000,0
2017-06-28,19:00:00,20.96,20.97,20.96,20.97,600,0
2017-06-28,20:00:00,21.03,21.03,21.03,21.03,4000,0
2017-06-28,21:00:00,21.04,21.05,21.04,21.04,4850,0
2017-06-29,18:00:00,21.0677,21.0677,20.97,20.97,2500,0
2017-06-29,19:00:00,20.98,20.98,20.9414,20.9414,2200,0
2017-06-29,20:00:00,20.88,20.9331,20.88,20.9331,2900,0
2017-06-29,21:00:00,20.99,20.99,20.98,20.98,4000,0
2017-06-29,22:00:00,20.97,20.97,20.97,20.97,475,0
2017-06-30,17:00:00,20.98,20.98,20.98,20.98,100,0
2017-06-30,18:00:00,21.01,21.01,21.01,21.01,8000,0
2017-06-30,22:00:00,21.04,21.04,21.04,21.04,140,0
2017-07-03,17:00:00,21.19,21.19,21.19,21.19,4000,0
2017-07-03,19:00:00,21.24,21.24,21.24,21.24,6000,0
2017-07-05,17:00:00,21.1,21.1,21.1,21.1,2000,0
2017-07-05,18:00:00,21.18,21.18,21.18,21.18,2000,0
2017-07-05,19:00:00,21.17,21.17,21.17,21.17,4000,0
2017-07-05,20:00:00,21.2,21.2,21.2,21.2,2000,0
2017-07-06,17:00:00,21.07,21.07,21.07,21.07,2000,0
2017-07-06,20:00:00,21.12,21.13,21.12,21.13,8000,0
2017-07-06,21:00:00,21.02,21.02,21.02,21.02,500,0
2017-07-07,16:00:00,21.03,21.03,21.03,21.03,600,0
2017-07-07,18:00:00,20.98,20.98,20.98,20.98,4000,0
2017-07-07,20:00:00,21.06,21.06,21.06,21.06,6000,0
2017-07-10,17:00:00,21.1399,21.1399,21.13,21.13,900,0
2017-07-10,19:00:00,21.18,21.2,21.18,21.2,8650,0
2017-07-10,21:00:00,21.21,21.21,21.21,21.21,100,0
2017-07-11,16:00:00,21.14,21.14,21.14,21.14,125,0
2017-07-11,17:00:00,21.12,21.13,21.12,21.12,4600,0
2017-07-11,19:00:00,21.11,21.11,21.11,21.11,2000,0
2017-07-11,20:00:00,21.13,21.13,21.13,21.13,4000,0
2017-07-11,21:00:00,21.11,21.115,21.11,21.115,347,0
2017-07-12,19:00:00,21.27,21.29,21.27,21.27,10200,0
2017-07-13,17:00:00,21.31,21.31,21.31,21.31,2000,0
2017-07-13,18:00:00,21.3163,21.3163,21.3163,21.3163,145,0
2017-07-13,20:00:00,21.3199,21.32,21.29,21.31,9949,0
2017-07-13,22:00:00,21.33,21.33,21.328,21.328,700,0
2017-07-14,16:00:00,21.27,21.27,21.27,21.27,300,0
2017-07-14,18:00:00,21.32,21.32,21.32,21.32,10000,0
2017-07-14,19:00:00,21.3,21.3,21.3,21.3,240,0
2017-07-14,21:00:00,21.3899,21.3899,21.3899,21.3899,914,0
2017-07-17,18:00:00,21.44,21.44,21.44,21.44,3000,0
2017-07-17,20:00:00,21.44,21.44,21.44,21.44,3000,0
2017-07-17,21:00:00,21.43,21.43,21.423,21.423,3200,0
2017-07-17,22:00:00,21.42,21.42,21.42,21.42,100,0
2017-07-18,17:00:00,21.3895,21.3895,21.3895,21.3895,490,0
2017-07-18,18:00:00,21.39,21.39,21.39,21.39,11000,0
2017-07-18,19:00:00,21.3797,21.3797,21.3797,21.3797,125,0
2017-07-19,16:00:00,21.44,21.44,21.44,21.44,100,0
2017-07-19,17:00:00,21.54,21.54,21.54,21.54,772,0
2017-07-19,19:00:00,21.53,21.5587,21.53,21.5577,6000,0
2017-07-19,20:00:00,21.57,21.58,21.565,21.565,3204,0
2017-07-19,21:00:00,21.56,21.56,21.56,21.56,5000,0
2017-07-19,22:00:00,21.5639,21.5639,21.5639,21.5639,200,0
2017-07-20,17:00:00,21.62,21.63,21.5699,21.5699,5500,0
2017-07-20,18:00:00,21.6,21.6,21.57,21.57,200,0
2017-07-20,19:00:00,21.57,21.58,21.57,21.57,5200,0
2017-07-20,21:00:00,21.58,21.58,21.58,21.58,100,0
2017-07-21,18:00:00,21.61,21.61,21.6042,21.6042,1616,0
2017-07-21,19:00:00,21.64,21.64,21.64,21.64,5000,0
2017-07-21,20:00:00,21.65,21.65,21.65,21.65,5000,0
2017-07-21,21:00:00,21.66,21.66,21.66,21.66,400,0
2017-07-21,22:00:00,21.649,21.65,21.649,21.65,1100,0
2017-07-24,16:00:00,21.6892,21.6892,21.6892,21.6892,150,0
2017-07-24,18:00:00,21.65,21.65,21.65,21.65,2000,0
2017-07-24,19:00:00,21.6372,21.66,21.6372,21.64,6741,0
2017-07-24,21:00:00,21.67,21.684,21.6448,21.684,3725,0
2017-07-25,16:00:00,21.73,21.76,21.73,21.73,1300,0
2017-07-25,17:00:00,21.72,21.72,21.6886,21.72,650,0
2017-07-25,18:00:00,21.75,21.77,21.734,21.77,800,0
2017-07-25,19:00:00,21.78,21.78,21.75,21.77,8400,0
2017-07-25,20:00:00,21.76,21.76,21.75,21.75,200,0
2017-07-25,21:00:00,21.75,21.7599,21.7396,21.74,3050,0
2017-07-25,22:00:00,21.75,21.75,21.7,21.73,3100,0
2017-07-26,16:00:00,21.73,21.73,21.73,21.73,300,0
2017-07-26,17:00:00,21.7,21.7,21.7,21.7,100,0
2017-07-26,18:00:00,21.76,21.76,21.75,21.75,4200,0
2017-07-26,19:00:00,21.76,21.78,21.76,21.76,4300,0
2017-07-26,21:00:00,21.72,21.72,21.72,21.72,100,0
2017-07-26,22:00:00,21.73,21.73,21.65,21.66,9980,0
2017-07-27,16:00:00,21.6,21.6,21.6,21.6,400,0
2017-07-27,17:00:00,21.51,21.515,21.51,21.515,300,0
2017-07-27,18:00:00,21.57,21.57,21.5405,21.565,600,0
2017-07-27,20:00:00,21.4852,21.4852,21.4852,21.4852,200,0
2017-07-27,21:00:00,21.48,21.49,21.45,21.45,12205,0
2017-07-27,22:00:00,21.44,21.49,21.44,21.49,395,0
2017-07-28,16:00:00,21.4435,21.4435,21.4388,21.4388,350,0
2017-07-28,17:00:00,21.4456,21.48,21.4456,21.47,3325,0
2017-07-28,19:00:00,21.49,21.5,21.4794,21.5,5800,0
2017-07-28,21:00:00,21.492,21.519,21.492,21.519,872,0
2017-07-28,22:00:00,21.5141,21.5141,21.5141,21.5141,161,0
2017-07-31,17:00:00,21.48,21.48,21.45,21.45,400,0
2017-07-31,18:00:00,21.47,21.47,21.4503,21.4503,2250,0
2017-07-31,19:00:00,21.47,21.47,21.47,21.47,100,0
2017-07-31,20:00:00,21.48,21.48,21.46,21.47,4300,0
2017-07-31,21:00:00,21.49,21.49,21.49,21.49,100,0
2017-07-31,22:00:00,21.49,21.49,21.43,21.47,4800,0
2017-08-01,17:00:00,21.49,21.53,21.49,21.51,5200,0
2017-08-01,20:00:00,21.54,21.54,21.52,21.52,10300,0
2017-08-01,22:00:00,21.51,21.51,21.51,21.51,100,0
2017-08-02,17:00:00,21.42,21.42,21.42,21.42,100,0
2017-08-02,18:00:00,21.45,21.46,21.43,21.44,10400,0
2017-08-02,20:00:00,21.4699,21.4699,21.4699,21.4699,707,0
2017-08-02,21:00:00,21.5064,21.5064,21.5064,21.5064,400,0
2017-08-02,22:00:00,21.52,21.52,21.5,21.5064,5600,0
2017-08-03,17:00:00,21.44,21.45,21.38,21.45,15065,0
2017-08-03,18:00:00,21.45,21.46,21.42,21.43,4600,0
2017-08-03,19:00:00,21.4,21.42,21.4,21.4,2100,0
2017-08-04,17:00:00,21.4559,21.4559,21.4559,21.4559,450,0
2017-08-04,18:00:00,21.48,21.48,21.45,21.45,5300,0
2017-08-04,19:00:00,21.47,21.47,21.45,21.45,3100,0
2017-08-04,20:00:00,21.4632,21.4632,21.4632,21.4632,250,0
2017-08-04,21:00:00,21.48,21.48,21.46,21.46,7100,0
2017-08-04,22:00:00,21.4799,21.4799,21.47,21.4799,500,0
2017-08-07,17:00:00,21.45,21.45,21.45,21.45,2800,0
2017-08-07,18:00:00,21.4141,21.4141,21.4141,21.4141,139,0
2017-08-07,21:00:00,21.4246,21.43,21.4108,21.43,3600,0
2017-08-08,17:00:00,21.43,21.4464,21.41,21.4464,3665,0
2017-08-08,19:00:00,21.48,21.48,21.48,21.48,2000,0
2017-08-08,20:00:00,21.42,21.42,21.42,21.42,100,0
2017-08-08,21:00:00,21.424,21.44,21.424,21.44,5232,0
2017-08-08,22:00:00,21.43,21.43,21.37,21.37,6800,0
2017-08-09,16:00:00,21.34,21.34,21.33,21.33,3600,0
2017-08-09,17:00:00,21.34,21.34,21.32,21.32,7300,0
2017-08-09,18:00:00,21.31,21.32,21.3,21.3029,8000,0
2017-08-09,19:00:00,21.305,21.305,21.3,21.3,400,0
2017-08-09,20:00:00,21.31,21.31,21.31,21.31,7000,0
2017-08-09,21:00:00,21.27,21.27,21.27,21.27,7100,0
2017-08-09,22:00:00,21.27,21.31,21.27,21.31,1150,0
2017-08-10,16:00:00,21.194,21.194,21.194,21.194,1000,0
2017-08-10,17:00:00,21.18,21.2,21.17,21.18,11070,0
2017-08-10,18:00:00,21.164,21.1689,21.14,21.14,6200,0
2017-08-10,19:00:00,21.1162,21.127,21.0966,21.1008,2757,0
2017-08-10,20:00:00,21.1,21.1,21.1,21.1,100,0
2017-08-11,17:00:00,21.09,21.1157,21.07,21.1157,6000,0
2017-08-11,18:00:00,21.09,21.09,21.07,21.07,700,0
2017-08-11,19:00:00,21.09,21.09,21.09,21.09,300,0
2017-08-11,20:00:00,21.08,21.1,21.06,21.06,6300,0
2017-08-11,21:00:00,21.06,21.09,21.04,21.04,6700,0
2017-08-11,22:00:00,21.03,21.06,21.02,21.06,300,0
2017-08-14,16:00:00,21.21,21.2179,21.21,21.2179,915,0
2017-08-14,17:00:00,21.21,21.26,21.21,21.24,5600,0
2017-08-14,19:00:00,21.26,21.27,21.26,21.27,5200,0
2017-08-14,20:00:00,21.22,21.22,21.21,21.21,5200,0
2017-08-14,21:00:00,21.2,21.2,21.2,21.2,100,0
2017-08-15,17:00:00,21.2,21.2,21.19,21.1904,7186,0
2017-08-15,19:00:00,21.19,21.19,21.17,21.17,5800,0
2017-08-15,21:00:00,21.18,21.18,21.17,21.17,5200,0
2017-08-15,22:00:00,21.2032,21.2032,21.2,21.2,200,0
2017-08-16,17:00:00,21.28,21.29,21.28,21.29,3100,0
2017-08-16,18:00:00,21.27,21.27,21.2504,21.2504,1858,0
2017-08-16,19:00:00,21.28,21.28,21.26,21.26,9300,0
2017-08-16,20:00:00,21.1982,21.1982,21.1982,21.1982,118,0
2017-08-16,21:00:00,21.24,21.24,21.22,21.22,5800,0
2017-08-17,16:00:00,21.16,21.16,21.16,21.16,2100,0
2017-08-17,17:00:00,21.17,21.17,21.1065,21.1065,5485,0
2017-08-17,18:00:00,21.11,21.11,21.08,21.08,5385,0
2017-08-17,19:00:00,21.08,21.08,21.08,21.08,500,0
2017-08-17,20:00:00,21.05,21.05,21.04,21.04,7200,0
2017-08-17,21:00:00,21.05,21.05,21.05,21.05,150,0
2017-08-17,22:00:00,20.961,20.961,20.928,20.928,1850,0
2017-08-18,17:00:00,20.91,20.91,20.9,20.9,5200,0
2017-08-18,18:00:00,20.93,20.93,20.93,20.93,5200,0
2017-08-18,19:00:00,20.93,20.93,20.93,20.93,192,0
2017-08-18,20:00:00,21,21,21,21,600,0
2017-08-18,21:00:00,20.97,20.97,20.94,20.94,7400,0
2017-08-21,16:00:00,20.93,20.93,20.93,20.93,155417,0
2017-08-21,17:00:00,20.883,20.883,20.883,20.883,240,0
2017-08-22,18:00:00,21.03,21.0499,21.03,21.0499,5100,0
2017-08-22,20:00:00,21.06,21.06,21.06,21.06,5000,0
2017-08-22,21:00:00,21.07,21.08,21.07,21.08,10000,0
2017-08-22,22:00:00,21.0672,21.0672,21.0672,21.0672,500,0
2017-08-23,17:00:00,21.09,21.09,21.09,21.09,5000,0
2017-08-23,18:00:00,21.09,21.09,21.09,21.09,934,0
2017-08-23,19:00:00,21.19,21.19,21.1576,21.1576,6211,0
2017-08-23,21:00:00,21.16,21.16,21.13,21.13,7978,0
2017-08-24,16:00:00,21.17,21.17,21.05,21.06,11380,0
2017-08-24,20:00:00,21.03,21.044,21.03,21.03,500,0
2017-08-24,21:00:00,21.01,21.02,21.01,21.02,3110,0
2017-08-25,18:00:00,21.05,21.09,21.05,21.0693,5685,0
2017-08-25,19:00:00,21.0799,21.09,21.07,21.07,5800,0
2017-08-25,20:00:00,21.09,21.09,21.07,21.07,5200,0
2017-08-25,22:00:00,21.05,21.05,21.05,21.05,100,0
2017-08-28,17:00:00,20.98,20.98,20.98,20.98,100,0
2017-08-28,18:00:00,21,21,20.98,20.98,6200,0
2017-08-28,19:00:00,20.93,20.94,20.92,20.92,5400,0
2017-08-28,20:00:00,20.94,20.94,20.92,20.92,6300,0
2017-08-28,21:00:00,20.911,20.911,20.911,20.911,500,0
2017-08-28,22:00:00,20.93,20.93,20.93,20.93,700,0
2017-08-29,16:00:00,20.76,20.76,20.76,20.76,225,0
2017-08-29,17:00:00,20.8,20.8,20.8,20.8,100,0
2017-08-29,18:00:00,20.89,20.89,20.88,20.88,5200,0
2017-08-29,19:00:00,20.89,20.91,20.88,20.9,10400,0
2017-08-29,20:00:00,20.9128,20.9128,20.9128,20.9128,500,0
2017-08-29,21:00:00,20.9328,20.9328,20.9328,20.9328,100,0
2017-08-30,17:00:00,20.97,21.02,20.97,21,5938,0
2017-08-30,20:00:00,21.08,21.08,21.06,21.06,12300,0
2017-08-30,22:00:00,21.05,21.05,21.05,21.05,100,0
2017-08-31,17:00:00,21.17,21.17,21.17,21.17,100,0
2017-08-31,18:00:00,21.18,21.18,21.18,21.18,5000,0
2017-08-31,19:00:00,21.1978,21.23,21.19,21.23,5700,0
2017-08-31,20:00:00,21.23,21.23,21.23,21.23,5000,0
2017-08-31,22:00:00,21.19,21.19,21.19,21.19,200,0
2017-09-01,16:00:00,21.2513,21.2513,21.2513,21.2513,2204,0
2017-09-01,18:00:00,21.25,21.25,21.25,21.25,100,0
2017-09-01,19:00:00,21.28,21.29,21.265,21.265,12641,0
2017-09-01,21:00:00,21.25,21.25,21.25,21.25,100,0
2017-09-01,22:00:00,21.21,21.21,21.21,21.21,100,0
2017-09-05,17:00:00,21.08,21.08,21.08,21.08,100,0
2017-09-05,19:00:00,21.0028,21.0028,20.9326,20.9326,6943,0
2017-09-05,20:00:00,20.914,20.914,20.914,20.914,1100,0
2017-09-05,21:00:00,20.92,20.92,20.92,20.92,100,0
2017-09-06,16:00:00,20.97,20.97,20.97,20.97,119,0
2017-09-06,17:00:00,20.97,20.97,20.97,20.97,400,0
2017-09-06,19:00:00,20.96,20.96,20.96,20.96,100,0
2017-09-06,20:00:00,21.02,21.02,21.01,21.01,10400,0
2017-09-06,21:00:00,20.99,20.99,20.99,20.99,100,0
2017-09-07,16:00:00,21.02,21.02,21.02,21.02,1393,0
2017-09-07,17:00:00,20.88,20.885,20.88,20.885,200,0
2017-09-07,18:00:00,20.95,20.95,20.94,20.94,5200,0
2017-09-07,19:00:00,20.9,20.9,20.9,20.9,200,0
2017-09-07,20:00:00,20.93,20.93,20.91,20.91,10400,0
2017-09-07,22:00:00,20.876,20.8864,20.876,20.8864,982,0
2017-09-08,16:00:00,20.88,20.88,20.85,20.88,1700,0
2017-09-08,17:00:00,20.86,20.86,20.86,20.86,200,0
2017-09-08,18:00:00,20.92,20.92,20.91,20.91,4100,0
2017-09-08,19:00:00,20.91,20.91,20.9,20.9,4200,0
2017-09-08,20:00:00,20.8301,20.86,20.8301,20.85,4300,0
2017-09-08,22:00:00,20.853,20.853,20.853,20.853,200,0
2017-09-11,17:00:00,21,21.03,20.99,21.03,6600,0
2017-09-11,18:00:00,21.0248,21.09,21.0248,21.08,5300,0
2017-09-11,19:00:00,21.08,21.08,21.08,21.08,100,0
2017-09-11,20:00:00,21.08,21.11,21.05,21.09,11000,0
2017-09-12,18:00:00,21.13,21.13,21.13,21.13,8000,0
2017-09-12,20:00:00,21.15,21.16,21.145,21.16,13100,0
2017-09-12,21:00:00,21.1408,21.1408,21.1408,21.1408,1500,0
2017-09-12,22:00:00,21.14,21.14,21.14,21.14,1100,0
2017-09-13,17:00:00,21.2791,21.2791,21.2791,21.2791,500,0
2017-09-13,18:00:00,21.26,21.26,21.24,21.24,969,0
2017-09-13,19:00:00,21.26,21.2699,21.23,21.2699,4850,0
2017-09-13,20:00:00,21.235,21.235,21.235,21.235,100,0
2017-09-13,21:00:00,21.24,21.27,21.24,21.27,6200,0
2017-09-13,22:00:00,21.2567,21.28,21.252,21.28,1324,0
2017-09-14,16:00:00,21.26,21.26,21.26,21.26,150,0
2017-09-14,18:00:00,21.28,21.28,21.28,21.28,200,0
2017-09-14,19:00:00,21.32,21.32,21.3,21.3,9300,0
2017-09-15,16:00:00,21.3,21.3,21.3,21.3,400,0
2017-09-15,18:00:00,21.33,21.33,21.33,21.33,100,0
2017-09-15,19:00:00,21.34,21.34,21.33,21.33,7300,0
2017-09-15,20:00:00,21.3336,21.3336,21.3336,21.3336,531,0
2017-09-15,21:00:00,21.34,21.34,21.33,21.34,4300,0
2017-09-15,22:00:00,21.34,21.34,21.34,21.34,400,0
2017-09-18,17:00:00,21.46,21.46,21.41,21.41,3300,0
2017-09-18,18:00:00,21.46,21.46,21.43,21.45,7100,0
2017-09-18,19:00:00,21.425,21.425,21.425,21.425,200,0
2017-09-18,20:00:00,21.436,21.436,21.436,21.436,100,0
2017-09-19,17:00:00,21.4601,21.49,21.4601,21.49,400,0
2017-09-19,18:00:00,21.54,21.54,21.515,21.515,3100,0
2017-09-19,20:00:00,21.4801,21.4801,21.4801,21.4801,100,0
2017-09-19,21:00:00,21.56,21.56,21.55,21.55,7300,0
2017-09-19,22:00:00,21.48,21.48,21.48,21.48,1005,0
2017-09-20,16:00:00,21.6095,21.6095,21.6095,21.6095,400,0
2017-09-20,18:00:00,21.57,21.61,21.57,21.61,300,0
2017-09-20,19:00:00,21.66,21.66,21.66,21.66,3000,0
2017-09-20,20:00:00,21.66,21.66,21.66,21.66,3000,0
2017-09-20,21:00:00,21.63,21.65,21.61,21.65,4400,0
2017-09-21,19:00:00,21.69,21.69,21.69,21.69,8000,0
2017-09-21,21:00:00,21.66,21.66,21.6559,21.6559,400,0
2017-09-21,22:00:00,21.66,21.66,21.66,21.66,300,0
2017-09-22,16:00:00,21.64,21.64,21.64,21.64,854,0
2017-09-22,17:00:00,21.73,21.73,21.73,21.73,3000,0
2017-09-22,19:00:00,21.71,21.71,21.71,21.71,3000,0
2017-09-22,21:00:00,21.7,21.7,21.7,21.7,3500,0
2017-09-25,16:00:00,21.61,21.61,21.61,21.61,400,0
2017-09-25,17:00:00,21.69,21.69,21.64,21.64,2100,0
2017-09-25,18:00:00,21.63,21.64,21.62,21.62,11800,0
2017-09-25,19:00:00,21.5799,21.595,21.5559,21.595,4700,0
2017-09-26,17:00:00,21.7228,21.7228,21.7228,21.7228,115,0
2017-09-26,19:00:00,21.71,21.74,21.71,21.74,3000,0
2017-09-26,20:00:00,21.74,21.74,21.74,21.74,3000,0
2017-09-26,21:00:00,21.75,21.75,21.75,21.75,4000,0
2017-09-26,22:00:00,21.71,21.73,21.67,21.67,2600,0
2017-09-27,17:00:00,21.8499,21.8499,21.78,21.78,496,0
2017-09-27,18:00:00,21.79,21.79,21.78,21.78,3100,0
2017-09-27,21:00:00,21.93,21.93,21.8801,21.8801,7500,0
2017-09-27,22:00:00,21.91,21.91,21.91,21.91,1300,0
