Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-12-31,17:00:00,23.834,23.834,23.834,23.834,1147,0
2015-12-31,22:00:00,23.882,23.901,23.882,23.901,4170,0
2016-01-04,18:00:00,23.134,23.134,23.134,23.134,104,0
2016-01-04,21:00:00,23.278,23.278,23.258,23.258,313,0
2016-01-04,22:00:00,23.231,23.231,23.231,23.231,209,0
2016-01-06,16:00:00,22.904,23,22.904,22.943,5213,0
2016-01-06,20:00:00,23.048,23.048,23.048,23.048,791,0
2016-01-06,21:00:00,23.019,23.019,22.971,22.971,703,0
2016-01-06,22:00:00,23.028,23.038,23.019,23.019,625,0
2016-01-07,19:00:00,22.712,22.712,22.712,22.712,104,0
2016-01-07,21:00:00,22.52,22.52,22.52,22.52,104,0
2016-01-08,20:00:00,22.319,22.319,22.319,22.319,340,0
2016-01-11,21:00:00,22.06,22.127,22.06,22.127,1564,0
2016-01-12,17:00:00,22.3,22.3,22.29,22.29,211,0
2016-01-12,19:00:00,22.29,22.29,22.29,22.29,104,0
2016-01-15,16:00:00,21.705,21.705,21.705,21.705,104,0
2016-01-15,18:00:00,21.58,21.58,21.58,21.58,209,0
2016-01-19,19:00:00,21.829,21.839,21.829,21.839,417,0
2016-01-20,16:00:00,21.35,21.35,21.35,21.35,209,0
2016-01-20,18:00:00,21.207,21.207,21.207,21.207,104,0
2016-01-20,19:00:00,21.101,21.101,21.101,21.101,104,0
2016-01-20,22:00:00,21.58,21.58,21.58,21.58,104,0
2016-01-29,22:00:00,23.163,23.163,23.163,23.163,104,0
2016-02-01,16:00:00,22.933,22.933,22.933,22.933,104,0
2016-02-01,21:00:00,23.067,23.096,23.067,23.086,3159,0
2016-02-04,16:00:00,23.067,23.067,23.067,23.067,104,0
2016-02-05,16:00:00,23.144,23.144,23.144,23.144,104,0
2016-02-05,17:00:00,23.099,23.099,23.099,23.099,104,0
2016-02-09,18:00:00,22.482,22.482,22.482,22.482,104,0
2016-02-11,17:00:00,22.424,22.491,22.412,22.412,1981,0
2016-02-12,20:00:00,22.453,22.453,22.453,22.453,417,0
2016-02-19,16:00:00,23.125,23.125,23.125,23.125,104,0
2016-02-19,21:00:00,23.24,23.24,23.231,23.231,209,0
2016-02-24,21:00:00,23.202,23.202,23.202,23.202,261,0
2016-02-26,18:00:00,23.24,23.24,23.24,23.24,365,0
2016-03-04,22:00:00,24.842,24.842,24.842,24.842,104,0
2016-03-07,16:00:00,24.841,24.841,24.764,24.764,730,0
2016-03-07,18:00:00,24.928,24.928,24.928,24.928,209,0
2016-03-07,22:00:00,24.975,24.975,24.975,24.975,209,0
2016-03-08,16:00:00,24.755,24.755,24.755,24.755,209,0
2016-03-15,20:00:00,24.764,24.764,24.764,24.764,261,0
2016-03-23,16:00:00,25.551,25.551,25.551,25.551,104,0
2016-03-24,15:00:00,25.427,25.427,25.273,25.273,395,0
2016-04-05,16:00:00,25.714,25.714,25.446,25.446,209,0
2016-04-07,17:00:00,25.35,25.35,25.35,25.35,104,0
2016-04-11,16:00:00,26.118,26.118,25.992,25.992,238,0
2016-04-13,21:00:00,26.693,26.693,26.693,26.693,117160,0
2016-04-14,22:00:00,26.606,26.606,26.606,26.606,104,0
2016-04-15,16:00:00,26.501,26.501,26.501,26.501,104,0
2016-04-15,22:00:00,26.481,26.501,26.481,26.501,209,0
2016-04-18,16:00:00,26.415,26.415,26.415,26.415,104,0
2016-04-18,17:00:00,26.462,26.462,26.462,26.462,104,0
2016-04-18,18:00:00,26.586,26.586,26.586,26.586,104,0
2016-04-19,16:00:00,26.74,26.875,26.74,26.875,209,0
2016-04-19,18:00:00,26.996,26.996,26.996,26.996,104,0
2016-04-19,21:00:00,26.933,26.933,26.933,26.933,104,0
2016-04-19,22:00:00,27.018,27.018,27.018,27.018,104,0
2016-04-20,16:00:00,26.817,26.817,26.817,26.817,104,0
2016-04-20,17:00:00,26.817,26.817,26.817,26.817,104,0
2016-04-21,17:00:00,26.759,26.759,26.759,26.759,104,0
2016-04-21,18:00:00,26.759,26.759,26.74,26.74,417,0
