Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,35.49,35.86,35.47,35.72,57391,0
2017-09-05,17:00:00,35.71,36.05,35.67,35.97,70549,0
2017-09-05,18:00:00,35.98,35.98,35.7,35.75,87577,0
2017-09-05,19:00:00,35.75,35.75,35.0243,35.035,40109,0
2017-09-05,20:00:00,35.02,35.19,34.96,35.09,63005,0
2017-09-05,21:00:00,35.1,35.27,35.1,35.185,64121,0
2017-09-05,22:00:00,35.19,35.31,35.13,35.25,223944,0
2017-09-06,16:00:00,39.55,39.55,38.4,38.98,705327,0
2017-09-06,17:00:00,38.95,41.94,38.941,40.41,1757016,0
2017-09-06,18:00:00,40.44,41.0293,40.2199,40.7259,404970,0
2017-09-06,19:00:00,40.735,40.8965,39.81,40.305,368330,0
2017-09-06,20:00:00,40.3,40.75,40,40.43,194334,0
2017-09-06,21:00:00,40.47,40.91,40.04,40.27,247941,0
2017-09-06,22:00:00,40.26,40.43,39.95,40.02,451923,0
2017-09-07,16:00:00,40.65,40.77,39.5,39.66,131535,0
2017-09-07,17:00:00,39.66,39.66,39.13,39.24,119330,0
2017-09-07,18:00:00,39.28,39.36,38.57,38.63,194001,0
2017-09-07,19:00:00,38.66,39.46,38.55,39.04,136767,0
2017-09-07,20:00:00,38.98,39.1,38.8,38.95,88447,0
2017-09-07,21:00:00,38.96,39.04,38.63,38.68,217535,0
2017-09-07,22:00:00,38.69,38.86,38.525,38.58,443217,0
2017-09-08,16:00:00,38.55,38.89,37.99,38.325,56760,0
2017-09-08,17:00:00,38.35,38.83,37.9901,38.7164,106465,0
2017-09-08,18:00:00,38.71,38.95,38.56,38.6,45004,0
2017-09-08,19:00:00,38.58,38.61,37.72,38.14,165837,0
2017-09-08,20:00:00,38.14,38.67,37.65,38.1101,179925,0
2017-09-08,21:00:00,38.19,38.37,38.08,38.12,54078,0
2017-09-08,22:00:00,38.12,38.24,38.08,38.2,138463,0
2017-09-11,16:00:00,39.26,41.81,39.26,40.62,196119,0
2017-09-11,17:00:00,40.615,40.7,40.1801,40.4,263119,0
2017-09-11,18:00:00,40.45,41.6,40.29,41.6,240646,0
2017-09-11,19:00:00,41.593,41.98,41.45,41.66,161460,0
2017-09-11,20:00:00,41.61,41.7,41.22,41.39,117939,0
2017-09-11,21:00:00,41.36,41.49,41.02,41.49,146922,0
2017-09-11,22:00:00,41.51,41.53,41,41.08,309674,0
2017-09-12,16:00:00,40.79,41.8,40.54,41.18,43209,0
2017-09-12,17:00:00,41.2,41.27,40.86,41.15,47775,0
2017-09-12,18:00:00,41.16,41.64,41.11,41.4,81982,0
2017-09-12,19:00:00,41.44,41.65,41.35,41.5,78065,0
2017-09-12,20:00:00,41.51,41.58,41.36,41.42,120070,0
2017-09-12,21:00:00,41.4,41.57,41.35,41.5,101612,0
2017-09-12,22:00:00,41.5,41.57,41.25,41.4,325048,0
2017-09-13,16:00:00,41.03,41.13,40.525,40.74,62150,0
2017-09-13,17:00:00,40.78,40.95,40.48,40.59,79803,0
2017-09-13,18:00:00,40.55,40.775,40.55,40.64,86150,0
2017-09-13,19:00:00,40.64,40.77,40.6,40.66,66844,0
2017-09-13,20:00:00,40.62,40.89,40.62,40.78,62654,0
2017-09-13,21:00:00,40.76,40.87,40.68,40.78,84272,0
2017-09-13,22:00:00,40.78,40.81,40.63,40.78,220872,0
2017-09-14,16:00:00,40.56,40.99,40.41,40.9278,19437,0
2017-09-14,17:00:00,40.935,40.98,40.68,40.94,75273,0
2017-09-14,18:00:00,40.99,41.13,40.71,40.77,35945,0
2017-09-14,19:00:00,40.72,40.79,40.59,40.715,23735,0
2017-09-14,20:00:00,40.715,40.75,40.59,40.6,136552,0
2017-09-14,21:00:00,40.58,40.68,40.5,40.53,76392,0
2017-09-14,22:00:00,40.54,40.75,40.4,40.73,240669,0
2017-09-15,16:00:00,40.84,41.47,40.52,41.15,103018,0
2017-09-15,17:00:00,41.15,41.56,41.1,41.53,30940,0
2017-09-15,18:00:00,41.52,41.58,41.43,41.535,18495,0
2017-09-15,19:00:00,41.53,41.68,41.49,41.55,20934,0
2017-09-15,20:00:00,41.55,41.95,41.55,41.925,45320,0
2017-09-15,21:00:00,41.91,42.15,41.91,42.11,52876,0
2017-09-15,22:00:00,42.13,42.13,41.47,41.59,310766,0
2017-09-18,16:00:00,41.58,41.58,40.8485,41.29,27845,0
2017-09-18,17:00:00,41.24,41.395,41.1,41.16,23133,0
2017-09-18,18:00:00,41.17,41.32,41.12,41.285,25241,0
2017-09-18,19:00:00,41.27,41.34,41.14,41.29,21683,0
2017-09-18,20:00:00,41.27,41.5,41.25,41.49,43069,0
2017-09-18,21:00:00,41.49,41.5,41.3,41.37,37166,0
2017-09-18,22:00:00,41.4,41.58,41.39,41.56,156957,0
2017-09-19,16:00:00,41.45,41.85,41.45,41.66,24640,0
2017-09-19,17:00:00,41.7199,42.7599,41.7199,42.72,83052,0
2017-09-19,18:00:00,42.73,43.06,42.65,42.9375,61131,0
2017-09-19,19:00:00,42.9999,43.1499,42.82,42.82,31691,0
2017-09-19,20:00:00,42.82,42.91,42.6,42.61,21257,0
2017-09-19,21:00:00,42.62,42.63,42.33,42.33,18000,0
2017-09-19,22:00:00,42.35,42.37,42.25,42.34,102522,0
2017-09-20,16:00:00,42.09,42.09,41.35,41.72,61861,0
2017-09-20,17:00:00,41.73,42.05,41.62,41.69,30476,0
2017-09-20,18:00:00,41.65,41.79,41.54,41.68,30578,0
2017-09-20,19:00:00,41.66,41.75,41.565,41.6,26994,0
2017-09-20,20:00:00,41.61,41.63,41.37,41.445,104773,0
2017-09-20,21:00:00,41.45,41.49,41.19,41.33,33626,0
2017-09-20,22:00:00,41.34,41.52,41.32,41.4492,198640,0
2017-09-21,16:00:00,41.51,41.53,40.5437,41.29,22470,0
2017-09-21,17:00:00,41.32,41.51,41.14,41.5,44229,0
2017-09-21,18:00:00,41.54,41.82,41.46,41.56,153611,0
2017-09-21,19:00:00,41.565,41.645,41.45,41.47,36366,0
2017-09-21,20:00:00,41.47,41.55,41.45,41.495,28567,0
2017-09-21,21:00:00,41.51,41.51,41.24,41.3,42886,0
2017-09-21,22:00:00,41.3,41.445,41.21,41.38,130918,0
2017-09-22,16:00:00,41.59,41.79,41.35,41.43,40218,0
2017-09-22,17:00:00,41.42,41.8075,41.42,41.5,28403,0
2017-09-22,18:00:00,41.5,41.66,41.36,41.43,66753,0
2017-09-22,19:00:00,41.46,41.65,41.44,41.48,31091,0
2017-09-22,20:00:00,41.48,41.55,41.44,41.47,21711,0
2017-09-22,21:00:00,41.47,41.53,41.42,41.5,26644,0
2017-09-22,22:00:00,41.51,41.52,41.42,41.44,103399,0
2017-09-25,16:00:00,41.11,41.49,41.11,41.32,21178,0
2017-09-25,17:00:00,41.42,41.51,41.06,41.0725,34429,0
2017-09-25,18:00:00,41.08,41.08,40.88,40.9,20416,0
2017-09-25,19:00:00,40.9,41.28,40.79,41.25,33341,0
2017-09-25,20:00:00,41.24,41.3,41.15,41.2,36738,0
2017-09-25,21:00:00,41.1999,41.23,40.97,41.145,28205,0
2017-09-25,22:00:00,41.13,41.23,41.1185,41.19,155784,0
2017-09-26,16:00:00,41.29,41.55,41.09,41.46,21946,0
2017-09-26,17:00:00,41.43,41.55,41.15,41.23,60569,0
2017-09-26,18:00:00,41.25,41.49,41.21,41.43,28542,0
2017-09-26,19:00:00,41.46,42.16,41.35,41.955,66575,0
2017-09-26,20:00:00,41.93,42.23,41.59,42.23,31603,0
2017-09-26,21:00:00,42.25,42.32,41.98,41.98,46224,0
2017-09-26,22:00:00,42,42.12,41.77,41.82,101400,0
2017-09-27,16:00:00,42.03,42.41,41.8988,42.105,19646,0
2017-09-27,17:00:00,42.08,42.52,42.08,42.37,33746,0
2017-09-27,18:00:00,42.37,42.7,42.29,42.55,25731,0
2017-09-27,19:00:00,42.51,43.07,42.46,42.97,32505,0
2017-09-27,20:00:00,43.01,43.29,42.86,43.24,49620,0
2017-09-27,21:00:00,43.245,43.25,42.9,43.025,58569,0
2017-09-27,22:00:00,43.03,43.125,42.98,43.09,156863,0
2017-09-28,16:00:00,42.86,42.93,41.31,42.82,16471,0
2017-09-28,17:00:00,42.85,43.26,42.85,43.09,30667,0
2017-09-28,18:00:00,43.08,43.2,43,43.12,30866,0
2017-09-28,19:00:00,43.14,43.72,43.1,43.6,39770,0
2017-09-28,20:00:00,43.59,43.61,43.05,43.45,38552,0
2017-09-28,21:00:00,43.43,43.44,43.07,43.12,33255,0
2017-09-28,22:00:00,43.12,43.22,42.87,42.88,142126,0
2017-09-29,16:00:00,42.75,42.82,41.79,42.82,12380,0
2017-09-29,17:00:00,42.78,42.82,42.095,42.46,56123,0
2017-09-29,18:00:00,42.5,42.77,42.49,42.67,41670,0
2017-09-29,19:00:00,42.67,42.73,42.58,42.66,37563,0
2017-09-29,20:00:00,42.7,42.74,42.54,42.63,50136,0
2017-09-29,21:00:00,42.64,42.715,42.63,42.69,34626,0
2017-09-29,22:00:00,42.685,42.74,42.64,42.67,95921,0
2017-10-02,16:00:00,42.57,43.39,42.57,42.77,30546,0
2017-10-02,17:00:00,42.68,43.005,42.59,42.685,51313,0
