Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,16.16,16.41,16.021,16.32,86731,0
2017-09-05,17:00:00,16.32,16.35,16.23,16.29,55883,0
2017-09-05,18:00:00,16.29,16.295,16.2,16.23,55240,0
2017-09-05,19:00:00,16.23,16.24,16.11,16.23,101967,0
2017-09-05,20:00:00,16.23,16.31,16.17,16.295,51682,0
2017-09-05,21:00:00,16.3,16.38,16.24,16.36,65118,0
2017-09-05,22:00:00,16.36,16.425,16.29,16.32,829568,0
2017-09-06,16:00:00,16.27,16.41,16.17,16.32,60822,0
2017-09-06,17:00:00,16.32,16.34,16.11,16.18,78766,0
2017-09-06,18:00:00,16.19,16.25,16.08,16.25,84683,0
2017-09-06,19:00:00,16.245,16.3301,16.22,16.31,102907,0
2017-09-06,20:00:00,16.31,16.399,16.3,16.365,88003,0
2017-09-06,21:00:00,16.36,16.575,16.35,16.385,205098,0
2017-09-06,22:00:00,16.39,16.63,16.355,16.62,1023310,0
2017-09-07,16:00:00,16.96,17.34,16.905,17.155,546513,0
2017-09-07,17:00:00,17.155,17.49,17.15,17.43,530627,0
2017-09-07,18:00:00,17.445,17.445,17.13,17.13,443734,0
2017-09-07,19:00:00,17.14,17.16,16.925,17.09,318204,0
2017-09-07,20:00:00,17.095,17.19,17.06,17.07,227702,0
2017-09-07,21:00:00,17.07,17.08,16.91,16.92,241358,0
2017-09-07,22:00:00,16.915,17.04,16.915,17,713449,0
2017-09-08,16:00:00,16.94,17.09,16.89,17.01,91082,0
2017-09-08,17:00:00,17,17.02,16.89,16.96,100006,0
2017-09-08,18:00:00,16.96,17.15,16.95,17.12,208150,0
2017-09-08,19:00:00,17.1253,17.145,16.97,17.02,177990,0
2017-09-08,20:00:00,17.03,17.035,16.88,16.9,160734,0
2017-09-08,21:00:00,16.9,16.919,16.78,16.85,115313,0
2017-09-08,22:00:00,16.85,16.89,16.83,16.88,299830,0
2017-09-11,16:00:00,17,17.14,16.89,17.1,104982,0
2017-09-11,17:00:00,17.11,17.245,17.06,17.1,196694,0
2017-09-11,18:00:00,17.11,17.29,17.08,17.24,171932,0
2017-09-11,19:00:00,17.24,17.26,17.19,17.24,75264,0
2017-09-11,20:00:00,17.24,17.26,17.15,17.245,122547,0
2017-09-11,21:00:00,17.245,17.315,17.22,17.25,241520,0
2017-09-11,22:00:00,17.245,17.355,17.245,17.34,365133,0
2017-09-12,16:00:00,17.29,17.53,17.27,17.47,148942,0
2017-09-12,17:00:00,17.49,17.57,17.44,17.53,142615,0
2017-09-12,18:00:00,17.5201,17.72,17.5,17.6892,193600,0
2017-09-12,19:00:00,17.6875,17.7,17.56,17.69,160519,0
2017-09-12,20:00:00,17.69,17.82,17.535,17.57,309600,0
2017-09-12,21:00:00,17.57,17.64,17.53,17.62,137401,0
2017-09-12,22:00:00,17.61,17.64,17.5,17.61,287647,0
2017-09-13,16:00:00,17.64,17.72,17.53,17.7,56974,0
2017-09-13,17:00:00,17.7,17.79,17.57,17.735,295804,0
2017-09-13,18:00:00,17.7335,17.78,17.5967,17.5967,190988,0
2017-09-13,19:00:00,17.59,17.75,17.57,17.72,90168,0
2017-09-13,20:00:00,17.72,17.74,17.66,17.67,53873,0
2017-09-13,21:00:00,17.69,17.79,17.64,17.77,170073,0
2017-09-13,22:00:00,17.775,17.8082,17.72,17.79,308412,0
2017-09-14,16:00:00,17.79,17.79,17.56,17.75,151708,0
2017-09-14,17:00:00,17.75,17.82,17.64,17.81,147146,0
2017-09-14,18:00:00,17.82,17.9,17.78,17.86,128411,0
2017-09-14,19:00:00,17.855,17.8599,17.77,17.79,72486,0
2017-09-14,20:00:00,17.79,17.81,17.74,17.74,40018,0
2017-09-14,21:00:00,17.75,17.77,17.71,17.74,61242,0
2017-09-14,22:00:00,17.74,17.785,17.735,17.76,276027,0
2017-09-15,16:00:00,17.8,17.82,17.44,17.46,465963,0
2017-09-15,17:00:00,17.47,17.55,17.42,17.49,239774,0
2017-09-15,18:00:00,17.49,17.5,17.41,17.455,113162,0
2017-09-15,19:00:00,17.455,17.5,17.21,17.36,729175,0
2017-09-15,20:00:00,17.36,17.38,17.19,17.215,278038,0
2017-09-15,21:00:00,17.215,17.22,17.14,17.185,227219,0
2017-09-15,22:00:00,17.185,17.2,17.04,17.17,1948077,0
2017-09-18,16:00:00,17.27,17.329,17.01,17.16,163938,0
2017-09-18,17:00:00,17.16,17.2,17.09,17.1,188209,0
2017-09-18,18:00:00,17.11,17.255,17.075,17.25,200602,0
2017-09-18,19:00:00,17.24,17.25,17.17,17.2,106264,0
2017-09-18,20:00:00,17.2,17.21,17.15,17.19,80123,0
2017-09-18,21:00:00,17.1847,17.19,17.09,17.1,202252,0
2017-09-18,22:00:00,17.105,17.155,17.04,17.12,574690,0
2017-09-19,16:00:00,17.21,17.3,17.14,17.275,56050,0
