Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,22.89,22.96,22.75,22.805,24784,0
2017-09-05,17:00:00,22.805,23.03,22.805,22.865,27908,0
2017-09-05,18:00:00,22.865,22.99,22.85,22.91,18254,0
2017-09-05,19:00:00,22.9,22.91,22.72,22.87,21456,0
2017-09-05,20:00:00,22.86,22.95,22.73,22.89,24575,0
2017-09-05,21:00:00,22.905,22.94,22.79,22.88,37227,0
2017-09-05,22:00:00,22.86,22.97,22.8,22.86,81774,0
2017-09-06,16:00:00,22.91,22.93,22.6,22.645,10806,0
2017-09-06,17:00:00,22.65,22.73,22.36,22.395,18627,0
2017-09-06,18:00:00,22.37,22.37,22.29,22.29,8200,0
2017-09-06,19:00:00,22.32,22.33,22.14,22.24,11400,0
2017-09-06,20:00:00,22.21,22.4,22.19,22.33,23504,0
2017-09-06,21:00:00,22.33,22.4,22.16,22.18,15000,0
2017-09-06,22:00:00,22.18,22.28,22.09,22.16,78680,0
2017-09-07,16:00:00,22.31,22.79,22.21,22.55,54355,0
2017-09-07,17:00:00,22.52,22.69,22.33,22.65,50323,0
2017-09-07,18:00:00,22.64,22.64,22.32,22.5,30189,0
2017-09-07,19:00:00,22.51,22.6,22.4,22.53,28967,0
2017-09-07,20:00:00,22.53,22.58,22.4601,22.47,12540,0
2017-09-07,21:00:00,22.44,22.5,22.32,22.32,7963,0
2017-09-07,22:00:00,22.32,22.36,22.29,22.34,31134,0
2017-09-08,16:00:00,22.27,22.33,21.98,21.98,4156,0
2017-09-08,17:00:00,22,22.15,21.83,22.15,13906,0
2017-09-08,18:00:00,22.18,22.19,22.08,22.14,7446,0
2017-09-08,19:00:00,22.1502,22.26,22.12,22.19,16964,0
2017-09-08,20:00:00,22.14,22.2,22.08,22.125,9348,0
2017-09-08,21:00:00,22.14,22.26,22.03,22.245,20220,0
2017-09-08,22:00:00,22.24,22.3,22.22,22.26,41026,0
2017-09-11,16:00:00,22.42,23.17,22.4,23.09,46997,0
2017-09-11,17:00:00,23.12,23.5,23.12,23.4,93278,0
2017-09-11,18:00:00,23.36,23.4,23.14,23.22,57361,0
2017-09-11,19:00:00,23.225,23.41,23.22,23.3,59891,0
2017-09-11,20:00:00,23.315,23.5,23.29,23.38,68981,0
2017-09-11,21:00:00,23.37,23.41,23.24,23.34,59244,0
2017-09-11,22:00:00,23.35,23.43,23.33,23.36,98219,0
2017-09-12,16:00:00,23.36,23.4514,23.14,23.165,30391,0
2017-09-12,17:00:00,23.2,23.28,23.13,23.195,12200,0
2017-09-12,18:00:00,23.21,23.31,23.13,23.17,7100,0
2017-09-12,19:00:00,23.16,23.3,23.07,23.2031,16207,0
2017-09-12,20:00:00,23.2,23.28,23.175,23.2,11099,0
2017-09-12,21:00:00,23.24,23.3003,23.19,23.28,18000,0
2017-09-12,22:00:00,23.28,23.4,23.23,23.4,40135,0
2017-09-13,16:00:00,23.25,23.3399,23.06,23.3,6737,0
2017-09-13,17:00:00,23.31,23.39,23.3,23.33,17375,0
2017-09-13,18:00:00,23.33,23.35,23.18,23.3,13149,0
2017-09-13,19:00:00,23.28,23.38,23.27,23.33,13554,0
2017-09-13,20:00:00,23.33,23.35,23.3,23.33,25581,0
2017-09-13,21:00:00,23.34,23.38,23.21,23.285,98494,0
2017-09-13,22:00:00,23.285,23.56,23.26,23.53,116885,0
2017-09-14,16:00:00,23.3,23.5,23.14,23.28,32435,0
2017-09-14,17:00:00,23.275,23.5,23.27,23.49,73331,0
2017-09-14,18:00:00,23.48,23.55,23.43,23.46,32407,0
2017-09-14,19:00:00,23.45,23.49,23.385,23.44,18890,0
2017-09-14,20:00:00,23.44,23.45,23.361,23.45,20215,0
