Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-27,16:00:00,27.69,28,27.38,27.95,72010,0
2017-10-27,17:00:00,27.94,28.37,27.92,28.08,156498,0
2017-10-27,18:00:00,28.045,28.08,28,28,298305,0
2017-10-27,19:00:00,28.01,28.34,28,28.19,90267,0
2017-10-27,20:00:00,28.2,28.3,28.03,28.29,47410,0
2017-10-27,21:00:00,28.275,28.3,28.065,28.1,42365,0
2017-10-27,22:00:00,28.105,28.25,28,28.15,226674,0
2017-10-30,15:00:00,28.07,28.3,27.49,27.855,74528,0
2017-10-30,16:00:00,27.76,28.3,27.76,28.25,64145,0
2017-10-30,17:00:00,28.25,28.6,28.21,28.59,87857,0
2017-10-30,18:00:00,28.58,28.83,28.35,28.78,207943,0
2017-10-30,19:00:00,28.78,28.9,27.72,28,144242,0
2017-10-30,20:00:00,28,28.19,27.5707,28,115384,0
2017-10-30,21:00:00,28.06,28.17,27.81,28.04,39949,0
2017-10-31,15:00:00,28,28.25,27.681,28.01,55100,0
2017-10-31,16:00:00,28,28.35,27.95,28.2,58345,0
2017-10-31,17:00:00,28.12,28.41,28.12,28.24,37823,0
2017-10-31,18:00:00,28.25,28.53,28.15,28.36,23833,0
2017-10-31,19:00:00,28.37,28.54,28.21,28.4,21188,0
2017-10-31,20:00:00,28.43,28.705,28.24,28.6,42575,0
2017-10-31,21:00:00,28.59,29.39,28.36,28.8,182591,0
2017-11-01,15:00:00,29.05,29.1078,28.27,28.51,64134,0
2017-11-01,16:00:00,28.62,29.18,28.51,28.84,119787,0
2017-11-01,17:00:00,28.99,30.98,28.81,30.41,162772,0
2017-11-01,18:00:00,30.37,30.4,30.07,30.29,98259,0
2017-11-01,19:00:00,30.3,30.48,30.15,30.31,110806,0
2017-11-01,20:00:00,30.33,30.48,29.934,30.2396,129773,0
2017-11-01,21:00:00,30.21,30.44,30.06,30.37,1069853,0
2017-11-02,15:00:00,30.43,30.71,30.24,30.38,8980,0
2017-11-02,16:00:00,30.37,30.595,30.199,30.41,30837,0
2017-11-02,17:00:00,30.45,30.53,29.981,30.27,37107,0
2017-11-02,18:00:00,30.28,30.285,30.05,30.27,18998,0
2017-11-02,19:00:00,30.24,30.27,30.12,30.26,12302,0
2017-11-02,20:00:00,30.265,30.265,30.02,30.25,8271,0
2017-11-02,21:00:00,30.1034,30.45,29.94,29.99,74467,0
2017-11-03,15:00:00,30,30.125,29.85,29.94,9115,0
2017-11-03,16:00:00,29.99,30.01,29.74,29.88,10961,0
2017-11-03,17:00:00,29.75,29.91,29.655,29.655,8514,0
2017-11-03,18:00:00,29.73,29.76,29.18,29.31,26920,0
2017-11-03,19:00:00,29.32,29.52,29.32,29.52,14400,0
2017-11-03,20:00:00,29.5,29.725,29.5,29.67,7979,0
2017-11-03,21:00:00,29.66,29.77,29.58,29.7,45623,0
2017-11-06,16:00:00,29.76,30.84,29.76,30.33,7223,0
2017-11-06,17:00:00,30.41,30.46,30.0499,30.385,29396,0
2017-11-06,18:00:00,30.385,30.43,30.2,30.29,10687,0
2017-11-06,19:00:00,30.29,30.29,30.15,30.15,10622,0
2017-11-06,20:00:00,30.18,30.23,30.03,30.16,13305,0
2017-11-06,21:00:00,30.15,30.158,30,30,10620,0
2017-11-06,22:00:00,30.07,30.19,29.95,30.07,36007,0
2017-11-07,16:00:00,30.25,30.4,30.24,30.24,5779,0
2017-11-07,17:00:00,30.12,30.29,30.06,30.14,19042,0
2017-11-07,18:00:00,30.105,30.2,30.04,30.155,69606,0
2017-11-07,19:00:00,30.155,30.2025,29.96,30.01,36778,0
2017-11-07,20:00:00,30.055,30.09,29.96,30.075,12976,0
2017-11-07,21:00:00,30.04,30.27,30.01,30.09,16700,0
2017-11-07,22:00:00,30.1,30.15,29.97,30.05,43437,0
2017-11-08,16:00:00,30.13,30.42,30.035,30.19,72859,0
2017-11-08,17:00:00,30.185,30.3,30,30.185,60790,0
2017-11-08,18:00:00,30.1,30.22,30.05,30.1301,47000,0
2017-11-08,19:00:00,30.14,30.25,30.12,30.25,70640,0
2017-11-08,20:00:00,30.23,30.31,30.21,30.255,24010,0
2017-11-08,21:00:00,30.27,30.3,30.23,30.25,24264,0
2017-11-08,22:00:00,30.25,30.3,30.15,30.16,53467,0
2017-11-09,16:00:00,30.2,30.3,30.015,30.2,714,0
2017-11-09,17:00:00,30.31,30.4,29.98,30.09,89297,0
2017-11-09,18:00:00,30.08,30.29,29.94,29.94,120700,0
2017-11-09,19:00:00,29.98,29.98,29.55,29.79,35968,0
2017-11-09,20:00:00,29.9,30.31,29.82,30.21,27947,0
2017-11-09,21:00:00,30.255,30.33,30,30.24,24808,0
2017-11-09,22:00:00,30.24,30.4,30.09,30.27,46792,0
2017-11-10,16:00:00,30.15,30.2505,30,30.16,7150,0
2017-11-10,17:00:00,30.1271,30.2,30.1,30.15,16668,0
2017-11-10,18:00:00,30.15,30.16,30.135,30.15,8900,0
2017-11-10,19:00:00,30.15,30.17,30.05,30.16,26810,0
2017-11-10,20:00:00,30.15,30.19,29.93,30.095,59605,0
2017-11-10,21:00:00,30.095,30.36,30.09,30.36,39240,0
2017-11-10,22:00:00,30.3,30.35,30.13,30.14,65252,0
2017-11-13,16:00:00,30.2,30.34,30.15,30.2,8819,0
2017-11-13,17:00:00,30.18,30.2,30.07,30.1101,27159,0
2017-11-13,18:00:00,30.11,30.19,30.01,30.1,16900,0
2017-11-13,19:00:00,30.0966,30.13,30.02,30.02,29280,0
2017-11-13,20:00:00,30.06,30.065,29.83,30,38249,0
