Date,Time,Open,High,Low,Close,Volume,OpenInt
2018-03-28,17:00:00,23,24.4,21.15,22.15,1494167,0
2018-03-28,18:00:00,22.14,22.32,20.71,21.98,328739,0
2018-03-28,19:00:00,21.94,21.94,20.05,20.4,168782,0
2018-03-28,20:00:00,20.4,21.18,20,20.025,206359,0
2018-03-28,21:00:00,20.025,20.35,19.1305,20,214102,0
2018-03-28,22:00:00,20.06,20.55,18.66,18.66,395015,0
2018-03-29,16:00:00,18.74,19.25,18.5,18.93,111408,0
2018-03-29,17:00:00,18.87,19.67,18.82,19.375,96284,0
2018-03-29,18:00:00,19.375,19.59,19.24,19.485,119377,0
2018-03-29,19:00:00,19.41,19.63,19,19.6,58427,0
2018-03-29,20:00:00,19.625,19.8575,19.26,19.455,49998,0
2018-03-29,21:00:00,19.43,19.5666,19.41,19.41,26737,0
2018-03-29,22:00:00,19.41,19.425,18.2025,18.6,140192,0
