Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,14.72,14.75,14.018,14.122,63685,0
2017-09-05,17:00:00,14.149,14.255,13.592,13.602,30648,0
2017-09-05,18:00:00,13.602,13.671,13.117,13.117,21620,0
2017-09-05,19:00:00,13.117,13.117,12.691,12.751,10666,0
2017-09-05,20:00:00,12.769,12.879,12.731,12.807,18283,0
2017-09-05,21:00:00,12.79,12.8,12.671,12.671,27567,0
2017-09-05,22:00:00,12.671,12.751,12.612,12.691,63866,0
2017-09-06,16:00:00,12.691,12.871,12.418,12.77,32065,0
2017-09-06,17:00:00,12.819,12.919,12.495,12.495,39989,0
2017-09-06,18:00:00,12.503,12.721,12.423,12.641,17208,0
2017-09-06,19:00:00,12.671,12.84,12.666,12.691,18998,0
2017-09-06,20:00:00,12.721,12.819,12.701,12.721,21144,0
2017-09-06,21:00:00,12.696,12.771,12.404,12.523,32672,0
2017-09-06,22:00:00,12.523,12.523,12.385,12.395,45934,0
2017-09-07,16:00:00,12.395,12.423,11.533,11.533,38674,0
2017-09-07,17:00:00,11.523,12.023,11.493,11.973,54516,0
2017-09-07,18:00:00,11.969,11.969,11.543,11.641,42244,0
2017-09-07,19:00:00,11.633,11.681,11.395,11.434,27141,0
2017-09-07,20:00:00,11.424,11.424,11.285,11.32,13054,0
2017-09-07,21:00:00,11.295,11.295,10.84,10.869,39623,0
2017-09-07,22:00:00,10.88,10.88,10.365,10.444,114163,0
2017-09-08,16:00:00,10.048,10.088,9.682,9.849,90125,0
2017-09-08,17:00:00,9.849,9.984,9.82,9.972,80995,0
2017-09-08,18:00:00,9.979,11.067,9.979,10.989,108005,0
2017-09-08,19:00:00,10.939,11.583,10.771,11.395,77853,0
2017-09-08,20:00:00,11.385,11.443,11.375,11.409,44038,0
2017-09-08,21:00:00,11.387,11.841,11.387,11.681,31457,0
2017-09-08,22:00:00,11.671,11.939,11.533,11.929,75446,0
2017-09-11,16:00:00,13.81,14.463,13.364,13.424,104530,0
2017-09-11,17:00:00,13.424,13.839,13.364,13.681,71261,0
2017-09-11,18:00:00,13.641,13.701,13.364,13.463,63232,0
2017-09-11,19:00:00,13.463,13.549,13.374,13.443,24974,0
2017-09-11,20:00:00,13.394,13.443,13.364,13.424,44576,0
2017-09-11,21:00:00,13.404,13.463,13.364,13.374,22045,0
2017-09-11,22:00:00,13.364,13.473,13.364,13.404,49281,0
2017-09-12,16:00:00,13.364,13.414,12.681,12.934,24025,0
2017-09-12,17:00:00,12.969,12.988,12.721,12.8,20382,0
2017-09-12,18:00:00,12.829,12.869,12.677,12.869,34466,0
2017-09-12,19:00:00,12.829,12.859,12.612,12.612,7149,0
2017-09-12,20:00:00,12.6,12.721,12.6,12.696,5799,0
2017-09-12,21:00:00,12.671,12.889,12.641,12.869,16358,0
2017-09-12,22:00:00,12.869,12.889,12.771,12.819,47120,0
2017-09-13,16:00:00,12.721,12.81,12.296,12.741,5884,0
2017-09-13,17:00:00,12.771,13.166,12.771,13.166,6785,0
2017-09-13,18:00:00,13.192,13.414,13.166,13.374,20954,0
2017-09-13,19:00:00,13.364,13.592,13.285,13.592,17599,0
2017-09-13,20:00:00,13.622,13.765,13.539,13.76,17728,0
2017-09-13,21:00:00,13.765,14.047,13.681,13.958,52367,0
2017-09-13,22:00:00,13.988,13.988,13.854,13.879,38029,0
2017-09-14,16:00:00,13.829,13.929,13.81,13.859,11292,0
2017-09-14,17:00:00,13.75,13.859,13.523,13.523,14338,0
2017-09-14,18:00:00,13.483,13.493,13.404,13.463,6768,0
2017-09-14,19:00:00,13.443,13.463,13.325,13.374,4545,0
