Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-17,18:00:00,6.98,6.98,6.9705,6.98,1270,0
2017-08-17,19:00:00,6.9847,6.9847,6.9705,6.9705,2012,0
2017-08-17,20:00:00,6.9705,6.9706,6.933,6.9651,2408,0
2017-08-17,21:00:00,6.9676,6.9705,6.9517,6.9517,8171,0
2017-08-17,22:00:00,6.9421,6.9517,6.8855,6.8855,4396,0
2017-08-18,16:00:00,6.9421,6.9421,6.9139,6.9211,3386,0
2017-08-18,17:00:00,6.9233,6.9328,6.9233,6.9328,7135,0
2017-08-18,18:00:00,6.9328,6.9328,6.9233,6.9233,1981,0
2017-08-18,19:00:00,6.9233,6.9233,6.9053,6.9053,1694,0
2017-08-18,20:00:00,6.9233,6.9233,6.9233,6.9233,192,0
2017-08-18,21:00:00,6.929,6.929,6.9233,6.9233,5224,0
2017-08-18,22:00:00,6.9328,6.942,6.9328,6.9328,2243,0
2017-08-21,16:00:00,6.9044,6.9044,6.9044,6.9044,318,0
2017-08-21,17:00:00,6.8898,6.8898,6.8761,6.8855,2859,0
2017-08-21,18:00:00,6.8855,6.8855,6.8855,6.8855,423,0
2017-08-21,19:00:00,6.8891,6.8949,6.8889,6.8949,2329,0
2017-08-21,20:00:00,6.8864,6.895,6.8864,6.895,1233,0
2017-08-21,22:00:00,6.9044,6.9044,6.8855,6.8855,2718,0
2017-08-22,16:00:00,6.895,6.895,6.895,6.895,132,0
2017-08-22,18:00:00,6.9517,6.9617,6.9328,6.9328,3706,0
2017-08-22,19:00:00,6.9421,6.9705,6.9421,6.9421,4014,0
2017-08-22,20:00:00,6.9421,6.9517,6.9421,6.9421,4341,0
2017-08-22,22:00:00,6.9705,6.98,6.9611,6.9611,8578,0
2017-08-23,16:00:00,6.9139,6.9139,6.9139,6.9139,231,0
2017-08-23,17:00:00,6.9243,6.9411,6.9233,6.9328,10362,0
2017-08-23,18:00:00,6.942,6.9611,6.9328,6.9544,7737,0
2017-08-23,20:00:00,6.9421,6.9611,6.9421,6.9585,20322,0
2017-08-23,21:00:00,6.9496,6.9611,6.9423,6.9611,5527,0
2017-08-23,22:00:00,6.9611,6.9659,6.9517,6.9517,3806,0
2017-08-24,16:00:00,6.9704,6.9705,6.9611,6.9611,10805,0
2017-08-24,17:00:00,6.9612,6.9895,6.9517,6.9895,12624,0
2017-08-24,18:00:00,6.9724,6.9724,6.9421,6.9611,9914,0
2017-08-24,19:00:00,6.9669,6.9669,6.9669,6.9669,135,0
2017-08-24,20:00:00,6.9697,6.9697,6.9697,6.9697,106,0
2017-08-24,21:00:00,6.9705,6.9705,6.9705,6.9705,953,0
2017-08-24,22:00:00,6.9705,6.9705,6.9705,6.9705,423,0
2017-08-25,16:00:00,6.9801,6.9801,6.9801,6.9801,361,0
2017-08-25,17:00:00,6.9988,7.0083,6.9895,6.9912,10518,0
2017-08-25,18:00:00,6.9988,6.9988,6.9705,6.9801,3739,0
2017-08-25,20:00:00,6.9988,7.0083,6.981,6.981,1449,0
2017-08-25,21:00:00,6.9988,7.0209,6.9988,7.0209,2355,0
2017-08-25,22:00:00,7.0253,7.0253,7.0178,7.0178,635,0
2017-08-28,16:00:00,6.9988,6.9988,6.9944,6.9944,872,0
2017-08-28,17:00:00,6.9941,6.9941,6.98,6.9847,7601,0
2017-08-28,18:00:00,6.9895,6.9895,6.9801,6.9895,4025,0
2017-08-28,19:00:00,6.9895,6.9988,6.9825,6.9988,3180,0
2017-08-28,20:00:00,6.9801,6.9988,6.98,6.9988,3504,0
2017-08-28,21:00:00,6.9895,6.9988,6.98,6.9988,6432,0
