Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-01,16:00:00,1.6,1.6,1.6,1.6,500,0
2017-09-01,17:00:00,1.625,1.65,1.625,1.625,300,0
2017-09-01,18:00:00,1.6324,1.65,1.6,1.625,8800,0
2017-09-01,19:00:00,1.625,1.65,1.625,1.625,600,0
2017-09-01,20:00:00,1.625,1.65,1.625,1.625,944,0
2017-09-01,21:00:00,1.65,1.65,1.625,1.625,700,0
2017-09-01,22:00:00,1.645,1.65,1.6,1.65,6990,0
2017-09-05,16:00:00,1.65,1.65,1.6,1.65,857,0
2017-09-05,17:00:00,1.6,1.65,1.6,1.6,1300,0
2017-09-05,18:00:00,1.625,1.625,1.6,1.625,1260,0
2017-09-05,19:00:00,1.625,1.65,1.6,1.625,8231,0
2017-09-05,20:00:00,1.625,1.625,1.625,1.625,300,0
2017-09-05,21:00:00,1.625,1.65,1.6,1.6,1700,0
2017-09-05,22:00:00,1.6,1.65,1.6,1.625,2613,0
2017-09-06,16:00:00,1.6,1.6,1.6,1.6,20718,0
2017-09-06,17:00:00,1.6,1.65,1.6,1.625,9790,0
2017-09-06,18:00:00,1.6,1.625,1.6,1.6,4591,0
2017-09-06,19:00:00,1.625,1.625,1.6,1.6,4100,0
2017-09-06,20:00:00,1.6,1.625,1.6,1.625,1000,0
2017-09-06,21:00:00,1.6,1.6,1.6,1.6,500,0
2017-09-06,22:00:00,1.6,1.65,1.6,1.65,30354,0
2017-09-07,16:00:00,1.6,1.63,1.6,1.6,2493,0
2017-09-07,17:00:00,1.6,1.625,1.6,1.625,6436,0
2017-09-07,18:00:00,1.6,1.625,1.6,1.625,700,0
2017-09-07,19:00:00,1.6,1.6,1.6,1.6,200,0
2017-09-07,20:00:00,1.6,1.625,1.6,1.6,700,0
2017-09-07,21:00:00,1.625,1.625,1.6,1.6,8224,0
2017-09-07,22:00:00,1.6,1.625,1.6,1.6,9662,0
2017-09-08,16:00:00,1.6,1.625,1.6,1.6,2835,0
2017-09-08,17:00:00,1.6,1.6,1.6,1.6,700,0
2017-09-08,18:00:00,1.625,1.625,1.6,1.6,600,0
2017-09-08,19:00:00,1.625,1.625,1.6,1.625,700,0
2017-09-08,20:00:00,1.625,1.625,1.6,1.6,500,0
2017-09-08,21:00:00,1.625,1.625,1.6,1.6,1600,0
2017-09-08,22:00:00,1.625,1.625,1.6,1.6,1813,0
2017-09-11,16:00:00,1.6,1.65,1.6,1.65,1177,0
2017-09-11,17:00:00,1.65,1.65,1.65,1.65,200,0
2017-09-11,18:00:00,1.6148,1.65,1.6148,1.65,1100,0
2017-09-11,19:00:00,1.6,1.65,1.6,1.6,7000,0
2017-09-11,20:00:00,1.65,1.65,1.6,1.6,17724,0
2017-09-11,21:00:00,1.6,1.625,1.6,1.625,25846,0
2017-09-11,22:00:00,1.65,1.65,1.6,1.6,10352,0
2017-09-12,16:00:00,1.65,1.65,1.61,1.625,615,0
2017-09-12,17:00:00,1.6,1.6132,1.6,1.6132,13271,0
2017-09-12,18:00:00,1.65,1.65,1.65,1.65,100,0
2017-09-12,19:00:00,1.6,1.625,1.6,1.6,23277,0
2017-09-12,20:00:00,1.6,1.625,1.6,1.625,2218,0
2017-09-12,21:00:00,1.6,1.625,1.6,1.6,900,0
2017-09-12,22:00:00,1.6,1.625,1.55,1.55,158930,0
2017-09-13,16:00:00,1.55,1.6,1.55,1.6,579,0
2017-09-13,17:00:00,1.575,1.6,1.575,1.575,14081,0
2017-09-13,18:00:00,1.6,1.6,1.55,1.5627,1418,0
2017-09-13,19:00:00,1.56,1.6,1.55,1.6,700,0
2017-09-13,20:00:00,1.575,1.6,1.575,1.575,1280,0
2017-09-13,21:00:00,1.6,1.6,1.55,1.55,31480,0
2017-09-13,22:00:00,1.55,1.6,1.5,1.6,132149,0
2017-09-14,16:00:00,1.55,1.6,1.55,1.6,807,0
2017-09-14,17:00:00,1.575,1.575,1.55,1.55,200,0
2017-09-14,18:00:00,1.575,1.6,1.55,1.55,1983,0
2017-09-14,19:00:00,1.55,1.575,1.55,1.55,1000,0
2017-09-14,20:00:00,1.575,1.575,1.575,1.575,200,0
2017-09-14,21:00:00,1.6,1.6,1.575,1.575,738,0
2017-09-14,22:00:00,1.55,1.6,1.55,1.6,5640,0
2017-09-15,16:00:00,1.65,1.65,1.575,1.575,14925,0
2017-09-15,17:00:00,1.575,1.6,1.55,1.575,22627,0
2017-09-15,18:00:00,1.575,1.6,1.5631,1.575,1800,0
2017-09-15,19:00:00,1.575,1.6,1.575,1.575,1400,0
2017-09-15,20:00:00,1.575,1.575,1.575,1.575,8898,0
2017-09-15,21:00:00,1.575,1.6,1.575,1.575,900,0
2017-09-15,22:00:00,1.575,1.6,1.55,1.6,25662,0
2017-09-18,16:00:00,1.6,1.65,1.6,1.6,2526,0
2017-09-18,17:00:00,1.6,1.65,1.55,1.55,2356,0
2017-09-18,18:00:00,1.65,1.65,1.575,1.6,3300,0
2017-09-18,19:00:00,1.575,1.6,1.575,1.6,7090,0
2017-09-18,20:00:00,1.6,1.6,1.5572,1.575,1013,0
2017-09-18,21:00:00,1.575,1.575,1.575,1.575,500,0
2017-09-18,22:00:00,1.575,1.6,1.55,1.6,5298,0
2017-09-19,16:00:00,1.6,1.61,1.6,1.6,404,0
2017-09-19,17:00:00,1.6,1.61,1.55,1.6,27467,0
2017-09-19,18:00:00,1.555,1.6,1.555,1.575,2939,0
2017-09-19,19:00:00,1.55,1.6,1.55,1.55,6850,0
2017-09-19,20:00:00,1.575,1.6,1.575,1.6,1200,0
2017-09-19,21:00:00,1.575,1.6,1.575,1.575,1500,0
2017-09-19,22:00:00,1.575,1.65,1.55,1.65,34598,0
2017-09-20,16:00:00,1.6132,1.65,1.6,1.6,700,0
2017-09-20,17:00:00,1.6,1.625,1.6,1.6,1500,0
2017-09-20,18:00:00,1.6,1.625,1.6,1.6,1325,0
2017-09-20,19:00:00,1.6,1.625,1.6,1.625,16680,0
2017-09-20,20:00:00,1.6,1.65,1.6,1.625,3790,0
2017-09-20,21:00:00,1.6,1.625,1.6,1.625,17110,0
2017-09-20,22:00:00,1.625,1.7,1.625,1.7,41798,0
2017-09-21,16:00:00,1.7,1.7,1.65,1.65,1519,0
2017-09-21,17:00:00,1.65,1.7,1.6,1.65,1450,0
2017-09-21,18:00:00,1.65,1.7,1.6,1.65,7813,0
2017-09-21,19:00:00,1.625,1.65,1.6,1.6,2300,0
2017-09-21,20:00:00,1.6,1.625,1.6,1.625,3630,0
2017-09-21,21:00:00,1.6,1.625,1.6,1.625,2650,0
2017-09-21,22:00:00,1.625,1.625,1.6,1.625,8275,0
2017-09-22,16:00:00,1.6,1.65,1.6,1.65,1769,0
2017-09-22,17:00:00,1.625,1.65,1.6,1.625,8718,0
2017-09-22,18:00:00,1.6,1.65,1.6,1.625,1000,0
2017-09-22,19:00:00,1.625,1.65,1.6,1.6,2083,0
2017-09-22,20:00:00,1.625,1.625,1.625,1.625,600,0
2017-09-22,21:00:00,1.65,1.65,1.6,1.625,12535,0
2017-09-22,22:00:00,1.625,1.7,1.6,1.7,25394,0
2017-09-25,16:00:00,1.65,1.7,1.6,1.7,1907,0
2017-09-25,17:00:00,1.675,1.675,1.65,1.65,3471,0
2017-09-25,18:00:00,1.675,1.675,1.65,1.65,368,0
2017-09-25,19:00:00,1.65,1.6683,1.625,1.625,3430,0
2017-09-25,20:00:00,1.65,1.65,1.625,1.625,1500,0
2017-09-25,21:00:00,1.65,1.65,1.625,1.625,400,0
2017-09-25,22:00:00,1.63,1.7,1.6,1.65,20838,0
2017-09-26,16:00:00,1.65,1.7,1.65,1.7,712,0
2017-09-26,17:00:00,1.7,1.7,1.6,1.625,9838,0
2017-09-26,18:00:00,1.625,1.65,1.625,1.625,700,0
2017-09-26,19:00:00,1.65,1.65,1.625,1.65,1100,0
2017-09-26,20:00:00,1.65,1.65,1.625,1.625,11200,0
2017-09-26,21:00:00,1.625,1.65,1.625,1.625,1700,0
2017-09-26,22:00:00,1.625,1.65,1.6,1.6,3760,0
2017-09-27,16:00:00,1.625,1.65,1.625,1.65,5482,0
2017-09-27,17:00:00,1.65,1.65,1.6,1.65,10318,0
2017-09-27,18:00:00,1.625,1.65,1.625,1.625,4607,0
2017-09-27,19:00:00,1.625,1.625,1.625,1.625,400,0
2017-09-27,20:00:00,1.65,1.65,1.625,1.625,2500,0
2017-09-27,21:00:00,1.625,1.625,1.625,1.625,3700,0
2017-09-27,22:00:00,1.625,1.65,1.6,1.6,4110,0
2017-09-28,16:00:00,1.6,1.65,1.6,1.625,4807,0
