Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,2.15,2.18,2.14,2.173,74314,0
2017-09-05,17:00:00,2.175,2.19,2.15,2.1516,161592,0
2017-09-05,18:00:00,2.15,2.16,2.13,2.13,131999,0
2017-09-05,19:00:00,2.13,2.13,2.1,2.11,88453,0
2017-09-05,20:00:00,2.11,2.13,2.11,2.125,46585,0
2017-09-05,21:00:00,2.13,2.15,2.125,2.13,45609,0
2017-09-05,22:00:00,2.1361,2.16,2.13,2.14,153962,0
2017-09-06,16:00:00,2.14,2.17,2.14,2.14,46178,0
2017-09-06,17:00:00,2.145,2.15,2.12,2.15,50124,0
2017-09-06,18:00:00,2.15,2.16,2.13,2.13,23088,0
2017-09-06,19:00:00,2.135,2.16,2.13,2.1436,61271,0
2017-09-06,20:00:00,2.145,2.16,2.14,2.16,11766,0
2017-09-06,21:00:00,2.155,2.17,2.155,2.165,31080,0
2017-09-06,22:00:00,2.165,2.17,2.14,2.16,181286,0
2017-09-07,16:00:00,2.16,2.18,2.12,2.14,98179,0
2017-09-07,17:00:00,2.14,2.17,2.13,2.1637,53272,0
2017-09-07,18:00:00,2.165,2.18,2.16,2.175,37651,0
2017-09-07,19:00:00,2.18,2.19,2.175,2.19,71225,0
2017-09-07,20:00:00,2.19,2.2,2.18,2.19,61905,0
2017-09-07,21:00:00,2.19,2.19,2.18,2.19,23337,0
2017-09-07,22:00:00,2.185,2.195,2.15,2.16,230883,0
2017-09-08,16:00:00,2.17,2.17,2.13,2.17,68749,0
2017-09-08,17:00:00,2.1654,2.1654,2.1343,2.15,67753,0
2017-09-08,18:00:00,2.15,2.17,2.15,2.165,42058,0
2017-09-08,19:00:00,2.165,2.17,2.14,2.145,41111,0
2017-09-08,20:00:00,2.145,2.15,2.14,2.145,29177,0
2017-09-08,21:00:00,2.144,2.15,2.12,2.13,45996,0
2017-09-08,22:00:00,2.13,2.14,2.1,2.12,202002,0
2017-09-11,16:00:00,2.13,2.16,2.12,2.14,83903,0
2017-09-11,17:00:00,2.14,2.14,2.12,2.125,34504,0
2017-09-11,18:00:00,2.125,2.15,2.12,2.15,29731,0
2017-09-11,19:00:00,2.15,2.15,2.14,2.14,23565,0
2017-09-11,20:00:00,2.1401,2.16,2.13,2.16,85302,0
2017-09-11,21:00:00,2.16,2.16,2.13,2.135,54620,0
2017-09-11,22:00:00,2.135,2.14,2.12,2.14,159297,0
2017-09-12,16:00:00,2.12,2.15,2.12,2.135,86831,0
2017-09-12,17:00:00,2.135,2.14,2.125,2.1357,66456,0
2017-09-12,18:00:00,2.14,2.16,2.135,2.16,63187,0
2017-09-12,19:00:00,2.155,2.16,2.13,2.13,100657,0
2017-09-12,20:00:00,2.14,2.14,2.13,2.135,24161,0
2017-09-12,21:00:00,2.135,2.135,2.11,2.115,158124,0
2017-09-12,22:00:00,2.12,2.13,2.11,2.12,221840,0
2017-09-13,16:00:00,2.11,2.12,2.07,2.08,240365,0
2017-09-13,17:00:00,2.0899,2.12,2.08,2.12,44273,0
2017-09-13,18:00:00,2.12,2.17,2.11,2.155,221884,0
2017-09-13,19:00:00,2.16,2.17,2.135,2.1464,55507,0
2017-09-13,20:00:00,2.149,2.15,2.14,2.145,26321,0
2017-09-13,21:00:00,2.15,2.15,2.14,2.15,42781,0
2017-09-13,22:00:00,2.145,2.16,2.142,2.15,138762,0
2017-09-14,16:00:00,2.15,2.16,2.115,2.12,65954,0
2017-09-14,17:00:00,2.13,2.15,2.125,2.15,37913,0
2017-09-14,18:00:00,2.15,2.17,2.15,2.155,63764,0
2017-09-14,19:00:00,2.15,2.16,2.13,2.14,26368,0
2017-09-14,20:00:00,2.135,2.15,2.1312,2.15,25478,0
2017-09-14,21:00:00,2.15,2.16,2.14,2.15,36795,0
2017-09-14,22:00:00,2.145,2.16,2.14,2.16,200265,0
2017-09-15,16:00:00,2.17,2.17,2.12,2.15,337586,0
2017-09-15,17:00:00,2.16,2.26,2.155,2.235,462060,0
2017-09-15,18:00:00,2.24,2.26,2.2001,2.225,153348,0
2017-09-15,19:00:00,2.227,2.23,2.175,2.175,118775,0
2017-09-15,20:00:00,2.18,2.2,2.171,2.2,85376,0
2017-09-15,21:00:00,2.2,2.21,2.181,2.195,93611,0
2017-09-15,22:00:00,2.195,2.215,2.19,2.2,585192,0
2017-09-18,16:00:00,2.22,2.27,2.21,2.2582,164830,0
2017-09-18,17:00:00,2.26,2.27,2.24,2.26,64799,0
2017-09-18,18:00:00,2.2531,2.26,2.22,2.24,151474,0
2017-09-18,19:00:00,2.24,2.25,2.23,2.23,64642,0
2017-09-18,20:00:00,2.23,2.24,2.22,2.23,44427,0
2017-09-18,21:00:00,2.23,2.24,2.2,2.21,80653,0
2017-09-18,22:00:00,2.21,2.21,2.18,2.2,272456,0
2017-09-19,16:00:00,2.23,2.255,2.2044,2.21,58680,0
2017-09-19,17:00:00,2.22,2.22,2.195,2.2048,62282,0
2017-09-19,18:00:00,2.2,2.21,2.17,2.21,59779,0
2017-09-19,19:00:00,2.2,2.22,2.2,2.2,39717,0
2017-09-19,20:00:00,2.2008,2.22,2.2,2.2019,19720,0
2017-09-19,21:00:00,2.205,2.209,2.2,2.205,7724,0
2017-09-19,22:00:00,2.2,2.21,2.19,2.2,126887,0
2017-09-20,16:00:00,2.2,2.22,2.17,2.195,62111,0
2017-09-20,17:00:00,2.195,2.2,2.185,2.19,71623,0
2017-09-20,18:00:00,2.19,2.2,2.18,2.2,48560,0
2017-09-20,19:00:00,2.2,2.2,2.18,2.19,33837,0
2017-09-20,20:00:00,2.19,2.19,2.17,2.18,72636,0
2017-09-20,21:00:00,2.18,2.18,2.13,2.17,279294,0
2017-09-20,22:00:00,2.169,2.18,2.15,2.18,135493,0
2017-09-21,16:00:00,2.17,2.18,2.14,2.16,71472,0
2017-09-21,17:00:00,2.17,2.21,2.16,2.2,95398,0
2017-09-21,18:00:00,2.2,2.21,2.19,2.21,37080,0
2017-09-21,19:00:00,2.21,2.23,2.2,2.2209,54263,0
2017-09-21,20:00:00,2.2236,2.23,2.2,2.205,26934,0
2017-09-21,21:00:00,2.21,2.21,2.185,2.2,32587,0
2017-09-21,22:00:00,2.195,2.2,2.17,2.18,96037,0
2017-09-22,16:00:00,2.17,2.18,2.14,2.14,48192,0
2017-09-22,17:00:00,2.15,2.2,2.145,2.171,48689,0
2017-09-22,18:00:00,2.18,2.19,2.175,2.19,10137,0
2017-09-22,19:00:00,2.186,2.1875,2.17,2.18,19168,0
