Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-06,16:00:00,3.95,3.975,3.925,3.975,16498,0
2017-09-06,17:00:00,3.95,4,3.95,3.975,12576,0
2017-09-06,18:00:00,3.95,4,3.9,3.95,81816,0
2017-09-06,19:00:00,3.95,3.95,3.9,3.9,9773,0
2017-09-06,20:00:00,3.925,3.95,3.9,3.9,3743,0
2017-09-06,21:00:00,3.925,4.1,3.9,4.05,175026,0
2017-09-06,22:00:00,4.025,4.1,3.95,3.95,159429,0
2017-09-07,16:00:00,3.95,3.99,3.95,3.95,2724,0
2017-09-07,17:00:00,3.975,4.1,3.975,4.05,58172,0
2017-09-07,18:00:00,4.025,4.225,4,4.2,117893,0
2017-09-07,19:00:00,4.19,4.275,4.15,4.2,84450,0
2017-09-07,20:00:00,4.2,4.25,4.16,4.225,35963,0
2017-09-07,21:00:00,4.225,4.45,4.2,4.35,140551,0
2017-09-07,22:00:00,4.4,4.45,4.325,4.35,132218,0
2017-09-08,16:00:00,4.35,4.4,4.3,4.34,33582,0
2017-09-08,17:00:00,4.3,4.35,4.3,4.325,33745,0
2017-09-08,18:00:00,4.325,4.4,4.3,4.375,42718,0
2017-09-08,19:00:00,4.375,4.45,4.3,4.375,32733,0
2017-09-08,20:00:00,4.375,4.4,4.3,4.3,32603,0
2017-09-08,21:00:00,4.35,4.35,4.25,4.25,97035,0
2017-09-08,22:00:00,4.25,4.275,4.15,4.15,62561,0
2017-09-11,16:00:00,4.15,4.3,4.15,4.25,42801,0
2017-09-11,17:00:00,4.25,4.25,4.175,4.2,78411,0
2017-09-11,18:00:00,4.225,4.25,4.2,4.225,12480,0
2017-09-11,19:00:00,4.225,4.25,4.2,4.225,19601,0
2017-09-11,20:00:00,4.225,4.25,4.1675,4.2,28476,0
2017-09-11,21:00:00,4.2,4.2316,4.175,4.175,43574,0
2017-09-11,22:00:00,4.175,4.2,4.15,4.15,50529,0
2017-09-12,16:00:00,4.1,4.25,4.1,4.25,44265,0
2017-09-12,17:00:00,4.22,4.25,4.2,4.2,38867,0
2017-09-12,18:00:00,4.2,4.275,4.2,4.25,43823,0
2017-09-12,19:00:00,4.275,4.3,4.25,4.25,6514,0
2017-09-12,20:00:00,4.25,4.2782,4.25,4.25,4370,0
2017-09-12,21:00:00,4.25,4.2813,4.25,4.25,2800,0
2017-09-12,22:00:00,4.25,4.4,4.25,4.35,91857,0
2017-09-13,16:00:00,4.3,4.4,4.3,4.375,8515,0
2017-09-13,17:00:00,4.375,4.45,4.35,4.45,21589,0
2017-09-13,18:00:00,4.45,4.55,4.45,4.475,67946,0
2017-09-13,19:00:00,4.475,4.5,4.45,4.475,105132,0
2017-09-13,20:00:00,4.45,4.65,4.425,4.55,130009,0
2017-09-13,21:00:00,4.55,4.6,4.55,4.55,12384,0
2017-09-13,22:00:00,4.5683,4.6,4.5,4.55,58287,0
2017-09-14,16:00:00,4.5,4.55,4.45,4.55,38560,0
2017-09-14,17:00:00,4.525,4.6,4.525,4.6,42666,0
2017-09-14,18:00:00,4.55,4.581,4.55,4.55,2650,0
2017-09-14,19:00:00,4.55,4.65,4.55,4.6,42249,0
2017-09-14,20:00:00,4.6,4.64,4.575,4.6,18207,0
2017-09-14,21:00:00,4.625,4.65,4.575,4.625,36268,0
2017-09-14,22:00:00,4.625,4.65,4.55,4.6,66354,0
2017-09-15,16:00:00,4.65,4.75,4.6,4.675,153551,0
2017-09-15,17:00:00,4.65,4.7,4.6,4.65,62941,0
2017-09-15,18:00:00,4.65,4.74,4.65,4.6788,93539,0
2017-09-15,19:00:00,4.65,4.75,4.65,4.675,31172,0
2017-09-15,20:00:00,4.7,4.75,4.65,4.7,17032,0
2017-09-15,21:00:00,4.7,4.75,4.7,4.7,34446,0
2017-09-15,22:00:00,4.7,4.8,4.7,4.8,237593,0
2017-09-18,16:00:00,4.8,4.95,4.75,4.94,47968,0
2017-09-18,17:00:00,4.975,4.9801,4.9,4.925,29367,0
2017-09-18,18:00:00,4.925,4.925,4.85,4.875,13728,0
2017-09-18,19:00:00,4.85,4.9,4.85,4.85,21086,0
2017-09-18,20:00:00,4.85,4.95,4.85,4.9,26456,0
2017-09-18,21:00:00,4.925,4.95,4.9,4.925,121077,0
2017-09-18,22:00:00,4.925,5.15,4.9,5.1,307308,0
2017-09-19,16:00:00,5.05,5.05,4.9,4.925,32236,0
2017-09-19,17:00:00,4.9302,5,4.9302,4.95,11247,0
2017-09-19,18:00:00,4.95,5,4.9,4.95,41155,0
2017-09-19,19:00:00,4.95,5.05,4.9,5,94985,0
2017-09-19,20:00:00,5,5.05,4.975,5,26823,0
2017-09-19,21:00:00,5.0227,5.0257,4.9,4.9,57574,0
