Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,14.21,14.46,14.08,14.08,125732,0
2017-09-05,17:00:00,14.07,14.07,13.901,13.92,94011,0
2017-09-05,18:00:00,13.93,13.93,13.7,13.72,118479,0
2017-09-05,19:00:00,13.71,13.72,13.46,13.615,163639,0
2017-09-05,20:00:00,13.62,13.62,13.53,13.6,94501,0
2017-09-05,21:00:00,13.61,13.7,13.59,13.63,119751,0
2017-09-05,22:00:00,13.63,13.64,13.46,13.5,278157,0
2017-09-06,16:00:00,13.57,13.64,13.4,13.45,41148,0
2017-09-06,17:00:00,13.45,13.46,13.29,13.31,55622,0
2017-09-06,18:00:00,13.3101,13.4199,13.28,13.3299,41871,0
2017-09-06,19:00:00,13.32,13.43,13.32,13.3597,67257,0
2017-09-06,20:00:00,13.36,13.39,13.33,13.35,111970,0
2017-09-06,21:00:00,13.35,13.35,13.27,13.295,98209,0
2017-09-06,22:00:00,13.3,13.33,13.27,13.27,333100,0
2017-09-07,16:00:00,13.22,13.43,13.08,13.12,67818,0
2017-09-07,17:00:00,13.13,13.35,12.99,13.32,210940,0
2017-09-07,18:00:00,13.32,13.38,13.29,13.37,43790,0
2017-09-07,19:00:00,13.37,13.45,13.36,13.41,31935,0
2017-09-07,20:00:00,13.42,13.44,13.3801,13.44,20840,0
2017-09-07,21:00:00,13.44,13.46,13.41,13.43,29472,0
2017-09-07,22:00:00,13.43,13.45,13.39,13.42,122567,0
2017-09-08,16:00:00,13.36,13.59,13.18,13.21,33187,0
2017-09-08,17:00:00,13.205,13.3,13,13.01,128186,0
2017-09-08,18:00:00,13.03,13.06,12.96,13.03,61043,0
2017-09-08,19:00:00,13.03,13.06,12.95,13.04,63726,0
2017-09-08,20:00:00,13.0301,13.0301,12.89,12.96,97976,0
2017-09-08,21:00:00,12.96,13.03,12.95,12.99,41159,0
2017-09-08,22:00:00,12.99,13.04,12.94,12.96,250593,0
2017-09-11,16:00:00,13.05,13.305,12.89,13.12,40278,0
2017-09-11,17:00:00,13.145,13.38,13.145,13.36,65285,0
2017-09-11,18:00:00,13.35,13.4,13.27,13.28,56968,0
2017-09-11,19:00:00,13.29,13.37,13.27,13.305,67528,0
