Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,9.42,9.42,9.42,9.42,313,0
2017-09-05,17:00:00,9.05,9.4527,9.05,9.4527,200,0
2017-09-05,18:00:00,9.49,9.49,9.48,9.48,200,0
2017-09-05,19:00:00,9.37,9.47,9.33,9.47,1000,0
2017-09-05,20:00:00,9.43,9.48,9.21,9.23,20200,0
2017-09-05,21:00:00,9.275,9.3,9.22,9.3,4600,0
2017-09-05,22:00:00,9.3,9.43,9.22,9.39,8508,0
2017-09-06,17:00:00,9.219,9.48,9.219,9.305,14850,0
2017-09-06,18:00:00,9.32,9.32,9.25,9.27,1100,0
2017-09-06,19:00:00,9.3,9.3,9.21,9.21,700,0
2017-09-06,20:00:00,9.23,9.3,9.23,9.3,200,0
2017-09-06,21:00:00,9.21,9.23,9.2,9.2,1100,0
2017-09-06,22:00:00,9.2,9.34,9.2,9.21,3848,0
2017-09-07,18:00:00,9.4,9.4,9.25,9.31,500,0
2017-09-07,19:00:00,9.3,9.41,9.3,9.41,200,0
2017-09-07,20:00:00,9.3,9.39,9.3,9.39,200,0
2017-09-07,21:00:00,9.2301,9.31,9.22,9.22,800,0
2017-09-07,22:00:00,9.22,9.41,9.22,9.23,2700,0
2017-09-08,16:00:00,9.21,9.35,9.21,9.35,700,0
2017-09-08,17:00:00,9.26,9.26,9.26,9.26,100,0
2017-09-08,18:00:00,9.25,9.25,9.25,9.25,100,0
2017-09-08,19:00:00,9.3,9.33,9.26,9.33,300,0
2017-09-08,20:00:00,9.27,9.35,9.27,9.29,400,0
2017-09-08,21:00:00,9.25,9.25,9.25,9.25,100,0
2017-09-08,22:00:00,9.33,9.35,9.25,9.25,900,0
2017-09-11,16:00:00,9.32,9.32,9.32,9.32,500,0
2017-09-11,17:00:00,9.3,9.41,9.3,9.41,1180,0
2017-09-11,18:00:00,9.44,9.46,9.31,9.46,17250,0
2017-09-11,19:00:00,9.47,10.3999,9.47,10.2497,47267,0
