Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-13,16:00:00,9.93,10.1948,9.19,9.2858,144907,0
2017-10-13,17:00:00,9.34,9.5,9.25,9.4,36092,0
2017-10-13,18:00:00,9.4,9.66,9.2728,9.66,39401,0
2017-10-13,19:00:00,9.66,9.699,9.4,9.42,16348,0
2017-10-13,20:00:00,9.46,9.66,9.44,9.66,17098,0
2017-10-13,21:00:00,9.66,9.7,9.5001,9.55,9583,0
2017-10-13,22:00:00,9.63,9.84,9.55,9.6,20864,0
2017-10-16,16:00:00,9.63,9.77,9.402,9.669,25527,0
2017-10-16,17:00:00,9.53,9.6052,9.26,9.281,18997,0
2017-10-16,18:00:00,9.34,9.39,9.1,9.23,24021,0
2017-10-16,19:00:00,9.2,9.223,9,9.0572,26379,0
2017-10-16,20:00:00,9.0789,9.0789,8.651,8.661,69871,0
2017-10-16,21:00:00,8.71,8.95,8.56,8.82,32832,0
2017-10-16,22:00:00,8.8155,8.9746,8.79,8.95,29422,0
2017-10-17,16:00:00,8.91,8.95,8.75,8.751,19269,0
2017-10-17,17:00:00,8.751,8.959,8.75,8.9398,21171,0
2017-10-17,18:00:00,8.83,8.97,8.83,8.88,6283,0
2017-10-17,19:00:00,8.88,8.97,8.77,8.7937,20210,0
2017-10-17,20:00:00,8.844,8.844,8.7889,8.789,5228,0
2017-10-17,21:00:00,8.79,8.86,8.77,8.7734,11645,0
2017-10-17,22:00:00,8.775,8.85,8.68,8.77,35249,0
2017-10-18,16:00:00,8.73,8.8237,8.31,8.7092,9989,0
2017-10-18,17:00:00,8.436,8.436,8.15,8.1875,34777,0
2017-10-18,18:00:00,8.2253,8.25,8.08,8.25,10680,0
2017-10-18,19:00:00,8.13,8.15,7.7301,7.824,16752,0
2017-10-18,20:00:00,7.805,7.83,7.67,7.825,20825,0
2017-10-18,21:00:00,7.735,7.7599,7.61,7.61,8110,0
2017-10-18,22:00:00,7.625,7.82,6.98,7.01,106971,0
2017-10-19,16:00:00,7.05,7.149,6.76,6.77,105743,0
2017-10-19,17:00:00,6.76,6.85,6.75,6.82,70239,0
2017-10-19,18:00:00,6.81,6.82,6.73,6.785,17420,0
2017-10-19,19:00:00,6.72,6.73,6.719,6.73,5600,0
2017-10-19,20:00:00,6.725,6.75,6.65,6.65,109824,0
2017-10-19,21:00:00,6.655,6.7,6.52,6.61,56602,0
2017-10-19,22:00:00,6.6165,6.65,6.6,6.61,69492,0
2017-10-20,16:00:00,6.73,6.9399,6.73,6.9,21262,0
2017-10-20,17:00:00,6.9,7.77,6.9,7.39,90367,0
2017-10-20,18:00:00,7.462,7.5,7.24,7.34,40656,0
2017-10-20,19:00:00,7.31,7.4,7.2,7.2,23919,0
2017-10-20,20:00:00,7.2,7.37,7.02,7.15,12435,0
2017-10-20,21:00:00,7.15,7.299,7.15,7.15,6200,0
2017-10-20,22:00:00,7.16,7.16,6.9,6.96,17687,0
2017-10-23,16:00:00,7,7.01,7,7.01,1320,0
2017-10-23,17:00:00,7.13,7.14,7,7,4212,0
2017-10-23,18:00:00,7,7.04,7,7.025,5701,0
2017-10-23,19:00:00,7.0135,7.44,7.0135,7.26,39208,0
2017-10-23,20:00:00,7.26,7.2905,7.1,7.235,7175,0
2017-10-23,21:00:00,7.25,7.28,7.11,7.28,25285,0
2017-10-23,22:00:00,7.15,7.32,7.14,7.21,36107,0
2017-10-24,16:00:00,7.24,7.42,7.1358,7.42,10685,0
2017-10-24,17:00:00,7.42,7.64,7.42,7.5337,22114,0
2017-10-24,18:00:00,7.5,7.5378,7.4359,7.5,2952,0
2017-10-24,19:00:00,7.4696,7.472,7.42,7.472,2105,0
2017-10-24,20:00:00,7.43,7.5,7.41,7.4495,10499,0
2017-10-24,21:00:00,7.45,7.5,7.42,7.42,9379,0
2017-10-24,22:00:00,7.33,7.5,7.33,7.48,32221,0
2017-10-25,16:00:00,7.63,7.63,7.447,7.49,9656,0
2017-10-25,17:00:00,7.4899,7.4899,7.3096,7.3096,8837,0
2017-10-25,18:00:00,7.2999,7.4899,7.24,7.4899,4920,0
2017-10-25,19:00:00,7.475,7.49,7.4,7.43,6975,0
2017-10-25,20:00:00,7.485,7.485,7.201,7.201,5257,0
2017-10-25,21:00:00,7.3,7.3999,7.201,7.3,12673,0
2017-10-25,22:00:00,7.27,7.33,7.22,7.31,10006,0
2017-10-26,16:00:00,7.95,7.95,7.3,7.5792,16282,0
2017-10-26,17:00:00,7.55,7.57,7.47,7.55,8400,0
2017-10-26,18:00:00,7.54,7.54,7.48,7.48,2102,0
2017-10-26,19:00:00,7.54,7.54,7.41,7.44,3961,0
2017-10-26,20:00:00,7.49,7.5,7.35,7.49,2100,0
2017-10-26,21:00:00,7.49,7.5,7.37,7.3875,6702,0
2017-10-26,22:00:00,7.375,7.44,7.23,7.44,16208,0
2017-10-27,16:00:00,7.5,7.5,7.4999,7.4999,6560,0
2017-10-27,17:00:00,7.4747,7.499,7.3164,7.36,12464,0
2017-10-27,18:00:00,7.38,7.38,7.35,7.35,2348,0
2017-10-27,19:00:00,7.3155,7.35,7.2,7.2867,18525,0
2017-10-27,20:00:00,7.25,7.255,7.25,7.25,2507,0
2017-10-27,21:00:00,7.2,7.249,7.1,7.1366,9875,0
2017-10-27,22:00:00,7.19,7.21,7.01,7.2,19555,0
2017-10-30,15:00:00,7.205,7.22,7.2,7.2,3700,0
2017-10-30,16:00:00,7.0641,7.0913,7.0641,7.0913,3800,0
2017-10-30,17:00:00,7.05,7.1,7.05,7.1,500,0
2017-10-30,18:00:00,7.0707,7.08,6.81,6.99,12401,0
2017-10-30,19:00:00,6.9,6.9,6.85,6.85,2582,0
2017-10-30,20:00:00,6.85,6.85,6.66,6.8,16189,0
2017-10-30,21:00:00,6.68,6.69,6.61,6.61,13719,0
2017-10-31,15:00:00,6.87,6.87,6.6344,6.675,19503,0
2017-10-31,16:00:00,6.6234,6.7,6.62,6.7,4922,0
2017-10-31,17:00:00,6.7,6.74,6.67,6.7,3600,0
2017-10-31,18:00:00,6.7,6.71,6.68,6.71,7400,0
2017-10-31,19:00:00,6.719,6.95,6.71,6.95,5860,0
2017-10-31,20:00:00,6.95,7.249,6.89,7.23,11377,0
2017-10-31,21:00:00,7.0847,7.24,7.05,7.18,11906,0
2017-11-01,15:00:00,7.08,7.2959,7.04,7.04,882,0
2017-11-01,16:00:00,7.01,7.155,6.95,6.96,10210,0
2017-11-01,17:00:00,7.0273,7.055,6.99,6.99,528,0
2017-11-01,18:00:00,6.99,7.0383,6.99,7,828,0
2017-11-01,19:00:00,7.06,7.06,6.95,6.95,7070,0
2017-11-01,20:00:00,6.953,7.05,6.93,7.05,1100,0
2017-11-01,21:00:00,7.08,7.17,7,7.11,14459,0
2017-11-02,15:00:00,7,7.15,6.95,6.95,1615,0
2017-11-02,16:00:00,6.955,7.12,6.7512,6.94,7312,0
2017-11-02,17:00:00,6.95,6.95,6.76,6.9204,8200,0
2017-11-02,18:00:00,6.92,6.95,6.8853,6.95,1399,0
2017-11-02,19:00:00,6.86,6.93,6.86,6.91,1900,0
2017-11-02,20:00:00,6.885,6.99,6.8501,6.88,13496,0
2017-11-02,21:00:00,6.89,7.01,6.8655,6.89,29983,0
2017-11-03,15:00:00,6.82,7.08,6.7335,6.912,6172,0
2017-11-03,18:00:00,6.82,6.82,6.7,6.7788,6826,0
2017-11-03,19:00:00,6.78,6.7981,6.54,6.65,15096,0
2017-11-03,20:00:00,6.55,6.9,6.55,6.9,6565,0
2017-11-03,21:00:00,6.91,6.99,6.9,6.96,3908,0
2017-11-06,16:00:00,6.81,6.81,6.64,6.65,12955,0
2017-11-06,17:00:00,6.6763,6.6763,6.5895,6.5895,4438,0
2017-11-06,18:00:00,6.54,6.63,6.54,6.63,1600,0
2017-11-06,19:00:00,6.622,6.63,6.6,6.619,2900,0
2017-11-06,20:00:00,6.62,6.62,6.5885,6.59,8486,0
2017-11-06,21:00:00,6.56,6.56,6.5201,6.5532,5860,0
2017-11-06,22:00:00,6.54,6.61,6.5,6.5,18330,0
2017-11-07,16:00:00,6.48,6.6,6.36,6.5164,4023,0
2017-11-07,17:00:00,6.4533,6.5053,6.45,6.5053,2350,0
2017-11-07,18:00:00,6.4938,6.6,6.462,6.5529,7402,0
2017-11-07,19:00:00,6.53,6.53,6.53,6.53,100,0
2017-11-07,20:00:00,6.53,6.53,6.4888,6.4888,300,0
2017-11-07,21:00:00,6.53,6.53,6.43,6.45,7045,0
2017-11-07,22:00:00,6.415,6.49,6.36,6.48,7738,0
2017-11-08,16:00:00,6.46,6.46,6.35,6.35,1203,0
2017-11-08,17:00:00,6.28,6.38,6.25,6.36,10408,0
2017-11-08,18:00:00,6.37,6.37,6.25,6.34,4800,0
2017-11-08,19:00:00,6.33,6.33,6.25,6.322,1800,0
2017-11-08,20:00:00,6.33,6.34,6.25,6.33,4850,0
2017-11-08,21:00:00,6.285,6.37,6.2501,6.37,2500,0
2017-11-08,22:00:00,6.36,6.4,6.32,6.35,6415,0
2017-11-09,16:00:00,6.28,6.28,6.07,6.08,6665,0
2017-11-09,17:00:00,6.2758,6.331,6.16,6.19,3438,0
2017-11-09,18:00:00,6.17,6.23,6.15,6.2,4917,0
2017-11-09,19:00:00,6.21,6.225,6,6.01,16707,0
2017-11-09,20:00:00,6,6.01,5.75,5.75,8215,0
2017-11-09,21:00:00,5.75,5.84,5.361,5.67,27185,0
2017-11-09,22:00:00,5.65,5.84,5.63,5.76,3780,0
2017-11-10,16:00:00,5.76,5.76,5.735,5.735,308,0
2017-11-10,17:00:00,5.8512,5.8642,5.85,5.8642,800,0
2017-11-10,18:00:00,5.9511,6.0599,5.75,5.86,13063,0
2017-11-10,19:00:00,6,6.04,5.9882,6.04,2860,0
2017-11-10,20:00:00,6.03,6.04,5.99,6.04,5818,0
2017-11-10,21:00:00,6.06,6.23,6.02,6.2161,18884,0
2017-11-10,22:00:00,6.21,7.376,6.21,7.19,76558,0
2017-11-13,16:00:00,7.19,7.19,6.5,6.6633,6013,0
2017-11-13,17:00:00,6.78,6.8,6.65,6.7,4440,0
2017-11-13,18:00:00,6.65,6.6691,6.56,6.56,5626,0
2017-11-13,19:00:00,6.6499,6.6499,6.4226,6.43,6655,0
2017-11-13,20:00:00,6.5,6.51,6.401,6.5,8536,0
2017-11-13,21:00:00,6.5,6.69,6.5,6.67,4900,0
2017-11-13,22:00:00,6.55,6.7,6.5,6.5,3450,0
2017-11-14,16:00:00,6.56,6.56,6.3526,6.5044,3442,0
