Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,32.93,33.13,32.6804,32.69,271575,0
2017-09-05,17:00:00,32.685,32.86,32.58,32.63,632031,0
2017-09-05,18:00:00,32.63,32.8,32.6,32.715,272647,0
2017-09-05,19:00:00,32.71,32.73,32.35,32.51,361891,0
2017-09-05,20:00:00,32.5,32.53,32.24,32.44,271361,0
2017-09-05,21:00:00,32.44,32.64,32.425,32.57,339911,0
2017-09-05,22:00:00,32.58,32.83,32.55,32.69,1557762,0
2017-09-06,16:00:00,34.24,34.4997,33.75,34.15,1070302,0
2017-09-06,17:00:00,34.165,34.38,33.61,33.75,617939,0
2017-09-06,18:00:00,33.76,33.88,33.45,33.45,327805,0
2017-09-06,19:00:00,33.46,33.52,33.26,33.45,400553,0
2017-09-06,20:00:00,33.43,33.5,33.28,33.37,280160,0
2017-09-06,21:00:00,33.365,33.58,33.27,33.57,373690,0
2017-09-06,22:00:00,33.57,33.9,33.57,33.79,1122921,0
2017-09-07,16:00:00,33.93,33.95,33.42,33.43,256893,0
2017-09-07,17:00:00,33.435,33.62,33.37,33.615,277526,0
2017-09-07,18:00:00,33.62,33.91,33.59,33.8,308408,0
2017-09-07,19:00:00,33.8,33.8,33.49,33.62,320810,0
2017-09-07,20:00:00,33.61,33.63,33.41,33.5,206299,0
2017-09-07,21:00:00,33.5,33.5276,33.46,33.515,236553,0
2017-09-07,22:00:00,33.51,33.57,33.48,33.55,615577,0
2017-09-08,16:00:00,33.34,33.96,33.34,33.85,305224,0
2017-09-08,17:00:00,33.845,33.87,33.45,33.47,346414,0
2017-09-08,18:00:00,33.48,33.505,33.19,33.22,421282,0
2017-09-08,19:00:00,33.225,33.53,33.225,33.51,356591,0
2017-09-08,20:00:00,33.51,33.78,33.5,33.78,288427,0
2017-09-08,21:00:00,33.78,33.8,33.54,33.59,266514,0
2017-09-08,22:00:00,33.58,33.61,33.425,33.45,865616,0
2017-09-11,16:00:00,33.64,33.81,33.5,33.5601,133820,0
2017-09-11,17:00:00,33.56,33.6,33.31,33.47,269323,0
2017-09-11,18:00:00,33.48,33.545,33.36,33.43,329826,0
2017-09-11,19:00:00,33.43,33.58,33.425,33.54,193821,0
2017-09-11,20:00:00,33.53,33.58,33.37,33.44,230056,0
2017-09-11,21:00:00,33.4334,33.44,33.345,33.35,220123,0
2017-09-11,22:00:00,33.35,33.43,33.34,33.42,925836,0
2017-09-12,16:00:00,33.58,33.7,33.4,33.7,139564,0
2017-09-12,17:00:00,33.69,33.75,33.6,33.6475,213184,0
2017-09-12,18:00:00,33.65,33.67,33.56,33.56,186947,0
2017-09-12,19:00:00,33.56,33.69,33.56,33.59,261530,0
2017-09-12,20:00:00,33.59,33.62,33.56,33.58,145802,0
2017-09-12,21:00:00,33.59,33.685,33.55,33.67,249650,0
2017-09-12,22:00:00,33.67,33.84,33.63,33.75,465289,0
2017-09-13,16:00:00,33.71,33.71,33.49,33.5099,134512,0
2017-09-13,17:00:00,33.5,33.61,33.38,33.6,282917,0
2017-09-13,18:00:00,33.595,33.6,33.29,33.41,276740,0
2017-09-13,19:00:00,33.4101,33.48,33.355,33.415,193767,0
2017-09-13,20:00:00,33.42,33.47,33.35,33.35,153066,0
2017-09-13,21:00:00,33.355,33.41,33.35,33.395,136065,0
2017-09-13,22:00:00,33.39,33.56,33.34,33.54,615412,0
2017-09-14,16:00:00,33.34,33.6416,33.34,33.57,54535,0
2017-09-14,17:00:00,33.58,33.67,33.38,33.645,200480,0
