Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-02-22,16:00:00,14.903,14.903,14.759,14.759,304,0
2017-02-22,17:00:00,14.607,14.794,14.567,14.793,3998,0
2017-02-22,19:00:00,14.798,14.798,14.798,14.798,100,0
2017-02-22,22:00:00,14.803,14.803,14.803,14.803,238,0
2017-02-23,16:00:00,14.853,14.922,14.781,14.903,5243,0
2017-02-23,18:00:00,14.271,14.903,14.241,14.241,1017,0
2017-02-23,21:00:00,14.407,14.736,14.407,14.507,1452,0
2017-02-23,22:00:00,14.271,14.587,14.271,14.587,911,0
2017-02-24,18:00:00,14.617,14.617,14.617,14.617,204,0
2017-02-24,19:00:00,14.734,14.734,14.734,14.734,404,0
2017-02-24,22:00:00,14.734,14.764,14.734,14.759,1723,0
2017-02-27,16:00:00,14.291,14.291,14.291,14.291,100,0
2017-02-27,20:00:00,14.724,14.724,14.724,14.724,100,0
2017-02-27,21:00:00,14.719,14.794,14.719,14.794,204,0
2017-02-27,22:00:00,14.843,14.843,14.843,14.843,407,0
2017-02-28,16:00:00,14.774,14.774,14.774,14.774,204,0
2017-02-28,17:00:00,14.557,14.557,14.557,14.557,100,0
2017-02-28,19:00:00,14.764,14.764,14.764,14.764,100,0
2017-02-28,21:00:00,14.671,14.724,14.671,14.692,1065,0
2017-02-28,22:00:00,14.724,14.852,14.617,14.617,1196,0
2017-03-01,16:00:00,14.617,14.656,14.617,14.656,2128,0
2017-03-01,17:00:00,14.617,14.706,14.617,14.656,1519,0
2017-03-01,18:00:00,14.768,14.833,14.768,14.768,1013,0
2017-03-01,19:00:00,14.656,14.69,14.646,14.646,404,0
2017-03-01,21:00:00,14.704,14.794,14.656,14.656,1539,0
2017-03-01,22:00:00,14.678,14.704,14.656,14.676,1327,0
2017-03-02,16:00:00,14.794,14.803,14.743,14.803,1926,0
2017-03-02,17:00:00,14.646,14.784,14.636,14.636,941,0
2017-03-02,19:00:00,14.73,14.73,14.73,14.73,1013,0
2017-03-02,20:00:00,14.636,14.764,14.636,14.764,204,0
2017-03-02,21:00:00,14.636,14.724,14.636,14.724,1319,0
2017-03-02,22:00:00,14.636,14.754,14.636,14.636,3140,0
2017-03-03,17:00:00,14.656,14.678,14.656,14.678,1115,0
2017-03-03,18:00:00,14.656,14.656,14.656,14.656,100,0
2017-03-03,19:00:00,14.656,14.666,14.656,14.666,204,0
2017-03-03,20:00:00,14.666,14.734,14.666,14.734,304,0
2017-03-03,21:00:00,14.69,14.764,14.69,14.764,204,0
2017-03-03,22:00:00,14.724,14.724,14.724,14.724,204,0
2017-03-06,16:00:00,14.666,14.666,14.666,14.666,204,0
2017-03-06,17:00:00,14.638,14.638,14.638,14.638,304,0
2017-03-06,18:00:00,14.617,14.617,14.617,14.617,507,0
2017-03-06,19:00:00,14.714,14.714,14.636,14.666,304,0
2017-03-06,20:00:00,14.666,14.666,14.656,14.656,204,0
2017-03-06,22:00:00,14.617,14.636,14.617,14.636,507,0
2017-03-07,16:00:00,14.617,14.617,14.617,14.617,100,0
2017-03-07,17:00:00,14.683,14.714,14.669,14.714,2431,0
2017-03-07,22:00:00,14.714,14.714,14.646,14.646,811,0
2017-03-08,16:00:00,14.607,14.607,14.607,14.607,314,0
2017-03-08,18:00:00,14.607,14.607,14.554,14.554,404,0
2017-03-08,19:00:00,14.557,14.557,14.557,14.557,100,0
2017-03-08,21:00:00,14.274,14.274,14.274,14.274,100,0
2017-03-09,16:00:00,14.261,14.261,14.261,14.261,100,0
2017-03-09,17:00:00,14.506,14.506,14.506,14.506,527,0
2017-03-09,18:00:00,14.39,14.39,14.39,14.39,100,0
2017-03-09,19:00:00,14.336,14.336,14.336,14.336,100,0
2017-03-09,21:00:00,14.261,14.35,14.261,14.339,811,0
2017-03-09,22:00:00,14.231,14.251,14.231,14.251,304,0
2017-03-10,16:00:00,14.02,14.311,14.02,14.046,2431,0
2017-03-10,18:00:00,14.044,14.095,14.025,14.095,1013,0
2017-03-10,19:00:00,14.656,14.656,14.399,14.399,204,0
2017-03-10,22:00:00,14.192,14.192,14.151,14.151,2383,0
2017-03-13,16:00:00,14.625,14.754,14.015,14.015,2265,0
2017-03-13,17:00:00,14.073,14.095,14.064,14.095,304,0
2017-03-13,18:00:00,14.481,14.481,14.481,14.481,204,0
2017-03-14,15:00:00,14.36,14.36,14.36,14.36,101,0
2017-03-14,20:00:00,14.37,14.754,14.37,14.507,709,0
2017-03-14,21:00:00,14.447,14.447,14.447,14.447,100,0
2017-03-15,21:00:00,14.261,14.261,14.141,14.141,616,0
2017-03-16,16:00:00,14.054,14.054,14.054,14.054,204,0
2017-03-16,19:00:00,14.093,14.131,14.073,14.131,2330,0
2017-03-16,20:00:00,14.112,14.161,14.112,14.151,1846,0
2017-03-16,21:00:00,14.005,14.311,13.817,14.311,28387,0
2017-03-17,15:00:00,14.437,14.734,14.437,14.636,24623,0
