Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-29,16:00:00,9.4175,9.635,9.3025,9.535,72,0
2017-08-29,17:00:00,9.533,9.605,9.25,9.568,584,0
2017-08-29,18:00:00,9.57,9.575,9.25,9.2825,526,0
2017-08-29,19:00:00,9.2825,9.625,9.2825,9.368,386,0
2017-08-29,20:00:00,9.3775,9.75,9.3775,9.75,787,0
2017-08-29,21:00:00,9.74,9.74,9.35,9.4325,1143,0
2017-08-29,22:00:00,9.3775,9.73,9.35,9.5,388,0
2017-08-30,16:00:00,9.275,10,9.25,9.653,3887,0
2017-08-30,17:00:00,9.65,9.75,9.65,9.75,109,0
2017-08-30,18:00:00,9.653,9.738,9.415,9.415,160,0
2017-08-30,19:00:00,9.4,9.705,9.4,9.425,101,0
2017-08-30,20:00:00,9.693,9.693,9.693,9.693,4,0
2017-08-30,21:00:00,9.465,9.465,9.465,9.465,11,0
2017-08-30,22:00:00,9.5,9.693,9.5,9.598,972,0
2017-08-31,16:00:00,9.375,10,9.3,9.3,719,0
2017-08-31,17:00:00,9.675,10.25,9.5,9.75,8334,0
2017-08-31,18:00:00,9.643,9.803,9.5,9.628,846,0
2017-08-31,19:00:00,9.643,9.825,9.63,9.803,176,0
2017-08-31,20:00:00,9.798,9.8,9.638,9.638,508,0
2017-08-31,21:00:00,9.638,9.813,9.638,9.638,158,0
2017-08-31,22:00:00,9.638,9.798,9.503,9.675,2561,0
2017-09-01,16:00:00,10,10,9.5,9.818,1539,0
2017-09-01,17:00:00,9.858,9.858,9.505,9.748,408,0
2017-09-01,18:00:00,9.505,9.513,9.505,9.513,59,0
2017-09-01,19:00:00,9.565,9.748,9.25,9.3775,3372,0
2017-09-01,20:00:00,9.3775,9.503,9.275,9.275,728,0
2017-09-01,21:00:00,9.3,9.4875,9.3,9.48,104,0
2017-09-01,22:00:00,9.4,9.748,9.325,9.583,1380,0
2017-09-05,16:00:00,9.75,9.75,9.14,9.62,922,0
2017-09-05,17:00:00,9.623,9.625,9.4,9.623,395,0
2017-09-05,18:00:00,9.623,9.623,9.4,9.61,534,0
2017-09-05,19:00:00,9.5,9.62,9.4775,9.4775,292,0
2017-09-05,20:00:00,9.623,9.623,9.4,9.623,297,0
2017-09-05,21:00:00,9.553,9.698,9.525,9.625,120,0
2017-09-05,22:00:00,9.748,10,9.628,9.868,2135,0
2017-09-06,16:00:00,9.525,9.868,9.5,9.708,623,0
2017-09-06,17:00:00,9.63,9.75,9.4025,9.4025,1120,0
2017-09-06,18:00:00,9.508,9.745,9.505,9.523,142,0
2017-09-06,19:00:00,9.5,9.75,9.465,9.75,210,0
2017-09-06,20:00:00,9.475,9.625,9.475,9.625,1015,0
2017-09-06,21:00:00,9.5,9.75,9.5,9.75,1853,0
2017-09-06,22:00:00,9.75,10,9.513,10,3295,0
2017-09-07,16:00:00,10.25,10.5,9.755,10.053,5747,0
2017-09-07,17:00:00,10.248,10.25,9.975,9.998,3978,0
2017-09-07,18:00:00,9.998,10.21,9.998,10.21,1626,0
2017-09-07,19:00:00,10.21,10.223,9.838,10.213,218,0
2017-09-07,20:00:00,9.843,10.19,9.843,10.023,915,0
2017-09-07,21:00:00,10.18,10.18,9.875,9.875,44,0
2017-09-07,22:00:00,9.903,10.175,9.875,10.055,651,0
2017-09-08,16:00:00,9.775,10,9.775,10,272,0
2017-09-08,17:00:00,10.198,10.26,10.003,10.245,983,0
2017-09-08,18:00:00,10.135,10.245,9.9,9.9,1113,0
2017-09-08,19:00:00,10,10.003,9.973,9.973,1260,0
2017-09-08,20:00:00,9.998,10,9.745,9.745,2181,0
2017-09-08,21:00:00,9.743,10,9.5,10,2084,0
2017-09-08,22:00:00,9.775,9.775,9.5,9.743,3362,0
2017-09-11,16:00:00,9.75,9.75,9.4025,9.405,1063,0
