Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-28,16:00:00,8.7,8.7,8.7,8.7,100,0
2017-08-28,17:00:00,8.7,8.7,8.65,8.65,536,0
2017-08-28,18:00:00,8.769,8.769,8.65,8.65,1900,0
2017-08-28,20:00:00,8.6952,8.6952,8.6952,8.6952,400,0
2017-08-28,21:00:00,8.7,8.9,8.7,8.9,3727,0
2017-08-28,22:00:00,8.8,8.8,8.7,8.7,700,0
2017-08-29,16:00:00,8.55,8.555,8.55,8.555,1305,0
2017-08-29,17:00:00,8.55,8.55,8.55,8.55,5069,0
2017-08-29,18:00:00,8.5,8.5,8.5,8.5,100,0
2017-08-29,20:00:00,8.505,8.505,8.505,8.505,5000,0
2017-08-29,21:00:00,8.55,8.65,8.5,8.65,19636,0
2017-08-29,22:00:00,8.6,8.7,8.45,8.45,29252,0
2017-08-30,16:00:00,8.5,8.75,8.5,8.5,1796,0
2017-08-30,17:00:00,8.5,8.5,8.5,8.5,1000,0
2017-08-30,18:00:00,8.45,8.45,8.4,8.4,700,0
2017-08-30,19:00:00,8.45,8.45,8.45,8.45,200,0
2017-08-30,21:00:00,8.5,8.5,8.5,8.5,200,0
2017-08-30,22:00:00,8.5,8.5,8.45,8.5,4500,0
2017-08-31,16:00:00,8.5,8.55,8.5,8.55,500,0
2017-08-31,18:00:00,8.45,8.45,8.4,8.4,900,0
2017-08-31,20:00:00,8.45,8.45,8.4,8.4,300,0
2017-08-31,21:00:00,8.4,8.4,8.4,8.4,554,0
2017-08-31,22:00:00,8.45,8.5,8.35,8.4,3161,0
2017-09-01,22:00:00,8.45,8.45,8.05,8.05,6585,0
2017-09-05,16:00:00,8.4,8.4,8.25,8.3003,4059,0
2017-09-05,17:00:00,8.4,8.4,8.3,8.3,1597,0
2017-09-05,18:00:00,8.4,8.4,8.35,8.35,2050,0
2017-09-05,19:00:00,8.45,8.45,8.45,8.45,300,0
2017-09-05,20:00:00,8.5,8.5,8.45,8.45,400,0
2017-09-05,21:00:00,8.5,8.5,8.5,8.5,100,0
2017-09-05,22:00:00,8.8,8.8,8.7,8.8,946,0
2017-09-06,19:00:00,8.95,9.1,8.95,9,8134,0
2017-09-06,20:00:00,9,9,9,9,100,0
2017-09-06,21:00:00,8.984,9,8.9156,8.9156,3100,0
2017-09-06,22:00:00,8.95,9,8.95,9,2346,0
2017-09-07,18:00:00,9,9,9,9,100,0
2017-09-07,19:00:00,9,9,9,9,100,0
2017-09-07,20:00:00,9,9,8.99,8.99,2300,0
2017-09-07,21:00:00,9,9,8.975,8.975,200,0
2017-09-07,22:00:00,9,9,9,9,200,0
2017-09-08,22:00:00,8.9,8.95,8.85,8.95,1100,0
2017-09-11,16:00:00,9.75,10.6,9.75,10.233,97593,0
2017-09-11,17:00:00,10.25,10.25,10.05,10.25,29763,0
2017-09-11,18:00:00,10.25,10.7,10.25,10.3,42116,0
2017-09-11,19:00:00,10.3,10.45,10.2,10.225,14708,0
2017-09-11,20:00:00,10.2,10.4,10.175,10.225,17154,0
2017-09-11,21:00:00,10.2,10.243,10.1414,10.2,23644,0
2017-09-11,22:00:00,10.25,10.25,10.2,10.225,10945,0
2017-09-12,16:00:00,10.55,10.75,10.3664,10.55,34732,0
2017-09-12,17:00:00,10.6,11,10.55,10.925,33749,0
2017-09-12,18:00:00,10.8967,10.95,10.8,10.85,24168,0
2017-09-12,19:00:00,10.805,11,10.7596,10.9658,22061,0
2017-09-12,20:00:00,10.9,11.45,10.9,11.4,54245,0
2017-09-12,21:00:00,11.25,11.4,11.05,11.2,31560,0
2017-09-12,22:00:00,11,11.3,10.965,11.25,25415,0
2017-09-13,16:00:00,11.25,11.25,10.75,11.25,3088,0
2017-09-13,17:00:00,11.175,11.25,11.05,11.05,21053,0
2017-09-13,18:00:00,11,11.1,10.9,11,31652,0
2017-09-13,19:00:00,10.975,11.025,10.85,10.85,2642,0
2017-09-13,20:00:00,10.92,10.95,10.8781,10.95,2805,0
2017-09-13,21:00:00,10.95,11,10.9,10.9231,2000,0
2017-09-13,22:00:00,11,11.025,10.9,11,8296,0
2017-09-14,16:00:00,11,11,10.95,10.95,1400,0
2017-09-14,17:00:00,10.9,11,10.9,10.958,1336,0
2017-09-14,18:00:00,11,11.2,11,11.1,25535,0
2017-09-14,19:00:00,11.1,11.225,11,11.1,29216,0
2017-09-14,20:00:00,11.105,11.3,11.1,11.25,7868,0
2017-09-14,21:00:00,11.25,11.3,11.2,11.3,5360,0
2017-09-14,22:00:00,11.3,11.45,11.25,11.4,20593,0
2017-09-15,16:00:00,11.45,11.6,11.4,11.5,7504,0
2017-09-15,17:00:00,11.5,11.5,11.4,11.5,8250,0
