Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,8.05,8.0618,7.65,7.88,873770,0
2017-09-05,17:00:00,7.88,8,7.82,7.9,683710,0
2017-09-05,18:00:00,7.9,7.93,7.82,7.85,489518,0
2017-09-05,19:00:00,7.86,7.86,7.67,7.72,467118,0
2017-09-05,20:00:00,7.72,7.73,7.63,7.69,386635,0
2017-09-05,21:00:00,7.69,7.78,7.565,7.5859,521964,0
2017-09-05,22:00:00,7.59,7.7,7.59,7.65,629326,0
2017-09-06,16:00:00,7.67,7.779,7.43,7.51,560527,0
2017-09-06,17:00:00,7.51,7.56,7.2,7.32,958962,0
2017-09-06,18:00:00,7.33,7.375,7.25,7.375,458805,0
2017-09-06,19:00:00,7.37,7.4,7.25,7.29,350374,0
2017-09-06,20:00:00,7.28,7.39,7.28,7.33,340223,0
2017-09-06,21:00:00,7.33,7.35,7.24,7.295,577089,0
2017-09-06,22:00:00,7.29,7.3,7.22,7.24,1049781,0
2017-09-07,16:00:00,7.25,7.43,7.02,7.3,901123,0
2017-09-07,17:00:00,7.3,7.405,7.14,7.3,722521,0
2017-09-07,18:00:00,7.3,7.41,7.3,7.34,466594,0
2017-09-07,19:00:00,7.345,7.39,7.29,7.345,338979,0
2017-09-07,20:00:00,7.34,7.35,7.25,7.29,274444,0
2017-09-07,21:00:00,7.29,7.37,7.28,7.34,340584,0
2017-09-07,22:00:00,7.34,7.38,7.27,7.33,705928,0
2017-09-08,16:00:00,7.31,7.41,7.125,7.4,680931,0
2017-09-08,17:00:00,7.41,7.53,7.29,7.35,931020,0
2017-09-08,18:00:00,7.35,7.41,7.34,7.35,290868,0
2017-09-08,19:00:00,7.35,7.37,7.33,7.36,162554,0
2017-09-08,20:00:00,7.35,7.39,7.33,7.355,221619,0
2017-09-08,21:00:00,7.35,7.46,7.3,7.46,416816,0
2017-09-08,22:00:00,7.46,7.46,7.39,7.4,576534,0
2017-09-11,16:00:00,7.49,8.24,7.49,8.09,993831,0
2017-09-11,17:00:00,8.095,8.24,7.62,7.62,1434610,0
2017-09-11,18:00:00,7.62,7.7,7.57,7.62,536721,0
