Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,68.29,68.734,68.29,68.388,8112,0
2017-09-05,17:00:00,68.585,68.685,68.191,68.29,5946,0
2017-09-05,18:00:00,68.226,68.338,67.944,68.29,11905,0
2017-09-05,19:00:00,68.092,68.191,67.994,68.092,8011,0
2017-09-05,20:00:00,68.092,68.29,67.845,68.044,13380,0
2017-09-05,21:00:00,68.191,68.191,67.501,67.501,11662,0
2017-09-05,22:00:00,67.501,67.501,67.156,67.254,26035,0
2017-09-06,16:00:00,67.845,67.845,67.748,67.748,1919,0
2017-09-06,17:00:00,67.797,68.241,67.797,67.895,4254,0
2017-09-06,18:00:00,67.895,67.895,67.304,67.401,13107,0
2017-09-06,19:00:00,67.401,67.551,67.304,67.551,3550,0
2017-09-06,20:00:00,67.748,68.191,67.698,67.698,3262,0
2017-09-06,21:00:00,67.797,67.87,67.476,67.648,6144,0
2017-09-06,22:00:00,67.648,67.673,67.304,67.304,14060,0
2017-09-07,16:00:00,67.304,67.304,66.663,66.663,6902,0
2017-09-07,17:00:00,66.267,66.317,65.824,66.22,2738,0
2017-09-07,18:00:00,66.17,66.17,65.405,65.529,2231,0
2017-09-07,19:00:00,65.479,65.973,65.479,65.873,2750,0
2017-09-07,20:00:00,65.873,65.948,65.38,65.529,3221,0
2017-09-07,21:00:00,65.578,66.022,65.578,65.973,3558,0
2017-09-07,22:00:00,65.923,66.022,65.824,66.022,24623,0
2017-09-08,16:00:00,66.022,66.761,65.978,66.12,9382,0
2017-09-08,17:00:00,66.22,67.007,66.22,67.007,9420,0
2017-09-08,18:00:00,67.304,67.304,66.514,66.613,5476,0
2017-09-08,19:00:00,66.465,66.761,66.465,66.761,7098,0
2017-09-08,20:00:00,66.761,67.007,66.663,66.86,7557,0
2017-09-08,21:00:00,66.958,67.304,66.761,67.007,6128,0
2017-09-08,22:00:00,67.107,67.401,66.761,66.81,42223,0
2017-09-11,16:00:00,67.551,67.994,67.526,67.6,6377,0
2017-09-11,17:00:00,67.451,67.648,67.451,67.551,8711,0
2017-09-11,18:00:00,67.623,67.623,67.354,67.451,13593,0
2017-09-11,19:00:00,67.501,67.895,67.451,67.648,17698,0
2017-09-11,20:00:00,67.551,67.748,67.551,67.6,5121,0
2017-09-11,21:00:00,67.648,67.648,67.401,67.551,6241,0
2017-09-11,22:00:00,67.501,67.551,67.304,67.501,28616,0
2017-09-12,16:00:00,67.648,68.388,67.648,68.388,1163,0
2017-09-12,17:00:00,68.488,68.98,68.488,68.98,4036,0
2017-09-12,18:00:00,68.98,69.029,68.585,69.029,4518,0
2017-09-12,19:00:00,68.98,69.226,68.931,69.079,3663,0
2017-09-12,20:00:00,69.079,69.128,68.98,69.029,1632,0
2017-09-12,21:00:00,68.98,69.079,68.585,69.029,3866,0
2017-09-12,22:00:00,69.128,69.178,68.734,68.931,21171,0
2017-09-13,16:00:00,68.782,68.906,68.59,68.782,3968,0
2017-09-13,17:00:00,68.782,69.325,68.734,69.325,6482,0
2017-09-13,18:00:00,69.275,69.275,68.98,68.98,1826,0
2017-09-13,19:00:00,69.079,69.325,69.054,69.226,643,0
2017-09-13,20:00:00,69.275,69.275,69.029,69.079,1860,0
2017-09-13,21:00:00,69.202,69.375,68.98,69.375,2725,0
2017-09-13,22:00:00,69.275,69.275,69.079,69.128,26573,0
2017-09-14,16:00:00,68.931,69.178,68.585,69.178,2217,0
2017-09-14,17:00:00,69.178,69.472,69.178,69.375,14460,0
2017-09-14,18:00:00,69.303,69.303,69.079,69.128,690,0
2017-09-14,19:00:00,69.275,69.325,69.079,69.079,2289,0
2017-09-14,20:00:00,69.029,69.029,68.413,68.413,1216,0
2017-09-14,21:00:00,68.438,68.585,68.338,68.438,7162,0
2017-09-14,22:00:00,68.535,68.585,68.241,68.585,25975,0
2017-09-15,16:00:00,68.585,69.079,68.141,68.685,45020,0
2017-09-15,17:00:00,68.685,69.029,68.585,68.782,7992,0
2017-09-15,18:00:00,68.807,68.98,68.635,68.635,1926,0
2017-09-15,19:00:00,68.585,68.931,68.585,68.931,1216,0
2017-09-15,20:00:00,68.882,68.956,68.807,68.956,2540,0
2017-09-15,21:00:00,68.882,69.325,68.882,69.128,2435,0
2017-09-15,22:00:00,69.029,69.424,68.931,69.424,105485,0
2017-09-18,16:00:00,69.472,70.016,68.513,69.966,2194,0
2017-09-18,17:00:00,69.916,70.262,69.867,70.138,4939,0
2017-09-18,18:00:00,70.213,70.459,70.118,70.459,2920,0
2017-09-18,19:00:00,70.558,70.706,70.361,70.606,2839,0
2017-09-18,20:00:00,70.583,70.78,70.459,70.756,6518,0
2017-09-18,21:00:00,70.78,70.853,70.509,70.509,8466,0
2017-09-18,22:00:00,70.459,70.606,70.114,70.213,45546,0
2017-09-19,16:00:00,70.262,70.361,70.114,70.361,2218,0
2017-09-19,17:00:00,70.459,70.903,70.262,70.656,17656,0
2017-09-19,18:00:00,70.534,70.656,70.065,70.262,10837,0
2017-09-19,19:00:00,70.459,70.606,70.262,70.606,3347,0
2017-09-19,20:00:00,70.41,70.558,70.41,70.558,1724,0
2017-09-19,21:00:00,70.656,70.756,70.459,70.459,9592,0
2017-09-19,22:00:00,70.41,70.558,70.262,70.459,47669,0
2017-09-20,16:00:00,70.41,70.41,69.867,69.916,1260,0
2017-09-20,17:00:00,69.916,70.606,69.769,70.606,2434,0
2017-09-20,18:00:00,70.606,70.804,70.459,70.606,2027,0
2017-09-20,19:00:00,70.706,70.756,70.41,70.756,9699,0
2017-09-20,20:00:00,70.756,70.953,70.756,70.853,1013,0
2017-09-20,21:00:00,70.953,71.84,70.953,71.643,15856,0
2017-09-20,22:00:00,71.643,71.643,70.903,71.051,26778,0
2017-09-21,16:00:00,71.051,71.889,70.509,71.347,6504,0
2017-09-21,17:00:00,71.15,71.248,70.756,71.1,4888,0
2017-09-21,18:00:00,71.051,71.15,70.853,70.953,4361,0
2017-09-21,19:00:00,71.001,71.15,70.853,71.051,3430,0
2017-09-21,20:00:00,71.199,71.248,71.051,71.15,6288,0
2017-09-21,21:00:00,71.248,71.297,71.1,71.15,7035,0
2017-09-21,22:00:00,71.199,71.248,70.978,71.001,13584,0
2017-09-22,16:00:00,70.606,70.656,70.41,70.656,2178,0
2017-09-22,17:00:00,70.583,71.297,70.583,71.125,5471,0
2017-09-22,18:00:00,71.199,71.347,70.953,71.15,2332,0
2017-09-22,19:00:00,71.175,71.248,71.1,71.199,1216,0
2017-09-22,20:00:00,71.248,71.297,71.001,71.125,10952,0
2017-09-22,21:00:00,71.1,71.223,71.1,71.175,9786,0
2017-09-22,22:00:00,71.175,71.445,71.075,71.297,24043,0
2017-09-25,16:00:00,70.853,71.396,70.853,71.396,5840,0
2017-09-25,17:00:00,71.371,71.495,71.199,71.199,16352,0
2017-09-25,18:00:00,71.051,71.051,70.534,70.756,5169,0
2017-09-25,19:00:00,70.756,71.051,70.509,71.051,8150,0
2017-09-25,20:00:00,71.15,71.445,71.15,71.445,2335,0
2017-09-25,21:00:00,71.495,72.012,71.495,71.938,7661,0
2017-09-25,22:00:00,71.938,71.987,71.742,71.79,32400,0
2017-09-26,16:00:00,71.889,71.938,70.953,71.396,9772,0
2017-09-26,17:00:00,71.495,71.987,71.495,71.987,2987,0
2017-09-26,18:00:00,71.987,72.037,71.84,71.938,3175,0
2017-09-26,19:00:00,72.087,72.432,72.037,72.309,1900,0
2017-09-26,20:00:00,72.234,72.432,72.112,72.432,5797,0
2017-09-26,21:00:00,72.432,72.53,72.382,72.53,2621,0
2017-09-26,22:00:00,72.53,72.53,72.135,72.234,13293,0
2017-09-27,16:00:00,72.678,73.023,72.135,72.924,8515,0
2017-09-27,17:00:00,72.876,72.974,72.53,72.579,9442,0
2017-09-27,18:00:00,72.777,73.023,72.727,72.899,10157,0
2017-09-27,19:00:00,72.876,73.023,72.801,72.924,25372,0
2017-09-27,20:00:00,72.949,74.552,72.924,74.552,18618,0
