Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-06,16:00:00,55.431,55.431,55.033,55.232,2784,0
2017-09-06,17:00:00,55.282,55.331,55.029,55.132,19893,0
2017-09-06,18:00:00,55.083,55.132,54.983,55.083,1509,0
2017-09-06,19:00:00,54.983,54.983,54.784,54.834,2903,0
2017-09-06,20:00:00,54.884,55.033,54.834,54.884,5519,0
2017-09-06,21:00:00,54.934,55.083,54.934,55.083,2514,0
2017-09-06,22:00:00,55.182,55.331,55.083,55.132,40758,0
2017-09-07,16:00:00,55.431,55.431,54.138,54.188,5079,0
2017-09-07,17:00:00,54.262,54.536,53.84,54.387,10587,0
2017-09-07,18:00:00,54.436,54.436,53.989,53.989,5321,0
2017-09-07,19:00:00,53.939,54.19,53.79,54.088,8038,0
2017-09-07,20:00:00,54.088,54.188,54.039,54.088,5723,0
2017-09-07,21:00:00,54.088,54.138,53.989,54.088,2715,0
2017-09-07,22:00:00,54.014,54.088,53.84,53.939,14689,0
2017-09-08,16:00:00,54.088,55.083,54.088,55.083,9003,0
2017-09-08,17:00:00,55.431,55.63,55.232,55.53,5431,0
2017-09-08,18:00:00,55.679,55.878,55.63,55.804,3973,0
2017-09-08,19:00:00,55.729,55.779,55.232,55.232,3218,0
2017-09-08,20:00:00,55.083,55.083,54.735,54.983,4307,0
2017-09-08,21:00:00,55.033,55.232,55.033,55.232,859,0
2017-09-08,22:00:00,55.232,55.232,54.884,55.132,16019,0
2017-09-11,16:00:00,55.53,55.928,55.53,55.928,3906,0
2017-09-11,17:00:00,56.027,56.226,55.838,55.838,3129,0
2017-09-11,18:00:00,55.828,56.002,55.53,55.953,4720,0
2017-09-11,19:00:00,55.978,56.152,55.878,56.052,2213,0
2017-09-11,20:00:00,56.052,56.176,55.978,55.978,2432,0
2017-09-11,21:00:00,55.828,55.878,55.729,55.828,2319,0
2017-09-11,22:00:00,55.779,55.928,55.729,55.779,18333,0
2017-09-12,16:00:00,55.828,56.425,55.828,56.425,2967,0
2017-09-12,17:00:00,56.375,56.425,56.027,56.127,2644,0
2017-09-12,18:00:00,56.127,56.176,56.027,56.077,3529,0
2017-09-12,19:00:00,56.027,56.027,55.828,55.878,7188,0
2017-09-12,20:00:00,55.878,56.102,55.878,56.102,1620,0
2017-09-12,21:00:00,56.027,56.052,55.878,55.928,14868,0
2017-09-12,22:00:00,55.978,55.978,55.679,55.828,20504,0
2017-09-13,16:00:00,55.53,55.878,55.53,55.729,6035,0
2017-09-13,17:00:00,55.679,55.828,55.605,55.63,5733,0
2017-09-13,18:00:00,55.679,55.878,55.58,55.878,3496,0
2017-09-13,19:00:00,55.928,56.127,55.729,55.779,6667,0
2017-09-13,20:00:00,55.729,56.027,55.679,55.978,6545,0
2017-09-13,21:00:00,55.978,56.027,55.928,55.928,3017,0
2017-09-13,22:00:00,55.928,55.978,55.679,55.828,28635,0
2017-09-14,16:00:00,55.679,56.176,55.431,56.102,4292,0
2017-09-14,17:00:00,56.127,56.276,56.077,56.176,4253,0
2017-09-14,18:00:00,56.276,56.375,56.176,56.301,2897,0
2017-09-14,19:00:00,56.301,56.326,56.176,56.226,6019,0
2017-09-14,20:00:00,56.226,56.226,55.878,55.928,2727,0
2017-09-14,21:00:00,55.978,56.176,55.978,55.978,774,0
2017-09-14,22:00:00,56.027,56.176,55.729,56.127,18293,0
2017-09-15,16:00:00,56.226,56.425,55.828,56.425,38820,0
2017-09-15,17:00:00,56.375,56.524,56.152,56.226,2213,0
2017-09-15,18:00:00,56.276,56.425,56.127,56.326,1911,0
2017-09-15,19:00:00,56.425,56.425,56.375,56.375,201,0
2017-09-15,20:00:00,56.524,56.524,56.276,56.375,3432,0
2017-09-15,21:00:00,56.475,56.574,56.326,56.326,1408,0
2017-09-15,22:00:00,56.276,56.773,56.276,56.674,58326,0
2017-09-18,16:00:00,56.972,57.27,56.972,57.22,1830,0
2017-09-18,17:00:00,57.22,57.32,57.071,57.071,2079,0
2017-09-18,18:00:00,56.922,56.922,56.773,56.922,2313,0
2017-09-18,19:00:00,56.972,57.22,56.872,57.22,2313,0
2017-09-18,20:00:00,57.171,57.519,57.171,57.469,5040,0
2017-09-18,21:00:00,57.618,57.668,57.444,57.568,21288,0
2017-09-18,22:00:00,57.519,57.568,57.32,57.419,25532,0
2017-09-19,16:00:00,57.37,57.519,57.121,57.519,1013,0
2017-09-19,17:00:00,57.593,57.593,57.345,57.419,15002,0
2017-09-19,18:00:00,57.444,57.444,56.972,57.32,21523,0
2017-09-19,19:00:00,57.419,57.519,57.37,57.37,2716,0
2017-09-19,20:00:00,57.37,57.419,57.32,57.32,2891,0
2017-09-19,21:00:00,57.22,57.345,57.071,57.171,4872,0
2017-09-19,22:00:00,57.171,57.37,57.121,57.37,31085,0
2017-09-20,16:00:00,57.419,57.419,56.972,57.121,1134,0
2017-09-20,17:00:00,57.121,57.618,57.071,57.618,2545,0
2017-09-20,18:00:00,57.568,58.264,57.568,58.264,2307,0
2017-09-20,19:00:00,58.066,58.314,58.066,58.165,3179,0
2017-09-20,20:00:00,58.314,58.463,58.215,58.314,5431,0
2017-09-20,21:00:00,58.314,58.414,58.115,58.165,8192,0
2017-09-20,22:00:00,58.165,58.215,57.867,57.916,41469,0
2017-09-21,16:00:00,57.767,57.916,57.568,57.867,5125,0
2017-09-21,17:00:00,57.916,58.165,57.718,57.718,29671,0
2017-09-21,18:00:00,57.693,57.941,57.544,57.867,13175,0
2017-09-21,19:00:00,57.892,58.14,57.767,58.115,20696,0
2017-09-21,20:00:00,58.115,58.264,57.842,57.916,5369,0
2017-09-21,21:00:00,57.966,58.041,57.618,57.718,6970,0
2017-09-21,22:00:00,57.767,58.016,57.469,57.568,40206,0
2017-09-22,16:00:00,57.519,57.718,57.519,57.692,1009,0
2017-09-22,17:00:00,57.867,58.414,57.767,58.414,3224,0
2017-09-22,18:00:00,58.414,58.414,58.066,58.066,1711,0
2017-09-22,19:00:00,58.016,58.016,57.668,57.767,5331,0
2017-09-22,20:00:00,57.767,58.264,57.767,58.066,5793,0
2017-09-22,21:00:00,58.115,58.115,57.568,57.767,8678,0
2017-09-22,22:00:00,57.718,58.14,57.718,58.016,33595,0
2017-09-25,16:00:00,58.016,58.016,57.37,57.668,2977,0
2017-09-25,17:00:00,57.817,58.264,57.817,58.066,6911,0
2017-09-25,18:00:00,58.09,58.115,57.767,57.892,17082,0
2017-09-25,19:00:00,57.892,58.066,57.817,58.066,4097,0
2017-09-25,20:00:00,58.016,58.129,58.016,58.066,9741,0
2017-09-25,21:00:00,58.09,58.264,58.09,58.115,2816,0
2017-09-25,22:00:00,58.165,58.314,58.115,58.314,29761,0
2017-09-26,16:00:00,58.414,58.438,58.314,58.314,1878,0
2017-09-26,17:00:00,58.414,58.96,58.414,58.96,2313,0
2017-09-26,18:00:00,58.921,59.458,58.921,59.06,9856,0
2017-09-26,19:00:00,59.11,59.308,58.96,59.035,20234,0
2017-09-26,20:00:00,59.01,59.358,58.96,59.308,8242,0
2017-09-26,21:00:00,59.308,59.308,59.11,59.11,12237,0
2017-09-26,22:00:00,59.085,59.159,58.861,58.96,19165,0
2017-09-27,16:00:00,59.308,59.47,59.01,59.085,2782,0
2017-09-27,17:00:00,59.11,59.259,58.911,59.06,18973,0
2017-09-27,18:00:00,59.06,59.259,59.01,59.06,10694,0
2017-09-27,19:00:00,59.06,59.905,59.01,59.905,4325,0
2017-09-27,20:00:00,59.905,60.7,59.905,60.7,7992,0
2017-09-27,21:00:00,60.8,60.949,60.526,60.75,13703,0
2017-09-27,22:00:00,60.75,61.098,60.7,61.048,33696,0
2017-09-28,16:00:00,60.899,60.899,60.303,60.651,1831,0
2017-09-28,17:00:00,60.651,61.098,60.452,61.098,10357,0
2017-09-28,18:00:00,60.899,61.024,60.352,60.502,11187,0
2017-09-28,19:00:00,60.427,60.601,60.352,60.402,5231,0
2017-09-28,20:00:00,60.452,60.75,60.203,60.75,7644,0
