Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-06,16:00:00,172.35,172.72,171.115,172.6118,11683,0
2017-09-06,17:00:00,172.5794,172.72,171.78,172.16,9950,0
2017-09-06,18:00:00,172.005,172.48,171.2201,172.48,13124,0
2017-09-06,19:00:00,172.41,173.12,172.41,173.11,13201,0
2017-09-06,20:00:00,173.0821,173.5299,172.55,173.23,15660,0
2017-09-06,21:00:00,173.2481,173.65,172.9,173.51,13952,0
2017-09-06,22:00:00,173.48,173.62,172.69,172.83,30951,0
2017-09-07,16:00:00,173.45,173.45,172.4,172.5867,15845,0
2017-09-07,17:00:00,172.58,173.9301,172.555,173.79,20483,0
2017-09-07,18:00:00,173.5596,173.5635,172.81,173.319,13333,0
2017-09-07,19:00:00,173,173.46,172.83,173.46,9119,0
2017-09-07,20:00:00,173.445,173.955,173.295,173.71,12980,0
2017-09-07,21:00:00,173.725,174.2,173.55,174.16,10522,0
2017-09-07,22:00:00,174.05,174.37,173.29,173.41,137696,0
2017-09-08,16:00:00,173.11,173.98,172.52,172.53,30430,0
2017-09-08,17:00:00,172.65,173.995,172.495,173.995,21389,0
2017-09-08,18:00:00,174,174.8399,173.78,174.06,13682,0
2017-09-08,19:00:00,174.01,174.87,174.01,174.71,11609,0
2017-09-08,20:00:00,174.7,174.95,173.93,174.15,20920,0
2017-09-08,21:00:00,174.0958,174.0958,173.3301,173.43,14862,0
2017-09-08,22:00:00,173.4101,174.03,173.2001,173.72,43855,0
2017-09-11,16:00:00,175.19,176.76,175.19,175.66,9945,0
2017-09-11,17:00:00,175.55,176.3128,175.24,175.59,15327,0
2017-09-11,18:00:00,175.6,175.85,175.39,175.56,15196,0
2017-09-11,19:00:00,175.54,175.96,175.43,175.94,20443,0
2017-09-11,20:00:00,175.95,177.17,175.95,177,9849,0
2017-09-11,21:00:00,177.13,177.51,176.6516,177.01,20369,0
2017-09-11,22:00:00,177.04,177.49,176.99,177.1,99599,0
2017-09-12,16:00:00,178.13,179.22,177.72,179.22,22824,0
2017-09-12,17:00:00,179.41,179.91,176.815,177.6,57059,0
2017-09-12,18:00:00,177.5999,177.83,177.225,177.57,10030,0
2017-09-12,19:00:00,177.2321,177.82,177.135,177.47,15617,0
2017-09-12,20:00:00,177.58,178.11,177.1,177.77,17764,0
2017-09-12,21:00:00,177.73,177.99,177.41,177.41,13028,0
2017-09-12,22:00:00,177.43,178.22,177.14,177.99,68082,0
2017-09-13,16:00:00,178,178.95,177.4,178.9,24488,0
2017-09-13,17:00:00,178.9,179.71,178.68,179.01,33339,0
2017-09-13,18:00:00,179.19,179.9,178.2632,179.12,43299,0
2017-09-13,19:00:00,179,179.82,178.85,179.64,18770,0
2017-09-13,20:00:00,179.63,179.99,179.23,179.38,23133,0
2017-09-13,21:00:00,179.44,180.45,179.266,180.45,17321,0
2017-09-13,22:00:00,180.47,180.5,178.95,179.2,129395,0
2017-09-14,16:00:00,178.5,179.5726,178.0801,178.52,25066,0
2017-09-14,17:00:00,178.7,179.25,177.81,179.015,28392,0
2017-09-14,18:00:00,179.01,179.855,178.42,179.47,21765,0
2017-09-14,19:00:00,179.47,179.8699,179.04,179.8699,11361,0
2017-09-14,20:00:00,179.63,179.99,179.34,179.99,16573,0
2017-09-14,21:00:00,179.95,180.47,179.9,180.34,21850,0
2017-09-14,22:00:00,180.28,180.55,179.64,179.92,89725,0
2017-09-15,16:00:00,180.03,180.03,178.7,178.7,44216,0
2017-09-15,17:00:00,178.7,179.74,178.61,179.7,25484,0
2017-09-15,18:00:00,179.56,179.86,179.07,179.29,24430,0
2017-09-15,19:00:00,179.4086,179.63,179.331,179.61,20541,0
2017-09-15,20:00:00,179.52,179.62,179.31,179.365,10294,0
2017-09-15,21:00:00,179.4,179.6,179.39,179.45,19261,0
2017-09-15,22:00:00,179.47,180.5,179.36,180.23,226454,0
2017-09-18,16:00:00,181.01,182.4167,181.01,181.355,22018,0
2017-09-18,17:00:00,181.61,181.8299,180.9,181.34,49935,0
2017-09-18,18:00:00,181.32,182.52,181.14,182.37,69195,0
2017-09-18,19:00:00,182.4,182.95,182.07,182.35,22425,0
2017-09-18,20:00:00,182.63,183,182.52,182.785,17954,0
2017-09-18,21:00:00,182.75,183.079,182.36,182.75,29413,0
2017-09-18,22:00:00,182.635,183.77,182.544,183.17,84065,0
2017-09-19,16:00:00,183.34,184.54,182.57,184.54,21162,0
2017-09-19,17:00:00,184.37,185.4199,184.02,185.07,37278,0
