Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,96.78,97.01,95.96,96.42,72111,0
2017-09-05,17:00:00,96.49,96.9,96.1662,96.5368,48593,0
2017-09-05,18:00:00,96.55,96.83,96.33,96.55,50459,0
2017-09-05,19:00:00,96.595,96.595,95.3129,95.63,76558,0
2017-09-05,20:00:00,95.42,95.51,94.891,95.49,29101,0
2017-09-05,21:00:00,95.49,95.99,95.2932,95.73,35502,0
2017-09-05,22:00:00,95.78,96.19,95.67,96.04,62648,0
2017-09-06,16:00:00,95.41,96.8306,94.7219,95.03,56352,0
2017-09-06,17:00:00,94.93,95.46,93.38,93.7295,82279,0
2017-09-06,18:00:00,93.68,94.22,93.48,93.97,31591,0
2017-09-06,19:00:00,93.955,94.96,93.79,94.82,60218,0
2017-09-06,20:00:00,94.89,95.62,94.8,94.87,26020,0
2017-09-06,21:00:00,94.8691,95.46,94.74,94.99,42139,0
2017-09-06,22:00:00,95,95.32,94.57,94.88,157895,0
2017-09-07,16:00:00,94.7,95.45,94.11,95.4,38075,0
2017-09-07,17:00:00,95.3,96.17,94.92,95.96,99045,0
2017-09-07,18:00:00,96.08,96.18,95.41,95.7799,22178,0
2017-09-07,19:00:00,95.65,96.19,95.51,96.1,15810,0
2017-09-07,20:00:00,96.06,96.53,95.66,96.49,30994,0
2017-09-07,21:00:00,96.5,96.55,95.87,96.0601,22195,0
2017-09-07,22:00:00,96.15,96.58,95.95,96.55,196736,0
2017-09-08,16:00:00,96,97.015,95.86,96.8885,31936,0
2017-09-08,17:00:00,96.92,97.075,95.86,96.25,70735,0
2017-09-08,18:00:00,96.2744,96.7,95.87,96.42,46939,0
2017-09-08,19:00:00,96.4299,96.4299,95.62,95.89,44690,0
2017-09-08,20:00:00,95.89,96.19,95.8401,95.88,38978,0
2017-09-08,21:00:00,95.94,96.055,95.15,95.82,32133,0
2017-09-08,22:00:00,95.88,95.94,95.06,95.16,71709,0
2017-09-11,16:00:00,95.88,97.99,95.88,96.96,71372,0
2017-09-11,17:00:00,97.02,97.23,96.3,96.3,54844,0
2017-09-11,18:00:00,96.39,97.05,96.31,96.5,39797,0
2017-09-11,19:00:00,96.51,96.94,96.45,96.6,25286,0
2017-09-11,20:00:00,96.77,96.83,96.62,96.685,30387,0
2017-09-11,21:00:00,96.71,96.72,96.365,96.695,29780,0
2017-09-11,22:00:00,96.74,96.86,96.52,96.78,92164,0
2017-09-12,16:00:00,95.89,97.53,95.89,97.1,74845,0
2017-09-12,17:00:00,97.1896,97.2,96.675,97.12,39550,0
2017-09-12,18:00:00,97.09,97.42,97,97.42,32581,0
2017-09-12,19:00:00,97.43,98.65,97.34,98.53,70770,0
2017-09-12,20:00:00,98.53,99.935,98.52,99.61,70219,0
2017-09-12,21:00:00,99.5665,100.29,99.27,100.29,103633,0
2017-09-12,22:00:00,100.26,100.96,100.15,100.87,177479,0
2017-09-13,16:00:00,100.25,100.5,96.751,97.71,192050,0
2017-09-13,17:00:00,97.71,98.325,91.58,92.66,866925,0
2017-09-13,18:00:00,92.6326,92.65,89.02,89.726,862861,0
2017-09-13,19:00:00,89.7699,90.35,86.5,86.83,878982,0
2017-09-13,20:00:00,86.815,88.19,85.4,87.365,1057220,0
2017-09-13,21:00:00,87.36,88.61,85.75,86.5201,738039,0
2017-09-13,22:00:00,86.6874,87.55,84.7,85.08,1093405,0
2017-09-14,16:00:00,86.48,87.49,85,85.1031,514784,0
2017-09-14,17:00:00,85.08,85.105,82.28,82.73,561053,0
2017-09-14,18:00:00,82.74,83.95,82.4901,83.3,274184,0
2017-09-14,19:00:00,83.24,83.36,80.76,80.86,481147,0
2017-09-14,20:00:00,80.959,82.099,80.79,81.17,296245,0
2017-09-14,21:00:00,81.15,81.765,80.61,80.645,229447,0
2017-09-14,22:00:00,80.645,82.19,80.12,81.85,675645,0
2017-09-15,16:00:00,82.93,83.59,81.6,81.825,234045,0
2017-09-15,17:00:00,81.83,82.9,80.1,81.99,471628,0
2017-09-15,18:00:00,81.96,81.96,80.501,80.6,211419,0
2017-09-15,19:00:00,80.62,80.81,80.22,80.2301,155782,0
2017-09-15,20:00:00,80.23,80.3065,79.19,79.6264,295842,0
2017-09-15,21:00:00,79.6899,79.9237,79.29,79.29,174516,0
2017-09-15,22:00:00,79.34,80.28,79.23,79.81,728308,0
2017-09-18,16:00:00,80.12,81.18,79,80.785,235160,0
2017-09-18,17:00:00,80.85,81.42,80.04,80.7502,206702,0
2017-09-18,18:00:00,80.75,80.98,80.41,80.825,92409,0
2017-09-18,19:00:00,80.885,81.9081,80.83,81.1904,256000,0
2017-09-18,20:00:00,81.22,81.96,81.08,81.9,77236,0
2017-09-18,21:00:00,81.97,82.21,80.9,81.23,115887,0
2017-09-18,22:00:00,81.2,81.4,81,81.2,152279,0
2017-09-19,16:00:00,82,83.48,81.8271,82.1244,135791,0
2017-09-19,17:00:00,82.28,83.02,82.2,82.77,137050,0
2017-09-19,18:00:00,82.8184,83.39,82.69,82.9339,130792,0
2017-09-19,19:00:00,82.95,83.4,82.9,82.9,63095,0
2017-09-19,20:00:00,82.9,83.22,82.84,83.015,41089,0
2017-09-19,21:00:00,83.04,83.4493,82.93,83.17,62174,0
2017-09-19,22:00:00,83.2064,83.32,82.58,82.69,152437,0
2017-09-20,16:00:00,82.45,83.2089,80.731,81.18,124526,0
2017-09-20,17:00:00,81.09,81.21,79.91,80.36,198911,0
2017-09-20,18:00:00,80.36,80.83,80.0593,80.38,80844,0
2017-09-20,19:00:00,80.45,80.55,79.7,79.84,93864,0
2017-09-20,20:00:00,79.82,80.08,79.1274,80,126291,0
2017-09-20,21:00:00,80,80.2186,79.3,79.91,104839,0
2017-09-20,22:00:00,79.875,80.16,79.8101,79.99,153096,0
2017-09-21,16:00:00,80.02,80.5299,79.1516,79.89,66293,0
2017-09-21,17:00:00,79.8601,80.31,79.49,80.07,66202,0
2017-09-21,18:00:00,80.16,81.2,80.12,80.4377,95691,0
2017-09-21,19:00:00,80.451,80.6,79.91,80.3696,45647,0
2017-09-21,20:00:00,80.44,80.77,80.23,80.77,28914,0
2017-09-21,21:00:00,80.7739,80.7739,80.345,80.47,34052,0
2017-09-21,22:00:00,80.45,80.4695,79.81,79.94,216858,0
2017-09-22,16:00:00,79.98,80.4931,79.2,79.47,81330,0
2017-09-22,17:00:00,79.41,79.48,76.5,77.59,384658,0
2017-09-22,18:00:00,77.67,77.67,76.6,76.725,140181,0
2017-09-22,19:00:00,76.7,76.81,75.58,75.906,247720,0
2017-09-22,20:00:00,75.91,75.95,74.86,75.265,211540,0
2017-09-22,21:00:00,75.2498,76.17,75,76.04,144258,0
2017-09-22,22:00:00,76.02,76.24,75.55,76.14,218260,0
2017-09-25,16:00:00,74.58,75.01,72.63,74.74,239862,0
2017-09-25,17:00:00,74.69,75.29,73.69,74.05,155398,0
2017-09-25,18:00:00,74.05,74.25,73.57,73.73,96842,0
2017-09-25,19:00:00,73.93,74.48,73.5,74.2,90913,0
2017-09-25,20:00:00,74.249,74.4099,73.87,74.18,60708,0
2017-09-25,21:00:00,74.1786,74.21,73.25,73.55,103664,0
2017-09-25,22:00:00,73.58,74.02,73.48,73.76,240541,0
2017-09-26,16:00:00,73.86,75.7,73.59,75.46,101367,0
2017-09-26,17:00:00,75.43,76.93,75.35,75.64,202048,0
2017-09-26,18:00:00,75.6,76.9,75.54,76.8418,129203,0
2017-09-26,19:00:00,76.8508,77.3599,76.79,77.28,132591,0
2017-09-26,20:00:00,77.27,78.07,77.22,77.73,95941,0
2017-09-26,21:00:00,77.665,77.82,76.86,77.059,74382,0
2017-09-26,22:00:00,76.95,77.31,76.92,77.1,193944,0
2017-09-27,16:00:00,77.28,79.33,77.28,78.7484,89441,0
2017-09-27,17:00:00,78.6396,79.89,78.6396,79.62,132894,0
2017-09-27,18:00:00,79.56,80.0899,79.195,79.37,81054,0
2017-09-27,19:00:00,79.37,79.39,78.55,78.652,63350,0
2017-09-27,20:00:00,78.63,79.2199,78.3,79.185,78035,0
2017-09-27,21:00:00,79.161,79.68,79.04,79.64,68261,0
2017-09-27,22:00:00,79.577,79.9,79.391,79.46,141874,0
2017-09-28,16:00:00,79.4,81.4,78.52,79.07,82118,0
2017-09-28,17:00:00,79.1,79.75,78.82,79.19,67973,0
2017-09-28,18:00:00,79.195,79.23,76.88,77.34,378572,0
2017-09-28,19:00:00,77.455,77.85,77.06,77.75,69653,0
2017-09-28,20:00:00,77.75,77.79,77.4,77.58,51528,0
2017-09-28,21:00:00,77.592,77.592,76.73,76.95,83269,0
2017-09-28,22:00:00,76.99,77.4148,76.5,76.67,242450,0
2017-09-29,16:00:00,77,78,76.57,77.12,56920,0
2017-09-29,17:00:00,77.13,77.67,76.72,76.8,89787,0
2017-09-29,18:00:00,76.87,77.1,76.48,76.92,58646,0
2017-09-29,19:00:00,76.98,77.49,76.98,77.18,56398,0
2017-09-29,20:00:00,77.2,77.39,76.86,77.22,47145,0
2017-09-29,21:00:00,77.24,77.37,77.09,77.11,77713,0
2017-09-29,22:00:00,77.11,77.4,76.91,77.06,113254,0
2017-10-02,16:00:00,77,78.15,77,77.32,49092,0
2017-10-02,17:00:00,77.36,78.41,77.33,78.41,92170,0
2017-10-02,18:00:00,78.382,78.46,77.67,77.68,44622,0
2017-10-02,19:00:00,77.66,78.63,77.541,78.58,44581,0
2017-10-02,20:00:00,78.51,78.84,78.35,78.81,37776,0
2017-10-02,21:00:00,78.7,78.99,78.54,78.93,48613,0
2017-10-02,22:00:00,78.92,79.399,78.86,79.21,127859,0
2017-10-03,16:00:00,79.5,80.28,78.52,79.05,58022,0
2017-10-03,17:00:00,79.09,79.67,78.865,79.47,45857,0
2017-10-03,18:00:00,79.39,79.57,79.06,79.5,64693,0
2017-10-03,19:00:00,79.39,79.6,79.21,79.43,33108,0
2017-10-03,20:00:00,79.435,79.9,79.33,79.69,49838,0
2017-10-03,21:00:00,79.6859,80,79.61,79.8488,37222,0
2017-10-03,22:00:00,79.81,79.98,79.36,79.61,99696,0
2017-10-04,16:00:00,79.84,80.1,78.9101,79.07,24380,0
