Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-06,16:00:00,36.096,36.549,35.971,36.539,11078,0
2017-09-06,17:00:00,36.549,37.195,36.502,37.076,16009,0
2017-09-06,18:00:00,37.157,37.485,37.071,37.436,35046,0
2017-09-06,19:00:00,37.408,37.842,37.138,37.138,37298,0
2017-09-06,20:00:00,37.162,37.793,37.138,37.601,35150,0
2017-09-06,21:00:00,37.601,37.852,37.379,37.542,31018,0
2017-09-06,22:00:00,37.514,37.611,37.234,37.466,60611,0
2017-09-07,16:00:00,37.321,37.321,36.434,36.434,5028,0
2017-09-07,17:00:00,36.357,36.665,36.116,36.608,45961,0
2017-09-07,18:00:00,36.598,36.618,36.318,36.377,12965,0
2017-09-07,19:00:00,36.388,36.608,36.244,36.473,13430,0
2017-09-07,20:00:00,36.443,36.443,36.232,36.377,14677,0
2017-09-07,21:00:00,36.362,36.424,36.173,36.183,10563,0
2017-09-07,22:00:00,36.197,36.521,36.164,36.473,95417,0
2017-09-08,16:00:00,36.473,36.764,36.386,36.57,11245,0
2017-09-08,17:00:00,36.545,37.6,36.545,37.546,87404,0
2017-09-08,18:00:00,37.595,38.144,37.585,37.712,34793,0
2017-09-08,19:00:00,37.649,38.27,37.532,38.27,31487,0
2017-09-08,20:00:00,38.227,38.227,37.804,37.945,33989,0
2017-09-08,21:00:00,37.911,38.319,37.858,38.193,24089,0
2017-09-08,22:00:00,38.222,38.261,38.017,38.144,43930,0
2017-09-11,16:00:00,38.348,39.495,38.348,38.869,19996,0
2017-09-11,17:00:00,38.796,39.106,38.64,39.106,13377,0
2017-09-11,18:00:00,39.164,39.164,38.883,38.98,10219,0
2017-09-11,19:00:00,38.95,39.281,38.839,39.203,12987,0
2017-09-11,20:00:00,39.262,39.33,39.126,39.223,31012,0
2017-09-11,21:00:00,39.184,39.208,39.077,39.121,13236,0
2017-09-11,22:00:00,39.126,39.213,39.029,39.067,51960,0
2017-09-12,16:00:00,39.087,39.087,38.659,38.659,2371,0
2017-09-12,17:00:00,38.776,38.97,38.689,38.717,18697,0
2017-09-12,18:00:00,38.766,38.805,38.63,38.737,29990,0
2017-09-12,19:00:00,38.756,38.796,38.63,38.796,12387,0
2017-09-12,20:00:00,38.786,38.863,38.747,38.863,13579,0
2017-09-12,21:00:00,38.853,39.106,38.839,39.087,17566,0
2017-09-12,22:00:00,39.072,39.34,39.057,39.291,60128,0
2017-09-13,16:00:00,39.243,39.262,38.922,39.143,2614,0
2017-09-13,17:00:00,39.136,39.534,39.116,39.388,15219,0
2017-09-13,18:00:00,39.397,39.495,39.34,39.437,21081,0
2017-09-13,19:00:00,39.446,39.933,39.427,39.893,21740,0
2017-09-13,20:00:00,39.884,39.933,39.699,39.747,14522,0
2017-09-13,21:00:00,39.709,39.845,39.612,39.796,29502,0
2017-09-13,22:00:00,39.796,39.845,39.67,39.787,48438,0
2017-09-14,16:00:00,39.767,39.806,39.359,39.777,3146,0
2017-09-14,17:00:00,39.719,39.826,39.563,39.573,8921,0
2017-09-14,18:00:00,39.553,39.621,39.504,39.612,4635,0
2017-09-14,19:00:00,39.592,39.602,39.194,39.223,9754,0
2017-09-14,20:00:00,39.184,39.194,38.99,39.019,9928,0
2017-09-14,21:00:00,39.057,39.116,38.717,38.727,13667,0
2017-09-14,22:00:00,38.737,39.174,38.737,39.146,38245,0
2017-09-15,16:00:00,39.223,39.3,38.106,39.281,35050,0
2017-09-15,17:00:00,39.281,39.313,38.824,38.824,10630,0
2017-09-15,18:00:00,38.834,39.116,38.776,39.116,5660,0
2017-09-15,19:00:00,39.164,39.262,39.097,39.174,2984,0
2017-09-15,20:00:00,39.146,39.213,39.057,39.213,4116,0
2017-09-15,21:00:00,39.213,39.291,39.155,39.155,7100,0
2017-09-15,22:00:00,39.159,39.223,39.077,39.223,379390,0
2017-09-18,16:00:00,39.155,39.553,38.95,39.097,4102,0
2017-09-18,17:00:00,39.057,39.097,38.912,38.99,6911,0
2017-09-18,18:00:00,38.984,38.984,38.814,38.863,3835,0
2017-09-18,19:00:00,38.868,38.95,38.824,38.95,6688,0
2017-09-18,20:00:00,38.902,38.95,38.863,38.902,4322,0
2017-09-18,21:00:00,38.863,38.893,38.756,38.829,7742,0
2017-09-18,22:00:00,38.829,38.834,38.562,38.61,31058,0
2017-09-19,16:00:00,38.62,38.883,38.62,38.883,5669,0
2017-09-19,17:00:00,38.912,38.912,38.669,38.722,4930,0
2017-09-19,18:00:00,38.707,38.814,38.684,38.805,3483,0
2017-09-19,19:00:00,38.747,38.873,38.717,38.834,2984,0
2017-09-19,20:00:00,38.873,38.945,38.786,38.941,7108,0
2017-09-19,21:00:00,38.902,38.96,38.853,38.863,19144,0
2017-09-19,22:00:00,38.873,38.876,38.523,38.572,47226,0
2017-09-20,16:00:00,38.591,38.591,38.377,38.377,2352,0
2017-09-20,17:00:00,38.377,38.737,38.377,38.737,7992,0
2017-09-20,18:00:00,38.814,38.868,38.601,38.698,4631,0
2017-09-20,19:00:00,38.707,38.727,38.553,38.562,6123,0
2017-09-20,20:00:00,38.484,38.776,38.484,38.766,5663,0
2017-09-20,21:00:00,38.834,39.159,38.814,38.834,28450,0
2017-09-20,22:00:00,38.834,39.087,38.756,38.922,122487,0
2017-09-21,16:00:00,38.902,39.252,38.883,39.126,9797,0
2017-09-21,17:00:00,39.136,39.243,38.97,38.97,21475,0
2017-09-21,18:00:00,38.99,39.097,38.96,39.034,44344,0
2017-09-21,19:00:00,39.029,39.262,39.029,39.233,5188,0
2017-09-21,20:00:00,39.252,39.32,39.213,39.281,3395,0
2017-09-21,21:00:00,39.32,39.359,39.136,39.136,10341,0
2017-09-21,22:00:00,39.106,39.155,39.019,39.136,109431,0
2017-09-22,16:00:00,38.98,39.291,38.98,39.291,4113,0
2017-09-22,17:00:00,39.291,39.437,39.233,39.437,4196,0
2017-09-22,18:00:00,39.417,39.514,39.417,39.514,1305,0
2017-09-22,19:00:00,39.514,39.553,39.349,39.397,11587,0
2017-09-22,20:00:00,39.397,39.466,39.369,39.446,4734,0
2017-09-22,21:00:00,39.446,39.514,39.427,39.486,2726,0
2017-09-22,22:00:00,39.456,39.583,39.446,39.534,15671,0
2017-09-25,16:00:00,39.388,39.64,39.233,39.631,4175,0
2017-09-25,17:00:00,39.602,39.854,39.602,39.747,11869,0
2017-09-25,18:00:00,39.592,39.719,39.495,39.66,9336,0
2017-09-25,19:00:00,39.65,39.826,39.645,39.787,4528,0
2017-09-25,20:00:00,39.836,39.981,39.836,39.981,3403,0
2017-09-25,21:00:00,39.981,40.117,39.971,40.078,8133,0
2017-09-25,22:00:00,40.087,40.087,39.903,39.981,14575,0
2017-09-26,16:00:00,39.913,39.913,39.68,39.689,3679,0
2017-09-26,17:00:00,39.747,39.942,39.631,39.884,24194,0
2017-09-26,18:00:00,39.884,39.893,39.747,39.874,6600,0
2017-09-26,19:00:00,39.884,39.884,39.816,39.864,1731,0
2017-09-26,20:00:00,39.796,39.903,39.787,39.854,5469,0
2017-09-26,21:00:00,39.854,39.854,39.553,39.553,8901,0
2017-09-26,22:00:00,39.543,39.612,39.504,39.534,27689,0
2017-09-27,16:00:00,39.65,40.039,39.078,39.64,9332,0
2017-09-27,17:00:00,39.729,39.952,39.621,39.631,15828,0
2017-09-27,18:00:00,39.67,39.845,39.65,39.795,10831,0
2017-09-27,19:00:00,39.787,40.224,39.787,40.194,33355,0
2017-09-27,20:00:00,40.233,40.623,40.204,40.544,24162,0
2017-09-27,21:00:00,40.642,40.661,40.263,40.409,8774,0
2017-09-27,22:00:00,40.409,40.564,40.35,40.544,30826,0
2017-09-28,16:00:00,40.506,40.68,39.952,40.506,3142,0
2017-09-28,17:00:00,40.556,40.583,40.265,40.311,6600,0
2017-09-28,18:00:00,40.307,40.734,40.307,40.68,4482,0
2017-09-28,19:00:00,40.69,40.729,40.623,40.71,4631,0
2017-09-28,20:00:00,40.729,40.729,40.632,40.69,3212,0
2017-09-28,21:00:00,40.71,40.729,40.642,40.642,5768,0
2017-09-28,22:00:00,40.642,40.817,40.618,40.807,25610,0
2017-09-29,16:00:00,40.7,40.759,39.315,40.661,6131,0
2017-09-29,17:00:00,40.797,40.992,40.379,40.424,11256,0
2017-09-29,18:00:00,40.437,40.457,40.273,40.33,3935,0
2017-09-29,19:00:00,40.273,40.311,40.107,40.151,7151,0
2017-09-29,20:00:00,40.136,40.194,40.136,40.146,22281,0
2017-09-29,21:00:00,40.156,40.243,40.127,40.176,8636,0
2017-09-29,22:00:00,40.146,40.427,40.146,40.311,71757,0
2017-10-02,16:00:00,40.447,40.739,40.097,40.097,5376,0
2017-10-02,17:00:00,40.253,40.321,40.107,40.107,31879,0
2017-10-02,18:00:00,40.146,40.36,40.087,40.335,11880,0
2017-10-02,19:00:00,40.335,40.516,40.335,40.467,5557,0
2017-10-02,20:00:00,40.457,40.603,40.389,40.603,8882,0
2017-10-02,21:00:00,40.613,40.675,40.544,40.647,12045,0
2017-10-02,22:00:00,40.623,40.846,40.467,40.661,41216,0
2017-10-03,16:00:00,40.652,40.652,40.36,40.491,2929,0
2017-10-03,17:00:00,40.506,40.525,40.233,40.233,5920,0
2017-10-03,18:00:00,40.243,40.298,40.02,40.097,8884,0
