Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-03-01,16:00:00,25.174,25.174,25.174,25.174,201,0
2016-03-01,19:00:00,25.373,25.373,25.373,25.373,201,0
2016-03-01,21:00:00,25.368,25.368,25.368,25.368,100,0
2016-03-02,17:00:00,25.402,25.402,25.402,25.402,201,0
2016-03-02,21:00:00,25.475,25.475,25.475,25.475,404,0
2016-03-03,18:00:00,25.729,25.729,25.639,25.639,2550,0
2016-03-03,19:00:00,25.649,25.649,25.649,25.649,404,0
2016-03-03,21:00:00,25.759,25.759,25.759,25.759,448,0
2016-03-03,22:00:00,25.818,25.838,25.818,25.838,2030,0
2016-03-04,16:00:00,26.037,26.037,26.037,26.037,1215,0
2016-03-04,17:00:00,25.938,25.938,25.938,25.938,302,0
2016-03-04,18:00:00,25.962,25.962,25.962,25.962,100,0
2016-03-04,19:00:00,26.008,26.008,26.008,26.008,1211,0
2016-03-04,21:00:00,25.958,25.958,25.948,25.948,4376,0
2016-03-07,22:00:00,25.968,25.968,25.968,25.968,191,0
2016-03-08,16:00:00,26.106,26.106,25.948,25.948,1716,0
2016-03-08,19:00:00,25.659,25.659,25.649,25.649,2272,0
2016-03-08,22:00:00,25.541,25.541,25.501,25.501,302,0
2016-03-09,16:00:00,25.489,25.489,25.489,25.489,201,0
2016-03-09,17:00:00,25.441,25.441,25.441,25.441,201,0
2016-03-09,21:00:00,25.551,25.551,25.551,25.551,1964,0
2016-03-09,22:00:00,25.551,25.551,25.551,25.551,2975,0
2016-03-10,17:00:00,25.53,25.53,25.53,25.53,56,0
2016-03-10,18:00:00,25.431,25.431,25.431,25.431,56,0
2016-03-10,22:00:00,25.254,25.254,25.254,25.254,596,0
2016-03-11,17:00:00,25.551,25.551,25.551,25.551,201,0
2016-03-11,21:00:00,25.699,25.699,25.699,25.699,706,0
2016-03-11,22:00:00,25.789,25.789,25.789,25.789,141,0
2016-03-14,21:00:00,25.769,25.772,25.759,25.772,504,0
2016-03-15,15:00:00,25.551,25.551,25.551,25.551,1956,0
2016-03-17,15:00:00,25.284,25.284,25.284,25.284,100,0
2016-03-18,16:00:00,25.898,25.898,25.898,25.898,276,0
2016-03-18,17:00:00,25.886,25.886,25.878,25.878,304,0
2016-03-18,19:00:00,25.928,25.928,25.896,25.896,3031,0
2016-03-18,21:00:00,25.938,25.938,25.938,25.938,560,0
2016-03-21,18:00:00,25.898,25.898,25.898,25.898,730,0
2016-03-21,20:00:00,25.958,25.958,25.948,25.948,1361,0
2016-03-22,15:00:00,25.898,25.898,25.898,25.898,191,0
2016-03-22,19:00:00,25.968,25.968,25.968,25.968,1061,0
2016-03-22,20:00:00,25.868,25.868,25.868,25.868,858,0
2016-03-23,20:00:00,25.531,25.531,25.531,25.531,201,0
2016-03-24,17:00:00,25.184,25.184,25.16,25.16,598,0
2016-03-28,22:00:00,25.314,25.314,25.314,25.314,181,0
2016-03-29,20:00:00,25.769,25.769,25.769,25.769,125,0
2016-03-29,21:00:00,26.076,26.076,26.076,26.076,230,0
2016-03-31,18:00:00,26.259,26.259,26.242,26.249,776,0
2016-04-01,16:00:00,26.112,26.13,26.112,26.13,282,0
2016-04-01,19:00:00,26.16,26.16,26.16,26.16,760,0
