Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-01-18,16:00:00,24.62,24.62,24.62,24.62,105,0
2017-01-18,18:00:00,24.45,24.522,24.45,24.522,413,0
2017-01-18,19:00:00,24.45,24.45,24.33,24.33,360,0
2017-01-18,20:00:00,24.232,24.232,24.063,24.063,2269,0
2017-01-18,22:00:00,23.845,23.893,23.845,23.893,205,0
2017-01-20,17:00:00,24.179,24.179,24.179,24.179,105,0
2017-01-20,18:00:00,23.941,23.99,23.941,23.99,413,0
2017-01-20,20:00:00,23.704,23.796,23.704,23.747,1745,0
2017-01-20,22:00:00,23.796,23.796,23.796,23.796,413,0
2017-01-23,16:00:00,24.135,24.135,23.99,23.99,620,0
2017-01-24,22:00:00,24,24,24,24,105,0
2017-01-25,16:00:00,23.99,23.99,23.99,23.99,319,0
2017-01-25,17:00:00,23.845,23.845,23.845,23.845,105,0
2017-01-25,21:00:00,23.747,23.747,23.747,23.747,723,0
2017-01-25,22:00:00,23.747,23.781,23.747,23.747,2042,0
2017-01-26,16:00:00,23.99,23.99,23.99,23.99,336,0
2017-01-27,20:00:00,24.247,24.247,24.247,24.247,1069,0
2017-01-27,22:00:00,24.325,24.325,24.325,24.325,1031,0
2017-01-30,18:00:00,24.522,24.522,24.522,24.522,105,0
2017-01-30,22:00:00,24.522,24.522,24.426,24.426,205,0
2017-02-01,18:00:00,23.796,23.796,23.747,23.747,1444,0
2017-02-01,19:00:00,23.277,23.277,23.277,23.277,360,0
2017-02-01,21:00:00,23.242,23.457,23.242,23.457,391,0
2017-02-01,22:00:00,23.651,23.651,23.505,23.505,223,0
2017-02-02,17:00:00,23.699,23.699,23.699,23.699,105,0
2017-02-03,16:00:00,23.213,23.213,23.213,23.213,105,0
2017-02-03,17:00:00,24.28,24.683,24.28,24.683,205,0
2017-02-03,18:00:00,24.039,24.039,23.893,23.893,521,0
2017-02-03,20:00:00,23.893,23.893,23.845,23.845,207,0
2017-02-03,22:00:00,23.845,23.893,23.845,23.893,715,0
2017-02-06,18:00:00,24.184,24.184,24.184,24.184,105,0
2017-02-07,16:00:00,24.184,24.184,24.184,24.184,205,0
2017-02-07,17:00:00,24.184,24.232,24.086,24.232,3612,0
2017-02-07,22:00:00,23.118,24.668,23.118,24.668,259,0
2017-02-08,20:00:00,23.699,23.699,23.699,23.699,155,0
2017-02-08,21:00:00,23.699,23.699,23.699,23.699,105,0
2017-02-09,21:00:00,23.438,23.438,23.438,23.438,155,0
2017-02-10,16:00:00,23.99,23.99,23.99,23.99,106,0
2017-02-10,17:00:00,24.095,24.095,24.095,24.095,413,0
2017-02-13,16:00:00,24.475,24.475,24.413,24.413,515,0
2017-02-13,19:00:00,24.47,24.47,24.47,24.47,205,0
2017-02-13,22:00:00,24.039,24.039,24.039,24.039,205,0
2017-02-14,18:00:00,24.668,24.668,24.668,24.668,157,0
2017-02-15,21:00:00,24.111,24.111,24.111,24.111,105,0
2017-02-16,16:00:00,23.845,23.845,23.845,23.845,105,0
2017-02-16,17:00:00,24.232,24.232,24.024,24.024,723,0
2017-02-16,20:00:00,24.717,24.717,24.717,24.717,205,0
2017-02-16,22:00:00,24.62,24.62,24.62,24.62,105,0
2017-02-17,16:00:00,24.717,24.717,24.717,24.717,1846,0
2017-02-17,17:00:00,24.572,24.572,24.572,24.572,105,0
2017-02-21,16:00:00,24.717,24.717,24.717,24.717,460,0
2017-02-21,17:00:00,24.707,24.707,24.707,24.707,205,0
2017-02-21,18:00:00,24.14,24.14,24.14,24.14,240,0
2017-02-21,19:00:00,24.33,24.33,24.33,24.33,186,0
2017-02-22,16:00:00,24.668,24.668,24.668,24.668,205,0
2017-02-22,18:00:00,24.668,24.668,24.668,24.668,105,0
2017-02-22,20:00:00,24.303,24.572,24.184,24.28,939,0
2017-02-22,21:00:00,24.33,24.339,24.28,24.33,1306,0
2017-02-22,22:00:00,24.377,24.717,24.377,24.717,458,0
2017-02-23,16:00:00,24.039,24.039,24.039,24.039,205,0
2017-02-23,19:00:00,24.232,24.232,24.184,24.232,1238,0
2017-02-23,21:00:00,24.366,24.377,24.33,24.33,1363,0
2017-02-23,22:00:00,24.184,24.184,24.184,24.184,105,0
2017-02-24,16:00:00,24.184,24.184,24.184,24.184,310,0
2017-02-24,17:00:00,24.333,24.333,24.333,24.333,205,0
2017-02-24,19:00:00,24.668,24.668,24.62,24.62,620,0
2017-02-24,22:00:00,24.668,24.668,24.668,24.668,105,0
2017-02-27,19:00:00,24.339,24.339,24.339,24.339,515,0
2017-02-27,22:00:00,24.717,24.717,24.717,24.717,123,0
2017-02-28,17:00:00,24.668,24.668,24.33,24.47,620,0
2017-02-28,18:00:00,24.455,24.455,24.455,24.455,155,0
2017-02-28,20:00:00,24.377,24.377,24.377,24.377,310,0
2017-02-28,21:00:00,24.426,24.426,24.426,24.426,105,0
2017-02-28,22:00:00,24.28,24.475,24.135,24.135,723,0
2017-03-01,16:00:00,23.893,23.915,20.305,21.808,19762,0
2017-03-01,17:00:00,21.906,21.906,21.662,21.662,1683,0
2017-03-01,18:00:00,21.662,21.896,21.662,21.896,1010,0
2017-03-01,19:00:00,21.857,22.052,21.857,22.052,1341,0
2017-03-01,20:00:00,22.411,22.411,22.411,22.411,155,0
2017-03-01,21:00:00,22.002,22.002,21.906,21.906,4089,0
2017-03-01,22:00:00,22.217,22.217,21.953,22.002,577,0
2017-03-02,16:00:00,22.334,22.334,22.334,22.334,155,0
2017-03-02,18:00:00,22.1,22.1,22.1,22.1,236,0
2017-03-02,20:00:00,22.245,22.245,22.197,22.197,409,0
2017-03-02,21:00:00,22.293,22.293,22.052,22.052,1238,0
2017-03-02,22:00:00,22.052,22.052,22.052,22.052,205,0
2017-03-03,17:00:00,22.1,22.1,22.1,22.1,205,0
2017-03-03,18:00:00,22.318,22.318,21.906,21.906,3001,0
2017-03-03,19:00:00,22.002,22.002,22.002,22.002,205,0
2017-03-03,20:00:00,21.926,21.953,21.906,21.906,1030,0
2017-03-03,22:00:00,21.906,22.052,21.906,22.052,890,0
2017-03-06,16:00:00,21.421,21.421,20.889,20.889,2045,0
2017-03-06,18:00:00,21.517,21.517,21.517,21.517,204,0
2017-03-06,19:00:00,21.517,21.517,21.324,21.372,1927,0
2017-03-06,20:00:00,21.324,21.517,21.324,21.365,1658,0
2017-03-06,22:00:00,21.471,21.662,21.372,21.421,2200,0
2017-03-07,16:00:00,21.906,22.052,21.712,22.052,2672,0
2017-03-07,17:00:00,22.052,22.778,22.052,22.728,852,0
2017-03-07,18:00:00,22.148,22.583,22.148,22.537,469,0
2017-03-07,21:00:00,22.488,22.488,22.488,22.488,221,0
2017-03-07,22:00:00,22.678,22.678,22.633,22.633,620,0
2017-03-08,16:00:00,23.316,23.316,23.316,23.316,104,0
2017-03-08,21:00:00,22.829,23.17,22.829,22.875,5635,0
2017-03-08,22:00:00,22.487,23.217,22.487,22.729,616,0
2017-03-09,16:00:00,22.729,22.875,22.729,22.875,292,0
2017-03-09,22:00:00,22.675,22.675,22.675,22.675,104,0
2017-03-10,16:00:00,23.121,23.121,22.536,22.536,308,0
2017-03-10,22:00:00,22.536,22.536,22.194,22.291,1131,0
2017-03-13,20:00:00,22.487,22.678,22.358,22.678,395,0
2017-03-13,21:00:00,22.421,22.683,22.421,22.683,512,0
2017-03-14,15:00:00,22.291,22.291,22.291,22.291,204,0
2017-03-14,17:00:00,22.829,22.829,22.829,22.829,104,0
2017-03-14,21:00:00,22.683,22.779,22.683,22.683,616,0
2017-03-15,17:00:00,22.875,22.875,22.871,22.875,512,0
2017-03-15,18:00:00,22.829,22.829,22.829,22.829,104,0
2017-03-15,19:00:00,22.729,22.875,22.683,22.875,1070,0
2017-03-16,15:00:00,22.583,22.829,22.583,22.729,1087,0
2017-03-16,16:00:00,22.875,22.875,22.875,22.875,104,0
