Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-06-21,16:00:00,3.48,3.6,3.48,3.6,225,0
2017-06-21,17:00:00,3.518,3.518,3.518,3.518,50,0
2017-06-21,18:00:00,3.5545,3.56,3.5545,3.56,275,0
2017-06-21,19:00:00,3.5196,3.52,3.5196,3.52,100,0
2017-06-21,20:00:00,3.52,3.52,3.52,3.52,25,0
2017-06-21,22:00:00,3.52,3.56,3.52,3.52,740,0
2017-06-22,17:00:00,3.6,3.6,3.6,3.6,25,0
2017-06-22,18:00:00,3.56,3.6,3.56,3.6,248,0
2017-06-22,19:00:00,3.6,3.6,3.6,3.6,75,0
2017-06-22,20:00:00,3.5873,3.72,3.5873,3.64,596,0
2017-06-22,21:00:00,3.4856,3.6,3.4856,3.6,525,0
2017-06-23,16:00:00,3.6,3.6,3.5204,3.5237,3900,0
2017-06-23,17:00:00,3.52,3.6,3.48,3.4808,2475,0
2017-06-23,18:00:00,3.48,3.52,3.4,3.4,1450,0
2017-06-23,19:00:00,3.3164,3.4,3.2924,3.3208,2185,0
2017-06-23,20:00:00,3.4,3.4,3.4,3.4,150,0
2017-06-23,21:00:00,3.4,3.46,3.4,3.4,981,0
2017-06-23,22:00:00,3.4,3.56,3.4,3.56,606,0
2017-06-26,16:00:00,3.4,3.48,3.4,3.48,488,0
2017-06-26,17:00:00,3.4472,3.4472,3.44,3.44,925,0
2017-06-26,18:00:00,3.44,3.44,3.44,3.44,80,0
2017-06-26,19:00:00,3.44,3.44,3.44,3.44,55,0
2017-06-26,21:00:00,3.5196,3.56,3.44,3.56,2240,0
2017-06-26,22:00:00,3.6,3.6,3.52,3.52,75,0
2017-06-27,16:00:00,3.5596,3.5596,3.5596,3.5596,175,0
2017-06-27,17:00:00,3.48,3.48,3.48,3.48,475,0
2017-06-27,18:00:00,3.48,3.54,3.48,3.54,1375,0
2017-06-27,20:00:00,3.4484,3.52,3.4484,3.4512,288,0
2017-06-27,21:00:00,3.4768,3.52,3.4738,3.52,152,0
2017-06-27,22:00:00,3.52,3.52,3.4452,3.52,275,0
2017-06-28,18:00:00,3.48,3.64,3.4796,3.64,225,0
