Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,18.222,18.222,18.074,18.124,3489,0
2017-09-05,17:00:00,18.074,18.173,18.024,18.124,2120,0
2017-09-05,18:00:00,18.099,18.272,18.024,18.272,14963,0
2017-09-05,19:00:00,18.272,18.272,18.074,18.074,17506,0
2017-09-05,20:00:00,18.049,18.074,17.95,18.074,11158,0
2017-09-05,21:00:00,18.049,18.074,17.926,18.024,10414,0
2017-09-05,22:00:00,18.024,18.024,17.876,17.926,33732,0
2017-09-06,16:00:00,18.024,18.074,17.975,18.024,5242,0
2017-09-06,17:00:00,18.024,18.222,18.024,18.124,6977,0
2017-09-06,18:00:00,18.124,18.124,17.999,18.024,7929,0
2017-09-06,19:00:00,17.999,18.074,17.975,18.024,3956,0
2017-09-06,20:00:00,18.074,18.173,18.049,18.074,7371,0
2017-09-06,21:00:00,18.124,18.124,17.876,17.876,7553,0
2017-09-06,22:00:00,17.925,17.975,17.826,17.876,34049,0
2017-09-07,16:00:00,17.876,17.876,17.728,17.728,7274,0
2017-09-07,17:00:00,17.678,17.728,17.505,17.728,12128,0
2017-09-07,18:00:00,17.703,17.703,17.48,17.578,3938,0
2017-09-07,19:00:00,17.529,17.578,17.381,17.578,5788,0
2017-09-07,20:00:00,17.628,17.628,17.43,17.48,4231,0
2017-09-07,21:00:00,17.48,17.554,17.48,17.48,3908,0
2017-09-07,22:00:00,17.505,17.554,17.43,17.48,14888,0
2017-09-08,16:00:00,17.331,17.628,14.909,17.578,14694,0
2017-09-08,17:00:00,17.628,17.801,17.554,17.801,11707,0
2017-09-08,18:00:00,17.801,17.926,17.801,17.851,15048,0
2017-09-08,19:00:00,17.826,17.876,17.826,17.851,30038,0
2017-09-08,20:00:00,17.826,17.851,17.529,17.578,37307,0
2017-09-08,21:00:00,17.554,17.678,17.48,17.628,64618,0
2017-09-08,22:00:00,17.653,17.678,17.529,17.578,36392,0
2017-09-11,16:00:00,17.678,17.901,17.678,17.901,9504,0
2017-09-11,17:00:00,17.901,17.975,17.851,17.926,45113,0
2017-09-11,18:00:00,17.975,18.024,17.926,18.024,34150,0
2017-09-11,19:00:00,18.024,18.074,17.926,17.926,33638,0
2017-09-11,20:00:00,17.95,17.975,17.926,17.95,11658,0
2017-09-11,21:00:00,17.95,17.975,17.826,17.901,19142,0
2017-09-11,22:00:00,17.926,18.024,17.876,17.975,47426,0
2017-09-12,16:00:00,18.074,18.322,18.074,18.222,1265,0
2017-09-12,17:00:00,18.272,18.272,18.074,18.197,13946,0
2017-09-12,18:00:00,18.197,18.272,18.099,18.222,32713,0
2017-09-12,19:00:00,18.197,18.222,18.148,18.197,7757,0
2017-09-12,20:00:00,18.222,18.247,18.124,18.124,22990,0
2017-09-12,21:00:00,18.148,18.247,18.074,18.247,17162,0
2017-09-12,22:00:00,18.272,18.322,18.173,18.272,36649,0
2017-09-13,16:00:00,18.272,18.322,18.173,18.272,2696,0
2017-09-13,17:00:00,18.272,18.52,18.124,18.47,49680,0
2017-09-13,18:00:00,18.47,18.47,18.371,18.395,6988,0
2017-09-13,19:00:00,18.395,18.42,18.222,18.247,22652,0
2017-09-13,20:00:00,18.272,18.347,18.222,18.347,21495,0
2017-09-13,21:00:00,18.371,18.371,18.222,18.371,12501,0
2017-09-13,22:00:00,18.371,18.371,18.222,18.371,59755,0
2017-09-14,16:00:00,18.47,18.569,18.347,18.569,71920,0
2017-09-14,17:00:00,18.545,18.668,18.52,18.569,32271,0
2017-09-14,18:00:00,18.618,18.618,18.47,18.52,27813,0
